inst name,eiin,inst_type,district,thana,mauza,long,lat,serial,isUnique
GOVT P.C COLLEGE,114830,College,BAGERHAT,BAGERHAT SADAR,PASCHIM HARINKHANA,88.97317,23.75419,1,1
BAGERHAT GOVT. MOHILA COLLEGE,114831,College,BAGERHAT,BAGERHAT SADAR,DAKSHIN SORUI (PASCHIM),89.00453,23.73556,2,1
KHAN JAHAN ALI DEGREE COLLEGE,114832,College,BAGERHAT,BAGERHAT SADAR,PASCHIM SONATALA,89.78703,22.66592,3,1
BELAYET HOSSAIN DEGREE COLLEGE,114833,College,BAGERHAT,BAGERHAT SADAR,DEBPARA,89.82228,22.68456,4,1
KALIDAS BARAL SMRITI MAHABIDALAYA,114877,College,BAGERHAT,CHITALMARI,DARI UMAJURI,89.84539,22.72281,5,1
BANGA BANDHU MOHILA COLLEGE,115023,College,BAGERHAT,CHITALMARI,ARUABANNI,89.87939,22.83108,6,1
SHERA BANGLA COLLEGE,114876,College,BAGERHAT,CHITALMARI,KHARAMKHALI,89.87228,22.85756,7,1
FAKIRHAT FAZILATUNNESA MUJIB MOHILA DEGREE COLLEGE,114921,College,BAGERHAT,FAKIRHAT,BAHIRDIA,89.64764,22.68958,8,1
KAZI AZHAR ALI COLLEGE,114922,College,BAGERHAT,FAKIRHAT,ATTAKI,89.73103,22.76397,9,1
SHAHEED SMRITI DEGREE COLLEGE,114923,College,BAGERHAT,FAKIRHAT,NOAPARA,89.69003,22.814,10,1
KACHUA DEGREE COLLEGE,114953,College,BAGERHAT,KACHUA,KACHUA,89.87597,22.63056,11,1
SHOHID SHAIKH ABU NASSER MOHILA DEGREE COLLEGE,114952,College,BAGERHAT,KACHUA,KHALISHAKHALI,89.87803,22.65183,12,1
LAILA  AZAD  COLLEGE,114981,College,BAGERHAT,MOLLAHAT,KULIA,89.76933,22.90014,13,1
" KHALILUR RAHMAN COLLEGE,MOLLAHAT",114983,College,BAGERHAT,MOLLAHAT,UDAYPUR BARABAGH BOALIA,89.75819,22.89317,14,1
JATIR JANAK BANGABANDHU WOMAN COLLAGE,114984,College,BAGERHAT,MOLLAHAT,KAHALPUR,89.82319,22.92519,15,1
BANGABANDHU MOHILA  COLLEGE,114875,College,BAGERHAT,MONGLA,PURBA SELABUNIA,89.62144,22.47881,16,1
MONGLA COLLEGE,115021,College,BAGERHAT,MONGLA,PURBA SELABUNIA,89.6065,22.47411,17,1
DIGRAJ DEGREE MAHAVIDYALAYA,115022,College,BAGERHAT,MONGLA,BIDYARBAHAN DIGRAJ,89.60536,22.52472,18,1
MA  BABAR RAIN COLLEGE,115159,College,BAGERHAT,MORRELGANJ,BAHARBUNIA,89.85308,22.36711,19,1
"DR.KHALILUR  RAHMAN  COLLEGE,MORRELGANJ",115157,College,BAGERHAT,MORRELGANJ,BALAIBUNIA,89.87972,22.50042,20,1
RAWSHANARA MEMORIAL WOMEN DEGREE COLLEGE,115155,College,BAGERHAT,MORRELGANJ,PURBA FAKIRER TAKIA,89.8475,22.47169,21,1
SINGJORE  GOPALPUR  COLLEGE,131992,College,BAGERHAT,MORRELGANJ,SINGJOR,89.94906,22.50075,22,1
SALIMABAD DEGREE COLLEGE,115154,College,BAGERHAT,MORRELGANJ,DAIBAGNYAHATI,89.91536,22.50761,23,1
DAKSHIN BANGLA COLLAGE,115158,College,BAGERHAT,MORRELGANJ,DAKSHIN PHULHATA,89.72167,22.49431,24,1
A R KHAN COLLEGE,115156,College,BAGERHAT,MORRELGANJ,CHALITABUNIA,89.86381,22.39606,25,1
SIRAJUDDIN MEMORIAL COLLEGE,115153,College,BAGERHAT,MORRELGANJ,BHAIZORA,89.85925,22.45403,26,1
GILATALA  ABUL KALAM COLLEGE,115225,College,BAGERHAT,RAMPAL,GILATALA,89.69761,22.58989,27,1
SUNDARBAN  MOHILA  COLLEGE,115227,College,BAGERHAT,RAMPAL,BHAGA,89.61406,22.61453,28,1
RAMPAL COLLEGE,115226,College,BAGERHAT,RAMPAL,RAMPAL,89.65333,22.55336,29,1
SHEIKH HELAL UDDIN COLLEGE,114924,College,BAGERHAT,FAKIRHAT,SUBHADIA,89.77733,22.57986,30,1
MATREE BHASHA COLLEGE,115264,College,BAGERHAT,SARANKHOLA,DHANSAGAR,89.7795,22.33678,31,1
SARANKHOLA degree COLLEGE,115263,College,BAGERHAT,SARANKHOLA,BANIAKHALI,89.86286,22.34053,32,1
HARIKHALI PURBO PARA DAKHIL MADRASHA,114822,Madrasha,BAGERHAT,BAGERHAT SADAR,HARINKHALI,88.99094,23.77669,2343,1
AMENA SAMAD SAMAD MOHILA DHAKHIL MADRASAH,114826,Madrasha,BAGERHAT,BAGERHAT SADAR,DAKSHIN MUNIGANJ,88.95572,23.65672,2344,1
MADINATUL ULUM ADARSHA DAKHIL  MADRASHA,114825,Madrasha,BAGERHAT,BAGERHAT SADAR,DAKSHIN SORUI (PASCHIM),89.78392,22.66511,2345,1
ARPARA NASARIA SIDDIQUIA DHKHIL MADRASHA,114828,Madrasha,BAGERHAT,BAGERHAT SADAR,ARPARA KURSAIL,89.79403,22.65847,2346,1
BAGDIA ALIM MADRASHA,114821,Madrasha,BAGERHAT,BAGERHAT SADAR,BAGHDIA,89.80131,22.65125,2347,1
KAFURPURA DAKHIL MADRASHA,114818,Madrasha,BAGERHAT,BAGERHAT SADAR,KODLA,89.75358,22.77172,2348,1
RAHMATPUR DAKHIL MADRASAH,114823,Madrasha,BAGERHAT,BAGERHAT SADAR,RAMCHANDRAPUR,89.78217,22.65822,2349,1
BAITPUR BHADRAPARA JAMALIA DAKHIL MADRASHA,114817,Madrasha,BAGERHAT,BAGERHAT SADAR,BAITPUR,89.81231,22.62878,2350,1
PANIGAHAT ISLAMIA NESARIA DAKHIL MADRASHA,114816,Madrasha,BAGERHAT,BAGERHAT SADAR,BISHNUPUR,89.82653,22.64261,2351,1
B.K.MANDRa  DAKHIL MADRASHA,114805,Madrasha,BAGERHAT,BAGERHAT SADAR,MANDRA,89.80586,22.65422,2352,1
PARKORA MARA DAKHIL MADRASAH,114820,Madrasha,BAGERHAT,BAGERHAT SADAR,KORAMARA,89.83708,22.73406,2353,1
BAGERHAT KAMIL MADRASHA,114809,Madrasha,BAGERHAT,BAGERHAT SADAR,DAKSHIN SORUI,89.81319,22.75339,2354,1
DEPARA NESARIA ALIM MADRASHA,114819,Madrasha,BAGERHAT,BAGERHAT SADAR,DEBPARA,89.80047,22.68806,2355,1
KHANPUR ALIM MADRASHA,114814,Madrasha,BAGERHAT,BAGERHAT SADAR,DAKSHIN KHANPUR,89.81589,22.70828,2356,1
PASCHIMBHAG BELAET HOSSAIN DAKHIL MADRASAH,114824,Madrasha,BAGERHAT,BAGERHAT SADAR,PASCHIMBHAG,89.85758,22.67678,2357,1
U P R DAKHIL MADRASAH,114807,Madrasha,BAGERHAT,BAGERHAT SADAR,UDKUL,89.79986,22.70381,2358,1
KHANJAHAN ALI ADARSHA  ALIM MADRASA,114810,Madrasha,BAGERHAT,BAGERHAT SADAR,BADE KARA PARA,89.76644,22.68261,2359,1
HABELEE SALEHIA DAKHIL MASRASA,114815,Madrasha,BAGERHAT,BAGERHAT SADAR,SABEKDANGA,89.79036,22.64683,2360,1
CHULKATHI MUSLIMA DAKHIL MADRASHA,114829,Madrasha,BAGERHAT,BAGERHAT SADAR,BHATTA BALIAGHATA,89.77369,22.64828,2361,1
RAKHAL GASI DARUS SUNNAH DAKHIL MADRASAH,114827,Madrasha,BAGERHAT,BAGERHAT SADAR,DARI RASULPUR,89.65056,22.695,2362,1
RANOBHUMI MIRERDANGA DAKHIL MADRASHAH,114808,Madrasha,BAGERHAT,BAGERHAT SADAR,RANBHUM,89.75819,22.66069,2363,1
SHATGUMBAJ BITUSH SHARAF ADARSHA ALIM  MADRASHA,114806,Madrasha,BAGERHAT,BAGERHAT SADAR,SUNDAR GHONA BAJE AFTI,89.76306,22.66872,2364,1
HAZRAT AMIR HAMZA (R:) DAKHIL MADRASHA,114917,Madrasha,BAGERHAT,FAKIRHAT,PAGLA DIAPARA,89.74967,22.67139,2365,1
RAHMATPUR FAZIL MADRASHA,114870,Madrasha,BAGERHAT,CHITALMARI,GANGA CHANNA,89.82311,22.75172,2366,1
SHAILDAH BAKPUR KARAMATIA FAZIL MADRASAH,114869,Madrasha,BAGERHAT,CHITALMARI,SAILDAHA,89.68125,22.68031,2367,1
CHAAR KACURIA DAKHIL MADRASHA,114873,Madrasha,BAGERHAT,CHITALMARI,SANTOSHPUR,89.89986,22.87692,2368,1
HIZLA ALIM MADRASA,114868,Madrasha,BAGERHAT,CHITALMARI,HIZLA,89.89006,22.75906,2369,1
CHITALMARI DAKHIL MADRASAH,114874,Madrasha,BAGERHAT,CHITALMARI,ARUABANNI,89.90817,22.81117,2370,1
BARABARIA RAHMANIA FAZIL MADRASA,114871,Madrasha,BAGERHAT,CHITALMARI,BARA BARIA,89.87683,22.79003,2371,1
CHARBANIARY NACHARIA DAKHIL MADRASHA,114872,Madrasha,BAGERHAT,CHITALMARI,CHAR BANIARI,89.78867,22.78264,2372,1
BARUI PARA SL. FAZIL MADRASAH,114812,Madrasha,BAGERHAT,BAGERHAT SADAR,BARAI PARA,89.85786,22.77025,2373,1
BARABARIA LALCHANDRAPUR DHAKHIL MADRASHA,114918,Madrasha,BAGERHAT,FAKIRHAT,BARA BARIA,89.64764,22.69136,2374,1
FAKIRHAT KARAMATIA FAZIL MADRASA,114912,Madrasha,BAGERHAT,FAKIRHAT,ATTAKI,89.62936,22.72194,2375,1
KHANJAHANPUR MOHAMMADIA SENIOR MADRASAH,114914,Madrasha,BAGERHAT,FAKIRHAT,BRAHMAN RAKDIA,89.70897,22.77303,2376,1
BHABNA ISLAMIA DAKHIL MADRASHA,114915,Madrasha,BAGERHAT,FAKIRHAT,BHABNA,89.71078,22.77278,2377,1
JARIA ISLAMIA SIDDIKIA DAKHIL MADRASHA,114913,Madrasha,BAGERHAT,FAKIRHAT,JARIA MAITKUMRA,89.62994,22.76481,2378,1
SHEIKH ABU BAKAR SIDDIQUE AMINIA MOHILA DAKHIL MAFRASHA,114920,Madrasha,BAGERHAT,FAKIRHAT,KAHARDANGA,89.60961,22.74361,2379,1
AL-HERA ALIM MADRASHA,114919,Madrasha,BAGERHAT,FAKIRHAT,NOAPARA,89.71703,22.80383,2380,1
TEKATIA DEAPARA DAKHIL MADRASA,114916,Madrasha,BAGERHAT,FAKIRHAT,TEKATIA,89.64294,22.73758,2381,1
MADHABKATHI AHMADIA FAZIL MADRASHA,114947,Madrasha,BAGERHAT,KACHUA,MADHABKATI,89.86058,22.56086,2382,1
GAZALIA RAHMANIA DAKHIL MADRASAH,114944,Madrasha,BAGERHAT,KACHUA,GAZALIA,89.88325,22.58653,2383,1
KACHUA DAKHIL MADRASAH,114950,Madrasha,BAGERHAT,KACHUA,KACHUA,89.88942,22.62544,2384,1
TENGRAKHALI HOSSAINiA ALIM MADRASAH,114946,Madrasha,BAGERHAT,KACHUA,TENGRAKHALI,89.90267,22.62339,2385,1
CHAR SONAKUR ALIM MADRASAH,114949,Madrasha,BAGERHAT,KACHUA,CHAR SONAKUR,89.88208,22.64908,2386,1
MAGHIA SALEHIA ALIM MADRASAH,114948,Madrasha,BAGERHAT,KACHUA,MAGHIA,89.90372,22.67969,2387,1
SHONAKUR GIRLS DAKHIL MADRASHA,114943,Madrasha,BAGERHAT,KACHUA,CHAR SONAKUR,89.90089,22.67939,2388,1
SONMANKATI DARUL QURAN HAFIZIA DAKHIL MADRASHA,114951,Madrasha,BAGERHAT,KACHUA,SANMANKATHI,89.87547,22.66433,2389,1
DOBARIA DAKHIL MADRASHA,131517,Madrasha,BAGERHAT,KACHUA,RARI PARA,89.88661,22.66906,2390,1
NURJAHANPUR DAKHIL MADRASAH,114945,Madrasha,BAGERHAT,KACHUA,CHAR NARENDRAPUR,89.87644,22.65469,2391,1
KAHALPUR ALIM MADRASHA,114977,Madrasha,BAGERHAT,MOLLAHAT,KAHALPUR,89.84383,22.61017,2392,1
