inst name, eiin, inst_type, district, thana, mauza, long, lat, serial,isUnique
SYED FAZLUL HOQUE DEGREE COLLEGE,100344,College,BARGUNA,PATHARGHATA,LEMUA (PART),89.990158,22.184103,36,1
TALTALI  DEGREE  COLLEGE,100110,College,BARGUNA,TALTALI,CHAR PARA,90.27464,22.10694,37,1
EUNUS ALI KHAN DEGREE COLLEGE,100111,College,BARGUNA,AMTALI,KALIBARI,90.27908,22.23294,38,1
AMTALI  DEGREE  COLLEGE,100112,College,BARGUNA,AMTALI,PURBA AMTALI,90.23567,22.05717,39,1
BAKUL NESSA MOHILA COLLEGE,100113,College,BARGUNA,AMTALI,CHOWRA,90.09094,22.02486,40,1
TIAKHALI COLLEGE,100115,College,BARGUNA,AMTALI,UTTAR TIAKHALI,90.11908,22.05889,41,1
HALTA DAWATALA WAZED ALI KHAN COLLEGE,100141,College,BARGUNA,BAMNA,DAUATALA,90.06214,22.28717,42,1
BEGUM  FAIZUNNESA  MOILA  DEGREE COLLEGE,  BAMNA,100142,College,BARGUNA,BAMNA,KALAGACHHIA,90.02886,22.21939,43,1
BAMNA DEGREE COLLEGE,100143,College,BARGUNA,BAMNA,SHAFIPUR,90.09578,22.31508,44,1
BARGUNA GOVT. COLLEGE,100241,College,BARGUNA,BARGUNA SADAR,BANSHBANIA,90.02717,22.25939,45,1
BARGUNA GOVT. MOHILA COLLEGE,100242,College,BARGUNA,BARGUNA SADAR,PASCHIM CHAR COLONY,90.09547,22.31647,46,1
M. BALIATALI D.N. COLLEGE,100239,College,BARGUNA,BARGUNA SADAR,ROKSHACHANDI,90.02664,22.02678,47,1
AILA  COLLEGE,100243,College,BARGUNA,BARGUNA SADAR,ADABARIA,90.11883,22.09606,48,1
GHATBARIA ADARSHA COLLEGE,132006,College,BARGUNA,BARGUNA SADAR,TULSIBARIA,90.064,22.06192,49,1
KAUNIA COLLEGE,100294,College,BARGUNA,BETAGI,KAUNIA,90.12908,22.35203,50,1
CHANDKHALI MOSHARRAF HOSSAIN COLLEGE,100295,College,BARGUNA,BETAGI,CHANDKHALI,90.15331,22.37203,51,1
