inst name, eiin, inst_type, district, thana, mauza, long, lat, serial,isUnique
GOVT.BAKERGONJ COLLEGE,100591,College,BARISAL,BAKERGANJ,RUNSI (PART),90.333511,22.542233,56,1
BABUGANJ DEGREE COLLEGE,100441,College,BARISAL,BABUGANJ,LOHALIA,90.356667,22.747002,57,1
ULANIA MUZZAFFAR KHAN DEGREE COLLEGE,100951,College,BARISAL,MEHENDIGANJ,ASA,90.610603,22.846802,58,1
M. A . MALEK DEGREE COLLEGE,100595,College,BARISAL,BAKERGANJ,CHHOTA RAGHUNATHPUR,90.337318,22.53908,59,1
SHAHEED ABDUR ROB SERNIABAT DEGREE COLLEGE,100382,College,BARISAL,AGAILJHARA,MANASI PHULASREE,90.15572,22.969,60,1
ratna amin MOHILA COLLEGE,100587,College,BARISAL,BAKERGANJ,BHAR PASHA PURBA,90.39136,22.6325,61,1
ATAHAR UDDIN HOWLADER COLLEGE,100588,College,BARISAL,BAKERGANJ,BALAIKATHI,90.48969,22.59892,62,1
SYED AFSAR ALI DEGREE COLLEGE,100589,College,BARISAL,BAKERGANJ,MAHESHPUR,90.44178,22.65208,63,1
KALASKATI DEGREE  COLLAGE,100590,College,BARISAL,BAKERGANJ,KALASKATI,90.43053,22.53628,64,1
AL-HAJ HAZRAT ALI  COLLEGE,100592,College,BARISAL,BAKERGANJ,KOSHABAR,90.21825,22.47619,65,1
C. N. B. DEGREE COLLEGE,100593,College,BARISAL,BAKERGANJ,NIAMATI,90.34008,22.53439,66,1
HELAL  UDDIN AHMED COLLEGE,100594,College,BARISAL,BAKERGANJ,BHATSALA,90.41594,22.60953,67,1
BEGUM SAMSUDDIN TALUKDER COLLEGE,100596,College,BARISAL,BAKERGANJ,CHARADI,90.23919,22.49575,68,1
BAKERGANJ  ISLAMIA  MOHILA  COLLEGE,100597,College,BARISAL,BAKERGANJ,NANDA PARA,90.36986,22.5145,69,2
KABAI UNION ISLAMIA  degree pro COLLEGE,100598,College,BARISAL,BAKERGANJ,PURBA LAKSHMI PASHA,90.47028,22.61994,70,1
