inst name, eiin, inst_type, district, thana, mauza, long, lat, serial,isUnique
BORHANUDDIN MOHILA DEGREE COLLEGE,101292,College,BHOLA,BURHANUDDIN,BARA MONIKA,90.78836,22.48106,122,1
KACHIA TOBGI easin para  E.p MOHABIDHALAY,101293,College,BHOLA,BURHANUDDIN,CHAK DHOSH,90.74753,22.50156,123,1
ABDUL JABBAR COLLEGE,101294,College,BHOLA,BURHANUDDIN,COLLEGE PARA,90.70322,22.52206,124,1
HAFIZ  IBRAHIM COLLEGE,101295,College,BHOLA,BURHANUDDIN,MULAI PATTAN,90.78781,22.46972,125,1
CHARMANIKA JALAL AHAMED COLLEGE,101436,College,BHOLA,CHAR FASSON,CHAR KACHHAPIA,90.63244,22.01311,126,2
CHARFASSON DEGREE COLLEGE,101439,College,BHOLA,CHAR FASSON,JINNAGHAR,90.76311,22.19953,127,1
FATEMA  MATIN  MOHILA  COLLEGE,101438,College,BHOLA,CHAR FASSON,JINNAGHAR,90.7835,22.20578,128,1
DULAR  HAT ADARSHA  DEGREE  COLLEGE,101440,College,BHOLA,CHAR FASSON,CHAR TOFAZZAL,90.63397,22.17111,129,2
RASULPUR degree COLLEGE,101435,College,BHOLA,CHAR FASSON,CHAR SHASHIBHUSAN,90.68003,22.08503,130,2
OSMANGONJ UNITED COLLEGE,101437,College,BHOLA,CHAR FASSON,DAKSHIN CHAR FASSION(PART),90.69608,22.18044,131,1
ZANATA BAZAR SHAHID ZIAUR RAHMAN COLLEGE,101434,College,BHOLA,CHAR FASSON,OSMANGANJ(PART),90.69653,22.24547,132,1
HALIMA KHATUN MOHILA MOHABIDDHALAY,101485,College,BHOLA,DAULAT KHAN,UTTAR JOYNAGAR,90.67192,22.63758,133,1
DAULATKHAN ABU ABDULLAH DEGREE COLLEGE,101486,College,BHOLA,DAULAT KHAN,COLLEGE PARA,90.748,22.59186,134,1
GOVT  SHAHBAJ PUR COLLEGE,101572,College,BHOLA,LALMOHAN,COLLEGE PARA,90.73231,22.34975,135,1
DHALI GOURA NAGAR COLLEGE,132034,College,BHOLA,LALMOHAN,KULCHAR(MOLLAR CHAR),90.82192,22.32661,136,1
KARIMUNNESSA HAFIZ MOHILA COLLEGE,101570,College,BHOLA,LALMOHAN,MEHERGANJ,90.75392,22.32028,137,1
DR AZAHAR UDDIN DRGREE COLLEGE,101573,College,BHOLA,LALMOHAN,PASCHIM CHAR UMED,90.7055,22.26697,138,1
MONOARA BEGUM MOHILA COLLEGE,101592,College,BHOLA,MANPURA,CHAR JATIN,90.74647,22.25828,139,1
MANPURA DEGREE COLLEGE,101591,College,BHOLA,MANPURA,CHAR JATIN,90.98044,22.22714,140,1
ELISHA ISLAMIA MODEL COLLEGE,101203,College,BHOLA,BHOLA SADAR,PURBA CHAR ILLISHA,90.64819,22.58364,141,1
BANGLA BAZAR FATEMA KHANAM COLLEGE,101204,College,BHOLA,BHOLA SADAR,DAKSHIN DIGHALDI,90.63381,22.73906,142,1
BHOLA GOVERNMENT COLLEGE,101205,College,BHOLA,BHOLA SADAR,KATHALI(P),90.64289,22.64233,144,2
OBAIDUL HAQUE COLLEGE,101206,College,BHOLA,BHOLA SADAR,PURBA UKIL PARA,90.64289,22.64233,145,2
GOVT.FAZILATUN NESSA WOMENS COLLEGE,101207,College,BHOLA,BHOLA SADAR,GAZIPUR ROAD,90.65619,22.58847,147,1
NAZIUR RAHMAN COLLEGE,101208,College,BHOLA,BHOLA SADAR,SAHA MANDUR,90.65636,22.67111,148,2
ALTAJAR RAHMAN DEGREE COLLEGE,101209,College,BHOLA,BHOLA SADAR,CHAR NOABAD (PART),90.65636,22.67111,149,2
BANKER HAT CO-OPERATIVE COLLEGE,101210,College,BHOLA,BHOLA SADAR,CHAR RAMESH,90.64678,22.68386,150,2
mANIK MIA IDEAL COLLEGE,101211,College,BHOLA,BHOLA SADAR,CHANDRA PRASAD,90.64678,22.68386,151,2
REBA RAHMAN MOHABIDDALAY,132025,College,BHOLA,BHOLA SADAR,UTTAR DIGHALDI,90.63014,22.78747,152,1
TAZUMUDDIN DEGREE COLLEGE,101621,College,BHOLA,TAZUMUDDIN,SHASHIGANJ,90.81567,22.37122,153,1
CHAK DOSH KASEMIA DAKHIL MADRASAH,101249,Madrasha,BHOLA,BURHANUDDIN,FULKACHIA,90.72567,22.53586,2871,1
BORHANUDDIN KAMIL MADRASA,101250,Madrasha,BHOLA,BURHANUDDIN,KUTBA,90.71475,22.53708,2872,1
KHANKAE BASHIRIA DARUSSINNID TALIM MADRASHA,101251,Madrasha,BHOLA,BURHANUDDIN,DAKSHIN BATAMARA,90.72983,22.51394,2873,1
HAZIR HAT ISLAMIA DHAKIL MADRASHA,101252,Madrasha,BHOLA,BURHANUDDIN,CHAR ALGI,90.7195,22.42997,2874,1
MIRZAKALU SINEOR FAZIL MADRASHA,101253,Madrasha,BHOLA,BURHANUDDIN,HASSAN NAGAR,90.71611,22.56317,2875,1
HAKIMUDDIN FAZIL MADRASAH,101254,Madrasha,BHOLA,BURHANUDDIN,HASSAN NAGAR,90.78667,22.42542,2876,1
CHHOTO MANIKA FAZIL MADRASHA,101255,Madrasha,BHOLA,BURHANUDDIN,CHHOTA MANIKA,90.71761,22.52053,2877,1
BORHANUDDIN ISLAMIA ALIM MADRASAH,101256,Madrasha,BHOLA,BURHANUDDIN,LAKSHMIPUR,90.73025,22.52639,2878,1
GORIBE  MAjhi  A,  ROB  DAKHIL MADRASHA,101257,Madrasha,BHOLA,BURHANUDDIN,BATHANBARI,90.71689,22.44328,2879,1
BHAIROB GONJ KERMOTIA FAZIL MADRASHA,101258,Madrasha,BHOLA,BURHANUDDIN,DAKSHIN CHAR LAMCHHIDHALI,90.80256,22.46686,2880,1
DEULA  SIBPUR  DARUL  AMAN  ISLAMIA  DAKHIL MADRASHA,101259,Madrasha,BHOLA,BURHANUDDIN,DEULA,90.79419,22.49228,2881,1
TABGI RASTAR MATHA SARIFIA DAKHIL MADRASHA,101260,Madrasha,BHOLA,BURHANUDDIN,TABGI,90.673,22.52656,2882,1
MOZOMER HAT FAZIL MADRASAH,101261,Madrasha,BHOLA,BURHANUDDIN,BARA PATA,90.71553,22.50219,2883,1
KACHIA ISLAMIA DAKHIL MADRASHA,101262,Madrasha,BHOLA,BURHANUDDIN,KACHIA,90.68706,22.44714,2884,1
KURALIA NURIA DAKHIL MADRASAH,101263,Madrasha,BHOLA,BURHANUDDIN,UTTAR BATAMARA,90.79214,22.45139,2885,1
sAGLA HASNAIN ISLAMIA DAKHIL MADRASAH,101264,Madrasha,BHOLA,BURHANUDDIN,CHHAGLA,90.68278,22.41197,2886,1
BORHANUDDIN RAHMANIA ALIM MADRASHA,101265,Madrasha,BHOLA,BURHANUDDIN,KUTBA,90.76897,22.48586,2887,1
DEULA MONOWARA GIRLS DAKHIL MADRASHA,101266,Madrasha,BHOLA,BURHANUDDIN,DEULA,90.69897,22.42203,2888,1
BORA MANIKA KASHAMIA DAKHIL MADRASAH,101267,Madrasha,BHOLA,BURHANUDDIN,BARA MANIKA,90.75614,22.45664,2889,1
MODHAPURBO  BATAMARA  A.  DAKHIL  MADRASHA,101268,Madrasha,BHOLA,BURHANUDDIN,BATAMARA,90.72264,22.56228,2890,1
CHAR  GANGAPUR IA\SLAMIA DAKHIL MADRASAH,101269,Madrasha,BHOLA,BURHANUDDIN,CHAR GANGAPUR,90.7345,22.47947,2891,1
EDARAR M.K.H.K DAKHIL MADRASA,101271,Madrasha,BHOLA,BURHANUDDIN,LAKSHMIPUR,90.7145,22.49928,2892,1
HASANNAGAR  SERAZIA  DAKHIL  MADRASHA,101272,Madrasha,BHOLA,BURHANUDDIN,HASSAN NAGAR,90.69525,22.42475,2893,1
HASANNAGAR   RAHMANIA  DAKHIL  MADRASHA,101273,Madrasha,BHOLA,BURHANUDDIN,HASSAN NAGAR,90.70489,22.52581,2894,1
JOYA HAZI TOFALIA DAKHIL MADRASHA,101274,Madrasha,BHOLA,BURHANUDDIN,JAYA,90.7625,22.517,2895,1
KACHIA CHOWMOHANI HAT ISLAMIA DAKHIL MADRASAH,101275,Madrasha,BHOLA,BURHANUDDIN,KACHIA,90.69292,22.47353,2896,1
UTTAR PAKKIA DAKHIL MADRASA,101276,Madrasha,BHOLA,BURHANUDDIN,PAKSHIA,90.69642,22.53206,2897,1
JOYA BALIKA DHAKIL MADRASHA,101278,Madrasha,BHOLA,BURHANUDDIN,JAYA,90.81353,22.46931,2898,1
DEULA SIBPUR SALEMA KHANOM GIRLS DAKHIL MADRASHA,101279,Madrasha,BHOLA,BURHANUDDIN,DEULA SHIBPUR,90.80092,22.47714,2899,1
CHAR  ALGI  ISLAMIA  BALIKA  DAKHIL  MADRASHA,101280,Madrasha,BHOLA,BURHANUDDIN,CHAR ALGI,90.67778,22.50167,2900,1
PURBA  CHOTO  MANIKA  AHAMMADIA  DAKHIL  MADRASHA,101281,Madrasha,BHOLA,BURHANUDDIN,CHHOTA MANIKA,90.73461,22.45022,2901,1
KUNIJER HAT DAKHIL MSDRASHA,101282,Madrasha,BHOLA,BURHANUDDIN,KACHIA,90.74608,22.52028,2902,1
NAYIM BAZAR DAKHIL MADRASHA,101283,Madrasha,BHOLA,BURHANUDDIN,FULKACHIA,90.67772,22.51111,2903,1
DALALPUR  S J PARA  GIRLS  DAKHIL  MADRASHA,101285,Madrasha,BHOLA,BURHANUDDIN,DALALPUR,90.6775,22.43644,2904,1
PAKKHIA  DAKHIL  MADRASHA,101286,Madrasha,BHOLA,BURHANUDDIN,PAKSHIA,90.72747,22.44222,2905,1
MANIKA MOHILA DAKHIL MADRASHA,101287,Madrasha,BHOLA,BURHANUDDIN,PET MANIKA,90.70361,22.50664,2906,1
DAKHIN  DALALPUR  ISLAMIA  DAKHIL  MADRASHA,101289,Madrasha,BHOLA,BURHANUDDIN,DALALPUR,90.76375,22.43728,2907,1
HALIMA  KHATUN  MOHILA  DAKHIL  MADRASHA,101290,Madrasha,BHOLA,BURHANUDDIN,LAKSHMIPUR,90.75211,22.43261,2908,1
KULSUMBAG A. ZABBAR DAKHIL MADRASHA,101402,Madrasha,BHOLA,CHAR FASSON,KULSUM BAG,90.73178,22.49336,2910,1
WEST JINNAHGAR NURIA ALIM MADRASHA,101379,Madrasha,BHOLA,CHAR FASSON,JINNAGHAR,90.75114,22.22172,2911,1
AMINABAD ISLAMIA DAKHIL MADRASHA,101404,Madrasha,BHOLA,CHAR FASSON,AMINABAD(PART),90.78336,22.18322,2913,1
AMINABAD HAKIMIA DAKHIL MADRASHA,101384,Madrasha,BHOLA,CHAR FASSON,AMINABAD(PART),90.72542,22.16989,2914,1
SOUTH SHIVA JAMILA ISLAMIA DAKHIL MAD.,101389,Madrasha,BHOLA,CHAR FASSON,SHIBAR CHAR(PART),90.71328,22.1475,2915,1
ALIGAO AHAMADIA ISLAMIA ALIM MADRASHA,101407,Madrasha,BHOLA,CHAR FASSON,ALIGAON,90.69503,22.14642,2916,1
ASLAMPUR MOHAMMADIA DAKHIL MADRASHA,101390,Madrasha,BHOLA,CHAR FASSON,KHODEJABAGH,90.71353,22.16986,2917,1
AYSHA BAG ASLAM PUR ISLAMIA DAKHIL MADRASA,101409,Madrasha,BHOLA,CHAR FASSON,ASLAMPUR,90.68522,22.14689,2918,1
OMARPUR GAFURIA FAZIL MADRASAH,101368,Madrasha,BHOLA,CHAR FASSON,UMARPUR,90.75994,22.23564,2919,1
