inst name, eiin, inst_type, district, thana, mauza, long, lat, serial,isUnique
GOVT,SHAH SULTAN COLLEGE,119248,College,BOGRA,BOGRA SADAR,SULTANGANJ PARA,89.380203,24.819166,155,1
SYED AHMMED COLLEGE SUKHANPUKUR BOGRA,119548,College,BOGRA,GABTALI,SUKHAN PUKUR,89.480392,24.92807,156,1
SHARIAKANDI DEGREE COLLEGE,119713,College,BOGRA,SARIAKANDI,BALUHATA,89.570984,24.888773,157,1
SHAHID ZIA  DEGREE COLLEGE, BAGBARI BOGRA,119545,College,BOGRA,GABTALI,NASIPUR,89.376259,24.843502,158,1
BALUA HAT DEGRE COLLEGE,119951,College,BOGRA,SONATOLA,BARABALUA,89.482697,25.033695,159,1
SONAHATA DEGREE COLLEGE,119403,College,BOGRA,DHUNAT,SHIALI,89.540695,24.68005,160,1
GABTALI GOVT. COLLEGE,119546,College,BOGRA,GABTALI,JOYBHOGA (PART),89.45147,24.88181,161,1
TARANIR HAT degree  COLLEGE,132059,College,BOGRA,GABTALI,BALIA DIGHI,89.51921366,24.80471312,162,1
DURGAHATTA DEGREE COLLEGE,119549,College,BOGRA,GABTALI,DURGAHATA,89.52706773,24.84042117,163,1
SANTAHAR WOMEN'S COLLEGE,119156,College,BOGRA,ADAMDIGHI,SHANTAHAR BAZAR,88.98480199,24.81116403,165,1
SHAHID AHSANUL HAQUE DEGREE COLLEGE,119161,College,BOGRA,ADAMDIGHI,KALSA,88.99459147,24.8079192,166,1
SANTAHAR GOVT. COLLEGE bogra,119157,College,BOGRA,ADAMDIGHI,MALSON,88.98328646,24.80108203,167,1
HAZI TASER AHMMED WOMENS COOLEGE,119158,College,BOGRA,ADAMDIGHI,TALSON,89.04102446,24.8210146,168,1
ADAMDIGHI RAHIM UDDIN DEGREE COLLEGE,119160,College,BOGRA,ADAMDIGHI,ADAM DIGHI,89.03594373,24.82243803,169,1
JALAL UDDIN AHMED COLLEGE,119162,College,BOGRA,ADAMDIGHI,JHAKHAR,89.13542985,24.74727012,170,1
NASRATPUR DEGREE COLLEGE,119159,College,BOGRA,ADAMDIGHI,NASRATPUR,89.07351878,24.82286038,171,1
DR. ENAMUL HAQUE COLLEGE,119952,College,BOGRA,SONATOLA,UTTAR JORGACHHA,89.50832474,24.98715903,172,1
SHARIAKANDI ABDUL MANNAN MOHILA COLLEGE,119716,College,BOGRA,SARIAKANDI,DHAP UTTAR PURBA,89.57516899,24.89495189,173,1
GABTALI WOMENS  COLLEGE,119547,College,BOGRA,GABTALI,UNCHURKI (PART),89.44206,24.94867,176,1
SHAHID ZIA MODEL COLLEGE,119551,College,BOGRA,GABTALI,GABTALI (PART),89.45869,24.88072,177,1
TASLIM UDDIN TARAFDER DEGREE COLLEGE,119550,College,BOGRA,GABTALI,SONARAI MUCHIKHALI,89.42339,24.90728,178,1
KAHALOO DEGREE COLLEGE,119612,College,BOGRA,KAHALOO,JAMTALA,89.404,24.95417,180,1
KAHALOO ADARSHA WOMENS DERGEE COLLEGE,119613,College,BOGRA,KAHALOO,ULAT MAIDHA PARA,89.456,24.87667,181,1
AZIZUL HAQUE MEMORIAL DEGREE COLLEGE,119611,College,BOGRA,KAHALOO,AGHOR,89.2775,24.75861,182,1
DARGAHAT DEGREE COLLEGE,119614,College,BOGRA,KAHALOO,NARAHATTA,89.23497,24.86469,183,1
NIMAI DIGHI ADARSHA COLLEGE,119667,College,BOGRA,NANDIGRAM,NIMAI DIGHI,89.29953,24.89092,184,1
MONSUR  HOSSAIN DEGREE  COLLEGE,119665,College,BOGRA,NANDIGRAM,NANDIGRAM COLLEGE PARA,89.17406,24.78628,185,1
NANDIGRAM MOHILLA COLLEGE,119664,College,BOGRA,NANDIGRAM,NANDIGRAM COLLEGE PARA,89.24544,24.62881,187,1
HAT KARAI DEGREE COLLEGE,119666,College,BOGRA,NANDIGRAM,HATKARAI,89.20986,24.74847,188,1
DUPCHANCHIA J.K. DEGREE COLLEGE,119471,College,BOGRA,DHUPCHANCHIA,DHAP,89.18356,24.87944,189,1
DUPCHANCHIA MAHILA COLLEGE,119470,College,BOGRA,DHUPCHANCHIA,DHAP,89.17222,24.87375,190,1
