inst name, eiin, inst_type, district, thana, mauza, long, lat, serial,isUnique
BRAHMMANBARIA POURO DEGREE COLLEGE,103292,College,BRAHAMANBARIA,BRAHMANBARIA SADAR,MADHYA MEDDA + (POLICE LINE),91.102577,23.958723,232,1
BRAHMANBARIA GOVT. GIRLS COLLEGE,103291,College,BRAHAMANBARIA,BRAHMANBARIA SADAR,PAIK PARA(PART),91.104301,23.964371,233,1
CHARGAS N.I.BHUiYAN DEGREE COLLEGE,103378,College,BRAHAMANBARIA,KASBA,CHARGACHH,91.086357,23.811476,234,1
BANCHARAMPUR DEGREE COLLEGE,103200,College,BRAHAMANBARIA,BANCHHARAMPUR,JAGANNATHPUR G.C,90.796356,23.775921,235,1
SARAIL DEGREE COLLEGE,103488,College,BRAHAMANBARIA,SARAIL,KALIKACHCHHA,91.164162,24.09466,236,1
KASBA MOHILA DEGREE COLLEGE,103379,College,BRAHAMANBARIA,KASBA,KASBA (PART-03),91.125992,23.747028,237,1
SUR SAMRAT ALAUDDIN KHAN COLLEGE,103441,College,BRAHAMANBARIA,NABINAGAR,SHIBPUR,91.03546117,23.87397264,238,1
NABINAGAR MAHILA COLLEGE,103437,College,BRAHAMANBARIA,NABINAGAR,NABINAGAR MADHYA,90.96917612,23.8867092,239,1
NABINAGAR GOVT  COLLAGE,103438,College,BRAHAMANBARIA,NABINAGAR,NABINAGAR MADHYA,90.96859003,23.88525689,240,1
BRAHMANBARIA GOVT. COLLEGE,103294,College,BRAHAMANBARIA,BRAHMANBARIA SADAR,BAZAR AREA,91.11252453,23.96667251,241,1
KAZI MOHAMMAD SHAFIQUL ISLAM DEGREE MOHABIDDALAYA,103290,College,BRAHAMANBARIA,BIJOYNAGAR,ISLAMPUR,91.2632518,24.07658047,242,1
Alhaj BEGUM NURUNNNAHAR COLLEGE,132032,College,BRAHAMANBARIA,BRAHMANBARIA SADAR,NARASINGHESWAR,91.06225011,23.97173401,243,1
A MONEM COLLEGE,103296,College,BRAHAMANBARIA,BRAHMANBARIA SADAR,BIJESHWAR,91.0954756,23.94871991,244,17
SLAIMGONJ COLLEGE,103440,College,BRAHAMANBARIA,NABINAGAR,BARAIL,90.84975756,23.84646381,247,1
ARUAIL ABDUS SATTAR COLLEGE,103489,College,BRAHAMANBARIA,SARAIL,BADE AORAIL,91.17633,24.05167,250,1
NASIRNAGAR DEGREE COLLEGE,103464,College,BRAHAMANBARIA,NASIRNAGAR,NASIRNAGAR,91.11683,24.09467,251,1
CHATALPAR COLLEGE,103465,College,BRAHAMANBARIA,NASIRNAGAR,JOYNAGAR,91.16786,24.23589,252,1
KASBA T.ALI university COLLEGE,103381,College,BRAHAMANBARIA,KASBA,ARIBARI(PART-01),91.05814,24.20975,253,1
MIA ABDULLAH WAZED WOMENS DEGREE COLLEGE,103380,College,BRAHAMANBARIA,KASBA,KUTI,91.09331,23.84342,254,1
GOPINATHPUR AL-HAJ SHAH ALAM COLLEGE,103384,College,BRAHAMANBARIA,KASBA,GOPINATHPUR,91.12375,23.70389,255,1
ADaRSHA DEGREE COLLEGE,103382,College,BRAHAMANBARIA,KASBA,SAIDABAD,91.17511,23.76992,256,1
BAYEK AL HAJ SHAH ALAM COLLEGE,103385,College,BRAHAMANBARIA,KASBA,BAYEK,91.16872,23.80172,257,1
KALSHER NAYEEMA ALAM MOHILA COLLEGE,103377,College,BRAHAMANBARIA,KASBA,KALSAR,91.15167,23.68308,258,1
ABBAS UDDIN KHAN SHOHAGPUR MODEL COLLEGE,131980,College,BRAHAMANBARIA,ASHUGANJ,SOHAGPUR,91.04967,24.04178,259,1
FIROZ MIAh DEGREE COLLEGE,103295,College,BRAHAMANBARIA,ASHUGANJ,JATRAPUR,91.04933,24.05147,260,1
SHAHEED SMRITI COLLEGE AKHAWRA,103169,College,BRAHAMANBARIA,AKHAURA,DAKSHIN RADHANAGAR,91.21422,23.81058,261,1
BAISH MOUZA SOBHANIA DAKHIL MADRASAH,103436,Madrasha,BRAHAMANBARIA,NABINAGAR,BIRGAON,90.97189716,23.95077565,3405,1
LAUR FOTEHPUR TOJUMIA ISLAMIA ALIM MADRASAH,103428,Madrasha,BRAHAMANBARIA,NABINAGAR,LAUR FATEHPUR,91.03259046,23.87032443,3406,3
NABINAGA HAZRAT AMENA(R:) POURO MOHELA DAKHIL MAD.,103434,Madrasha,BRAHAMANBARIA,NABINAGAR,PASCHIM NABINAGAR,90.94998808,23.89989811,3407,2
SHIBPUR UNION ISLAMIA DAKHIL MADRASHA,103435,Madrasha,BRAHAMANBARIA,NABINAGAR,SHIBPUR,91.03259046,23.87032443,3408,3
GOPAL PUR SUFIA KHURSHEDIA DAKHIL MADRASAH,103427,Madrasha,BRAHAMANBARIA,NABINAGAR,GOPALPUR,90.94036383,23.86584047,3409,1
NARAYONPUR  D,S  FAZIL  MADRASA,103424,Madrasha,BRAHAMANBARIA,NABINAGAR,UTTAR NARAYANPUR,90.96792818,23.89053889,3410,1
MAIJKHAR MAHBUBUL ULOM DAKHIL MADRASAH,103364,Madrasha,BRAHAMANBARIA,KASBA,BAGAIR,91.09331909,23.72288462,3411,1
BHADUGHAR DARUSSUNNAH KAMIL MADRASHA,103271,Madrasha,BRAHAMANBARIA,BRAHMANBARIA SADAR,FULBARIA,91.12466285,23.95080377,3412,1
FAZLUL HOQUE BOHUMUKHI MOHILA DAKHIL MADRASHA,103288,Madrasha,BRAHAMANBARIA,BRAHMANBARIA SADAR,PASCHIM MEDDA,91.10206569,23.98373467,3413,1
GHATIARA ALIM  MADRASAH,103287,Madrasha,BRAHAMANBARIA,BRAHMANBARIA SADAR,GHATIARA,91.0954756,23.94871991,3414,17
KODDA GAWSIA DAKHIL MADRASAH,103285,Madrasha,BRAHAMANBARIA,BRAHMANBARIA SADAR,KODDA,91.0954756,23.94871991,3415,17
AL-HAJ AMENA BEGUM DARUL QURAN DAKHIL MADRASHA,103289,Madrasha,BRAHAMANBARIA,BIJOYNAGAR,ISLAMPUR,91.26596912,24.07708987,3416,1
KENA ISLAMIA ALIM  MADRASAH,103286,Madrasha,BRAHAMANBARIA,BIJOYNAGAR,CHANDURA,91.25449084,24.06556419,3417,1
MUHAMMAD PUR SONNIA ALIM MADRASHA,103278,Madrasha,BRAHAMANBARIA,BIJOYNAGAR,MAMUDPUR,91.1810928,24.0048546,3418,1
BRAHMANBARIA ISLAMIA DAKIL MADRASHA,103280,Madrasha,BRAHAMANBARIA,BRAHMANBARIA SADAR,PASCHIM MEDDA,91.10439315,23.98316754,3419,1
SREEPUR ISLAMIA ALIM  MADRASAH,103273,Madrasha,BRAHAMANBARIA,BIJOYNAGAR,SREEPUR,91.2120583,23.93617148,3420,1
HAZIPUR ISLAMAI SUNNIA DAHKIL MADRASAH,103282,Madrasha,BRAHAMANBARIA,BIJOYNAGAR,HAJIPUR,91.10113486,23.96947543,3421,1
