inst name, eiin, inst_type, district, thana, mauza, long, lat, serial,isUnique
ROYMONEN NESSA MAHILA COLLEGE,103885,College,CHANDPUR,MATLAB DAKSHIN,CHAR MUKUNDI,90.706177,23.349787,262,1
KACHUA BANGAbANDHU DEGREE COLLEGE,103837,College,CHANDPUR,KACHUA,PASCHIM KORESH,90.88903,23.341408,263,1
NARAYAN PUR DEGREE COLLEGE,103884,College,CHANDPUR,MATLAB DAKSHIN,DAULATPUR,91.92147,22.10381,264,2
SENGAR CHAR  COLLAGE,103940,College,CHANDPUR,MATLAB UTTAR,CHANGAR CHAR BAZAR,91.94258,21.94539,265,2
MUNSHI AZIMUDDIN COLLEGE,103888,College,CHANDPUR,MATLAB UTTAR,ENAYETNAGAR,90.70773,23.43588,266,1
SUJATPUR COLLEGE,103939,College,CHANDPUR,MATLAB UTTAR,SUJATPUR,90.68501,23.39523,267,1
PURAN BAZAR DEGREE COLLEGE,103569,College,CHANDPUR,CHANDPUR SADAR,HAZI SARIAT ULLHA ROAD(PURBAPT,90.83189,23.19089,268,1
CHANDPUR GOVT. COLLEGE, CHANDPUR,103568,College,CHANDPUR,CHANDPUR SADAR,PIR BADSHAMIA ROAD,90.64869,23.22192,269,1
CHANDPUR GOVT.MAHILA COLLEGE,103570,College,CHANDPUR,CHANDPUR SADAR,MAHILA COLEGE ROAD,90.7175,23.21475,270,1
FARAKKABAD degree COLLEGE,103572,College,CHANDPUR,CHANDPUR SADAR,DURGATI,90.65922,23.23158,271,1
JILANI CHISTY COLLEGE,103571,College,CHANDPUR,CHANDPUR SADAR,BARA SAHATALI,90.692,23.18581,272,1
FARIDGaNJ Bangabandhu  DEGREE  COLLEGE,103674,College,CHANDPUR,FARIDGANJ,KASIARA,90.67039,23.21806,273,1
KALIR BAZAR COLLEGE,103676,College,CHANDPUR,FARIDGANJ,GAZARIA,90.69867,23.09358,274,1
GRIDAKALINDIA HAZERA HASMATE DEGRE COLLAGE,103673,College,CHANDPUR,FARIDGANJ,SAHEBGANJ,90.78628,23.119,275,1
HAIMCHAR COLLEGE,103701,College,CHANDPUR,HAIM CHAR,PURBA CHAR KRISHNAPUR,90.65286,23.09155,276,1
NASIRKOTE SHAHID SMRITI COLLEGE,103755,College,CHANDPUR,HAJIGANJ,NASIRKOT,90.814,23.25444,277,1
HAZIGONJ MODEL COLLEGE,103758,College,CHANDPUR,HAJIGANJ,PURBA MAKIMABAD,90.77256,23.26427,278,1
DHADDA MOAZZEM HOSSAIM CHOWDHURY DEGREE COLLEGE,103753,College,CHANDPUR,HAJIGANJ,DHADDA,90.79365,23.27357,279,1
DESHGAON DEGREE COLLEGE,103754,College,CHANDPUR,HAJIGANJ,DESHGAON,90.85453,23.28427,280,1
HAJIGONJ DEGREE COLLEGE,103757,College,CHANDPUR,HAJIGANJ,BETIA PARA,90.81712,23.23053,281,1
 balalkhal MAQBUL AHMED DEGREE COLLEGE,103756,College,CHANDPUR,HAJIGANJ,PURBA BALAKHAL,90.82606,23.22827,282,1
SHEIKH MUJIBUR RAHMAN DEGREE COLLEGE,103838,College,CHANDPUR,KACHUA,SAHARPAR,90.95866,23.31888,283,1
NURUL AZAD COLLEGE,103836,College,CHANDPUR,KACHUA,MANPUR,90.96151,23.335,284,1
SACHAR   COLLEGE,103835,College,CHANDPUR,KACHUA,SACHAR,90.84201,23.34061,285,1
PALAKHAL RUSTAM ALI DEGREE COLLEGE,103834,College,CHANDPUR,KACHUA,PALAKHAL,90.84031,23.43587,286,1
MATLAB DEGREE COLLEGE,103887,College,CHANDPUR,MATLAB DAKSHIN,DAKSHIN BAISHPUR,90.82449,23.39313,287,1
MUNSHIRHAT COLLEGE,103886,College,CHANDPUR,MATLAB DAKSHIN,DAKSHIN PASCHIM DIGHALDI,90.70607,23.34864,288,1
KARFULENNESSA WOMEN'S Degree COLLEGE (RESIDENTIAL),103999,College,CHANDPUR,SHAHRASTI,NAORA,90.77092,23.37255,289,1
CHITOSHI DEGREE COLLEGE,104001,College,CHANDPUR,SHAHRASTI,CHANDAL,90.94947,23.22993,290,1
SUCHIPARA DEGREE COLLEGE,103998,College,CHANDPUR,SHAHRASTI,SUCHI PARA,90.97704,23.21611,291,1
MEHAR DEGREE COLLEGE,104000,College,CHANDPUR,SHAHRASTI,UPALATA (PACHIM),90.9107,23.24719,292,1
AWLIA BAG DAKHIL MADRASHA,131737,Madrasha,CHANDPUR,MATLAB UTTAR,PALALOKDI,91.93806,21.92711,3474,2
FARAZI KANDI oWiSIA kAmIA MADRASA,103929,Madrasha,CHANDPUR,MATLAB UTTAR,BARA CHARKALIA,90.62347,23.45952,3475,1
NEDAE ISLAM MOHOLA FAZIL MADRASHA,103933,Madrasha,CHANDPUR,MATLAB UTTAR,BARA CHARKALIA,90.62995,23.45461,3476,1
LABAIR   KANDI  AL- AMIN  ALIM  MADRASHA,103931,Madrasha,CHANDPUR,MATLAB UTTAR,MUNSHIRKANDI,90.63903,23.35616,3477,1
RASUL PUR  HAZI  CHAN BOX  SARKER  DAKHIL  MADRASHA,103926,Madrasha,CHANDPUR,MATLAB UTTAR,DAKURKANDI,90.70655,23.37446,3478,1
HASHIMPUR AHMADIA SIDDIQIA ALIM MADRASA,103932,Madrasha,CHANDPUR,MATLAB UTTAR,EKLASPUR,90.65695,23.44644,3479,1
SHARE PANCHANI HOSSAINIA FAZIL MADRASA,103928,Madrasha,CHANDPUR,MATLAB UTTAR,SARE PANCHANI,90.61044,23.38301,3480,1
DASHANI  AL-AMIN  BORHANUL  ULUM  DAKHIL  MADRASHA,103934,Madrasha,CHANDPUR,MATLAB UTTAR,NILER CHAR,90.62379,23.38588,3481,1
BADARPUR ADMIA   FAZIL MADRASHA,103930,Madrasha,CHANDPUR,MATLAB UTTAR,BADARPUR,90.60709,23.40922,3482,1
