inst name, eiin, inst_type, district, thana, mauza, long, lat, serial,isUnique
CHITTAGONG GOVT. WOMENS COLLEGE,104710,College,CHITTAGONG,KHULSHI,KAIBALLYA DHAM,91.823456,22.361052,293,1
OMARGANI M. E. S. COLLEGe,104300,College,CHITTAGONG,DOUBLE MOORING,UTTAR PATHANTULI (PART),91.817284,22.360235,294,1
HATHAZARI COLLEGE,104464,College,CHITTAGONG,HATHAZARI,FATIKA,91.813103,22.501629,295,1
BOALKHALI HAZI MD.NURUL HOQUE DEGREE COLLEGE,104153,College,CHITTAGONG,BOALKHALI,SAKPURA,91.920074,22.357021,296,1
ANWARA DEGREE COLLEGE,104038,College,CHITTAGONG,ANOWARA,ANOWARA,91.90715,22.221909,297,1
SHAH MOHSEN AULIA DEGREE COLLEGE,104037,College,CHITTAGONG,ANOWARA,BATTALI,91.85981,22.203625,298,1
NIZAMPUR COLLEGE,104662,College,CHITTAGONG,MIRSHARAI,MAIJGAON,91.573235,22.773804,299,1
PAHATALI COLLEGE,104537,College,CHITTAGONG,KHULSHI,WIRELESS COLONY,91.775581,22.34527,300,1
ASAKANE AOULIA DEGREE COLLEGE,104709,College,CHITTAGONG,BAYEJID BOSTAMI,JANGAL DAKSHIN PAHAR,91.828178,22.393682,301,1
JARINA MOFZAL CITY CORPORATIN COLLEGE,104260,College,CHITTAGONG,CHITTAGONG PORT,MUNSHI PARA,91.775772,22.300194,302,1
HEAKHOW BANANI DEGREE COLLEGE,104393,College,CHITTAGONG,FATIKCHHARI,DANTMARA,91.70547,22.83008,304,1
FATICKCHARI DEGREE COLLEGE,104389,College,CHITTAGONG,FATIKCHHARI,UTTAR DHURUNG (PART),91.67681,22.899,305,1
ISAPUR B.M.C. COLLEGE,104390,College,CHITTAGONG,FATIKCHHARI,JAHANPUR,91.80739,22.61958,306,1
NANUPUR LAILA KABIR COLLAGE,104392,College,CHITTAGONG,FATIKCHHARI,NANUPUR,91.84294,22.63328,307,1
NARAYAN HAT ADARSH DEGREE COLLEGE,104391,College,CHITTAGONG,FATIKCHHARI,JUJKHALA,91.84569,22.62825,308,1
SATKANIA GOVT. COLLEGE,105061,College,CHITTAGONG,SATKANIA,DAKSHIN CHARPARA,92.04878,22.08294,309,1
COLONEL (RTD) OLI AHMED BIR BIKROM COLLEGE,105060,College,CHITTAGONG,SATKANIA,BAZALIA,92.03447,22.09725,310,1
AL HELAL ADARSHA DEGREE COLLEGE,105058,College,CHITTAGONG,SATKANIA,TULATALI,92.12944,22.12844,311,1
UTTAR SATKANIA ZAFAR AHMED CHY COLLAGE,105057,College,CHITTAGONG,SATKANIA,RASULABAD,91.99456,22.13919,312,1
SATKANIA ADARSHA  MAHILA  COLLEGE,105059,College,CHITTAGONG,SATKANIA,UTTAR CHARPARA,92.07431,22.01611,313,1
BAKALIA SHAHEED N.M.M.J. COLLEGE,104236,College,CHITTAGONG,BAKALIA,DAKSHIN BAKULIA,92.06956,22.02328,314,1
FATEYABAD COLLEGE,104050,College,CHITTAGONG,HATHAZARI,MADHYA PAHARTALI,91.80056,22.42558,315,1
K.C.SHAHEED ZIAUR RAHAMAN COLLEGE,104467,College,CHITTAGONG,HATHAZARI,KHANDAKIYA,91.83406,22.43128,316,1
KATIR HAT MOHILA COLLEGE,104463,College,CHITTAGONG,HATHAZARI,PASCHIM DHALAI,91.79464,22.60125,317,1
NAZIRHAT COLLEGE,104466,College,CHITTAGONG,HATHAZARI,PURBBA MANDAKINI,91.79497,22.47447,318,1
QUAISH BURISCHAR  SK. MOHD. CITY CORPORATION COLLEGE,104465,College,CHITTAGONG,HATHAZARI,KUAIS,91.79197,22.55461,319,1
GOVT. SIR ASHUTOSH COLLEGE,104152,College,CHITTAGONG,BOALKHALI,DHARALA,91.97783,22.36592,320,1
KADHUR KHIL JALIL AMBIA COLLEGE,104154,College,CHITTAGONG,BOALKHALI,KANDHURKHIL,91.92256,22.37494,321,1
BOALKHALI SIRAJUL ISLAM DEGREE COLLEGE,104155,College,CHITTAGONG,BOALKHALI,PURBA GOMDANDI,91.92217,22.38839,322,1
AMANAT SAFA BADR UNNESA MOHILLA DEGREE COLLEGE,104201,College,CHITTAGONG,CHANDANAISH,CHANDANAISH (PART),91.90406,22.357,324,1
BARAIYA HAT COLLEGE,104659,College,CHITTAGONG,MIRSHARAI,AZAMNAGAR(PART),91.98831,22.40317,325,1
PROFESSOR KAMAL UDDIN CHOWDHURY COLLEGE,104660,College,CHITTAGONG,MIRSHARAI,PASCHIM MAYANI,91.50286,22.81139,326,1
MIRSARAI COLLEGE,104661,College,CHITTAGONG,MIRSHARAI,PURBA MAGHADIA (PART),91.55572,22.7455,327,1
ZORWARGONG MOHILA COLLEGE,104658,College,CHITTAGONG,MIRSHARAI,SONAPAHAR,91.62183,22.68283,328,1
LATIFA SIDDIQUI DEGREE COLLEGE,105114,College,CHITTAGONG,SITAKUNDA,MACHIGIDDA,91.65561,22.60047,329,1
BIJOY SMARANI DEGREE COLLEGE,105113,College,CHITTAGONG,SITAKUNDA,BHATIARI,91.70253,22.52122,330,1
SITAKUND DEGREE COLLEGE,105112,College,CHITTAGONG,SITAKUNDA,CHOWDHURY PARA (PREMTALA),91.68103,22.56464,331,1
KHALILUR RAHMAN MOHILA COLLEGE,104777,College,CHITTAGONG,PATIYA,SUCHAKRADANDI (PART),91.66975,22.62611,332,1
PATIYA GOVT COLLEGE,104778,College,CHITTAGONG,PATIYA,PATIYA PURBA (PART),91.64922,22.64006,333,1
HULAIN SALEH NOOR DEGREE COLLAGE,104779,College,CHITTAGONG,PATIYA,HULAIN,91.94897,22.32261,334,1
MUZAFARABAD COLLEGE,104782,College,CHITTAGONG,PATIYA,MUZAFARABAD,91.94583,22.27428,335,1
MUZAFARABAD JASHODA NAGENDRA NANDI RESIDENTIAL WOMEN COLLEGE,104780,College,CHITTAGONG,PATIYA,MUZAFARABAD,91.92103,22.27892,336,1
PASCHIM PATIYA A.J.CHOWDHURY DEGREE COLLEGE,104485,College,CHITTAGONG,PATIYA,SIKALBAHA,91.90511,22.31589,337,1
KHALIL MIR DEGREE COLLEGE,104783,College,CHITTAGONG,PATIYA,SAIDAIR,91.85992,22.28292,338,1
BARAMA COLLEGE,104199,College,CHITTAGONG,CHANDANAISH,BARAMA,91.96644,22.19256,339,1
GACHHBARIA GOVT COLLEGE,104200,College,CHITTAGONG,CHANDANAISH,GACHHBARIA (PART),92.06889,22.16733,340,1
SATBARIA OLI AHMED BIR BIKRAM COLLEGE,104202,College,CHITTAGONG,CHANDANAISH,SATBARIA,92.01778,22.24764,341,1
SOUTH RANGUNIA SHILAK GIRLS COLLEGE,104852,College,CHITTAGONG,RANGUNIA,SILAK,92.01636,22.17708,342,1
M. SHAH ALAM CHOWDHURY DEGREE COLLEGE,104849,College,CHITTAGONG,RANGUNIA,SILAK,92.03733,22.17514,343,1
GOHIRA COLLEGE,104933,College,CHITTAGONG,RAOZAN,DALAINAGAR,92.02422,22.17331,344,1
KUNDESWARI BALIKA MOHAVIDYALAYA,104928,College,CHITTAGONG,RAOZAN,GOHIRA (PART),92.01694,22.17592,345,1
RAOZAN COLLEGE,104931,College,CHITTAGONG,RAOZAN,SULTANPUR (PART),91.86903,22.52222,346,1
HAJEE BADSHA MABEYA COLLEGE,104936,College,CHITTAGONG,RAOZAN,BAGOAN,91.943,22.53753,347,1
AGRASARA GIRL'S DEGREE COLLEGE,104934,College,CHITTAGONG,RAOZAN,PURBA GUZARA,91.94525,22.48039,348,1
HAZRAT YASIN SHAH PUBLIC COLLEGE,104929,College,CHITTAGONG,RAOZAN,YACHHIN NAGAR,91.89539,22.60236,349,1
NOAPARA DEGREE COLLEGE,104932,College,CHITTAGONG,RAOZAN,NOAPARA,91.86333,22.55511,350,1
IMAM GAZZALI DEGREE COLLEGE,104930,College,CHITTAGONG,RAOZAN,PAHARTALI,91.89053,22.41822,351,1
ASHALATA COLLEGE,104935,College,CHITTAGONG,RAOZAN,URKIRCHAR,91.88567,22.43869,352,1
RANGUNIA HASINA JAMAL degree  COLLEGE,104850,College,CHITTAGONG,RANGUNIA,RANGUNIA,91.88831,22.44539,353,1
RAJANAGAR RANIRHAT DEGREE COLLEGE,104848,College,CHITTAGONG,RANGUNIA,MADHYA GHAGRA,92.11836,22.55047,354,1
UTTAR RANGUNIA COLLEGE,104845,College,CHITTAGONG,RANGUNIA,LALANAGAR,92.04219,22.57172,355,1
RANGGUNIA MOHILA COLLEGE,104851,College,CHITTAGONG,RANGUNIA,PASCHIM SAIDBARI,92.07297,22.5625,356,1
RANGUNIA COLLEGE,104844,College,CHITTAGONG,RANGUNIA,SAIDBARI,92.07886,22.45625,357,1
SOUTH RANGUIA PADUA COLLAGE,104846,College,CHITTAGONG,RANGUNIA,PADUA,92.07353,22.46064,358,1
SYEDA SELIMA QADER CHOWDHURY MOHILA COLLEGE,104847,College,CHITTAGONG,RANGUNIA,POMARA,92.05094,22.52439,359,1
MUSTAFIZUR RAHMAN (DEG)COLLEGE,104982,College,CHITTAGONG,SANDWIP,BAURIA,91.46175,22.48925,360,1
ABUL QUASEM HAIDER MOHILA COLLEGE,104981,College,CHITTAGONG,SANDWIP,HARAMIA,91.46783,22.50547,361,1
UTTAR SANDVIP COLLEGE,104979,College,CHITTAGONG,SANDWIP,KALAPANIA,91.44156,22.51075,362,1
SOUTH SANDWIP COLLEGE,104978,College,CHITTAGONG,SANDWIP,MAITBHANGA,91.51092,22.42672,363,1
GOVT. HAJI A.B. COLLEGE,104980,College,CHITTAGONG,SANDWIP,MUSAPUR,91.49231,22.43469,364,1
HAZERA TAJU DEGREE COLLEGE,104237,College,CHITTAGONG,CHANDGAON,DAKSHIN CHANDGAON KAZIR DEYEA,91.87906,22.40147,365,1
ALaOL DEGREE COLLEGE,104102,College,CHITTAGONG,BANSHKHALI,UTTAR NEAJOR PARA,91.92075,21.90044,367,1
BANSKHALI (DEGREE) COLLEGE,131885,College,CHITTAGONG,BANSHKHALI,JUNGLE GUNAGARI,91.94931,22.01083,368,1
MASTER NAZIR AHAMED COLLEGE,131852,College,CHITTAGONG,BANSHKHALI,SEKHERKHIL,91.88561,22.10347,369,1
BARA AULIA DEGREE  COLLEGE,104589,College,CHITTAGONG,LOHAGARA,AMIRABAD,92.11242,22.02681,370,1
CHUNaTI MOHILA COLLeGE,104590,College,CHITTAGONG,LOHAGARA,CHUNATI,92.06269,21.99522,371,1
ALHAJ MOSTAFIZUR RAHMAN COLLEGE,104588,College,CHITTAGONG,LOHAGARA,LOHAGARA,92.13539,22.00383,372,1
BARRISTER SULTAN AHMEDCHOWBHURY DEGREE COLLEGE,104261,College,CHITTAGONG,CHITTAGONG PORT,DAKSHIN HALISHAHAR (PART),91.80611,22.36669,373,1
ISLAMIA DEGREE GOLLEGE,104299,College,CHITTAGONG,DOUBLE MOORING,DAROGA HAT,91.80239,22.32375,374,1
GOVT. COLLEGE OF COMMERCE,104302,College,CHITTAGONG,DOUBLE MOORING,BANGLADESH BANK COLONY,91.81261,22.33317,375,2
GOVT.  CITY  COLLEGE,CTG (DAY  AND  NIGHT),104301,College,CHITTAGONG,DOUBLE MOORING,UTTAR NALAPARA,91.81647,22.33017,376,1
AGRABAD MOHILA COLLeGE,104303,College,CHITTAGONG,DOUBLE MOORING,C. D. A.,91.82647,22.32933,377,1
UTTAR KATLI AL-HAJ MOSTAFA -HAKIM DEGREE COLLEGE,104688,College,CHITTAGONG,PAHARTALI,UTTAR KATTALI,91.77572,22.37083,378,1
DR.FAZLUL HAJERA DEGREE COLLEGE,104687,College,CHITTAGONG,PAHARTALI,DAKSHIN KAT TALI(PART),91.77114,22.37386,379,1
GOVT.CHITTAGONG COLLEGE,104532,College,CHITTAGONG,KOTWALI,CHAK BAZAR,91.83667,22.35147,380,1
KAPASGOLA CITY CORPARATION MOHILA COLLEGE,132060,College,CHITTAGONG,KOTWALI,CHAK BAZAR,91.83819,22.3515,381,1
GOVT HAJI MOHD MOHSIN COLLEGE CTG,104527,College,CHITTAGONG,KOTWALI,CHAK BAZAR,91.835,22.35058,382,1
CHITAGONG METROPOLITON COMMERCE COLLEGE,104531,College,CHITTAGONG,KOTWALI,BAG MONIRAM,91.83525,22.35275,383,1
Mahila college chattagram,104528,College,CHITTAGONG,KOTWALI,TERI BAZAR (FORHAD BAGBAG LALE,91.8345,22.34789,384,1
PATHARGHATA MOHILA COLLEGE,104529,College,CHITTAGONG,KOTWALI,POLO GROUND,91.83717,22.33139,385,1
