inst name, eiin, inst_type, district, thana, mauza, long, lat, serial,isUnique
CHUADANGA GOVT. COLLEGE,115383,College,CHUADANGA,CHUADANGA SADAR,BUJRUK GARGARI C & B PARA,88.843903,23.644394,387,1
M S ZOHA COLLEGE,115329,College,CHUADANGA,ALAMDANGA,HARDI,88.936508,23.76133,388,1
DARSANA GOVT. COLLEGE,115428,College,CHUADANGA,DAMURHUDA,DAMURHUDA,88.80027,23.514225,389,1
ABDUL WADUD SHAH DEGREE COLLEGE,115429,College,CHUADANGA,DAMURHUDA,HOWLI,88.776443,23.605804,390,1
NIGAR SIDDIK DEGREE COLLEGE,115331,College,CHUADANGA,ALAMDANGA,SONATANPUR,88.90180995,23.72242994,391,1
KHASH KARARA COLLEGE,115333,College,CHUADANGA,ALAMDANGA,KHASKARARA CHAK,88.97304047,23.65407276,392,1
DR. AFSAR UDDIN COLLEGE,115334,College,CHUADANGA,ALAMDANGA,KHADIMPUR,88.8028412,23.69511812,393,1
ALAMDANGA COLLEGE,115330,College,CHUADANGA,ALAMDANGA,COLLEGE PARA EAST,88.94698054,23.75800203,394,1
ALAMDANGA MOHILA DEGREE COLLEGE,115332,College,CHUADANGA,ALAMDANGA,ALAMDANGA NORTH,88.94032432,23.76426166,395,1
JIBONNAGAR ADARSHA MOHILLA COLLEGE,115462,College,CHUADANGA,JIBAN NAGAR,DANGAPARA,88.82340124,23.43388385,396,1
JIBAN NAGAR DEGREE COLLEGE,115461,College,CHUADANGA,JIBAN NAGAR,COLLEGE PARA,89.41489,23.17583,397,1
UTHALI COLLEGE,115463,College,CHUADANGA,JIBAN NAGAR,UTHALI,88.83867,23.45697,398,1
ADARSHA GOVT. MAHILA COLLEGE,115384,College,CHUADANGA,CHUADANGA SADAR,BUJRUK GARGARI C & B PARA,88.73153,23.54772,399,1
CHUDANGA POURA COLLEGE,115382,College,CHUADANGA,CHUADANGA SADAR,TALTALA (PART) (PASHURHAT),88.81358,23.53397,400,1
BADARGANJ DEGREE COLLEGE,115381,College,CHUADANGA,CHUADANGA SADAR,ALIARPUR,88.95539,23.60475,401,1
BORO SALUA NEW MODEL COLLEGE,115380,College,CHUADANGA,CHUADANGA SADAR,BARA SALUA,88.89972,23.52925,402,1
SAMPUR ISLAMIA DAKIL MADRASHA,115324,Madrasha,CHUADANGA,ALAMDANGA,SHYAMPUR,88.90827814,23.76653906,3922,1
OSMANPUR PRAGPUR SIDDIQIA FAZIL MADRASAH,115320,Madrasha,CHUADANGA,ALAMDANGA,OSMANPUR,88.90484788,23.82463878,3923,1
NATIDANGA DAKHIL MADRASHA,115328,Madrasha,CHUADANGA,ALAMDANGA,NATIDANGA,88.86985841,23.73414239,3924,1
BHANGBARIA DAKHIL MADRASHA,115322,Madrasha,CHUADANGA,ALAMDANGA,BHANGABARIA,88.85186871,23.80747865,3925,1
ALAMDANGA SIDDIQUIA ALIM MADRASAH,115319,Madrasha,CHUADANGA,ALAMDANGA,GOBINDAPUR MIDDLE,88.94541332,23.75683897,3926,1
UMMUL MUMINUN ALAMDANGA DAKHIL GIRLS MADRASHA,131513,Madrasha,CHUADANGA,ALAMDANGA,BANDOBIL WEST,88.94042073,23.76282483,3927,1
DINGADAH DAKHIL MADRASHA,115376,Madrasha,CHUADANGA,CHUADANGA SADAR,MANIKDIHI,88.8920657,23.60763332,3928,1
DAMUR HUDA D.S.DAKHIL MADRASAH,115420,Madrasha,CHUADANGA,DAMURHUDA,DAMURHUDA,88.78258242,23.60756592,3929,1
KUNIA CHANDPUR SIDDIKIA DAKHIL MADRASAH,115418,Madrasha,CHUADANGA,DAMURHUDA,UTTAR CHANDPUR,88.71480192,23.59779159,3930,1
GOPAL PUR DAKHIL MADRASAH,115427,Madrasha,CHUADANGA,DAMURHUDA,GOPALPUR,88.76470356,23.6722158,3931,1
PANKA DARUS SALAM DAKHIL MADRASHA,115460,Madrasha,CHUADANGA,JIBAN NAGAR,PANKA,88.94119159,23.48265754,3932,1
 ANDULBARIA ASHRAFIA DAKHIL MADRASAH,115457,Madrasha,CHUADANGA,JIBAN NAGAR,ANDULBARIA,88.89272143,23.48583624,3933,1
MADHABPUR ISLAMIA DAKHIL MADRASAH,115456,Madrasha,CHUADANGA,JIBAN NAGAR,MADHABPUR,88.88980487,23.43020452,3934,1
NEHINQUNDU BARANDI DAKHIL MADRASAH,115458,Madrasha,CHUADANGA,JIBAN NAGAR,BARANDI,88.9171215,23.45092812,3935,1
JIBAN NAGAR UPAZILA ALIM MADRASHA,115454,Madrasha,CHUADANGA,JIBAN NAGAR,COURT PARA,89.3484,23.17439,3936,1
