inst name, eiin, inst_type, district, thana, mauza, long, lat, serial,isUnique
COMILLA VICTORIA GOVT. COLLEGE,105822,College,COMILLA,COMILLA ADARSHA SADAR,FIRST KANDIRPAR (PART),91.165611,23.459948,403,1
COMILLA  GOVT.  COLLEGE,105824,College,COMILLA,COMILLA ADARSHA SADAR,RACHCOURSE+POLICE LINE,91.173141,23.465664,404,1
COMILLA GOVT. MAHILA COLLEGE,105821,College,COMILLA,COMILLA ADARSHA SADAR,DAKSHIN CHARTA,91.183006,23.456902,405,1
DEBIDAR AL-HAJ ZOBEDA KHATUN MOHILA COLLEGE,105665,College,COMILLA,DEBIDWAR,DEBIDWAR,90.977913,23.611208,406,1
HOMNA DEGREE COLLEGE,105698,College,COMILLA,HOMNA,HOMNA (PART),90.772217,23.682753,407,1
CHOUDDAGRAM GOVT. COLLEGE COMILLA,105513,College,COMILLA,CHAUDDAGRAM,SREEPUR,91.312004,23.230078,408,1
JURANPUR ADARSHA DEGREE COLLEGE,105578,College,COMILLA,DAUDKANDI,JURANPUR,90.740509,23.494835,409,1
COMILLA  AJIT  GUHA  COLLEGE,105820,College,COMILLA,COMILLA ADARSHA SADAR,BAZRAPUR (PART),91.188881,23.462357,410,1
HAYDARABAD BEGUM JAHANARA HOQUE DEGREE COLLEGE,106062,College,COMILLA,MURADNAGAR,HAIDARABAD,90.93071,23.638805,411,1
SREE KAIL COLLEGE,106069,College,COMILLA,MURADNAGAR,SREEKAIL,90.947838,23.714903,412,1
CHAD MIA MOLLA DEGREE COLLEGE,106063,College,COMILLA,MURADNAGAR,BARA ALIRCHAR,90.864349,23.643797,413,1
SHAH  SHARIf  DEGREE  COLLEGE,105959,College,COMILLA,MANOHARGANJ,SAT PUKURIA,91.021255,23.187805,414,1
NILKANTA DEGREE COLLEGE,105954,College,COMILLA,MANOHARGANJ,MAISATUA,91.181999,23.4559,415,1
DHANUAKHALA ADARSHA PUBLIC COLLEGE,105825,College,COMILLA,COMILLA ADARSHA SADAR,DHAINAKHOLA,91.084656,23.445654,416,1
CHANDINA MOHILA DEGREE COLLEGE,105404,College,COMILLA,CHANDINA,RARIR CHAR MAHALLAH,91.00795,23.489285,417,1
ANANDAPUR DEGREE COLLEGE,105818,College,COMILLA,COMILLA ADARSHA SADAR,PASCHIM BALLABHPUR,91.097916,23.444283,418,1
REHANA COLLEGE TECHNICAL AND COMMERCE COLLEGE,132098,College,COMILLA,BARURA,KAMEDDA,91.055618,23.376385,419,1
MUNSHIRHAT ENGINEER WAHIDUR RAHMAN DEGREE COLLEGE,105514,College,COMILLA,CHAUDDAGRAM,MESTALA,91.311066,23.22653,420,1
CHOWARA ADARSHA DEGREE COLLERE,105745,College,COMILLA,COMILLA SADAR DAKSHIN,DURGAPUR,91.22348564,23.41178641,421,1
LALMAI DEGREE COLLEGE,105746,College,COMILLA,COMILLA SADAR DAKSHIN,DHARMAPUR,91.14340223,23.35971064,422,1
CHOTO SHARIFPUR COLLEGE,105958,College,COMILLA,COMILLA SADAR DAKSHIN,BARAHIPUR,91.17801652,23.29223966,423,1
PRINCIPAL ABUL KALAM MAZUMAER MOHILA COLLEGE,105961,College,COMILLA,COMILLA SADAR DAKSHIN,SAIDPUR,91.14732418,23.34492119,424,1
KURERPAR ADARSHA COLLEGE,106066,College,COMILLA,MURADNAGAR,METANGHAR,91.00160074,23.74046136,425,1
SAMSUL HUQ COLLEGE,106064,College,COMILLA,MURADNAGAR,HAIDARABAD,91.02792969,23.75974231,426,1
KAZI NOMAN AHMED DEGREE COLLEGE,106067,College,COMILLA,MURADNAGAR,MURADNAGAR,90.9211041,23.64220659,427,1
BADIUL ALAM DEGREE COLLEGE,106068,College,COMILLA,MURADNAGAR,TRISH,90.97024643,23.63887612,428,1
MOSHARROF HOSSAIN KHAN CHOWDHURY DEGREE COLLEGE,105254,College,COMILLA,BRAHMAN PARA,BRAHMAN PARA,91.10599,23.61625,429,1
ABDUL MATIN KHASRU MOHILA COLLEGE,105252,College,COMILLA,BRAHMAN PARA,NANDI PARA,91.10856,23.62867,430,1
SANKUCHAIL  DIGREE COLLEGE,105333,College,COMILLA,BURICHANG,SANKOCHAIL,91.15722,23.58558,431,1
SONAR BANGLA COLLeGE,105330,College,COMILLA,BURICHANG,PURBA GOBINDAPUR,91.11303,23.52711,432,1
KALIKAPUR ABDUL MATIN KHASRU DIGREE COLLEGE,131985,College,COMILLA,BURICHANG,KHODAITALI (UTTAR KALIKAPUR),91.13481,23.52464,433,1
CHANDINA REDWAN AHMED COLLEGE,105402,College,COMILLA,CHANDINA,CHANDINA MAHALLAH,91.13597,23.52897,434,1
GOVT. CHEORA  COLLLEGE,105512,College,COMILLA,CHAUDDAGRAM,CHIARA,91.28517,23.14239,435,1
GUNABATI  DEGRE  COLLEGE,105509,College,COMILLA,CHAUDDAGRAM,CHAPACHO,91.29908,23.08903,436,1
AL - HAJ NUR MIAH COLLEGE,105508,College,COMILLA,CHAUDDAGRAM,KANKAPAIT,91.26878,23.20514,437,1
KASHINAGAR DEGRE  COLLEGE,105515,College,COMILLA,CHAUDDAGRAM,ALIPUR,91.21917,23.36025,438,1
NURUL AMIN MAZUDER DEGREE COLLEGE,105956,College,COMILLA,LAKSAM,DAKSHIN NOAPARA,91.13169,23.17319,439,1
NOWAB FAIZUNNESH GOVT. COLLEGE,105955,College,COMILLA,LAKSAM,DAKSHIN PASCIM GAON,91.09794,23.17061,440,1
GOVT, HAHANPUR SHAHID NAZRUL DEGREE COLLEGE,105580,College,COMILLA,DAUDKANDI,UTTAR HASANPUR,91.11697,23.23056,441,1
DR.KHANDAKER MOSHARRAF HOSSAIN COLLEGE,105577,College,COMILLA,DAUDKANDI,UTTAR NASARADDI,91.11931,23.22864,442,1
GOURIPUR MUNSHI FAZLUR RAHMAN GOVT COLLEGE,105579,College,COMILLA,DAUDKANDI,PENNAI,90.75364,23.48664,443,1
BEGUM RABEYA GIRL'S COLLEGE,105581,College,COMILLA,DAUDKANDI,BARA PARA,90.71244,23.49408,444,1
REHANA MAJID MOHILA COLLEGE,105697,College,COMILLA,HOMNA,BAGHMARA (PART),90.76647,23.52672,445,1
HOMNABAD ADARSHA COLLEGE,106162,College,COMILLA,NANGALKOT,DHALUA,91.2475,23.11128,446,1
HESHAKHAL BAZAR COLLEGR,106159,College,COMILLA,NANGALKOT,HESAKHAL,91.21544,23.09589,447,1
ABDUL GOFUR BHUIYAN COLLEGE,106160,College,COMILLA,NANGALKOT,PASCHIM HASANPUR,91.17492,23.11428,448,1
BIMAN BANDRA MUNSHI FARUK AHMED COLLEGE,105749,College,COMILLA,COMILLA SADAR DAKSHIN,NOWAGRAM,90.76322,23.61011,449,1
COMILLA COMMERCE COLLEGE,131903,College,COMILLA,COMILLA SADAR DAKSHIN,NEORA SAIDPUR,91.1955,23.43336,450,1
COMILLA GOVT. COMMERCIAL INSTITUTE,133227,College,COMILLA,COMILLA SADAR DAKSHIN,DHANISHWAR,91.19367,23.43817,451,1
BETAGAON ISLAMIA SENIOR MADRASHA,105935,Madrasha,COMILLA,COMILLA SADAR DAKSHIN,BETAGAON,91.17221803,23.33025132,3952,1
KANCHANPUR ERRANIYA DAKHIL MADRASA,105158,Madrasha,COMILLA,BARURA,SAKPUR,91.02899482,23.35233379,3953,1
PIRKASHEMPUR DAKHIL MADRASHA,106038,Madrasha,COMILLA,MURADNAGAR,KASHIMPUR,90.98768607,23.77470755,3954,1
BAKHAR NAGAR HASHEMIA ISLAMIA FAZIL MADRASHA,106035,Madrasha,COMILLA,MURADNAGAR,BAKHARNAGAR,90.96998806,23.65625323,3955,1
COMPANIGONJ ISLAMIA DAKHIL MADRASAH,106036,Madrasha,COMILLA,MURADNAGAR,TRISH,90.96829234,23.63658428,3956,1
MOHALAXMIPARA ALIM MADRASH,105232,Madrasha,COMILLA,BRAHMAN PARA,MAHALAKSHMI PARA,92.05028,21.41103,3959,1
NAIGHAR  ISLAMIA  DAKHIL  MADRASH,105242,Madrasha,COMILLA,BRAHMAN PARA,NAIGHAR,91.10706,23.59156,3960,1
BALINA ISLAMIA ALIM  MADRASH,105233,Madrasha,COMILLA,BRAHMAN PARA,DULALPUR,91.06067,23.70756,3961,1
GOPAL  NAGAR  ISLAMIA  DAKHIL  MADRASH,105236,Madrasha,COMILLA,BRAHMAN PARA,GOPALNAGAR,91.09164,23.63497,3962,1
BARADOSHI  ISLAMIA  DAKHIL  MADRASHA,105235,Madrasha,COMILLA,BRAHMAN PARA,BARA DHUSIA,91.08653,23.61633,3963,1
CHANDLA ISLAMIA GOWSIA ALIM MADRASH,105238,Madrasha,COMILLA,BRAHMAN PARA,PASCHIM CHANDLA,91.06839,23.63419,3964,1
PURBA POKARA JINNATIA M.HOSSAIN KADERIA dakhil madrasha,105237,Madrasha,COMILLA,BRAHMAN PARA,PURBA POMKARA,91.07861,23.60781,3965,1
SHIDLAI DARUL ISLAM FAZIL MADRASHA,105234,Madrasha,COMILLA,BRAHMAN PARA,SIDLAI,91.10719,23.64494,3966,1
SHIDLI  KHADIJATUL  KUBRA  MOHELA  DAKHIL MADRASHA,105241,Madrasha,COMILLA,BRAHMAN PARA,SIDLAI,91.10675,23.64283,3967,1
SAITSHALA DARUS SUNNAH DAKHIL MADRASHA,105227,Madrasha,COMILLA,BRAHMAN PARA,SHAITSALA,91.06886,23.64408,3968,1
KANDUGHAR ISLAMIA SR. ALIM MADRASAH,105226,Madrasha,COMILLA,BRAHMAN PARA,KANDUGHAR,91.08581,23.64836,3969,1
SAHEBABAD ISLAMIA FAZIL MADRASH,105229,Madrasha,COMILLA,BRAHMAN PARA,SAHEBABAD,91.0885,23.641,3970,1
TATERA  HAZI  MASTER  REHANUDDIN  AKHAND  MOHILA DAKHIL  MADRASH,105244,Madrasha,COMILLA,BRAHMAN PARA,TATERA,91.06008,23.7285,3971,1
FAYEZIA  RAZZAQUIA  ISLAMIA  DAKHIL  MADRASH,105246,Madrasha,COMILLA,BRAHMAN PARA,NAGAISH,91.06158,23.68894,3972,1
BAKSHIMUL SUNNIA ISLAMIA SENIOR MADRASHA,105315,Madrasha,COMILLA,BURICHANG,BAKSIMAIL,91.10928,23.60206,3973,1
CHHAYGRAM ALIM MADRASAH,105302,Madrasha,COMILLA,BURICHANG,CHHOTA HARIPUR,91.12061,23.67342,3974,1
ADBARPUR D.S.ISLAMIA DAKHIL MADRASHA,131602,Madrasha,COMILLA,BURICHANG,BHARELLA,91.18236,23.53425,3975,1
PARUARA  ISLAMIA DAKHIL MADRASAH,105299,Madrasha,COMILLA,BURICHANG,PAROWARA,91.17381,23.56975,3976,1
KANGSANAGAR ISLAMIA ALIM MADRASHA,105312,Madrasha,COMILLA,BURICHANG,BHARELLA,91.06083,23.53164,3977,1
RAMPUR HAZI AFSAR UDDIN ISLAMIA MOHILA MADRASAH,105320,Madrasha,COMILLA,BURICHANG,BHARELLA,91.05969,23.55453,3978,1
BHARELLA SHAH ISRAIL KAMIL MADRASHA,105307,Madrasha,COMILLA,BURICHANG,BHARELLA,91.08417,23.53067,3979,1
BURICHANG ISLAMIA SUNNIA ALIM MADRASAH,105303,Madrasha,COMILLA,BURICHANG,BARA BIJOYPUR (BURICHANG),91.12825,23.55144,3980,1
KACHIRATOLA DEBPUR MADINATOL ULOM DHAKHIL MADRASAH,105327,Madrasha,COMILLA,BURICHANG,DEBPUR,91.11806,23.58133,3981,1
MAYNAMOTI DARUS SUNNAH DAKHIL MADRASA,105296,Madrasha,COMILLA,BURICHANG,SAHA DAULATPUR,91.12967,23.55594,3982,1
AL HAJ ABDUL HAQUE KHANDAKAR MOHILA DAKHIL MADRASA,105329,Madrasha,COMILLA,BURICHANG,KALAKACHUA,91.12947,23.54981,3983,1
FAKIR BAZAR ISLAMIA SUNNIA SENIOR ALIM MADRASHA,105317,Madrasha,COMILLA,BURICHANG,KHARERA,91.10436,23.49656,3984,1
GAWSUL AZAM ABDUL KADER ZILANI (R) ALIM MADRASHA,105318,Madrasha,COMILLA,BURICHANG,ABIDPUR,91.09961,23.47733,3985,1
KORPAI KAKIARCHAR ISLAMIA FAZIL MADRASAH,105309,Madrasha,COMILLA,BURICHANG,KORPAI,91.10639,23.49878,3986,1
SHIKARPUR DARUL QURAN JILANI ALIM MADRASHA,105316,Madrasha,COMILLA,BURICHANG,PASCHIM SIKARPUR,91.07756,23.50058,3987,1
GOSHAIPUR K.G.K ISLAMIA DAKHIL MADRASAH,105301,Madrasha,COMILLA,BURICHANG,GOSHAIPUR,91.03792,23.48028,3988,1
SADAKPUR ISLAMIA GIRLS DAKHIL MADRASAH,105324,Madrasha,COMILLA,BURICHANG,SADAKPUR,91.05725,23.48258,3989,1
SREEPUR ISLAMIA FAZIL MADRASHA,105304,Madrasha,COMILLA,BURICHANG,SREEPUR (SAMANTAPUR),91.06208,23.50064,3990,1
SDAKPUR ISLAMIA ALIM MADRASHA,105298,Madrasha,COMILLA,BURICHANG,SADAKPUR,91.04897,23.52125,3991,1
BARESSWAR HARUNOR RASHID DAKHIL MADRASAH,105314,Madrasha,COMILLA,BURICHANG,BARESHWAR,91.10267,23.56347,3992,1
CHARANAL HASANIA ISLAMIA DAKHIL MADRASAH,105310,Madrasha,COMILLA,BURICHANG,CHARNAL,91.10136,23.53194,3993,1
RAJAPUR S.M. CHOWDHURY ADARSHA DAKHIL MADRASAH,105504,Madrasha,COMILLA,BURICHANG,RAJAPUR,91.09864,23.56108,3994,1
LORIBAG ISLAMIA DAKHIL MADRASAH,105328,Madrasha,COMILLA,BURICHANG,LARIBAGH,91.13306,23.59383,3995,1
SHANKUCHAIL ISLAMIA DAKHIL MADRASAH,105297,Madrasha,COMILLA,BURICHANG,SANKOCHAIL,91.14994,23.59817,3996,1
NANUAR BAZAR SHUNNIA ISLAMIA DHAKIL MAD,105300,Madrasha,COMILLA,BURICHANG,BERAJAL KADAMTALI,91.15764,23.58561,3997,1
ICHAPURA ISLAMIA DAKHIL MADRASAH,105323,Madrasha,COMILLA,BURICHANG,ICHHAPUR,91.14644,23.50619,3998,1
KHARATIYA ISLAMIA GIRL'S DAKHIL MADRASAH,105319,Madrasha,COMILLA,BURICHANG,KHARATIA,91.13053,23.48789,3999,1
KHARATAIYA ISLAMIA FAZIL MADRASAH,105308,Madrasha,COMILLA,BURICHANG,KHARATIA,91.12536,23.52981,4000,1
HOSSAINPUR DARUSSUNNAT MINHAZIA DAKHIL MADRASHA,105382,Madrasha,COMILLA,CHANDINA,UTTAR HOSSAINPUR,91.18136,23.54706,4001,1
AMBERPUR BAITUL JANNAT ISLAMIA DAKHIL MADRASAH,105395,Madrasha,COMILLA,CHANDINA,PASCHIM AMBARPUR,91.15928,23.54278,4002,1
GOLLAI Ismail DAKHIL MADRASHA,105397,Madrasha,COMILLA,CHANDINA,GALLAI,91.00606,23.48375,4003,1
BARKARI PIR MONZIL DAKHIL MADRASHA,105376,Madrasha,COMILLA,CHANDINA,BARA KARAI,91.00739,23.48675,4004,1
JOAG NOWAGON DAKHIL MADRASHA,105381,Madrasha,COMILLA,CHANDINA,JOYAG,90.96408,23.40356,4005,1
LASHMIPUR ALIM MADRASAH,105377,Madrasha,COMILLA,CHANDINA,KAILAIN,90.89914,23.40775,4006,1
PIHAR RAHMANIA ISLAMIA DAKHIL MADRASHA,105392,Madrasha,COMILLA,CHANDINA,PIHAR,90.92664,23.39797,4007,1
ABEDA NOOR FAZIL MADRASHA,105374,Madrasha,COMILLA,CHANDINA,GALLAI,90.93242,23.18764,4008,1
KANGAI (P) PARA MOHILA DAKHIL MADRASHA,105399,Madrasha,COMILLA,CHANDINA,KANGAI,90.94578,23.36164,4009,1
RANICHaRA ADARSAH BALIKA DAKHIL MADRASHA,131828,Madrasha,COMILLA,CHANDINA,RANICHARA,90.90578,23.43808,4010,1
NAUTALA ISLAMIA ALIM MADRASHA,105378,Madrasha,COMILLA,CHANDINA,NAUTALA,90.928,23.40022,4011,1
BADARPUR NASARIA FAZIL MADRASAH,105380,Madrasha,COMILLA,CHANDINA,MAIJKHARA,90.93817,23.50289,4012,1
PANI PARA ALIM MADRASHA,105379,Madrasha,COMILLA,CHANDINA,PANIKHORA,90.92192,23.50592,4013,1
TAMTA ISLAMIA DAKHIL MADRASHA,105389,Madrasha,COMILLA,CHANDINA,TAMTA,90.97906,23.42033,4014,1
BATAGHALI ISLAMIA DAKHIL MADRASAH,105390,Madrasha,COMILLA,CHANDINA,BATAKASHI,90.934,23.50372,4015,1
PURBA MAIZKHAR MAHILA DAKHIL MADRASHA,105385,Madrasha,COMILLA,CHANDINA,MAIJKHARA,90.97114,23.44167,4016,1
MOHONPUR ISLAMIA DAKHIL MADRASHA,105394,Madrasha,COMILLA,CHANDINA,MOHANPUR,91.00153,23.42578,4017,1
TIRCHAR ATIQUIA ISLAMIA ALIM ,ADRASHA,105386,Madrasha,COMILLA,CHANDINA,TIRCHO,90.98983,23.42978,4018,1
SATGOWN UTTAR KRISNAPUR NASARIA DAKHIL MADRASHA,105384,Madrasha,COMILLA,CHANDINA,UTTAR KRISHNAPUR,90.99353,23.42442,4019,1
BARIYA KRISHNA PUR AL AMIN FAZIL MADRASHA,105383,Madrasha,COMILLA,CHANDINA,BOKHAI,90.9675,23.41303,4020,1
FENUA GIRLS DAKHIL MADRASHA,105909,Madrasha,COMILLA,MANOHARGANJ,BARALLAH,90.8925,23.47689,4021,1
KATUNIPARA DARUL ULUM DAKHIL MADRASHA,105911,Madrasha,COMILLA,MANOHARGANJ,BARALLAH,90.97069,23.44719,4022,1
DADGHAR KEARI DAKHIL MADRASAH,105923,Madrasha,COMILLA,MANOHARGANJ,KEARI,91.10272,23.14933,4023,1
BIPUL ASHAR FAZIL MADRASHA,105920,Madrasha,COMILLA,MANOHARGANJ,KANCHI,91.04028,23.12844,4024,1
HASNABAD A. HAKIM DAKHIL MADRASAH,105932,Madrasha,COMILLA,MANOHARGANJ,HASNABAD,91.01339,23.1545,4025,1
BANDUAIN ISLAMIA DAKHIL MADRASHA,105946,Madrasha,COMILLA,MANOHARGANJ,BANDUAIN,91.04,23.13328,4026,1
