inst name, eiin, inst_type, district, thana, mauza, long, lat, serial,isUnique
ADAMJEE CANTONMENT COLLEGE,107855,College,DHAKA,CANTONMENT,ARMY (DHAKA CANTT.(PART-1),90.392952,23.795115,452,1
SHAHeed ZIA MOHILA COLLEGE,108334,College,DHAKA,PALLABI,MIRPUR SEC-12 (BLOCK-E),90.372261,23.822983,453,1
UTTARA ANWARA MODEL DEGREE COLLEGE,108565,College,DHAKA,DAKSHINKHAN,DAKSHINKHAN (PART),90.379662,23.875378,454,1
TEJGAON  COLLEGE,108533,College,DHAKA,SHER-E-BANGLA NAGAR,PURBA RAJA BAZAR,90.375427,23.771009,455,1
SK. BORHANUDDIN COLLEGE, DHAKA,108137,College,DHAKA,BANGSHAL,UTTAR BANGSHAL ROAD,90.4002,23.722557,456,1
SALIMULLAH DEGREE  COLLEGE,108510,College,DHAKA,WARI,SUKLAL DAS LANE,90.416527,23.715408,457,1
KABI NAZRUL GOVT.COLLEGE,108507,College,DHAKA,SUTRAPUR,LAKSHMI BAZAR (PART),90.413254,23.70974,458,1
GOVT. SHAHID SOHRAWARDI COLLEGE,108508,College,DHAKA,SUTRAPUR,LAKSHMI BAZAR (PART),90.37101,23.769161,459,1
CeNTRAL WOMENS COLLEGE,108512,College,DHAKA,WARI,ABHAYDAS LANE,90.421005,23.719976,460,1
DHAKA WOMEN COLLEGE,108563,College,DHAKA,TURAG,RANABHOLA (PART),90.400772,23.85828,461,1
METROPOLIS COLLEGE,108156,College,DHAKA,CHAK BAZAR,RAHMATGANJ LANE,90.387733,23.758108,462,1
KALATIA COLLEGE,108115,College,DHAKA,KERANIGANJ,ALINAGAR,90.370682,23.696896,463,1
DHAKA MOHANAGAR MOHILA COLLEGE,108509,College,DHAKA,SUTRAPUR,LAKSHMI BAZAR (PART),90.419586,23.712139,464,1
SARDAR SURUZZAMAN MOHILA COLLEGE,108568,College,DHAKA,DAKSHINKHAN,DAKSHINKHAN (PART),90.407143,23.7099,465,1
A.K.M. RAHMAT ULLAH DEGREE COLLEGE,108031,College,DHAKA,BADDA,BARA BERAID,90.385643,23.720814,466,1
PALLABU DEGREE COLLEGE,108335,College,DHAKA,RUPNAGAR,DOARI PARA,90.354851,23.815224,467,1
HAZRAT SHAH ALI MOHILA DEGREE COLLEGE,108209,College,DHAKA,SHAH ALI,UTTAR BISHIL-KA,90.350739,23.79771,468,1
