inst name, eiin, inst_type, district, thana, mauza, long, lat, serial,isUnique
PHULBARI GOVT. COLLEGE,120451,College,DINAJPUR,FULBARI,UTTAR SUJAPUR,88.937592,25.491451,554,1
HAKIMPUR DEGREE COLLEGE,120538,College,DINAJPUR,HAKIMPUR,DHARANDA,89.012344,25.284515,555,1
BHOWANIPUR DEGREE COLLEGE,121061,College,DINAJPUR,PARBATIPUR,PIROJPUR,88.914749,25.655308,556,1
GHORA GHAT WOMENS DEGREE COLLAGE,120501,College,DINAJPUR,GHORAGHAT,SAHEBGANJ (PART),89.235847,25.274578,557,1
HAKIMPUR WOHMENS'S DEGREE COLLAGE,120539,College,DINAJPUR,HAKIMPUR,DAKSHIN BASUDEBPUR,89.010307,25.313099,558,1
ICHHAMOTI WOMEN'S DEGREE COLLEGE,120388,College,DINAJPUR,CHIRIRBANDAR,ALOKDIHI,88.635826,25.605564,559,1
HOSENPUR DEGREE COLLEGE,120700,College,DINAJPUR,KHANSAMA,KHAMAR PARA,88.709564,25.904299,560,1
MUNSHIPARA ADARSHA COLLEGE,131991,College,DINAJPUR,BIRAL,RATNAUR,89.06056,25.66972,561,1
BIRAL DEGREE COLLEGE,120197,College,DINAJPUR,BIRAL,BIRAL,88.54383,25.62639,562,1
BIROL MOHILA  COLLEGE,120201,College,DINAJPUR,BIRAL,BIRAL,88.57472,25.65,563,1
DHUKURJHARI COLLEGE,120200,College,DINAJPUR,BIRAL,PIPALIA,88.60128,25.62061,564,1
KANCHAN NEW MODEL COLLEGE,120203,College,DINAJPUR,BIRAL,CHAK KANCHAN,88.57339,25.52767,565,1
MAINUL HASSAN MAHABIDDALAY,120199,College,DINAJPUR,BIRAL,DHANGRAM,88.63222,25.62556,566,1
BOARDHAT  COLLEGE,120198,College,DINAJPUR,BIRAL,JAGATPUR,88.50667,25.59944,567,1
BIRAMPUR MOHILA COLLEGE,120022,College,DINAJPUR,BIRAMPUR,PURBA JAGANNATHPUR(UTTAR),88.97883,25.42361,568,1
BIRAMPUR  COLLEGE,120021,College,DINAJPUR,BIRAMPUR,SHIMULTALI,88.9715,25.39181,569,1
KETRAHAT COLLAGE,120020,College,DINAJPUR,BIRAMPUR,CHAKUL,88.92389,25.36903,570,1
KATLA DEGRE COLLEGE,120023,College,DINAJPUR,BIRAMPUR,KATLA,88.94444,25.36053,571,1
BIRGONJ DEGREE COLLEGE,120127,College,DINAJPUR,BIRGANJ,SUJAL PUR (PART),88.62417,25.8625,572,1
BIRGANJ TECHNICAL AND B M COLLEGE,120126,College,DINAJPUR,BIRGANJ,KRISHNANAGAR,88.69333,25.92722,573,1
JHARBARI COLLEGE,120129,College,DINAJPUR,BIRGANJ,SHATAGRAM,88.705,25.97889,575,1
MAHER PUR COLLEGE,120271,College,DINAJPUR,BOCHAGANJ,MAHERPUR,88.49306,25.78594,576,1
DEOGAON BOKUL TALA COLLEGE,120268,College,DINAJPUR,BOCHAGANJ,BATASAN,88.50433,25.83744,578,1
SETAB GANJ DEGREE COLLEGE,120267,College,DINAJPUR,BOCHAGANJ,COLLEGE PARA,88.4915,25.761,579,1
SETAB GANJ WOMEN COLLEGE,120270,College,DINAJPUR,BOCHAGANJ,MELAGACHHI,88.44611,25.79944,580,1
CHIRIR BANDAR DEGREE COLLEGE,120391,College,DINAJPUR,CHIRIRBANDAR,ABDULPUR,88.82486,25.65894,581,1
CHIRIR BANDAR MOHILA COLLEGE,120392,College,DINAJPUR,CHIRIRBANDAR,ABDULPUR,88.75744,25.67267,582,1
SUKHIPIR  COLLEGE,131910,College,DINAJPUR,CHIRIRBANDAR,NANDRAI,88.77742,25.65567,583,1
KARENT HAT DEGREE  COLLEGE,120394,College,DINAJPUR,CHIRIRBANDAR,UTTAR BHOLANATHPUR,88.71017,25.64317,584,1
FATEJANG PUR COLLEGE,120395,College,DINAJPUR,CHIRIRBANDAR,FATEHJANGPUR,88.82644,25.74311,585,2
BINNAKURY COLLEGE,120397,College,DINAJPUR,CHIRIRBANDAR,UTTAR SUKDEBPUR,88.80761,25.72256,586,1
RANIR BAMDAR WOMENS COLLEGE,120396,College,DINAJPUR,CHIRIRBANDAR,KISMAT NASRATPUR,88.80822,25.70811,587,1
ICHHAMATI MaHAVIDaLAYA,120393,College,DINAJPUR,CHIRIRBANDAR,RANIPUR,88.78478,25.77667,588,1
AMBARI MOHILA COLLEGE,120390,College,DINAJPUR,CHIRIRBANDAR,BISHWANATHPUR,88.77717,25.56794,589,1
BIRGANJ MOHILA DEGREE COLLEGE,120125,College,DINAJPUR,BIRGANJ,SUJALPUR (PART),88.76828,25.72661,590,1
CHEHEL GAZI COLLAGE,120825,College,DINAJPUR,DINAJPUR SADAR,KHAMAR JHARBARI,88.70444,25.5075,591,1
CHANDGANJ DEGREE COLLAGE,120824,College,DINAJPUR,DINAJPUR SADAR,UTTAR BHABANIPUR,88.63639,25.61528,592,1
SHANKARPUR COLLAGE,120826,College,DINAJPUR,DINAJPUR SADAR,SANKARPUR,88.75417,25.51194,593,1
PANCHBARI MOHABIDYALOY,120823,College,DINAJPUR,DINAJPUR SADAR,MAHASATTI,88.68833,25.6,594,1
DINAJPUR SANGEET DEGREE COLLAGE DINAGEPUR,120821,College,DINAJPUR,DINAJPUR SADAR,CHAK BAZAR,88.71361,25.75944,595,1
ADARSHA MAHABIDDALAYA, DINAJPUR,120820,College,DINAJPUR,DINAJPUR SADAR,UTTAR GHASI PARA,88.70361,25.74722,596,1
DINAJPUR  GOVT. COLLEGE,120818,College,DINAJPUR,DINAJPUR SADAR,SUIHARI,88.63633,25.62772,597,1
DINAJPUR GOVT. WOMEN COLLEGE,120822,College,DINAJPUR,DINAJPUR SADAR,DAKSHIN BALUBARI,88.63817,25.63806,598,1
DINAJPUR GOVT. COMMERCIAL INSTITUTE,133785,College,DINAJPUR,DINAJPUR SADAR,NIMNAGAR SEKHPURA,88.64383,25.62617,599,1
GAUSUL AZAM GOLLAGE,120828,College,DINAJPUR,DINAJPUR SADAR,BLOCK 8 & 9 (NEW TOWN),88.64233,25.624,600,1
DINAJPUR ISLAMIA WOMEN'S COLLEGE,120819,College,DINAJPUR,DINAJPUR SADAR,PAHARPUR,88.64233,25.62167,601,1
K. B. M. COLLGE, DINAJPUR,120816,College,DINAJPUR,DINAJPUR SADAR,MASIMPUR,88.62317,25.57578,602,1
DAXMIN KOTWALI COLLAGE,120817,College,DINAJPUR,DINAJPUR SADAR,DAKSHIN GOSAIPUR,88.63744,25.62767,603,1
PHULBARI MOHILA DEGREE COLLEGE,120452,College,DINAJPUR,FULBARI,PURBA GAURI PARA,88.88703,25.40708,604,1
MADILA HAT COLLEGE,120453,College,DINAJPUR,FULBARI,SIRDHISI,88.87094,25.46656,605,1
SHAHEED SMRITI ADARSHA DEGREE COLLEGE,120450,College,DINAJPUR,FULBARI,RAJARAMPUR,88.90194,25.48847,606,1
GHORAGHAT ADARSA MOHABIDDALAY,120498,College,DINAJPUR,GHORAGHAT,SAHEBGANJ (PART),88.90628,25.52122,607,1
GHORAGHAT DEGREE COLLAGE,120499,College,DINAJPUR,GHORAGHAT,SHYAMPUR DAKSHIN(PART),89.27189,25.24731,608,1
DUGDUGI HAT COLLEGE,120502,College,DINAJPUR,GHORAGHAT,PURAIL,89.15636,25.27111,609,1
RANI GANG MOHILA DEGREE COLLAGE,120500,College,DINAJPUR,GHORAGHAT,SINGARA,89.14969,25.29342,610,2
PURBA MALLIK PUR H.S. COLLEGE,133787,College,DINAJPUR,KAHAROLE,PURBA MALLIKPUR,88.67722,25.79333,611,1
PURBA MALLIKPUR WOMEN'S COLLEGE,120604,College,DINAJPUR,KAHAROLE,PURBA MALLIKPUR,88.67389,25.78306,612,1
KAHAROL DEGREE COLLEGE,120600,College,DINAJPUR,KAHAROLE,RAMCHANDRAPUR,88.66306,25.78972,613,1
BULIA BAZAR COLLEGE,120603,College,DINAJPUR,KAHAROLE,SAHAPUR,88.56028,25.80972,614,1
JOUYNANDA DEGREE COLLEGE,120601,College,DINAJPUR,KAHAROLE,DABAR,88.52222,25.84361,615,1
KAHAROLE WOMEN'S DEGREE COLLEGE,120602,College,DINAJPUR,KAHAROLE,SUNDAIL,88.60917,25.79444,616,1
KHANSAMA  DEGREE COLLEGE,120697,College,DINAJPUR,KHANSAMA,GOBINDAPUR,88.72778,25.975,617,1
