inst name, eiin, inst_type, district, thana, mauza, long, lat, serial,isUnique
  mohila COLLEGE sadarpur,108934,College,FARIDPUR,SADARPUR,NOYRASHI,89.95964,23.48889,642,1
SADARPUR  GOVT. COLLEGE,108933,College,FARIDPUR,SADARPUR,SATARA RASHI,90.00847,23.45428,643,1
GOVT. RAJENDRA COLLEGE FARIPUR,108797,College,FARIDPUR,FARIDPUR SADAR,DAKSHIN KALIBARI,90.03217,23.47439,644,2
FARIDPUR MOHABIDDALAYA,108796,College,FARIDPUR,FARIDPUR SADAR,PASCHIM GOALCHAMAT,90.02667,23.47733,645,2
GOVT. YASIN COLLEGE FARIDPUR,108795,College,FARIDPUR,FARIDPUR SADAR,GOPALPUR (PART-1),89.81778,23.59683,646,1
GOV.COMMERCIAL INSTITUTE,FARDIPUR,132785,College,FARIDPUR,FARIDPUR SADAR,KAMALAPUR,89.83275,23.59683,647,1
FARIDPUR CITY COLLEGE,108798,College,FARIDPUR,FARIDPUR SADAR,LAKSHMIPUR,89.85331,23.59817,648,1
GOVT  SARADA   SUNDARI   MOHILA  COLLEGE,108794,College,FARIDPUR,FARIDPUR SADAR,FARIDABAD,89.8415,23.60828,649,1
FARIDPUR MUSLIM MISSION COLLEGE,108800,College,FARIDPUR,FARIDPUR SADAR,RAGHUNANDANPUR,89.83928,23.62272,650,1
BAKHUNDA COLLEGE,108801,College,FARIDPUR,FARIDPUR SADAR,BAKHUNDA,89.87661,23.56386,651,1
ALHAJ ABDUL KHALEQUE COLLEGE,108803,College,FARIDPUR,FARIDPUR SADAR,HABELI DAYARAMPUR,89.87308,23.54367,652,1
GOVT. NAGARKANADA MOHABIDHALAYA,108900,College,FARIDPUR,NAGARKANDA,JAGDIA BALIA (PART),89.92106,23.37061,653,1
SALTHA COLLEGE,108902,College,FARIDPUR,SHALTHA,SALTHA HABELI,89.89,23.39919,654,1
GOVT. BIRSRESTHA ABDUR ROUF DEGREE COLLEGE,108854,College,FARIDPUR,MADHUKHALI,MASLANDAPUR,89.51219,23.50053,655,1
GOVT.AINUDDIN COLLEGE,108853,College,FARIDPUR,MADHUKHALI,GONDARDIA,89.62294,23.51294,656,1
HAJI ABDUR RAHMAN ABDUL KARIM COLLEGE,108856,College,FARIDPUR,MADHUKHALI,KADIRPARA,89.63206,23.54292,657,1
GOVT CHAR BHADRASHAN COLLEGE,108728,College,FARIDPUR,CHAR BHADRASAN,CHAR BHADRASAN,90.00839,23.56358,658,1
KAZI SHIRAJUL ISLAM MOHILA COLLEGE,108709,College,FARIDPUR,BOALMARI,AMGRAM,89.62381,23.44689,659,1
GOVT.BOALMARI  COLLEGE,108708,College,FARIDPUR,BOALMARI,CHHOTO KAMARGRAM,89.66736,23.44172,660,1
BANGABANDHU COLLEGE,108711,College,FARIDPUR,BOALMARI,KHORSUTI,89.62586,23.42506,661,1
KADIRDI   DEGREE   COOLEGE,108710,College,FARIDPUR,BOALMARI,KADIRDI,89.77558,23.31083,662,1
NABAKAM POLLI DIGREE COLLEGE,108901,College,FARIDPUR,SHALTHA,JADUNANDI,89.69017,23.48514,663,1
KAZI MAHABUBULLA KM COLLEGE,108659,College,FARIDPUR,BHANGA,CHANDIDASDI,89.71511,23.34275,664,1
VANGA MOHILA COLLEGE,108660,College,FARIDPUR,BHANGA,BANGA TOWN,90.07714,23.35117,665,1
ALFADANGA  DEGREE  COLLEGE,108618,College,FARIDPUR,ALFADANGA,MITHAPUR,90.02667,23.47733,667,2
ALFADANGA ADARSHA COLLEGE,KAMARGRAM,108620,College,FARIDPUR,ALFADANGA,KAMARGRAM,89.69519,23.30778,668,1
KAREER HAT DAKHIL MADRASAH,108932,Madrasha,FARIDPUR,SADARPUR,CHAR GOPALPUR,89.97328,23.49986,4551,1
BISHA ZAKER MANZIL MADRASHA, ATROSI,108928,Madrasha,FARIDPUR,SADARPUR,ATRASHI,89.93172,23.50806,4552,1
FARIDPUR CHUNAGHATA DAKHIL MADRASHA,108785,Madrasha,FARIDPUR,FARIDPUR SADAR,LAKSHMIPUR,89.84344,23.60153,4553,1
SALMAN FARSI DAKHIL MADRAHA AND SHISU ODON,131676,Madrasha,FARIDPUR,FARIDPUR SADAR,UTTAR ALIPUR PART,89.83792,23.60514,4554,1
AZIZUL ULUM DAKHIL MADRASHA,108783,Madrasha,FARIDPUR,FARIDPUR SADAR,BIL MAMUDPUR,89.83558,23.59878,4555,1
FARIDPUR MUSLIM MISSION DAKHIL MADRASHA,108784,Madrasha,FARIDPUR,FARIDPUR SADAR,RAGHUNANDANPUR,89.86222,23.59522,4556,1
BAKIGONJ ISLAMIA FAZIL MADRASHA,108788,Madrasha,FARIDPUR,FARIDPUR SADAR,DAKSHIN CHAR MADHABDIA,89.82558,23.60014,4557,1
