inst name, eiin, inst_type, district, thana, mauza, long, lat, serial,isUnique
GOVT. SONAGAZI COLLEGE,106748,College,FENI,SONAGAZI,CHAR GANASH(PART),90.81903,23.05183,669,2
ENAYAT ULLAH MOHILA COLLEGE,106746,College,FENI,SONAGAZI,TULATALI(PART),91.44272,22.89347,670,1
BAKTER MUNSHI SHEKH SHAHIDUL ISLAM COLLEGE,106747,College,FENI,SONAGAZI,RAMCHANDRAPUR,91.40886,22.917,671,1
CHHAGALNAIYA GOVT.COLLEGE,106499,College,FENI,CHHAGALNAIYA,PASCHIM CHHAGALNAIYA,91.51231,23.05433,672,1
MOULAVI SHAMSUL KARIM COLLEGE,106500,College,FENI,CHHAGALNAIYA,MATUA,91.48617,23.03564,673,1
AL-HAJ ABDUL HOQUE CHOWDHURY DEGREE COLLEGE,106501,College,FENI,CHHAGALNAIYA,PASCHIM DEBPUR,91.59944,22.95358,674,1
PARASHURAM GOVT. COLLEGE,106702,College,FENI,PARSHURAM,ANANTAPUR,91.53933,22.95925,675,1
FULGAZI  MOHILA COLLEGE,106670,College,FENI,FULGAZI,UTTAR SREEPUR,91.43703,23.04669,676,1
GOVT, FULGAZI COLLEGE,106671,College,FENI,FULGAZI,MADHYA BASURA,91.43072,23.10869,677,1
HAzi MONIR AHMED DEGREE COLLEGE,106672,College,FENI,FULGAZI,NURPUR,91.43325,23.15722,678,1
FENI GOVT COLLEGE,106642,College,FENI,FENI SADAR,FOLESHWARI,91.41464,23.1245,679,1
GOVT ZIA MOHILA COLLEGE, FENI,106643,College,FENI,FENI SADAR,DAKSHIN CHARIPUR,91.40894,23.02014,680,1
RAMPUR NASHIR MEMORIAL COLLEGE,106640,College,FENI,FENI SADAR,RAMPUR (PART-2),91.39761,23.01075,681,1
FENI SOUTH EAST COLLAGE,106639,College,FENI,FENI SADAR,FAZILPUR,91.47628,22.96858,682,1
JOYNAL HAZARI COLLEGE,106641,College,FENI,FENI SADAR,KALIDAHA,91.48975,22.99603,683,1
IQBAL MEMORIAL COLLEGE,106553,College,FENI,DAGANBHUIYAN,FATULLAPUR,91.43222,23.12244,684,1
AMIRA BAD M.M. ISLIMIA ALIM MADRASAH,106737,Madrasha,FENI,SONAGAZI,CHAR KRISHNAJOY,90.94456,22.98353,4627,1
SONAGAZI ISLAMIA FAZIL DEGREE MADRASAH,106732,Madrasha,FENI,SONAGAZI,CHAR GANESH (PART),90.95058,22.98347,4628,1
