inst name, eiin, inst_type, district, thana, mauza, long, lat, serial,isUnique
BELKA DEGREE COLLEGE,121759,College,GAIBANDHA,SUNDARGANJ,BELKA,89.576096,25.526882,685,1
HAJI OSMAN GANI COLLEGE,121186,College,GAIBANDHA,GAIBANDHA SADAR,DARIAPUR,89.540634,25.330786,686,1
GAIBANDHA GOVT. COLLEGE,121184,College,GAIBANDHA,GAIBANDHA SADAR,PASCHIM GOBINDAPUR,89.56011,25.43089,687,1
GAIBANDA ADARSHA COLLEGE,121185,College,GAIBANDHA,GAIBANDHA SADAR,MADHA GOBINDAPUR,89.52933,25.32144,688,1
GAIBANDHA GOVT. MOHILA COLLEGE,GAIBANDHA,121183,College,GAIBANDHA,GAIBANDHA SADAR,MADHYA PARA,89.51689,25.42597,689,1
LENGA BAZAR IDEAL COLLEGE,121188,College,GAIBANDHA,GAIBANDHA SADAR,MALIBARI,89.54292,25.33336,690,1
TULSHI GHAT SHAMSUL HAQUE DEGREE COLLEGE,121182,College,GAIBANDHA,GAIBANDHA SADAR,TULSHIGHAT,89.51417,25.27686,691,1
HARINABARI COLLEGE,121429,College,GAIBANDHA,PALASHBARI,HARINABARI,89.48319,25.24025,692,1
MARIRHAT MODEL COLLEGE,121430,College,GAIBANDHA,PALASHBARI,LAKSHMIPUR,89.48931,25.23503,693,1
FAKIRHAT SHAHID SMRITI DEGREE COLLEGE,121427,College,GAIBANDHA,PALASHBARI,BALA BAMANIA,89.44533,25.26797,694,1
PALASHBARI GOVT.COLLEGE gaibandha,121426,College,GAIBANDHA,PALASHBARI,NURPUR,89.35133,25.28222,695,1
PALASH BARI ADARSHA DEGREE COLLEGE,121425,College,GAIBANDHA,PALASHBARI,GIRIDHARIPUR,89.34761,25.26814,696,1
PALASH  BARI   MAHILA  COLLEGE,121428,College,GAIBANDHA,PALASHBARI,NUNIAGARI,89.35633,25.293,697,1
JOYEN PUR ADARSHA COLLEGE,121543,College,GAIBANDHA,SADULLAPUR,JAYENPUR,89.49136,25.38136,698,1
SADULLAPUR DEGREE COLLEGE,121539,College,GAIBANDHA,SADULLAPUR,SADULLAHPUR,89.46611,25.35461,699,1
SADULLAPUR GIRLS COLLEGE,121542,College,GAIBANDHA,SADULLAPUR,SADULLAHPUR,89.46608,25.39403,700,1
SHAH ASGAR ALI DEGREE COLLEGE,121537,College,GAIBANDHA,SADULLAPUR,GOBINDAPUR,89.39069,25.3645,701,1
MOHIPUR BAZAR COLLEGE,121540,College,GAIBANDHA,SADULLAPUR,MAHIPUR,89.36106,25.30686,702,1
KAMAR PARA COLLEGE,121541,College,GAIBANDHA,SADULLAPUR,KESALIDANGA,89.42475,25.33067,703,1
NALDANGA DEGREE COLLEGE,121538,College,GAIBANDHA,SADULLAPUR,NALDANGA,89.47167,25.48303,704,1
FULCHARI DEGREE COLLEGE,121099,College,GAIBANDHA,FULCHHARI,GAZARIA,89.40856,25.45269,705,1
KANCHIPARA DEHREE COLLEGE,121098,College,GAIBANDHA,FULCHHARI,GHOLDAHA,89.60725,25.32594,706,1
UDAKHALI MODEL COLLEGE,121096,College,GAIBANDHA,FULCHHARI,BURAIL,89.58622,25.30892,707,1
UDAKHALI WOMEN'S COLLEGE,121097,College,GAIBANDHA,FULCHHARI,UDAKHALI,89.57142,25.24786,708,1
BONARPARA DEGREE COLLEGE,121610,College,GAIBANDHA,SAGHATA,RAGHABPUR,89.52031,25.16628,709,1
SHAGHATA DEGREE COLLEGE,121609,College,GAIBANDHA,SAGHATA,GHURIDAHA,89.56942,25.08908,710,1
JUMARBARI ADARSHA COLLEGE,121611,College,GAIBANDHA,SAGHATA,CHAND PARA,89.55497,25.05192,711,1
KAMALER PARA COLLEGE,121612,College,GAIBANDHA,SAGHATA,KAMALER PARA,89.54867,25.07603,712,1
UDAYAN WOMEN'S COLLEGE,121608,College,GAIBANDHA,SAGHATA,PUTIMARI,89.57375,25.15603,713,1
