inst name, eiin, inst_type, district, thana, mauza, long, lat, serial,isUnique
DHALADIA COLLEGE,109426,College,GAZIPUR,SREEPUR,DHALADIA,90.50332,24.09835,735,1
ABDUL AWAL COLLEGE,109425,College,GAZIPUR,SREEPUR,TELIHATI,90.37673,24.2318,736,1
SREEPUR MUKTIJODDHA RAHMAT ALI COLLEGE,109423,College,GAZIPUR,SREEPUR,SREEPUR UTTAR PARA,90.43688,24.22614,737,1
MIZANUR RAHMAN KHAN DERGEE  COLLEGE,109420,College,GAZIPUR,SREEPUR,SREEPUR DAKSHIN PARA,90.40438,24.27641,738,1
PEAR ALI  COLLEGE,109422,College,GAZIPUR,SREEPUR,MAONA,90.46784,24.20706,739,1
BARMI COLLEGE,109421,College,GAZIPUR,SREEPUR,PATHAN TEK,90.40256,24.221,740,1
SHARIF MOMTAJUDDIN  AHMED degree  COLLEGE,109325,College,GAZIPUR,KAPASIA,UJALI,90.56839,24.2297,741,1
SHAHID TAJUDDIN AHMAD DEGREE COLLEGE, HAILJOR,109321,College,GAZIPUR,KAPASIA,SAHA BIDYARKOT,90.68919,24.17621,742,1
BANGATAJ COLLEGE,109322,College,GAZIPUR,KAPASIA,KSHIRATI,90.59806,24.21482,743,1
ALHAJ  REZAUL  HAQUE  MOHILA  COLLEGE,109324,College,GAZIPUR,KAPASIA,GHAGOTIA,90.68558,24.16726,744,1
KAPASIA DEGREE COLLEGE,109323,College,GAZIPUR,KAPASIA,KHODADIA,90.50878,24.06908,745,1
JAMALPUR COLLEGE,109181,College,GAZIPUR,KALIGANJ,JAMALPUR,90.61611,23.97773,746,1
KALIGONJ SRAMIK COLLEGE,109180,College,GAZIPUR,KALIGANJ,BAGHERDIA,90.58293,23.93902,747,1
KALIGONJ   MOHILA degree COLLEGE,109182,College,GAZIPUR,KALIGANJ,MUNSURPUR,90.58701,23.92776,748,1
BARAI BARI ADARSHA  COLLEGE,109111,College,GAZIPUR,KALIAKAIR,BARAIBARI,90.27212,24.13622,749,1
KALIAKAIR DEGREE COLLEGE,109110,College,GAZIPUR,KALIAKAIR,BARDAL,90.22432,24.05242,750,1
JATIR PITA BANGABANDHU COLLEGE,109112,College,GAZIPUR,KALIAKAIR,DAINKINI,90.15971,24.02654,751,1
GAZIPUR CANTONMENT BOARD COLLEGE,109033,College,GAZIPUR,GAZIPUR SADAR,CHATAR ORDINANCE FACTORY,90.40357,24.04031,752,1
PUBAIL ADARSHA COLLEGE,109036,College,GAZIPUR,GAZIPUR SADAR,KHILGAON,90.44006,23.97644,753,1
KAZI AZIMUDDIN COLLEGE, GAZIPUR,109032,College,GAZIPUR,GAZIPUR SADAR,PURBA JOYDEBPUR,90.42645,23.9193,754,1
BHAWL BADRE ALAM GOVT. COLLEGE,109031,College,GAZIPUR,GAZIPUR SADAR,ITAHATA (PART),90.38758,23.96621,755,1
KONABARI degree COLLEGE,109037,College,GAZIPUR,GAZIPUR SADAR,MIRPUR (PART),90.37769,23.97732,756,1
BHAWAL MIRZAPUR DEGREE COLLEGE,109035,College,GAZIPUR,GAZIPUR SADAR,MIRZAPUR,90.38293,23.98808,757,1
ROVER POLLY DEGREE  COLLGE,109034,College,GAZIPUR,GAZIPUR SADAR,BAUPARA,90.36993,24.06732,758,1
GAZIPUR GOVT MOHILA COLLEGE,109030,College,GAZIPUR,GAZIPUR SADAR,HARINAL,90.34852,24.08325,759,1
TONGI GOVT. COLLEGE,109061,College,GAZIPUR,GAZIPUR SADAR,AUCH PARA (PART-1),90.42869,23.9992,760,1
MUKTIJODDHA COLLEGE,109029,College,GAZIPUR,GAZIPUR SADAR,MAHONA BHABANIPUR,90.4084,24.02021,761,1
TONGI CITY COLLEGE,135926,College,GAZIPUR,GAZIPUR SADAR,BARA DEORA,90.95172,23.23683,762,1
RAFIQUL ISLAM CADET MADRASAH,136774,Madrasha,GAZIPUR,GAZIPUR SADAR,PASCHIM SOULDUBI,88.65572,24.59731,4937,1
GALDAPARA REAZ UDDIN DHAKIL MADRASHA,109408,Madrasha,GAZIPUR,SREEPUR,DHAMLAI,89.65077,23.63014,4939,1
BARKUL ISLAMIA DAKHIL MADRASHA,109400,Madrasha,GAZIPUR,SREEPUR,BARNAL,90.47231,24.30392,4940,1
LUCKCHATAL ISLAMIA DAKHIL MADRASHA,109406,Madrasha,GAZIPUR,SREEPUR,SATKHAMAIR,90.5129,24.30478,4941,1
SAGORIA GIRLS DHAKHIL MADRASHA,109390,Madrasha,GAZIPUR,SREEPUR,GARARAN,90.53945,24.27097,4942,1
GARARAN KHALILIA FAZIL MADRASA,109388,Madrasha,GAZIPUR,SREEPUR,GARARAN,90.50729,24.2656,4943,1
BARAMA GIRLS DAKHIL MADRASHA,109411,Madrasha,GAZIPUR,SREEPUR,BARAMA,90.4819,24.25046,4944,1
BARAMA ISLAMIA FAJIL MADRASA,109396,Madrasha,GAZIPUR,SREEPUR,BARAMA,90.48678,24.24495,4945,1
GILASWAR GIRLS DAKHIL MADRASAH,109410,Madrasha,GAZIPUR,SREEPUR,GHILASAIR,90.49136,24.23395,4946,1
PELAID DARUSSUNNAH DAKHIL MADRASHA,109392,Madrasha,GAZIPUR,SREEPUR,PALIED,90.53546,24.23079,4947,1
KHOJAKHANI AYESHA SIDDIKA GIRLS DAKHIL MADRASHA,109412,Madrasha,GAZIPUR,SREEPUR,NIJ KHOZEKHANI,90.52051,24.23784,4948,1
PATKA DAKHIL MADRASAH,109394,Madrasha,GAZIPUR,SREEPUR,PATKA,90.51451,24.23636,4949,1
LATIFUR ASHRAFUL ULUM ALIM  MADRASAH,109382,Madrasha,GAZIPUR,SREEPUR,LATIFPUR,90.53664,24.1906,4950,1
GOSINGA ALIM MADRASHA,109387,Madrasha,GAZIPUR,SREEPUR,GOSINGA,90.49133,24.1603,4951,1
KHILPARA GIRLS DAKHIL MADRASHA,109405,Madrasha,GAZIPUR,SREEPUR,GOSINGA,90.51117,24.15374,4952,1
BINDUBARE G A SINIOR MADRASHA,109398,Madrasha,GAZIPUR,SREEPUR,BINDUBARI,90.55009,24.15584,4953,1
BAMON GAON ASHRAFIA BALIKA DAKHIL MADRASA,109399,Madrasha,GAZIPUR,SREEPUR,RAJABARI,90.53767,24.17761,4954,1
RAJABARI ISLAMIA ALIM MADRAHAD,109383,Madrasha,GAZIPUR,SREEPUR,RAJABARI,90.5417,24.16686,4955,1
CHINASUKHANIA DAKHIL MADRASAH,109401,Madrasha,GAZIPUR,SREEPUR,RAJABARI,90.46677,24.14141,4956,1
GAZARIA MUSHARRAFUL ULUM DAKHIL MADRASHA,109393,Madrasha,GAZIPUR,SREEPUR,GAZARIA,90.51609,24.0963,4957,1
DAMDAMA MADINATUL ULUM DAKHIL MADRASHA,109395,Madrasha,GAZIPUR,SREEPUR,DAMDAMA,90.48351,24.1104,4958,1
MORICHARCHALA ISLAMIA DAKHIL MADRASHA,109404,Madrasha,GAZIPUR,SREEPUR,LOHAGACHHIA,90.47249,24.07349,4959,1
NIMURIA ISLAMIA DAKHIL MADRASAH,109402,Madrasha,GAZIPUR,SREEPUR,NIMURIA,90.47893,24.053,4960,1
GAZIPUR FAZIL MADRASA,109381,Madrasha,GAZIPUR,SREEPUR,GAZIPUR,90.46821,24.02258,4961,1
GAZIPUR IDEAL GIRLS DAKHIL MADRASHA,109413,Madrasha,GAZIPUR,SREEPUR,GAZIPUR,90.4862,24.0365,4962,1
DHANUA KACHARIPARA AHAMMADIA DAKHIL MADRASHA,109409,Madrasha,GAZIPUR,SREEPUR,DHANUA,90.35179,24.26931,4963,1
DHANUA BARACHALA DHAKHIL MADRASHA,109416,Madrasha,GAZIPUR,SREEPUR,DHANUA,90.3368,24.26361,4964,1
CHAKPARA HAZEE NAZIBULLAH DAKHIL MADRASHA,109397,Madrasha,GAZIPUR,SREEPUR,MAONA,90.36515,24.27402,4965,1
