inst name, eiin, inst_type, district, thana, mauza, long, lat, serial,isUnique
DR.IMDADUL HUQ MEMORIAL DEGREE COLLEGE,130645,College,GOPALGANJ,TUNGIPARA,JHANJHANIA,89.88247,22.92061,764,1
GOVT. SHEIKH MUJIBUR RAHMAN COLLEGE,109678,College,GOPALGANJ,TUNGIPARA,PATGATI (PART),89.91536,22.88969,765,1
M.H KHAN DEGREE COLLEGE,109485,College,GOPALGANJ,GOPALGANJ SADAR,ULPUR,89.8545,22.91806,766,1
GOVT NAZRUL DEGREE COLLEGE SATPAR,109484,College,GOPALGANJ,GOPALGANJ SADAR,BARA SATPAR,89.87039,23.09636,767,1
SHEIKH FAZILATUNNESSA GOVT MOHILA COLLEGE,109483,College,GOPALGANJ,GOPALGANJ SADAR,PURBA GHOSHER CHAR,89.86794,23.04789,768,1
HAJI  LALMIA  CITY  COLLEGE,109482,College,GOPALGANJ,GOPALGANJ SADAR,GHOSER CHAR,89.87408,23.02944,769,1
SABIRA - ROUF COLLEGE,131937,College,GOPALGANJ,GOPALGANJ SADAR,COURT MASJID PARA (KHATRA),89.81331,22.99381,770,1
GOVT.BANGABANDHU COLLEGE, GOPALGONJ,109481,College,GOPALGANJ,GOPALGANJ SADAR,LAUNCHGHAT PARA (KHATRA),89.82958,23.00236,771,1
MUKSUDPUR COLLEGE,109654,College,GOPALGANJ,MUKSUDPUR,DAKSHIN CHANDIBARDI,89.83119,23.00789,772,1
BANGA RATNA COLLEGE,KALIGRAM,109655,College,GOPALGANJ,MUKSUDPUR,KALIGRAM,89.98697,23.25286,773,1
UJANI B.K. B UNION COLLEGE,109653,College,GOPALGANJ,MUKSUDPUR,UJANI,89.86347,23.19697,774,1
KOTWALIPARA SHEIKH LUTFAR RAHMAN ADARSHA GOVT. COLLEGE,109591,College,GOPALGANJ,KOTALIPARA,MOKSHA KOTALI(PART),90.00539,22.98939,775,1
SHEKH RASEL COLLAGE,109590,College,GOPALGANJ,KOTALIPARA,KALABARI,90.01111,23.12786,776,1
SHEIKH HASINA ADRSA MAHABIDYALAY,109593,College,GOPALGANJ,KOTALIPARA,DHARA BASAIL,89.99797,22.92764,777,1
RAMSHIL COLLEGE,109589,College,GOPALGANJ,KOTALIPARA,RAMSHIL,90.08558,23.02358,778,1
KAZI MANTU COLLEGE,109592,College,GOPALGANJ,KOTALIPARA,KONERBHITA,90.07642,23.09764,779,1
GOVT. S.K COLLEGE RAMDIA KASHIANI  GOPALGANJ,109539,College,GOPALGANJ,KASHIANI,RAMDIA,89.77044,23.15175,780,1
M.A. KHALEQUE DEGREE COLLEGE, KASIANI, GOPALGONJ,109538,College,GOPALGANJ,KASHIANI,PONA,89.76072,23.16942,781,1
JOYNAGAR YAR ALI KHAN DEGREE COLLEGE,109536,College,GOPALGANJ,KASHIANI,MAHESHPUR,89.81378,23.25567,782,1
RAJPAT COLLEGE,109535,College,GOPALGANJ,KASHIANI,RAJPAT,89.85936,23.13819,783,1
RATOIL IDEAL COLLEGE,109537,College,GOPALGANJ,KASHIANI,RATAIL,89.71703,23.18269,784,1
GIMADANGA GOZALIA MOHILA FAZIL MADRASHA,109677,Madrasha,GOPALGANJ,TUNGIPARA,GIMADANGA,90.39658,23.96896,5111,1
GIMADANGA NESARIA FAZIL MADRASHA,109676,Madrasha,GOPALGANJ,TUNGIPARA,GIMADANGA (PART),89.83531,22.93669,5112,1
ULPUR  MOHILA  DAKHIL MADRASA,109476,Madrasha,GOPALGANJ,GOPALGANJ SADAR,ULPUR,89.89253,22.89022,5113,1
GOPALGONJ MOHILA Fazil Model MADRASHA,109478,Madrasha,GOPALGANJ,GOPALGANJ SADAR,LAUNCHGHAT PARA (KHATRA),89.95314,23.10417,5114,1
KARPARA  UNIUON Dakhil MADRASA,109474,Madrasha,GOPALGANJ,GOPALGANJ SADAR,KARPARA,89.82486,23.00456,5115,1
NILOKHI   DAKHIL MADRADA,109475,Madrasha,GOPALGANJ,GOPALGANJ SADAR,DURGAPUR,89.76636,23.12706,5116,1
GOPALGONJ SALEHIA KAMIL MADRASAH,109477,Madrasha,GOPALGANJ,GOPALGANJ SADAR,PASCHIM THANAPARA (KHATRA),89.82131,23.00875,5117,1
FASLIS  DSS  DAKHIL  MADRASA,109529,Madrasha,GOPALGANJ,KASHIANI,FALSI,89.82503,22.99875,5118,1
PROVAKARDI  A S DAKHIL MADRASHA,109642,Madrasha,GOPALGANJ,MUKSUDPUR,UTTAR PROVAKARDI,89.82831,23.00711,5119,1
MUKSUDPUR FAZIL  MADRASHA,109643,Madrasha,GOPALGANJ,MUKSUDPUR,TENGRAKHOLA,89.78736,23.11775,5120,1
KAMLAPUR ALIM MADRASAH,109646,Madrasha,GOPALGANJ,MUKSUDPUR,PURBA KAMALPUR,89.86869,23.32042,5121,1
JHUTIGRAM ISLAMIA DAKHIL MADRASHA,109652,Madrasha,GOPALGANJ,MUKSUDPUR,JUTHIGRAM,89.88353,23.29325,5122,1
BAHARA MOHILA DAKHIL MADRASAH,109641,Madrasha,GOPALGANJ,MUKSUDPUR,BARA BAHARA,89.87233,23.24272,5123,1
BAHARA MOULOVI BAZAR ALIM MADRASHA,109644,Madrasha,GOPALGANJ,MUKSUDPUR,BARA BAHARA,89.86247,23.23969,5124,1
VAJANDI ADORSHO BALIKA DAKHIL MADRASHA,109650,Madrasha,GOPALGANJ,MUKSUDPUR,BHAJANDI,89.96244,23.341,5125,1
DIGNAGAR FAZIL MADRASHA,109636,Madrasha,GOPALGANJ,MUKSUDPUR,DIGNAGAR,89.95722,23.34431,5126,1
SALINA BOXA DAKHIL MADRASAH,109648,Madrasha,GOPALGANJ,MUKSUDPUR,SALINABAKSA,90.00442,23.30239,5127,1
BEJRA VATRA mu ALIM MADRASHA,109637,Madrasha,GOPALGANJ,MUKSUDPUR,BEJARA,89.91986,23.24556,5128,1
BEZRA VATRA SIDDIQUIA MOHILA ALIM MADRASAH,109647,Madrasha,GOPALGANJ,MUKSUDPUR,BEJARA,89.91867,23.22014,5129,1
PANCHARA ASLAM MUNSHI DAKHIL MADRASHA,131701,Madrasha,GOPALGANJ,MUKSUDPUR,PANCHRA,89.84289,23.24653,5130,1
LOHACHURA DARUL ULUM ISLAMIA DAKHIL MADRASAH,109640,Madrasha,GOPALGANJ,MUKSUDPUR,LOHACHURA,89.84303,23.26108,5131,1
SHIEKH FAZILATUNNESA MODEL MOHILA ALIM MADRASHA,109649,Madrasha,GOPALGANJ,MUKSUDPUR,LOHACHURA,89.841,23.24258,5132,1
LOHAIR DARUL ULUM FAZIL MADRASHA,109638,Madrasha,GOPALGANJ,MUKSUDPUR,LOHAIR,89.84278,23.24472,5133,1
BANGRAM ISLAMIA DAKHIL MADRASAH,109635,Madrasha,GOPALGANJ,MUKSUDPUR,MADHYA BANAGRAM,89.85019,23.258,5134,1
SHEIKH ABDUR RAZZAK ALIM MADRASAH,109651,Madrasha,GOPALGANJ,MUKSUDPUR,KRISHNADIA,89.94336,23.27042,5135,1
PANCHURIA DAKHIL MADRASA,109634,Madrasha,GOPALGANJ,MUKSUDPUR,PANCHURIA,89.96189,23.21886,5136,1
UJANI AZIZIA DAKHIL MADRASA,109639,Madrasha,GOPALGANJ,MUKSUDPUR,UJANI,89.89703,23.21075,5137,1
PURBA UTTAR KOTALI PARA FAZIL MADRASHA,109585,Madrasha,GOPALGANJ,KOTALIPARA,GACHHA PARA,89.89725,23.19372,5138,1
BALUHAR  ISLAMIA  DAKHIL MADRASA,109588,Madrasha,GOPALGANJ,KOTALIPARA,BALUHAR,90.06428,22.98314,5139,1
KUSHLA NESARIA SENIOR FAZIL MADRASHA,109584,Madrasha,GOPALGANJ,KOTALIPARA,TUTA PARA,90.00289,22.90244,5140,1
RADHAGANJ  SARBAJANIN  DAKHIL MADRASA,131619,Madrasha,GOPALGANJ,KOTALIPARA,CHHOTA DIGHALIA,89.98169,22.95081,5141,1
DOMRAKANDI NURUL ISLAM FAZIL MADRASAH,109530,Madrasha,GOPALGANJ,KASHIANI,RAJPAT DOMRAKANDI,89.70022,23.20972,5142,1
GOALGRAM KAMIL MADRASHA,109526,Madrasha,GOPALGANJ,KASHIANI,GOALGRAM,89.72747,23.22675,5143,1
JOYNAGOR M.U. SENIOR (ALIM) MADRASHA,109527,Madrasha,GOPALGANJ,KASHIANI,MAHESHPUR,89.82028,23.24353,5144,1
PARULIA  DAKHIL MADRASA,109533,Madrasha,GOPALGANJ,KASHIANI,BARA PARULIA,89.81439,23.18014,5145,1
BOROIHAT SIDDIQUIA SENIOR ALIM MADRASHA,109525,Madrasha,GOPALGANJ,KASHIANI,BARA BAHIRBHAG,89.78833,23.21769,5146,1
PARKARFA ZALALIA DAKHIL MADRASHA,109531,Madrasha,GOPALGANJ,KASHIANI,PAR KARFA,89.69092,23.18636,5147,1
MAJRA MOHIUL ULAM FAZIL MADRASAH,109524,Madrasha,GOPALGANJ,KASHIANI,BHATTAI DHOBA,89.74261,23.18906,5148,1
BASURIA SENERCHAR HIGH SCHOOL,109668,School,GOPALGANJ,TUNGIPARA,BARNI,90.32108,24.02118,15306,1
BORNI HIGH SCHOOL,109661,School,GOPALGANJ,TUNGIPARA,BARNI,90.36376,23.97036,15307,1
BEGUM FATEMA SGCONDARY GIRLS SCHOOL,109672,School,GOPALGANJ,TUNGIPARA,JHANJHANIA,90.43223,24.00358,15308,1
BASHBARIA JHANJHANIA SECONDARY SCHOOL,109667,School,GOPALGANJ,TUNGIPARA,JHANJHANIA,90.40511,24.06242,15309,1
DUMARIA ML SECONDARY SCHOOL,109662,School,GOPALGANJ,TUNGIPARA,CHHOTA DUMURIA,89.87039,22.93258,15310,1
TARAIL ADARSHA MADHYAMIK VIDYALOY,109671,School,GOPALGANJ,TUNGIPARA,BHAIRABNAGAR,89.86903,22.95969,15311,1
BUADHANA SILNA BINDU BASHINI HIGH SHOOL,109660,School,GOPALGANJ,TUNGIPARA,GUADHANA,89.94278,22.85072,15312,1
GOPALPUR PANCHA PALLI HIGH SCHOOL,109663,School,GOPALGANJ,TUNGIPARA,GOPALPUR,89.942,22.84914,15313,1
KUSHLI ISLAMIA HIGH SCHOOL,109664,School,GOPALGANJ,TUNGIPARA,KUSHLI,89.94719,22.91508,15314,1
NILFA  BOYRA  HIGH SCHOOL,109659,School,GOPALGANJ,TUNGIPARA,NILFA,89.93775,22.85556,15315,1
TREEPALLI SHAK ABU NASAR JU SCHOOL,109675,School,GOPALGANJ,TUNGIPARA,PATGATI (PART),89.87664,22.98044,15316,1
GIMADANGA IDEAL HIGH SCHOOL,109665,School,GOPALGANJ,TUNGIPARA,GIMADANGA (PART),89.92703,22.97828,15317,1
BANGABANDHU SMRITY GOVT.  GIRLS HIGH SCHOOL,109670,School,GOPALGANJ,TUNGIPARA,GIMADANGA (PART),89.91742,22.95356,15318,1
GIMADANGA TUNGIPARA GOVT HIGH SCHOOL,109658,School,GOPALGANJ,TUNGIPARA,GIMADANGA (PART),89.85936,22.94367,15319,1
KUSHLI KHAN SAHEB SK, MOSHARRAF HOSSAIN junior SCHOOL,109674,School,GOPALGANJ,TUNGIPARA,KUSHLI,89.87744,22.92061,15320,1
HAZI KHORSHED SAPTA PALLI HIGH SCHOOL,109459,School,GOPALGANJ,GOPALGANJ SADAR,MAKIMPUR MANIKHA,89.88953,22.89731,15321,1
NIZRA SIKIPARA S K M JR. SCHOOL,109469,School,GOPALGANJ,GOPALGANJ SADAR,PADMABILA,89.88983,22.89653,15322,1
WOOLPUR P.C HIGH SCHOOL,109438,School,GOPALGANJ,GOPALGANJ SADAR,ULPUR,89.87997,22.92056,15323,1
