inst name, eiin, inst_type, district, thana, mauza, long, lat, serial,isUnique
SHAISTAGONJ DEGREE COLLEGE,129448,College,HABIGANJ,HABIGANJ SADAR,ALAPUR,91.462715,24.276262,785,1
INATHGANJ COLLEGE,129525,College,HABIGANJ,NABIGANJ,MUSTAFAPUR,91.566299,24.665367,786,1
SHACHINDRA COLLEGE,129373,College,HABIGANJ,BANIACHONG,JHITKA,91.351807,24.516291,787,1
AJMIRIGANJ DeGree  COLLEGE,129325,College,HABIGANJ,AJMIRIGANJ,AJMIRIGANJ (PART),91.74222,24.31444,788,1
PAHARPUR ADARSHO COLLEGE,131953,College,HABIGANJ,AJMIRIGANJ,BADALPUR,91.23905,24.54646,789,1
JONAB ALI DEGREE COLLEGE,129372,College,HABIGANJ,BANIACHONG,CHOWDHURY PARA,91.28817,24.50464,790,1
BAHUBAL degree COLLEGE,129343,College,HABIGANJ,BAHUBAL,ISLAMPUR (PART),91.29608,24.39867,791,1
ALIF SUBHAN CHOWDURY COLLEGE,129342,College,HABIGANJ,BAHUBAL,RUPSHANKAR,91.47897,24.32311,792,1
NABIGONJ DEGREE COLLEGE,129524,College,HABIGANJ,NABIGANJ,MADANPUR,91.58609,24.51139,793,1
CHUNARUGHAT GOVT DEGREE COLLEGE,129412,College,HABIGANJ,CHUNARUGHAT,KARIMPUR (PART),91.56755,24.60672,794,1
BRINDABAN GOVT COLLEGE HABIGANJ,129447,College,HABIGANJ,HABIGANJ SADAR,COLLEGE & ANSAR QUA,91.44822,24.15205,795,1
GOVT.HABIGONJ MOHILA COLLEGE,129449,College,HABIGANJ,HABIGANJ SADAR,UTTAR RAJNAGAR,91.4231,24.39238,796,1
MUKTIJODDHA ZIA COLLEGE,129462,College,HABIGANJ,LAKHAI,KATIHARA,91.41202,24.38125,797,1
SYED SAYEEDUDDIN DEGREE COLLEGE,129493,College,HABIGANJ,MADHABPUR,PURBA MADHABPUR (PART-2),91.35627,24.00931,798,1
SHAHJALAL COLLEGE,129492,College,HABIGANJ,MADHABPUR,AFZALPUR,91.35704,24.11179,799,1
DHARMAGHAR degree college,129494,College,HABIGANJ,MADHABPUR,DATTA PARA,91.32658,24.08196,800,1
JAMEA REDWANIYA DAKHIL MADRASHA,129370,Madrasha,HABIGANJ,BANIACHONG,AMIRKHANI,91.31921,24.64574,5149,1
RASULPUR JAMEA AHMODIAH SUNNIA DAKHIL MADRASHA,129340,Madrasha,HABIGANJ,BAHUBAL,PURBA RASULPUR,91.40583,24.5933,5150,1
DIMURA RAHMANIA FAZIL MADRASHA,129336,Madrasha,HABIGANJ,BAHUBAL,DIMURA,91.53444,24.3893,5151,1
HAFIZPUR MOHILA DAKHIL MADRASHA,129337,Madrasha,HABIGANJ,BAHUBAL,DAKSHIN SULTANPUR (PART),91.54068,24.3412,5152,1
MIRPUR DAKHIL MADRASA,129341,Madrasha,HABIGANJ,BAHUBAL,RUPSHANKAR,91.55559,24.3149,5153,1
NOBIgONj NAHARPUR SHAHJALAL (R) DAKHIL MADRASHA,129519,Madrasha,HABIGANJ,NABIGANJ,NAHARPUR,91.55457,24.38421,5154,1
SYEDPUR BAZAR FAZIL MADRASHA,129511,Madrasha,HABIGANJ,NABIGANJ,UTTAR UMARPUR,91.51157,24.57231,5155,1
TAZIA MOBASHIRIA ALIM MADRASHA,129512,Madrasha,HABIGANJ,NABIGANJ,DHULCHATAL,91.51397,24.56806,5156,1
DINARPUR DAKHIL MADRASAH,129513,Madrasha,HABIGANJ,NABIGANJ,RUDRAGAON,91.52821,24.56531,5157,1
RUSTOMPUR MOUZA SUNNIA dHAKHIL MADRASAH,129520,Madrasha,HABIGANJ,NABIGANJ,FATAR CHAR,91.61275,24.59707,5158,1
KOSHBA ISLAMIA DAKHIL MADRASAH,131805,Madrasha,HABIGANJ,NABIGANJ,DIGHALBAK,91.59906,24.57092,5159,1
MOSTAFAPUR ANUWARUL ULUM DAKHIL MADRASHA,129514,Madrasha,HABIGANJ,NABIGANJ,MUSTAFAPUR,91.51377,24.57128,5160,1
TAHIRPUR NOYMOUJA ETTAQIA ALIM MADRASAH,129510,Madrasha,HABIGANJ,NABIGANJ,KALLANPUR,91.5707,24.61771,5161,1
KURSHI TAJKERAY AHLAY BOYTEYA DAKHIL MADRASHA,129522,Madrasha,HABIGANJ,NABIGANJ,KURSHI,91.58482,24.64871,5162,1
DARUL HIKMA JAMEEYA ISLAMIA DAKHIL MADRASHA,129523,Madrasha,HABIGANJ,NABIGANJ,PURBA TIMIRPUR,91.57554,24.65695,5163,1
HAZI ALLIM ULLAH SENIOR ALIM MADRASHA,129407,Madrasha,HABIGANJ,CHUNARUGHAT,GOGAURA (PART),91.52104,24.5891,5164,1
GUGAURA DAKHIL MADRASHA,129403,Madrasha,HABIGANJ,CHUNARUGHAT,GOGAURA (PART),91.46829,24.22359,5165,1
SAYED KUTUBUL AOWLIA DAKHIL MADRASAH,129408,Madrasha,HABIGANJ,CHUNARUGHAT,NARPATI (PART),91.52156,24.1992,5166,1
DARUL ISLAM RAHMANIA  FAZIL MADRASHA,129411,Madrasha,HABIGANJ,CHUNARUGHAT,NARPATI (PART),91.44554,24.24281,5167,1
GAZIPUR RAHMANIA SUNNIA DAKHIL MADRASA,129404,Madrasha,HABIGANJ,CHUNARUGHAT,GAZIPUR,91.50125,24.26006,5168,1
JARULIA ISLAMIA DAKHIL MADRASA,129402,Madrasha,HABIGANJ,CHUNARUGHAT,JARULIA,91.50314,24.23396,5169,1
ADAM PUR GUSIHA SUNNHA DAKHIL MADRASHA,129405,Madrasha,HABIGANJ,CHUNARUGHAT,MUCHHIKANDI,91.56491,24.1167,5170,1
