inst name, eiin, inst_type, district, thana, mauza, long, lat, serial,isUnique
MIRZA AZAM COLLEGE,110078,College,JAMALPUR,MADARGANJ,GUNERBARI,89.787941,24.826931,801,1
SARISABARI COLLEGE,110215,College,JAMALPUR,SARISHABARI UPAZILA,BIR DHANATA,89.83719,24.74992,802,1
SHARISABARI MAHMUDA SALAM MOHILA COLLEGE,110214,College,JAMALPUR,SARISHABARI UPAZILA,BHURARBARI,89.832,24.74539,803,1
BANGA BANDHU COLLEGE,110216,College,JAMALPUR,SARISHABARI UPAZILA,BIR DHANATA,89.83447,24.74925,804,1
SUJAT ALI COLLEGE PINGNA,110217,College,JAMALPUR,SARISHABARI UPAZILA,BARAIPATAL,89.86761,24.75542,805,1
POGALDIGHA COLLEGE,110218,College,JAMALPUR,SARISHABARI UPAZILA,POGALDIGHA,89.79278,24.70975,806,1
SHAHEED ZIAUR RAHMAN COLLEGE,109995,College,JAMALPUR,JAMALPUR SADAR,BEGHERHATA,89.96544,24.90389,807,1
GOVT. ASHEK MAHMUD COLLEGE, JAMALPUR,109996,College,JAMALPUR,JAMALPUR SADAR,BAGABAID,89.94475,24.92361,808,1
GOVT. ZAHEDA SAFIR MOHILA COLLEGE,109994,College,JAMALPUR,JAMALPUR SADAR,MAHILA COLLEGE AREA,89.91067,24.92256,809,1
JHAWLA GOPALPUR COLLEGE,109992,College,JAMALPUR,JAMALPUR SADAR,JHAULA,90.05381,24.82225,810,1
DIGPAIT SHAMSL HOQ   DEGREE    COLLEGE,109997,College,JAMALPUR,JAMALPUR SADAR,DIGPAITH,89.92747,24.76786,811,1
JINNATON AFSOR MOHILA COLLGE,109993,College,JAMALPUR,JAMALPUR SADAR,NARUNDI,89.85886,24.84192,812,1
NANDINA SHEKH ANWAR HOSSAIN COLLEGE,109991,College,JAMALPUR,JAMALPUR SADAR,KHARKHARIA,90.03153,24.86528,813,1
TULSHI PUR COLLEGE,109999,College,JAMALPUR,JAMALPUR SADAR,RASHIDPUR,90.03694,24.86847,814,1
DR ABDUL MAZID TALLUKDER COLLEGE,110000,College,JAMALPUR,JAMALPUR SADAR,RUPSI,89.92825,24.82942,815,1
MELANDAHA GOVT.COLLEGE,110150,College,JAMALPUR,MELANDAHA,UTTAR ADIPAIT (PART),89.85094,24.97931,816,1
JAHANARA LATIF MOHILA COLLEGE,110149,College,JAMALPUR,MELANDAHA,MELENDAH BAZAR,89.83089,24.98236,817,1
HAZRABARI SIRAJUL HAQUE DEGREE COLLEGE,110151,College,JAMALPUR,MELANDAHA,HAZRABARI,89.81692,25.0585,818,1
S. M. SHEKHA MUKHLESUR RAHMAN COLLEGE,131967,College,JAMALPUR,MELANDAHA,SAGUNA,89.81433,24.85867,819,1
SHEIKH KAMAL COLLEGE,110148,College,JAMALPUR,MELANDAHA,GHOSHER PARA,89.80642,24.8675,820,1
ALEYA AZAM COLLEGE,110147,College,JAMALPUR,MELANDAHA,TANKI,89.78611,24.99106,821,1
HABIBUR RAHMAN COLLEGE,110152,College,JAMALPUR,MELANDAHA,NANGLA PARA BAGA,89.77503,24.967,822,1
MADERGONJ A.H.Z GOVT.COLLEGE,110076,College,JAMALPUR,MADARGANJ,DAKSHIN GABER GARAM,89.85544,24.95169,823,1
NURUNNAHA MIRZA KASEM MOHILA DEGREE COLLEGE,110077,College,JAMALPUR,MADARGANJ,BALAD BHARA,89.74019,24.95053,824,1
KHAJA SHAH SUFI YOUNUS ALI COLLEGE,110079,College,JAMALPUR,MADARGANJ,KHURDA JONAIL (PART),89.77325,24.89783,825,1
BARISTER ABDUS SALAM TALUKDER COLLEGE,110075,College,JAMALPUR,MADARGANJ,GUNARITALA,89.77625,24.88367,826,1
ISLAMPUR M A SAMAD PARVEZ MEMORIAL MOHILA COLLEGE,109855,College,JAMALPUR,ISLAMPUR,MAUZA ZALLA,89.79094,24.88958,827,1
ISLAMPUR COLLEGE,109857,College,JAMALPUR,ISLAMPUR,GAONKURA,89.75508,25.13283,828,1
S,N,C,ADORSHA COLLEGE,109858,College,JAMALPUR,ISLAMPUR,CHINADULI,89.72861,25.05739,829,1
MOLOM GONJ MODEL COLLEGE,109856,College,JAMALPUR,ISLAMPUR,PATHARSHI,89.75342,25.13069,830,1
SANANDA BARI DEGREE COLLEGE,109777,College,JAMALPUR,DEWANGANJ,SANANDABARI,89.742,25.33367,831,1
A K MEMORIAL COLLEGE,109776,College,JAMALPUR,DEWANGANJ,CHUKAIBARI(PART),89.71853,25.22614,832,1
M M MEMORIAL COLLEGE,109778,College,JAMALPUR,DEWANGANJ,HATEBHANGA,89.769,25.28583,833,1
BAKSHIGANJ GOVT.KIAMAT ULLAH COLLEGE,109725,College,JAMALPUR,BAKSHIGANJ,RAJENDRAGANJ,89.84242,25.21481,834,1
KHATEMON MOIN MOHILA DEGREE COLLEGE,109724,College,JAMALPUR,BAKSHIGANJ,CHAR KAURIA,89.87411,25.19028,835,1
KASTOSINGA ISLAMIA DAKHIL MADRASHA,109983,Madrasha,JAMALPUR,JAMALPUR SADAR,KASHTASINGA,90.01928,24.22167,5194,1
SRISHABARI BALIKA DAKHIL MADRASHA,110206,Madrasha,JAMALPUR,SARISHABARI UPAZILA,SATPOA,90.07806,24.26567,5195,1
ARAMNAGoR KAMIL MADRASAH,110193,Madrasha,JAMALPUR,SARISHABARI UPAZILA,SATPOA,89.89725,24.799,5196,1
DOULATPUR FAZIL MADRASHA,110195,Madrasha,JAMALPUR,SARISHABARI UPAZILA,DAYALPUR,89.91717,24.77533,5197,1
PANCHASHI REZAUL HQUE KABERIA DAKHOL MADRASA,110208,Madrasha,JAMALPUR,SARISHABARI UPAZILA,PANCHASI,89.85586,24.78075,5198,1
NAUGOLA FAYZER MORE DAKHIL MADRASHA,110203,Madrasha,JAMALPUR,SARISHABARI UPAZILA,KUTURIA,89.81778,24.66417,5199,1
MOHISHA BADURIA DAKHIL MADRASHa,110205,Madrasha,JAMALPUR,SARISHABARI UPAZILA,MOHISHABADURIA,89.85881,24.66769,5200,1
DIKKIR BONDA DARUS SUNNAH ALIM MADRASHA,110198,Madrasha,JAMALPUR,SARISHABARI UPAZILA,CHAPARKONA,89.87231,24.77842,5201,1
GARADOBA SIRATUNNABI ALIM MADRASHA,110204,Madrasha,JAMALPUR,SARISHABARI UPAZILA,GRAM NIKAI,89.87658,24.81275,5202,1
BARBARIA DAKHIL MADRASAH,110191,Madrasha,JAMALPUR,SARISHABARI UPAZILA,BARABARIA,89.84325,24.71067,5203,1
SHUAKAIR HASSEN ALI DAKHIL MADRSHA,110192,Madrasha,JAMALPUR,SARISHABARI UPAZILA,SUAKAIR,89.8625,24.67975,5204,1
BANGRAM H T L DAKHIL MADRASAH,110197,Madrasha,JAMALPUR,SARISHABARI UPAZILA,BANAGRAM,89.85061,24.75403,5205,1
BILBALIA MOHILA DAKHIL MADRASHA,110196,Madrasha,JAMALPUR,SARISHABARI UPAZILA,BILBALIA,89.89925,24.74561,5206,1
HIRANNA BARI DARUSSUNNA DAKHIL MADRASA,110199,Madrasha,JAMALPUR,SARISHABARI UPAZILA,HIRAN NAYABARI,89.86639,24.75819,5207,1
SENGUA DARUL HUDA FAZIL MADRASHA,110194,Madrasha,JAMALPUR,SARISHABARI UPAZILA,SENGUA,89.90489,24.75503,5208,1
BAGASRA ISLAMIA DAKHIL MADRASHA,110210,Madrasha,JAMALPUR,SARISHABARI UPAZILA,DARIMIA,89.89767,24.765,5209,1
PATABUGA DAKHIL MADRASA,110207,Madrasha,JAMALPUR,SARISHABARI UPAZILA,BINNAFAIR,89.82014,24.70103,5210,1
ADRA ABDUL GAFUR ZAINAL ABEDIN ALIM MADRASHA,110201,Madrasha,JAMALPUR,SARISHABARI UPAZILA,ADRA,89.82628,24.68558,5211,1
CHAR JAMIRA NABAB ALI DHAKIL MADRASAH,110209,Madrasha,JAMALPUR,SARISHABARI UPAZILA,CHAR JAMIRA,89.8455,24.72825,5212,1
CHAR SARISHA BARI BALIKA DHAKHIL MADRASHA,110211,Madrasha,JAMALPUR,SARISHABARI UPAZILA,SARISHABARI,89.82964,24.68869,5213,1
KONABAR DAKHIL MADRASHA,110200,Madrasha,JAMALPUR,SARISHABARI UPAZILA,SIMLA MADHAB KONABARI,89.79067,24.74233,5214,1
