inst name, eiin, inst_type, district, thana, mauza, long, lat, serial,isUnique
CANTONMENT  COLLEGE  ,  JESSORE,116109,College,JESSORE,KOTWALI,JESSORE CANTONMENT,89.189552,23.170759,836,1
NOAPARA COLLEGE,115543,College,JESSORE,ABHAYNAGAR,PURBA GOAKHOLA,89.401192,23.017571,837,1
KAPATACKHA SHAMMILANI DEGREE COLLEGE,115943,College,JESSORE,KESHABPUR,SARASKATI,89.219093,22.905989,838,1
GOVT. BIR SHREATHA   NOOR  MOHAMMAD  DEGREE COLLEGE,116385,College,JESSORE,SHARSHA,TEBARIA,89.213364,23.162268,839,1
benapol degree college,116387,College,JESSORE,SHARSHA,PORABARI,88.901154,23.041409,840,1
PAKSHIA IDEAL COLLEGE,116386,College,JESSORE,SHARSHA,TENGRALI,89.17589,23.37376,842,1
NAVARAN  COLLEGE,116384,College,JESSORE,SHARSHA,BURUZ BAGAN,88.99727,23.05769,843,1
FAZILA TUNNESA MOHILA DIGree COLLEGE,116383,College,JESSORE,SHARSHA,BURUZ BAGAN,88.9451,23.0628,844,1
SARSHA  UPAZILLA  COLLEGE,116381,College,JESSORE,SHARSHA,SARSHA,88.95035,23.0566,845,1
DR:  AFIL  UDDIN COLLEGE,116382,College,JESSORE,SHARSHA,BAGACHRA,88.98458,22.95536,846,1
MUKTERSWARI  DEGREE  COLLEGE,116307,College,JESSORE,MANIRAMPUR,PANCHKATIA,89.29533,23.03547,847,1
BALIADANGA KHANPUR COLLEGE,116312,College,JESSORE,MANIRAMPUR,KHANPUR,89.27126,22.99191,848,1
BANKRA  DEGREE  COLLEGE,115807,College,JESSORE,JHIKARGACHHA,UJJALPUR,89.22666,22.95516,851,1
MONIRAMPUR MAHILA DEGREE COLLEGE,116308,College,JESSORE,MANIRAMPUR,MOHANPUR (PART),89.07667,22.97639,853,1
MONIRAMPUR DEGREE COLLEGE,116310,College,JESSORE,MANIRAMPUR,HAKOBA,89.23339,23.01575,854,1
SAMMILANI DEGREE COLLEGE,116309,College,JESSORE,MANIRAMPUR,MADANPUR,89.09739,22.99856,855,1
RAJGANJ MOHABIDDALAYA,116304,College,JESSORE,MANIRAMPUR,MANOHARPUR,89.14606,22.98667,856,1
SHAHEED MUKTIJODDHA A.R.GIRLS COLLEGE,116302,College,JESSORE,MANIRAMPUR,BAJITPUR,89.11844,23.01314,857,1
SABUZ POLLI COLLEGE,116313,College,JESSORE,MANIRAMPUR,JALALPUR,89.161,23.02653,858,1
MATRIVASHA MAHABIDDALOY,116306,College,JESSORE,MANIRAMPUR,KHEDA PARA,89.19614,23.04486,859,1
MASHIAHATI DEGREE COOEGE,116311,College,JESSORE,MANIRAMPUR,KULTIA,89.29794,22.99892,860,1
PANJIA MAHABIDDALAYA,115948,College,JESSORE,KESHABPUR,MADARDANGA,89.13453,22.8485,862,1
TITA BAZITPUR M. K. B. MOHILA COLLEGE,131954,College,JESSORE,KESHABPUR,BHANDARKHOLA,89.18136,22.91744,863,1
MUKTIZUDDA MAHABIDYALAYA,115949,College,JESSORE,KESHABPUR,KABILPUR,89.23381,22.91281,864,1
HIZALDANGA SHAHID FLIGHT. LT. MASUD MEMORIAL COLLEGE,115945,College,JESSORE,KESHABPUR,HIZALDANGA,89.20506,22.83022,865,1
KESHABPUR COLLEGE,115944,College,JESSORE,KESHABPUR,ALTAPOL (PART),89.23264,22.85725,866,1
HAZI ABDUL MOTALEB MAHILA COLLEGE,115946,College,JESSORE,KESHABPUR,ALTAPOL (PART),89.17936,22.83936,867,1
GANGANANDAPUR DEGREE COLLEGE,115803,College,JESSORE,JHIKARGACHHA,GANGANANDAPUR,89.21903,22.90881,868,1
SHIMULIA COLLAGE,115808,College,JESSORE,JHIKARGACHHA,SHIMULIA GOPINATHPUR,89.09781,22.96636,869,1
SHAMMALINI  GIRLS  DEGREE  COLLEGE,115806,College,JESSORE,JHIKARGACHHA,KRISHNANAGAR (PART),89.04175,23.07436,870,1
SHAHEED MOSHIUR RAHMAN DEGREE COLLEGE,115804,College,JESSORE,JHIKARGACHHA,MOBARAKPUR,89.09742,23.10594,871,1
JHIARGACHA  MOHILA  DEGREE  COLLEGE,115805,College,JESSORE,JHIKARGACHHA,HAZIR ALI,89.09739,23.10578,872,1
MUKTIJODDHA COLLEGE,116111,College,JESSORE,KOTWALI,RUDRAPUR,89.17965,23.12251,873,1
JESSORE GOVERNMENT CITY COLLEGE JESSORE,116108,College,JESSORE,KOTWALI,BARANDI PARA NO.2 COLONY,89.24041,23.09401,874,1
ICHHALI MODEL COLLEGE,116113,College,JESSORE,KOTWALI,ICHHALI,89.19441,23.1824,875,1
KAZI NAZRUL ISLAM DEGREE COLLEGE,116100,College,JESSORE,KOTWALI,BARA HAIBATPUR,89.1516,23.24725,876,1
JESSORE COLLEGE,116110,College,JESSORE,KOTWALI,MOBARAKKATI,89.21422,23.16339,877,1
JESSORE GOVT. MOHILA COLLEGE, JOSSORE,116107,College,JESSORE,KOTWALI,KHAYERTALA (PURATON),89.21089,23.16308,878,1
DR. ABDUR RAZZAK MUNICIPAL COLLEGE, JESSORE,116104,College,JESSORE,KOTWALI,KHORKI,89.21275,23.15044,879,1
GOVERNMETN M. M. COLLEGE, JESSORE,116101,College,JESSORE,KOTWALI,KHORKI,89.20742,23.16286,880,1
SINGIA ADARSHA DEGREE GOLLEGE,116099,College,JESSORE,KOTWALI,GADGACHHI,89.33933,23.11214,881,1
HAMIDPUR AL HERA  COLLEGE,116102,College,JESSORE,KOTWALI,HAMIDPUR,89.27781,23.16447,882,1
RUPDIA SHAHeeD SMARITy COLLEGE,116103,College,JESSORE,KOTWALI,GHORAGACHHA,89.29514,23.12994,883,1
UPASHAHAR DEGREE COLLEGE,116106,College,JESSORE,KOTWALI,KISMAT NOWA PARA (PART),89.28969,23.12461,884,1
UPASHAHaR  MOHILA degree COLLEGE,116105,College,JESSORE,KOTWALI,KISMAT NOWA PARA (PART),89.20928,23.1835,885,1
