inst name, eiin, inst_type, district, thana, mauza, long, lat, serial,isUnique
JHALAKATHI GOVT COLLEGE,101709,College,JHALOKATI,JHALOKATI SADAR,PASCHIM CHANDKATI 3,90.19883,22.649353,913,1
NALCHITY COLLEGE,101867,College,JHALOKATI,NALCHITY,NALCHITY (PASCHIM PART),90.267479,22.628471,914,1
DAPDAPIA UNION DEGREE COLLEGE,101869,College,JHALOKATI,NALCHITY,BHARATKATI,90.269485,22.629055,915,1
HEMAYET UDDIN DEGREE COLLEGE,101707,College,JHALOKATI,JHALOKATI SADAR,GUATAN,90.16325,22.62083,916,1
JHALAKATHI GOVT WOMEN'S COLLEGE,101708,College,JHALOKATI,JHALOKATI SADAR,MADHYA CHANDKATI,90.16083,22.61789,917,1
SHER-E-BANGLA FAZLUL HAQUE COLLEGE BINOYKATI,101710,College,JHALOKATI,JHALOKATI SADAR,BINOYKATI,90.15519,22.63356,918,1
TOFAZZOL HOSSIAN ( MANIK MIA) DGREE COLLEGE,101783,College,JHALOKATI,KANTHALIA,AURA,90.14833,22.41953,919,1
SHAHID RAJA DEGREE COLLAGE,101784,College,JHALOKATI,KANTHALIA,CHHONAUTA,90.13911,22.50106,920,1
manoswita  mahila MOHA BIDYALAY,101785,College,JHALOKATI,KANTHALIA,DAKSHIN SAULA JALIA,90.04853,22.41275,921,1
Z.A BHUTTO DEGREE COLLEGE,101868,College,JHALOKATI,NALCHITY,KATAKHALI,90.22011,22.52614,922,1
JOYKALASH TICHNICAL AND B.M. COLLEGE. (GENERAL),133822,College,JHALOKATI,NALCHITY,JOYKALAS,90.26531,22.63594,923,1
ALHAJ LALMAN HAMID WOMEN COLLEGE,101972,College,JHALOKATI,RAJAPUR,UTTAR CHAR BAGRI,90.06011,22.565,924,1
RAJAPUR DEGrEE COLLeGe,101973,College,JHALOKATI,RAJAPUR,RAJAPUR,90.20722,22.58222,925,1
BARAIY DEGREE COLLEGE,101975,College,JHALOKATI,RAJAPUR,BARAIA,90.09822,22.554,926,1
UTTAM NAGAR ISLAMIA ALIM MADRASHA,101682,Madrasha,JHALOKATI,JHALOKATI SADAR,UTTAM NAGAR,90.1595,22.66033,5627,1
SHIRJUG DARUL KORAN DAKHIL MADRASHA,101683,Madrasha,JHALOKATI,JHALOKATI SADAR,SIRJUG PRATAPPUR,90.21058,22.73031,5628,1
AZAHARIA DAKHIL MADRASHA,101684,Madrasha,JHALOKATI,JHALOKATI SADAR,RAMANATHPUR,90.18719,22.72956,5629,1
KUTUB NAGAR AZIZIA ALIM MADRASHA,101686,Madrasha,JHALOKATI,JHALOKATI SADAR,KRISHNAKATI,90.18408,22.69403,5630,1
