inst name, eiin, inst_type, district, thana, mauza, long, lat, serial,isUnique
GOVT. K.C. COLLEGE,116552,College,JHENAIDAH,JHENAIDAH SADAR,JHENAIDAH,89.179153,23.540285,927,1
GOVT NURUNNAHAR MOHILA COLLEGE,116550,College,JHENAIDAH,JHENAIDAH SADAR,KALIKAPUR,89.17041,23.545397,928,1
KHONDOKAR MOSHARRAF HOSSIAN GOVT COLLEGE,116676,College,JHENAIDAH,KOTCHANDPUR,BAZE BAMANDAHA,89.010353,23.410154,929,1
A ROUF DEGREE COLLEGE,116556,College,JHENAIDAH,JHENAIDAH SADAR,GOPINATHPUR,89.235367,23.575087,930,1
MOHESHPUR POURA MOHILA DEGREE COLLEGE,116754,College,JHENAIDAH,MAHESHPUR,MAHESHPUR (PART),88.91481,23.362354,931,1
SHAHID ZIAUR RAHMAN COLLEGE FATEHPUR,116750,College,JHENAIDAH,MAHESHPUR,PURANDAPUR,88.991028,23.389458,932,1
MD.SHAHIDUL ISLAM DEGREE COLLEGE,116748,College,JHENAIDAH,MAHESHPUR,BHAIRABA,88.910698,23.352676,933,1
JHENIDHA MAGURA SAMMILITO COLLEGE,116555,College,JHENAIDAH,JHENAIDAH SADAR,TIKARI,89.07304,23.4684,934,1
AMENA KHATUN  COLLEGE,116548,College,JHENAIDAH,JHENAIDAH SADAR,KUSABARIA,89.17358,23.43932,935,1
MALLIK SHAHIDUL ISLAM TECHNICAL COLLEGE,132662,College,JHENAIDAH,JHENAIDAH SADAR,GOPINATHPUR,89.17603,23.53339,936,1
JHENAIDAH COLLEGE,116551,College,JHENAIDAH,JHENAIDAH SADAR,ARAPPUR,89.14247,23.53961,937,1
RAICHARAN TARINICHARAN DEGREE COLLEGE,116553,College,JHENAIDAH,JHENAIDAH SADAR,LAUHAJANG,89.1904,23.51494,938,1
MUKTIJODDAH MOSHIUR RAHMAN COLLEGE,116557,College,JHENAIDAH,JHENAIDAH SADAR,LAUDIA,89.31233,23.56439,939,1
SHALEHA BEGUM MOHILA DEGREE COLLEGE,116443,College,JHENAIDAH,HARINAKUNDA,BIRAMPUR,89.02722,23.61972,940,1
M. A. KHALEQUE MAHABIDDALAYA,133839,College,JHENAIDAH,JHENAIDAH SADAR,KUMRABARIA,89.09778,23.66306,941,1
JORADAH COLLEGE,116447,College,JHENAIDAH,HARINAKUNDA,JORADAHA,89.11639,23.55833,942,1
HAZI ARASHAD ALI COLLEGE,116445,College,JHENAIDAH,HARINAKUNDA,KAPASHATI,89.14277,23.58709,943,1
MANDIA IDEAL COLLEGE,116446,College,JHENAIDAH,HARINAKUNDA,MADIA,89.15397,23.59456,944,2
GOVT LALON SHAH COLLAGE, HORINAKUNDA,116444,College,JHENAIDAH,HARINAKUNDA,HARINAKUNDA (PART),89.0175,23.69235,945,2
KOTCHANDPUR POWRO COLLEGE,116674,College,JHENAIDAH,KOTCHANDPUR,KASHIPUR PARA,89.12374,23.68195,946,1
S. D. DEGREE COLLEGE,116673,College,JHENAIDAH,KOTCHANDPUR,CHHAYKHADA,88.97594,23.40008,947,1
KOTCHANdpur PaURA  MOHILA  DEGREE  COLLEGE,116675,College,JHENAIDAH,KOTCHANDPUR,KOT CHANDPUR BAZAR (PURBA),89.04977,23.43472,948,1
G. T. COLLEGE TALSAR,116677,College,JHENAIDAH,KOTCHANDPUR,TALSAR,89.06357,23.45995,949,1
DR. SHAIFUL ISLAM COLLEGE,KATGARA,116747,College,JHENAIDAH,MAHESHPUR,SHYAMNAGAR,88.92111,23.37556,950,1
JADOBPUR  COLLEGE,116751,College,JHENAIDAH,MAHESHPUR,JADABPUR,88.95929,23.31072,951,1
GOVT. BIRSHRSTHA shahid HAMIDUR RAHMAN DEgree COLLEGE,116749,College,JHENAIDAH,MAHESHPUR,KHURD KHALISHPUR,88.89706,23.26983,952,1
PADMA PUKUR COLLEGE,116753,College,JHENAIDAH,MAHESHPUR,PADMA PUKHURIA,88.71922,23.29112,953,1
ALFATUNNESA  COLLEGE,116755,College,JHENAIDAH,MAHESHPUR,PIRGACHHA,88.78647,23.34875,954,1
MaHESHPUR GOVT. DEGREE COLLEGE,116752,College,JHENAIDAH,MAHESHPUR,JOGIHUDA,88.85647,23.36771,956,1
MIAH JINNAH ALAM DEGREE COLLEGE,116826,College,JHENAIDAH,SHAILKUPA,GARAKHOLA,89.22222,23.6725,957,1
KANCHER KOLE COLLEGE,116831,College,JHENAIDAH,SHAILKUPA,SADEKPUR,89.23472,23.66111,958,1
SHEIKH PARA DUKHI MAHAMUD DEGREE COLLEGE,116828,College,JHENAIDAH,SHAILKUPA,PADAMDI,89.21639,23.75028,959,1
SHAILKUPA CITY COLLEGE,116821,College,JHENAIDAH,SHAILKUPA,DAKSHIN KABITPUT,89.13192,23.70573,960,1
SHAILKUPA MOHILA DEGREE COLLEGE,116823,College,JHENAIDAH,SHAILKUPA,FAZILPUR,89.15624,23.71052,961,1
SHAILKUPA GOVT DEGREE COLLEGE,116825,College,JHENAIDAH,SHAILKUPA,NAGAR PARA,89.15949,23.70436,962,1
ADIL UDDIN COLLEGE,116827,College,JHENAIDAH,SHAILKUPA,MALTHIA,89.24616,23.67611,963,1
BANGaBANDHU MEMORIAL COLLEGE,116822,College,JHENAIDAH,SHAILKUPA,BHATAI,89.32465,23.68799,964,1
ABAIPUR JAMUNA SHIKDER COLLEGE,116830,College,JHENAIDAH,SHAILKUPA,GANGUTIA,89.18199,23.61129,965,1
JARIP BISWAS DEGREE COLLEGE,116824,College,JHENAIDAH,SHAILKUPA,BAGUTIA,89.34574,23.61791,966,1
KATLAGARI DEGREE COLLEGE,116829,College,JHENAIDAH,SHAILKUPA,UTTAR KRISHNANAGAR,89.25912,23.73963,967,1
MAHTAB UDDIN COLLEGE,116633,College,JHENAIDAH,KALIGANJ,PASCHIM KALIGANJA,89.25904,23.7432,968,1
SHAHID NUR ALI COLLEGE,116630,College,JHENAIDAH,KALIGANJ,FAYLA,89.26471,23.71425,969,1
ALHAZ AMZAD ALI AND FAIZUR RAHMAN MOHILA COLLEGE,KALIGONJ,116632,College,JHENAIDAH,KALIGANJ,NISCHINTAPUR,89.24602,23.7233,970,1
BARA BAZAR COLLEGE,116634,College,JHENAIDAH,KALIGANJ,BADE DIHI,89.1233,23.28269,971,1
MANGALPAYTA PARKHIDDA COLLEGE,116635,College,JHENAIDAH,KALIGANJ,PAR KSHIRDAHA,89.13067,23.41453,972,1
abu bakar biswas moksed ali college,116629,College,JHENAIDAH,KALIGANJ,CHAPRAIL,89.1376,23.31628,973,1
LAUTOLA COLLEGE,116631,College,JHENAIDAH,KALIGANJ,BARA GHIGHATI,89.09277,23.32441,974,1
GHORASHAL HAMIDIYA DAKHIL MADRASHA,116531,Madrasha,JHENAIDAH,JHENAIDAH SADAR,GHORSHAL,89.17146,23.48325,5736,1
BHUTIAR GATI ROSULPUR ALIM MADRASHA,116534,Madrasha,JHENAIDAH,JHENAIDAH SADAR,BHUTIAR GATI,89.51972,22.79233,5737,1
JHENIDAH MOHILA DAKHIL MADRASHA,116526,Madrasha,JHENAIDAH,JHENAIDAH SADAR,KALIKAPUR,89.04694,23.59222,5738,1
JHINAIDAH SIDDIKIA KAMIL MADRASHA,116527,Madrasha,JHENAIDAH,JHENAIDAH SADAR,JHENAIDAH,89.16894,23.53322,5739,1
PANCHAGRAM MUKTIJODDAH MOSHIUR RAHMAN DAKHIL MADRASHA,116545,Madrasha,JHENAIDAH,JHENAIDAH SADAR,MAHISAKUNDA,89.16978,23.5725,5740,1
HAT GOPALPUR BHOMRA DANGA DAKHIL MADRASHA,116530,Madrasha,JHENAIDAH,JHENAIDAH SADAR,TIORDAHA,89.25597,23.55869,5741,1
LAUDIA  PIR DEWAN ALIM MADRASAH,116532,Madrasha,JHENAIDAH,JHENAIDAH SADAR,LAUDIA,89.28361,23.53433,5742,1
UTTAR CUSTASUGRA  SIDDIKIA DAKHIL MADRASHA,116537,Madrasha,JHENAIDAH,JHENAIDAH SADAR,BANKIRA,89.30535,23.52376,5743,1
NUR NAGAR SIDDIQIA ALIM MADRASHA,116529,Madrasha,JHENAIDAH,JHENAIDAH SADAR,JOYRAMPUR,89.17176,23.51467,5744,1
BAIRATALA DAKHIL MADRASAH,116524,Madrasha,JHENAIDAH,JHENAIDAH SADAR,BAYRATALA,89.17071,23.51261,5745,1
MUDHUPUR DAKHIL MADRASHA,116540,Madrasha,JHENAIDAH,JHENAIDAH SADAR,MADHUHATI,89.22721,23.52044,5746,1
DAKHALPUR SIDDIKIA FAZIL MADRASAH,116432,Madrasha,JHENAIDAH,HARINAKUNDA,DAULATPUR,89.20334,23.5427,5747,1
RISKHALI DAKHIL MADRASHA,116441,Madrasha,JHENAIDAH,HARINAKUNDA,RISKHALI,89.1681,23.50957,5748,1
SONATON PUR DAKHIL MADRSHAH,116439,Madrasha,JHENAIDAH,HARINAKUNDA,SONATANPUR,89.03444,23.62056,5749,1
PER FOLSHI DAKHIL MADRASHA,116442,Madrasha,JHENAIDAH,HARINAKUNDA,PARPHALSI (PART),89.00833,23.60417,5751,1
HALIDHANI ALIM MADRASHA,116533,Madrasha,JHENAIDAH,JHENAIDAH SADAR,HALIDHANI,89.05972,23.66722,5752,1
HAZI ARSHAD ALI DAKHIL MADRASHA,116437,Madrasha,JHENAIDAH,HARINAKUNDA,HARISPUR,89.11667,23.55333,5753,1
MUNSHI ABDUL JABBAR DHAKIL MADRASHA,116440,Madrasha,JHENAIDAH,HARINAKUNDA,MALI PARA RAHIMPUR,89.08839,23.60148,5755,1
CHAR ARUAKANDI DAKHIL MADRASAH,116435,Madrasha,JHENAIDAH,HARINAKUNDA,ARUAKANDI,89.10496,23.66806,5757,1
GARABARIA SIDDIKIA DAKHIL MADRASHA,116431,Madrasha,JHENAIDAH,HARINAKUNDA,GARABARIA,89.10057,23.6478,5758,1
RAGHUNATPUR HOSSAIN ALI ALIM MADRASAH,116433,Madrasha,JHENAIDAH,HARINAKUNDA,RAGHUNATHPUR,89.14645,23.64608,5759,1
KAGMARI DAKIL MADRASHA,116672,Madrasha,JHENAIDAH,KOTCHANDPUR,KAGMARI,89.0175,23.69235,5760,2
SAFDARPUR DARUL ULUM ALIM MADRASHA,116666,Madrasha,JHENAIDAH,KOTCHANDPUR,SABDALPUR,89.01277,23.40731,5761,1
KOTCHANPUR BAHAZZEL HOSSAIN MOHILA DAKHIL MADRASHA,116670,Madrasha,JHENAIDAH,KOTCHANDPUR,SOLAIMANPUR BAZAR PARA,88.9586,23.45526,5762,1
BaLABARIA DAKHIL MADRASHA,116671,Madrasha,JHENAIDAH,KOTCHANDPUR,BAGDANGA,88.95882,23.45798,5763,1
G B J AFSARUDDIN DAKHIL MADRASHA,116668,Madrasha,JHENAIDAH,KOTCHANDPUR,GURPARA,88.95743,23.46326,5764,1
DAYARAMPUR ISLAMIA ALIM MADRASHA,116667,Madrasha,JHENAIDAH,KOTCHANDPUR,CHHAYKHADA,89.0203,23.40751,5765,1
JALALPUR DAKHIL MADRASHA,116662,Madrasha,JHENAIDAH,KOTCHANDPUR,JALALPUR,89.0505,23.40201,5766,1
MOHESHPUR DAKHIL MADRASAH,116739,Madrasha,JHENAIDAH,MAHESHPUR,MAHESHPUR (PART),89.01301,23.46227,5767,1
BAINCHITALA ISLAMIA DAKHIL MADRASHA,116729,Madrasha,JHENAIDAH,MAHESHPUR,BOICHITOLA,89.01887,23.47763,5768,1
JALILPUR ALIM MADRASHA,116734,Madrasha,JHENAIDAH,MAHESHPUR,JALILPUR (PART),88.95065,23.42675,5769,1
BAMONGACHHI DA.NE NU. DAKHIL MADRASHA,116732,Madrasha,JHENAIDAH,MAHESHPUR,BAMANGACHHI,88.91611,23.38083,5770,1
MANDERBARIA DAKIL MADRASHA,116743,Madrasha,JHENAIDAH,MAHESHPUR,MANDARBARIA,88.92083,23.35056,5771,1
JALULY MADINATUL ULUM DAKHIL MDRASHA,116726,Madrasha,JHENAIDAH,MAHESHPUR,JALULI,88.95179,23.30711,5772,1
KHALISHPUR DHAKIL MADRASHA,116727,Madrasha,JHENAIDAH,MAHESHPUR,HAT KHALISHPUR,88.8815,23.25228,5773,1
MODANPUR ALHAZ ASMOT ULLAH BISWAS DAKHIL MADRASHA,116740,Madrasha,JHENAIDAH,MAHESHPUR,MADANPUR,88.94271,23.39101,5774,1
GOURINATHPUR DAKHIL MADRASAH,116742,Madrasha,JHENAIDAH,MAHESHPUR,GAURINATHPUR,88.93971,23.39226,5775,1
POLIANPUR DAKHIL MADRASHA,116737,Madrasha,JHENAIDAH,MAHESHPUR,PALIANPUR,89.00324,23.36207,5776,1
SAMANTA SIDDIKEA DSKHIL MADRASAH,116725,Madrasha,JHENAIDAH,MAHESHPUR,SAMANTA GOPALPUR,89.01776,23.34835,5777,1
ANANDO BAZAR DHAKHIL MADRASAH,116746,Madrasha,JHENAIDAH,MAHESHPUR,GOBINDAPUR,88.96811,23.35583,5778,1
