inst name, eiin, inst_type, district, thana, mauza, long, lat, serial,isUnique
AMDAI UNITED DEGREE COLLEGE,121894,College,JOYPURHAT,JOYPURHAT SADAR,AMDAI,89.035004,25.143074,975,1
AKKELPUR WOMEN'S  DEGREE  COLLEGE,121799,College,JOYPURHAT,AKKELPUR,AMATTA,89.70111,24.24183,976,1
AKKELPUR MUJIBAR RAHMAN COLLEGE, AKKELPUR,121801,College,JOYPURHAT,AKKELPUR,AKKELPUR (PART)(PURBO),89.6995,24.23947,977,1
JAMAL GONG COLLEGE,121800,College,JOYPURHAT,AKKELPUR,RUKINDIPUR,89.08308,24.90639,978,1
NURNAGAR UNITED DEGREE COLLEGE,121803,College,JOYPURHAT,AKKELPUR,NURNAGAR,89.03558,24.94311,979,1
TILOKKPUR MOHABIDDALAY,121802,College,JOYPURHAT,AKKELPUR,KANNACH PARA,89.04003,24.89258,980,1
JOYPURHAT GOVT.MOHILA COLLEGE,121895,College,JOYPURHAT,JOYPURHAT SADAR,BANGABANDHU PARA,89.99964,25.10386,981,1
GOVT. JOYPURHAT COLLEGE,121897,College,JOYPURHAT,JOYPURHAT SADAR,SHANTINAGAR,89.03175,25.10078,982,1
JOYPURHAT WOMENS DEGREE COLLEGE,121898,College,JOYPURHAT,JOYPURHAT SADAR,HARAIL,89.03111,25.09625,983,1
JOYPURHAT SHAHID ZIA COLLEGE,121896,College,JOYPURHAT,JOYPURHAT SADAR,DHANMONDI,89.03508,25.10881,984,1
HICHMI ADARSHA COLLEGE,131907,College,JOYPURHAT,JOYPURHAT SADAR,HICHMI,89.07539,25.07056,985,1
VADSHA IDEAL COLLEGE,121893,College,JOYPURHAT,JOYPURHAT SADAR,BHADSA,89.98564,25.07069,986,1
SHALPARA IDEAL COLLEGE,131900,College,JOYPURHAT,JOYPURHAT SADAR,RAGHUNATHPUR,89.95233,25.16072,987,1
MONGAL BARI MOYEZ MEMORIAL COLLEGE,121892,College,JOYPURHAT,JOYPURHAT SADAR,PECHULIA,89.99475,25.09625,988,1
KALAI WOMEN'S DEGREE  COLLEGE,121944,College,JOYPURHAT,KALAI,KALAI UPAZILA CHATTAR,89.16689,25.06319,989,1
KALAI  DEGREE  COLLEGE,121943,College,JOYPURHAT,KALAI,KALAI COLLEGE PARA,89.16594,25.06222,990,1
MATRAI MODEL COLLEGE,131939,College,JOYPURHAT,KALAI,MATRAI,89.21336,25.14344,991,1
NANDIAL DIGHI COLLEGE,121942,College,JOYPURHAT,KALAI,GARBALANI NANDAIL,89.22728,25.06431,992,1
PANCH BIBI DEGREE COLLEGE,122070,College,JOYPURHAT,PANCHBIBI,HARIHARPUR,89.17028,25.01375,993,1
PANCHBIBI WOMENS COLLEGE,122067,College,JOYPURHAT,PANCHBIBI,BALIGHATA (PART-2)DAKSHIN,89.02033,25.17539,994,1
SHIROTTI COLLEGE,122069,College,JOYPURHAT,PANCHBIBI,SIRATA,89.16303,25.18894,995,1
MOHIPUR GOVT. HAZI MUHSIN COLLEGE, PANCHBIBI,122068,College,JOYPURHAT,PANCHBIBI,MAHIPUR,89.04497,25.19469,996,1
RATANPUR COLLEGE,122072,College,JOYPURHAT,PANCHBIBI,RATANPUR,88.99189,25.23569,997,1
SARAIL ADARSHA COLLEGE,122071,College,JOYPURHAT,PANCHBIBI,SARAIL,89.15231,25.21178,998,1
SYEED ALTAFUNNeSA COLLEGE,121980,College,JOYPURHAT,KHETLAL,ATI,89.12342,25.03897,999,1
AKKELPUR SINIOR (ALIM) MADRASAH AKKELPUR JOYPURHAT,121790,Madrasha,JOYPURHAT,AKKELPUR,AKKELPUR (PART)(PASCHIM),89.7865,24.05725,5816,1
ALIMAMUD PURNA GOPINATPUR ALIM MADRASHA,121792,Madrasha,JOYPURHAT,AKKELPUR,PURNA GOPINATHPUR,89.01278,24.9685,5817,1
DULALI RATNAHER A.F.U. DAKHIL MADRASHA,121794,Madrasha,JOYPURHAT,AKKELPUR,DULALI,89.02642,24.96375,5818,1
GUDUMBA D.S. BAHUMUKHI FAZIL DEGREE MADRASAH,121791,Madrasha,JOYPURHAT,AKKELPUR,GUDAMBA DASHARA,89.08597,24.963,5819,1
ISMAIL PUR DAKHIL MADRASHA,121789,Madrasha,JOYPURHAT,AKKELPUR,ISMAILPUR,89.06308,24.91878,5820,1
ANANTAPUR CHOWDHURYPARA MOHILA DAKHIL MADRASHA,121796,Madrasha,JOYPURHAT,AKKELPUR,ANANTAPUR,89.02106,25.03028,5821,1
R. K. M. DAKHIL MADRASHA,121788,Madrasha,JOYPURHAT,AKKELPUR,KANTHALBARI,89.01917,25.03275,5822,1
BINJHER AHMADIA DAKHIL  MADRASHA,121795,Madrasha,JOYPURHAT,AKKELPUR,KANNACH PARA,89.01197,24.99819,5823,1
KOYA SHOBLA MOSLIMA AHMADIA SIDDQUIA DAKHIL MADRASHA,121797,Madrasha,JOYPURHAT,AKKELPUR,KAYA,89.00881,24.93164,5824,1
JAIPURHAT SIDDIQUIA KAMIL  MADRASHA,121855,Madrasha,JOYPURHAT,JOYPURHAT SADAR,MADRASA PARA,89.00567,25.10572,5825,1
