inst name, eiin, inst_type, district, thana, mauza, long, lat, serial,isUnique
LAXMICHARI COLLEGE,106795,College,KHAGRACHHARI,LAKSHMICHHARI,JORGACHHARI,92.18289,22.63841,1000,1
MANIKCHARI  GIRI MAITRI COLLEGE,106817,College,KHAGRACHHARI,MANIKCHHARI,MANIKCHHARI ( PART ),91.83804,22.82988,1001,1
MATIRANGA DEGREE COLLEGE,106837,College,KHAGRACHHARI,MATIRANGA,BAILLACHARI,91.8311,23.16842,1002,1
RAMGARH GOVT.DEGREE COLLEGE,106857,College,KHAGRACHHARI,RAMGARH,MASTER PARA,91.88768,23.05211,1003,1
PANCHARI COLLEGE,106846,College,KHAGRACHHARI,PANCHHARI,PUJGANG,91.90347,23.32974,1004,1
DIGHINALA COLLEGE,106767,College,KHAGRACHHARI,DIGHINALA,BOALKHALI,91.91551,23.27162,1005,1
MAHAL CHARI COLLEGE,106807,College,KHAGRACHHARI,MAHALCHHARI,THALI PARA,92.10537,23.16455,1006,1
KHAGRACHARI GOVT COLLEGE,106789,College,KHAGRACHHARI,KHAGRACHHARI SADAR,GOLABARI (PART),92.03797,22.96003,1007,1
DAKHIN CHANGO CHARA NE CHARIYA ISLAMIA DAKHIL MADRASHA,106816,Madrasha,KHAGRACHHARI,MANIKCHHARI,MANIKCHHARI ( PART ),91.89066,22.82834,5923,1
MANIKCHARI ISLAMIA DAKHIL MADRASA,106815,Madrasha,KHAGRACHHARI,MANIKCHHARI,MANIKCHHARI ( PART ),91.84751,22.84996,5924,1
TABALCHARI ISLAMIA SINIOR (ALIM) MADRASHA,106833,Madrasha,KHAGRACHHARI,MATIRANGA,TABALCHHARI,91.85448,22.85573,5925,1
MATIRANGA ISLAMIA alim MADRASA,106834,Madrasha,KHAGRACHHARI,MATIRANGA,CHAR PARA,91.80793,23.28532,5926,1
GUEMARA ISLAMIA DAKHIL MADRASA,106835,Madrasha,KHAGRACHHARI,MATIRANGA,GUIMARA,91.8715,23.03784,5927,1
KHEDACHARA ISLAMIA DAKHIL MADRASA,106836,Madrasha,KHAGRACHHARI,MATIRANGA,KHEDACHARA,91.86585,22.96651,5928,1
TAINDONG MOHAMMADIA ALIM MADRASAH,106832,Madrasha,KHAGRACHHARI,MATIRANGA,TAIN DONG,91.89453,23.05221,5929,1
RAMGARH GANIATUL ULUM  ALIM MADRASAH,106856,Madrasha,KHAGRACHHARI,RAMGARH,DAROGA PARA,91.8741,23.05178,5930,1
PANCHARI ISLAMIA SENIOR  MADRASAH,106845,Madrasha,KHAGRACHHARI,PANCHHARI,PUJGANG,91.75124,23.00227,5931,1
RASHIK NAGAR DAKHIL  MADRASHA,106764,Madrasha,KHAGRACHHARI,DIGHINALA,BARA MERUNG,92.02819,23.36476,5932,1
CHOTO MARUNGA     ASRAFIA  DAKHIL MADRASHA,106765,Madrasha,KHAGRACHHARI,DIGHINALA,CHHOTA MERUNG,92.06926,23.23778,5933,1
KHAGRACHARI ISLAMIA ALIM MADRASAH,106787,Madrasha,KHAGRACHHARI,KHAGRACHHARI SADAR,COLLECTORATE AREA,91.99016,23.08425,5934,1
