inst name, eiin, inst_type, district, thana, mauza, long, lat, serial,isUnique
ROTARY DEGREE COLLEGE,110239,College,KISHOREGANJ,AUSTAGRAM,AUSTAGRAM SADAR,91.103683,24.274048,1079,1
AKHCHASHI MAHILA  COLLEGE,108855,College,KISHOREGANJ,KATIADI,GHAGAIR,89.544,23.53622,1082,1
CHAR ADARSHA COLLEGE,110613,College,KISHOREGANJ,PAKUNDIA,CHAR KAONA,90.67194,24.31919,1083,1
PAKUNDIA ADARSHA MOHILA  COLLEGE,110616,College,KISHOREGANJ,PAKUNDIA,CHAR PAKUNDIA,90.68489,24.25517,1084,2
PAKUNDIA COLLEGE,110615,College,KISHOREGANJ,PAKUNDIA,HAPANIA LAKSHMIA,90.68686,24.36306,1085,1
BAJITPUR DEGREE COLLEGE,110259,College,KISHOREGANJ,BAJITPUR,PURBA BASANTAPUR,90.68164,24.33269,1086,1
HOSSAINPUR DEGREE COLLEGE,110325,College,KISHOREGANJ,HOSSAINPUR,DHEKIA,90.68294,24.33,1087,1
HOSSAINPUR ADRSHA MOHILA COLLEGE,110326,College,KISHOREGANJ,HOSSAINPUR,DAKSHIN ARAIBARIA (PART),90.65258,24.4235,1088,1
GOVT. MOHILA COLLEGE, KISHOREGANJ,110494,College,KISHOREGANJ,KISHOREGANJ SADAR,HOSPITAL PARA(WITH PAITIONT),90.76928,24.39469,1089,1
WALI NEWAZ KHAN COLLEGE,110495,College,KISHOREGANJ,KISHOREGANJ SADAR,NEW TOWN,90.75944,24.38139,1090,1
POURA MOHILA COLLEGE,110493,College,KISHOREGANJ,KISHOREGANJ SADAR,MONIPUR GHAT,90.78619,24.42503,1091,1
GURUDAYAL GOVT. COLLEGE,110496,College,KISHOREGANJ,KISHOREGANJ SADAR,PAURASHAVA ROAD (COLLEGE ROAD),90.73878,24.41442,1092,1
R .S. IDEAL degree COLLEGE,110497,College,KISHOREGANJ,KISHOREGANJ SADAR,KALATIA,90.77522,24.44128,1093,1
TARAIL MUKTIZODHYA COLLEGE,110637,College,KISHOREGANJ,TARAIL,SAHILATI,90.85522,24.58189,1094,1
JANGALBARI MOHILA COLLEGE,110383,College,KISHOREGANJ,KARIMGANJ,BADE SREERAMPUR,90.87464,24.39814,1096,1
