inst name, eiin, inst_type, district, thana, mauza, long, lat, serial,isUnique
KOCHAKAT DEGREE COLLEGE,122455,College,KURIGRAM,NAGESHWARI,KACHARDARA,89.779732,26.019112,1112,1
MONDOLERHAT  COLLEGE,122706,College,KURIGRAM,ULIPUR,SADI,89.40708,25.22186,1113,1
ULIPUR GOVT.DEGREE COLLEGE,122707,College,KURIGRAM,ULIPUR,ULIPUR,89.62025,25.66247,1114,1
ULLIPUR WOMEN'S DEGREE COLLEE,122708,College,KURIGRAM,ULIPUR,JANAIDANGA,89.6245,25.65775,1115,1
PANCHPIR DEGREE COLLEGE,122709,College,KURIGRAM,ULIPUR,GORAI,89.64414,25.70794,1116,1
GUNAI GACHH COLLEGE,122710,College,KURIGRAM,ULIPUR,KANTHALBARI,89.59203,25.64161,1117,1
NAGESWARI mohila COLLEGE,122453,College,KURIGRAM,NAGESHWARI,MUNIR CHAR,89.55644,25.67119,1118,1
SAMAJ KALYEN WOMENS COLLGE,122461,College,KURIGRAM,NAGESHWARI,SHALER KHAMAR,89.69156,25.96531,1119,1
NAGESWARI DEGREE COLLEGE,122452,College,KURIGRAM,NAGESHWARI,COLLEGE PARA,89.69847,25.95458,1120,1
RAYGANJ DEGREE COLLEGE,122456,College,KURIGRAM,NAGESHWARI,ROYGANJ,89.68786,25.97858,1121,1
KALIGONJ  COLLEGE,122459,College,KURIGRAM,NAGESHWARI,SALMARA,89.70028,25.99578,1122,1
CHILLAKHANA MODEL COLLEGE,122460,College,KURIGRAM,NAGESHWARI,DHANIGAGLA,89.74356,25.91639,1123,1
NAGESWARI  MODEL COLLEGE,122457,College,KURIGRAM,NAGESHWARI,RUIARPAR,89.70953,26.00411,1124,1
BHITAR  BANDA    DRGREE   COLLEGE,122454,College,KURIGRAM,NAGESHWARI,DEBIPUR,89.71267,25.98461,1125,1
NEWASHI COLLEGE,122458,College,KURIGRAM,NAGESHWARI,GOBARDHANKUTI,89.705,25.889,1126,1
SAIFUR RAHMAN COLLEGE,122242,College,KURIGRAM,PHULBARI,NOWDABAS,89.59422,25.92217,1127,1
BARA BHITA COLLEGE,122241,College,KURIGRAM,PHULBARI,BARA BHITA,89.59908,25.90428,1128,1
FULBARI MOHILA DEGREE COLLEGE,122240,College,KURIGRAM,PHULBARI,KABIR MAMUD,89.56881,25.95564,1129,1
FULBARI DEGREE COLLAGE,122238,College,KURIGRAM,PHULBARI,CHANDRAKHANA,89.54642,25.945,1130,1
KASHIPUR COLLEGE,122239,College,KURIGRAM,PHULBARI,AZOATARI,89.60692,25.98561,1131,1
NAKKATI HAT ADARSHA COLLEGE,122533,College,KURIGRAM,RAJARHAT,TALUK KANUA,89.51939,25.99239,1132,1
RAJARHAT ADARSHA MOHILA COLLEGE,122535,College,KURIGRAM,RAJARHAT,MEKURTARI,89.54667,25.83714,1133,1
RAJIBPUR DEGREE COLLEGE,122146,College,KURIGRAM,CHAR RAJIBPUR,RAJIBPUR,89.50978,25.75928,1134,1
MIR ISMAIL HOSSIAN DEGREE COLLEGE,122534,College,KURIGRAM,RAJARHAT,CHAKIR PASARTALUK,89.54278,25.79378,1135,1
SINGER DABRI HAT COLLEGE,122537,College,KURIGRAM,RAJARHAT,PASCHIM DEBOTTAR,89.47958,25.79536,1136,1
BHURUNGA  MARI    MOHILA   COLLEGE,122123,College,KURIGRAM,BHURUNGAMARI,DEWANER  KHAMAR,89.67286,26.11261,1137,1
BHURUNGAMARI DEGREE COLLEGE,122122,College,KURIGRAM,BHURUNGAMARI,DEWANER  KHAMAR,89.68606,26.05244,1138,1
SHONAHAT COLLEGE,122124,College,KURIGRAM,BHURUNGAMARI,BHARATER CHHARA,89.76044,26.10242,1139,1
MAIDAM COLLEGE,122125,College,KURIGRAM,BHURUNGAMARI,MAIDAN,89.62253,26.17003,1140,1
GOLAM HABIB MOHILA DEGREE COLLEGE,122178,College,KURIGRAM,CHILMARI,THANA,89.77642,25.49753,1141,1
CHILMARI DEGREE COLLEGE,122177,College,KURIGRAM,CHILMARI,AMTALA,89.66233,25.6045,1142,1
CHILMARI MOHILA DEGREE COLLEGE,122179,College,KURIGRAM,CHILMARI,THANA,89.64439,25.58453,1143,1
CHAR SHOUL MARI COLLEGE,122581,College,KURIGRAM,RAUMARI,CHAR SAULMARI,89.83808,25.62322,1144,1
JADUR CHAR MODEL COLLEGE,122582,College,KURIGRAM,RAUMARI,KOMARBHANGI,89.84578,25.48939,1145,1
JADUR CHAR COLLEGE,122583,College,KURIGRAM,RAUMARI,JADUR CHAR,89.81172,25.52703,1146,2
ROWMARI WOMENS degree COLLEGE,122580,College,KURIGRAM,RAUMARI,RAUMARI,89.83847,25.50031,1147,1
ROWMARI DEGREE COLLEGE,122579,College,KURIGRAM,RAUMARI,RAHUMARI ALGA,89.81792,25.54869,1148,1
KURIGRAM GOVT.MOHILA COLLEGE,122330,College,KURIGRAM,KURIGRAM SADAR,STAFF QUARTER,89.85161,25.61378,1149,1
MAJIDA ADARSHA DEGREE COLLEGE,122332,College,KURIGRAM,KURIGRAM SADAR,MOLLAH PARA,89.63711,25.80761,1150,1
KURIGRAM GOVT COLLEGE,122331,College,KURIGRAM,KURIGRAM SADAR,COLLEGE PARA,89.65717,25.76847,1151,1
JATRAPUR ADARSHA COLLEGE,122329,College,KURIGRAM,KURIGRAM SADAR,GHANASHYAMPUR,89.65317,25.79786,1152,1
BHOGDANGA MODEL COLLEGE,122335,College,KURIGRAM,KURIGRAM SADAR,MADHYA KUMARPUR,89.73122,25.81219,1153,1
PANCHGACHHI  COLLEGE,122334,College,KURIGRAM,KURIGRAM SADAR,SITAIJHAR (PART),89.67175,25.86061,1154,1
KANTHAL BARI DEGREE COLLEGE,122333,College,KURIGRAM,KURIGRAM SADAR,SHIBRAM,89.58864,25.84414,1155,1
MUSALLI PARA BAHAR ULLAH RABIA DAKHIL MADRASHA,122665,Madrasha,KURIGRAM,ULIPUR,KAMDEB,89.41597,25.19269,6215,1
NUTAN ANANTO PUR DAKHIL MADRASHA,122663,Madrasha,KURIGRAM,ULIPUR,HIJLI,89.6905,25.72269,6216,1
BALACHAR NASIRIA FAZIL MADRASA,122653,Madrasha,KURIGRAM,ULIPUR,RAMRAMPUR KISMAT,89.65869,25.71978,6217,1
DIGHOL HILLA SIDDIQUIA D.S DAKHIL MADRASHA,122694,Madrasha,KURIGRAM,ULIPUR,HIJLI GOPPARA,89.59639,25.72889,6218,1
BARA MOHISH MURI DAKHIL MADRASA,122679,Madrasha,KURIGRAM,ULIPUR,BARA MAHISHMURI,89.66111,25.88747,6219,1
UTTAR PANDU GABTALA TOSEEN DI MUKHI D- MADRASHA,122664,Madrasha,KURIGRAM,ULIPUR,PANDUL,89.67061,25.67872,6220,3
APUAR KHATA NASARIA ALIM MADRASAH,122648,Madrasha,KURIGRAM,ULIPUR,APUARKHATA,89.59069,25.72783,6221,1
JOY SAYRA HAT DAKHIL MADRASAH,122686,Madrasha,KURIGRAM,ULIPUR,BARA MAHISHMURI,89.59536,25.73953,6222,1
TANURAM SIDDIQUIA DAKHIL MADRASAH,122692,Madrasha,KURIGRAM,ULIPUR,TANURAM,89.60481,25.73761,6223,1
DHAMSRENI INDARAR PAR BALIKA DAKHIL MADRASA,122682,Madrasha,KURIGRAM,ULIPUR,BAGCHIR KHAMAR,89.58564,25.71092,6224,1
JADUPODDAR ISLAMIA DAKHIL MADRASHA,122659,Madrasha,KURIGRAM,ULIPUR,DHAMSERNI,89.60267,25.66958,6225,1
MODHUPIR SARKER  PARA HARIKIYA DAKHIL MADRASHA,122702,Madrasha,KURIGRAM,ULIPUR,DAKSHIN MADHUPUR,89.64917,25.64919,6226,1
DHARANIBARI LATIF RAJIA FAZIL DEGREE MADRASAH,122666,Madrasha,KURIGRAM,ULIPUR,DHARANIBARI  (P.S.A),89.649,25.65539,6227,1
DHORONI BARI MAJBIL P.U.BALIKA DAKHIL MADRASAH,122683,Madrasha,KURIGRAM,ULIPUR,KISMAT MADHUPUR KHAMAR,89.63672,25.66558,6228,1
NARIKEL BARI DAKHIL MADRASH,122672,Madrasha,KURIGRAM,ULIPUR,NARIKELBARI SOUTH,89.656,25.67803,6229,1
CHAR KALA KATA G. M. DAKHIL MADRASHA,122645,Madrasha,KURIGRAM,ULIPUR,SATBHITA,89.63206,25.68436,6230,1
NIZAI KAHAMAR BALIKA DAKHIL MADRASHA,122646,Madrasha,KURIGRAM,ULIPUR,NIJAIKAMAR,89.63661,25.69258,6231,1
BAKARERHAT FAZIL  ( DEGRE) MADRASH,122650,Madrasha,KURIGRAM,ULIPUR,PURBA NAODANGA,89.58219,25.66967,6232,1
ULIPUR BAHUMHUKI ALIM MADRASHA,122658,Madrasha,KURIGRAM,ULIPUR,ULIPUR,89.57647,25.69133,6233,1
ULIPUR MADINATUL ULUM DAKHIL MADRASHA,122695,Madrasha,KURIGRAM,ULIPUR,HAYAT KHAN,89.62564,25.65692,6234,1
BOZRA ALIFIA GIRLS DAKHIL MADRASAH,122699,Madrasha,KURIGRAM,ULIPUR,KALAPANI BAZRA,89.61608,25.65914,6235,1
MOHIDEV  ASHRAFIA  DAKHIL  MADRASHA,122689,Madrasha,KURIGRAM,ULIPUR,MOHIADEB,89.67061,25.67872,6236,3
KARPURA KARIMIA FAZIL  MADRASHA,122652,Madrasha,KURIGRAM,ULIPUR,KARPURA,89.67497,25.73261,6237,1
KARPURA KARIMIA BALIKA DAKHIL MADRASA,122701,Madrasha,KURIGRAM,ULIPUR,KARPURA,89.66069,25.71925,6238,1
