inst name, eiin, inst_type, district, thana, mauza, long, lat, serial,isUnique
KUSHTIA GOVERNMENT COLLEGE,117808,College,KUSHTIA,KUSHTIA SADAR,THANA PARA (PART),89.128761,23.901936,1156,1
KUSHTIA GOVT. MOHILA COLLEGE, KUSHTIA,117810,College,KUSHTIA,KUSHTIA SADAR,COURT PARA(PART),89.123993,23.895893,1157,1
KUSTIA ISLAMIA COLLEGE,117809,College,KUSHTIA,KUSHTIA SADAR,KUTI PARA,89.129951,23.907518,1158,1
KHOKSA COLLAGE . KHOKSA,117652,College,KUSHTIA,KHOKSA,KHOKSA CHAR PARA,89.289474,23.803305,1159,1
SHOMOSPUR ABU TALEB DEGREE COLLEGE,117651,College,KUSHTIA,KHOKSA,SHOMASPUR(PART),89.289536,23.803171,1160,1
MIRPUR MAHMUDA CHOWDHURY COLLEGE,117895,College,KUSHTIA,MIRPUR,MIRPUR BAZAR (PALPARA),88.99791,23.943102,1161,1
BASGRAM ALAUDDIN AHMED DEGREE COLLAGE,132037,College,KUSHTIA,KUMARKHALI,BANSHGRAM,89.249588,23.869099,1162,1
PHLIPNAGAR MARICHA COLLEGE,117610,College,KUSHTIA,DAULATPUR,PHILIPNAGAR,88.890938,24.030973,1163,1
KHALISHAKUNDI DEGREE COLLEGE,117602,College,KUSHTIA,DAULATPUR,KHALISHAKUNDI,88.876442,23.892841,1164,1
ALAUDDIN AHMAED DGREE COLLEGE,117726,College,KUSHTIA,KUMARKHALI,CHAK RAGHUA,89.202881,23.88003,1165,1
DR. MOHAMMAD FAZLUL HAQUE GIRLS COLLEGE,117603,College,KUSHTIA,DAULATPUR,BAGOAN,88.879936,24.009752,1166,1
MIRPUR MOHILA COLLGE,117894,College,KUSHTIA,MIRPUR,KHANDAKBARIA,89.000519,23.937389,1167,1
AL HAZ SAIDUR RAHMAN MONTU women COLLEGE,117650,College,KUSHTIA,KHOKSA,HILALPUR,89.280289,23.80212,1168,1
KHATER ALI DEGREE COLLEGE,117812,College,KUSHTIA,KUSHTIA SADAR,LAKSHMIPUR,89.139999,23.899967,1169,1
ADARSHA MOHILA COLLEGE,117728,College,KUSHTIA,KUMARKHALI,BUZRUKDURGAPUR(PART),89.24592,23.85972,1170,1
KUMAR KHALI COLLEGE,117729,College,KUSHTIA,KUMARKHALI,BATIKAMARA (PART) PASCHIM,89.24889,23.87833,1171,2
DHOKRAKOLE  degree COLLEGE,117649,College,KUSHTIA,KHOKSA,DHUKRAKUL,89.36094128,23.87246372,1173,1
SHELAIDAH BISOWKABIRABINDRANATH TARGORE  COLLEGE,117731,College,KUSHTIA,KUMARKHALI,KASBA,89.33081718,23.87426809,1174,1
PANTI DEGREE COLLEGE,117730,College,KUSHTIA,KUMARKHALI,PANTI,89.20855424,23.7733337,1175,1
ADABARIA UNION COLLEGE,117616,College,KUSHTIA,DAULATPUR,DAKSHIN GARURA,88.77205051,23.98961115,1176,1
GOALGRAM COLLEGE,117604,College,KUSHTIA,DAULATPUR,UTTAR GOALGRAM,88.81985006,23.95865886,1177,1
DAULATPUR COLLEGE,117606,College,KUSHTIA,DAULATPUR,DAULATPUR,88.87296475,24.01026199,1178,1
SHEIKH FOZILATUNNESA MUJIB MOHILA COLLEGE,117613,College,KUSHTIA,DAULATPUR,DAULATPUR,88.87305907,23.99505594,1179,1
UNITED COLLEGE  BALIRDIAR,117614,College,KUSHTIA,DAULATPUR,MARICHA,88.8911102,24.06471835,1180,1
NURUZZAMAN BISWAS COLLEGE,117605,College,KUSHTIA,DAULATPUR,CHAMNAI,88.90104602,24.03564858,1181,1
PEOPLES  DEGREE COLLEGE,117609,College,KUSHTIA,DAULATPUR,MATHURAPUR,88.80574778,24.03169164,1182,1
MOHISKUNDI COLLGE,117611,College,KUSHTIA,DAULATPUR,MAHISHKUNDI (PART),88.76441879,24.04323439,1183,1
PRAGPUR  COLLEGE,117615,College,KUSHTIA,DAULATPUR,RAGHUNATHPUR,88.743166,24.05371724,1184,2
ABDUR rafet biswas college,117899,College,KUSHTIA,MIRPUR,CHHATIAN,88.97944,23.82056,1186,1
HALSA ADARSHA DEGREE COLLEGE,117898,College,KUSHTIA,MIRPUR,NAGAR BAKA,88.99528,23.91,1187,1
MIR ABDUL KARIM COLLEGE,117893,College,KUSHTIA,MIRPUR,MIRZANAGAR,88.88531,23.85396,1188,1
NAWAB SIRAJUDDOULA COLLEGE,117901,College,KUSHTIA,MIRPUR,CHUNIA PARA,88.96242,23.97948,1189,1
HAJI NURUL ISLAM COLLEGE,117900,College,KUSHTIA,MIRPUR,BURA PARA,89.04222,23.92915,1190,1
AMLA  GOVT. DEGREE  COLLEGE,117897,College,KUSHTIA,MIRPUR,AMLA,89.07311,23.9056,1191,1
NIMTALA COLLEGE,117902,College,KUSHTIA,MIRPUR,KACHUBARIA,89.03473,23.96675,1192,1
K. M. IDEAL COLLEGE,117903,College,KUSHTIA,MIRPUR,KAKULIADAHA,88.97908,23.90879,1193,1
KUSTIA CITY COLLEGE,117813,College,KUSHTIA,KUSHTIA SADAR,RAHINI,88.92564,23.88954,1194,1
BHERAMARA ADARSHA DEGREE COLLEGE,117498,College,KUSHTIA,BHERAMARA,FARAKPUR,88.84722,24.08306,1198,2
BHERAMARA  MaHILA  COLLeGE,117499,College,KUSHTIA,BHERAMARA,KACHARI PARA (PART),88.98456,24.02169,1199,1
BHERAMARA COLLEGE,117497,College,KUSHTIA,BHERAMARA,BHERAMARA (PART-1),88.99122,24.02086,1200,1
B.J.M COLLEGE,117500,College,KUSHTIA,BHERAMARA,BAHADURPUR,88.99156,24.01872,1201,1
PATHAR BARIA HIZLAKAR DAKHIL MADRASA,117711,Madrasha,KUSHTIA,KUMARKHALI,KHAYERCHARA,89.26639,23.845,6043,1
AMBARIA DAKHIL MADRASAH,117646,Madrasha,KUSHTIA,KHOKSA,AMBARIA,89.33189933,23.87111016,6045,1
BANSH GRAM FAZIL MADRASAH,117707,Madrasha,KUSHTIA,KUMARKHALI,BANSHGRAM,89.19516164,23.81406059,6046,1
GOBRA DAKHIL MADRASHA,131777,Madrasha,KUSHTIA,KUMARKHALI,GOBRA,89.16788492,23.74919109,6047,1
BIBI ASIA KHATUN BALIKA MADRSAH,117715,Madrasha,KUSHTIA,KUMARKHALI,KUSALIBASA,89.19042216,23.75378446,6048,1
ADORSHA DHAKIL MADRASAH, SONDAH,117717,Madrasha,KUSHTIA,KUMARKHALI,SONDAHA,89.19398643,23.86608755,6049,1
BIRIKOYA BALIKA DAKHIL MADRASA,117724,Madrasha,KUSHTIA,KUMARKHALI,BIRI KAYA,89.20932184,23.77115599,6050,1
PANTI  DAKHIL MADRASHA,117709,Madrasha,KUSHTIA,KUMARKHALI,PANTI,89.23591888,23.76562716,6051,1
VALUKA CHOWRANGI FAZIL MADRASAH,117708,Madrasha,KUSHTIA,KUMARKHALI,BHALUKA,89.210693,23.77566841,6052,1
AKMAL HOSSAIN DAKHIL MADRASHA,117722,Madrasha,KUSHTIA,KUMARKHALI,KASBA,89.22781739,23.91609404,6053,1
SHAH  MOKHDUM MOULUK KHORSHED  (RH) DAKHIL MADRASAH,117716,Madrasha,KUSHTIA,KUMARKHALI,KHURSHEDPUR,89.21800124,23.919793,6054,1
BOIRAGIR  CHAR  RAHIMPUR  DAKHIL MADRASHA,117601,Madrasha,KUSHTIA,DAULATPUR,CHAI PARA(BAGHAPARA PART),88.86944,24.07639,6056,2
PHILIPNAGAR DAKHIL MADRASHA,117594,Madrasha,KUSHTIA,DAULATPUR,PHILIPNAGAR,88.86556,24.09167,6057,2
FAISAL  WAJED  DAKHIL  MADRASHA,117597,Madrasha,KUSHTIA,DAULATPUR,DHARMADAHA,88.76229415,23.97681151,6058,1
BARAGANGDIA SIDDIQUIA DAKHIL MADRASAH,117590,Madrasha,KUSHTIA,DAULATPUR,BARA GANJDIA,88.87876932,23.95239606,6059,1
BAZUMARA ISLAMIA DAKHIL MADRASHA,117589,Madrasha,KUSHTIA,DAULATPUR,CHAR BHABANANDA DIAR,88.78713177,24.11213493,6060,2
DAUTLATPUR DAKHIL MADRASHA,117593,Madrasha,KUSHTIA,DAULATPUR,SADIPUR (PART-DA),88.86969295,24.00966991,6061,1
SHOSHIDHAR PUR DARUN NUR DAKHIL MASRASHA,117596,Madrasha,KUSHTIA,DAULATPUR,SHASHIDHARPUR,88.85251511,24.02841526,6062,1
PIPULBARA  AHOSANA DAKHIL MADRASHA,117599,Madrasha,KUSHTIA,DAULATPUR,PIPULBARIA,88.89081907,23.91429904,6063,1
MOZAMMEL HOQUE DAKHIL MADRASHA,117595,Madrasha,KUSHTIA,DAULATPUR,MAHADEBPUR,88.80157505,24.02784918,6064,1
MUSLIM NAGAR DAKHIL MADRASHA,117588,Madrasha,KUSHTIA,DAULATPUR,GOPALPUR,88.77597166,24.04826556,6065,1
DHALSA PAYARI HAZRAT OMAR FARUQ DAKHIL MDRASA,117881,Madrasha,KUSHTIA,MIRPUR,DHALSA,89.44561,23.60536,6067,1
SADARPUR SIDDIQIA DAKHIL MADRASAh,117885,Madrasha,KUSHTIA,MIRPUR,SADARPUR,89.03194,23.89861,6068,1
SREERAMPUR MOzAdDEDIA DAKHIL MADRASAH,117887,Madrasha,KUSHTIA,MIRPUR,SREERAMPUR,88.98889,23.90861,6069,1
DANGAPARA DARUL ISLAM DAKHIL MADRASAh,117882,Madrasha,KUSHTIA,MIRPUR,AHAMMADPUR,88.92623,23.89025,6070,1
ASHAN NAGoR ANJHUCHAR SIDDIkIA DAKHIL MADRASAh,117883,Madrasha,KUSHTIA,MIRPUR,ABARI,88.99481,23.94291,6071,1
BHADAMARY PANCHBARIA SIDDIQIA ALIM  MADRASAH,117889,Madrasha,KUSHTIA,MIRPUR,AMBARIA MIRZAPUR,89.05846,23.90628,6072,1
CHITHALIA DAKHIL MADRASA,117884,Madrasha,KUSHTIA,MIRPUR,CHITHULIA,88.88212,23.85197,6073,1
SULTANPUR SIDDIQUIA  fazil MADRASAH,117879,Madrasha,KUSHTIA,MIRPUR,SULTANPUR,88.94542,23.87896,6074,1
MIRPUR NAZMUL ULUM SIDDIQUia FAZIL  MADRASAh,117880,Madrasha,KUSHTIA,MIRPUR,MIRPUR (PART) EAST PARA,88.92964,23.90678,6075,1
KHORD AILCHARA DAKHIL MADRASHA,131751,Madrasha,KUSHTIA,KUSHTIA SADAR,NAZIRPUR KHURDA AILCHARA,89.14367,23.89906,6078,1
