inst name, eiin, inst_type, district, thana, mauza, long, lat, serial,isUnique
RAIPUR MOHILA CLLEGE,107049,College,LAKSHMIPUR,ROYPUR,DAKSHIN PURBALACH,91.08872,22.2665,1202,2
raipur rustam ali degree college,107048,College,LAKSHMIPUR,ROYPUR,KANCHANPUR,90.79183,23.00411,1203,1
RAIPUR Govt  DEGREE COLLEGE,107047,College,LAKSHMIPUR,ROYPUR,KEROA,90.82914,23.04331,1204,1
RAMGONGJ MODEL DEGREE COLLEGE,107107,College,LAKSHMIPUR,RAMGANJ,NANDANPUR,90.75183,23.05117,1205,1
GOVT. RAMGONJ COLLEGE,107108,College,LAKSHMIPUR,RAMGANJ,SATAR PARA,90.77547,22.99228,1206,1
DALTA COLLEGE,107109,College,LAKSHMIPUR,RAMGANJ,DALTA,90.88478,23.11539,1207,1
A.S.M. ABDUR ROB GOVT. COLLEGE,107176,College,LAKSHMIPUR,RAMGATI,SHIKHYAGRAM (PART),90.99808,22.58356,1208,1
TOWN ALEXANDER MOHILA COLLEGE,107178,College,LAKSHMIPUR,RAMGATI,ALEXANDAR,90.99908,22.58372,1209,1
ABDUL HADI  COLLEGE,107177,College,LAKSHMIPUR,RAMGATI,CHAR ALGI,90.89033,22.67311,1210,1
RAMGOTI AHAMADIA COLLEGE,107174,College,LAKSHMIPUR,RAMGATI,CHAR LAKSHMI,90.91842,22.65136,1211,1
HAZIR HAT UPAKUL COLLEGE,107175,College,LAKSHMIPUR,KAMALNAGAR,CHAR JANGALIA,90.86919,22.73797,1212,1
LAKSHMIPUR GOVT.MOHILA COLLEGE,106997,College,LAKSHMIPUR,LAKSHMIPUR SADAR,BANCHANAGAR (PART),90.83075,22.76731,1213,1
GOVT. LAKSHMIPUR COLLEGE,106998,College,LAKSHMIPUR,LAKSHMIPUR SADAR,SHAMSHERABAD (PART),90.82517,22.94572,1214,1
BHOWANIGONJ COLLEGE,107000,College,LAKSHMIPUR,LAKSHMIPUR SADAR,CHAR MANSA(PART),90.85289,22.95233,1215,1
KAFIL UDDIN DEGREE COLLEGE,106993,College,LAKSHMIPUR,LAKSHMIPUR SADAR,SEKHPURA,90.86111,22.87458,1216,1
JANATA DEGREE COLLEGE,106995,College,LAKSHMIPUR,LAKSHMIPUR SADAR,JALIAKANDI,90.97383,22.91006,1217,1
DALAL BAZAR DEGREE  COLLEGE,106996,College,LAKSHMIPUR,LAKSHMIPUR SADAR,LAKSHMIPUR,90.79636,22.95967,1218,1
DATTAPARA COLLEGE,106992,College,LAKSHMIPUR,LAKSHMIPUR SADAR,DATTA PARA,90.80781,22.96758,1219,1
LAKSHMIPUR COMMERCE COLLEGE,132065,College,LAKSHMIPUR,LAKSHMIPUR SADAR,LAHARKANDI,90.90969,22.83025,1220,1
ZILLUR RAHIM COLLEGE,106994,College,LAKSHMIPUR,LAKSHMIPUR SADAR,RATANPUR,90.85131,22.92997,1221,1
LAKSHMIPUR POURA IDEAL COLLEGE,106999,College,LAKSHMIPUR,LAKSHMIPUR SADAR,BANCHANAGAR (PART),90.83272,22.91289,1222,1
SONAPUR  DAKHIL  MADRASHA,107029,Madrasha,LAKSHMIPUR,ROYPUR,SONAPUR,91.08158,22.38819,6419,2
RAIPUR KAMIL MADRASAH,107030,Madrasha,LAKSHMIPUR,ROYPUR,MADHYA KEROYA,91.13189,22.33164,6420,2
HALIMA R MOHILA DAKHIL  MADRASHA,107042,Madrasha,LAKSHMIPUR,ROYPUR,DENAYETPUR BAZAR,91.07592,22.29172,6421,2
HAMCHADI KAGER DIGERPAR DAKHIL MADRASA,107031,Madrasha,LAKSHMIPUR,ROYPUR,SAGARDI,90.76711,23.0365,6422,1
BAMNI DARUS SUNNAT  DAKHIL  MADRASHA,107043,Madrasha,LAKSHMIPUR,ROYPUR,BAMNI,90.76056,23.03803,6423,1
AL ARAFAH DAKHIL MADRASA,107046,Madrasha,LAKSHMIPUR,ROYPUR,SHIBPUR,90.76014,23.03019,6424,1
HAIDERGONJ TAHERIA R. M. FAZIL MADRASAH,107034,Madrasha,LAKSHMIPUR,ROYPUR,CHAR ABABIL,90.81089,23.01606,6425,1
UTTAR GAIARCHAR DAKHIL MADRASHA,107044,Madrasha,LAKSHMIPUR,ROYPUR,GAIAR CHAR,90.78356,23.00406,6426,1
CHAR BONGSHI MADRASHATUL BANAT GIRLS DAKHIL MADRASA,107036,Madrasha,LAKSHMIPUR,ROYPUR,CHAR BANGSHI,90.67411,23.01828,6427,1
CHAR BONGSHI MOBAROKIA DAKHIL MADRASA,107035,Madrasha,LAKSHMIPUR,ROYPUR,CHAR LAKSHMI,90.69264,23.038,6428,1
DARUL ISLAM DAKHIL MADRASA,107045,Madrasha,LAKSHMIPUR,ROYPUR,CHAR LAKSHMI,90.70167,22.98272,6429,1
SYESTA NAGAR ISLAMI MISSION DAKHIL  MADRASHA,107037,Madrasha,LAKSHMIPUR,ROYPUR,UTTAR PURBALACH,90.70108,22.9815,6430,1
GAZINAGAR  CHAR PATA  D S I MADRASHA,107028,Madrasha,LAKSHMIPUR,ROYPUR,GAZI NAGAR,90.72817,22.96414,6431,1
KEROA RAHAMANIA  ISLAMIA DAKHIL  MADRASHA,107039,Madrasha,LAKSHMIPUR,ROYPUR,KEROA,90.75411,23.05575,6432,1
PIR  FAZLULLAH ISLAMIA MISSION  DAKHIL  MADRASHA,107038,Madrasha,LAKSHMIPUR,ROYPUR,KEROA,90.81539,23.06097,6433,1
LAMCHARI KARAMOTIA FAZIL MADRASHA,107033,Madrasha,LAKSHMIPUR,ROYPUR,LAMCHARI,90.79464,23.06008,6434,1
PURBO KEROA MOHAMMADIA GIRLS DAKHIL MADRASA,107041,Madrasha,LAKSHMIPUR,ROYPUR,LAMCHARI,90.77242,23.04339,6435,1
M. RAHMAN ALIM MADRASHA,107027,Madrasha,LAKSHMIPUR,ROYPUR,KEROA,90.79453,23.03128,6436,1
SHAYESTANAGAR  BANATOUL MUSLIM DAKHIL MADRASHA,107040,Madrasha,LAKSHMIPUR,ROYPUR,PURBA LACHH,90.78642,23.03353,6437,1
SAYESTANAGAR ISLAMIA DAKHIL MADRASAH,107032,Madrasha,LAKSHMIPUR,ROYPUR,DEBIPUR,90.81544,23.05389,6438,1
SONAPUR DARUL FALAH DAKHIL MADRASHA,107106,Madrasha,LAKSHMIPUR,RAMGANJ,SONAPUR,90.77803,23.04469,6439,1
MOHAMMADIA COMPLEX DAKHIL MADRASA,131811,Madrasha,LAKSHMIPUR,RAMGANJ,RATANPUR,90.71344,23.03317,6440,1
RAMGONJ RABBANIA KAMIL MADRASHA,107085,Madrasha,LAKSHMIPUR,RAMGANJ,SATAR PARA,90.74222,23.03842,6441,1
CHOWMUHANI FAIZ AM ALIM MADRASAH,107094,Madrasha,LAKSHMIPUR,RAMGANJ,KAZIRKHIL,90.85531,23.11756,6442,1
RAMGONJ MOHILA DAKHIL MADRASAH,107084,Madrasha,LAKSHMIPUR,RAMGANJ,KAZIRKHIL,90.85375,23.097,6443,1
KETHURI B F FAZIL MADRASHA,107090,Madrasha,LAKSHMIPUR,RAMGANJ,KETHURI KAILAS,90.86436,23.1085,6444,1
KHATUNE JANNAT MOHILA DAKHIL MADRASHA,107105,Madrasha,LAKSHMIPUR,RAMGANJ,SHIRANDI,90.86089,23.10608,6445,1
BHATRA ISLAMIA DAKHIL MADRASAH,107099,Madrasha,LAKSHMIPUR,RAMGANJ,MAMUDPUR,90.85983,23.09644,6446,1
NOOR-E-SERHIND BHOLACAT ISLAMIA DHAKIL MADRASAH,131801,Madrasha,LAKSHMIPUR,RAMGANJ,BHOLAKOT,90.936,23.12614,6447,1
ATHAKARA AHAMADIA DAKHIL MADRASHA,107103,Madrasha,LAKSHMIPUR,RAMGANJ,ATAKHARA,90.93531,23.12639,6448,1
NAGMUD BAZAR K.I.FAZIL MADRASAH,107083,Madrasha,LAKSHMIPUR,RAMGANJ,MADHYAPARA,90.94753,23.13758,6449,1
FATEHPUR ZAME UL ULUM FAZIL (DEGREE) MADRASAH,107089,Madrasha,LAKSHMIPUR,RAMGANJ,CHANDIPUR,90.92164,23.10881,6450,1
HORISCHAR ISLAMIA FAZIL MADRASHA,107091,Madrasha,LAKSHMIPUR,RAMGANJ,HARISH CHAR,90.92461,23.10189,6451,1
NAGER DIGHIR PAR(E.R.A.D.S) DAKHIL MADRASAH,107086,Madrasha,LAKSHMIPUR,RAMGANJ,CHANDIPUR,90.92017,23.08497,6452,1
KALUPUR DARGAH SHARIF ISLAMIA DAKHIL MADRASAH,107100,Madrasha,LAKSHMIPUR,RAMGANJ,KALUPUR,90.90792,23.10694,6453,1
KACHUA AHMODIA FAZIL DEEGRY MADRASHA,107088,Madrasha,LAKSHMIPUR,RAMGANJ,KARPARA,90.83467,23.06764,6454,1
