inst name, eiin, inst_type, district, thana, mauza, long, lat, serial,isUnique
UTTAR BANGLA COLLEGE,122891,College,LALMONIRHAT,KALIGANJ,KAKINA,89.251617,25.92178,1223,1
DAIKHAWA ADARSHA COLLEGE,122827,College,LALMONIRHAT,HATIBANDHA,DAIKHAWA,89.12361,26.17556,1224,1
HATIBANDHA  WOMEN`S DEGREE  COLLEGE,122830,College,LALMONIRHAT,HATIBANDHA,SINGIMARI,89.26167,26.0475,1225,1
ALIMUDDIN DEGREE COLLEGE,122829,College,LALMONIRHAT,HATIBANDHA,PURBA SINDURNA,89.24194,26.03778,1226,1
BARAKHATA COLLEGE,122826,College,LALMONIRHAT,HATIBANDHA,PASCHIM SARADUBI,89.1225,26.20111,1227,1
PATGRAM ADARSHA DEGREE COLLEGE,123026,College,LALMONIRHAT,PATGRAM,MIRZARKOT,89.09111,26.2025,1228,1
PATGRAM WOMEN'S DEGREE COLLEGE,123028,College,LALMONIRHAT,PATGRAM,GHONABARI,89.09278,26.30139,1229,1
GOVT. JASHIMUDDIN KAZI ABDUL GONI DEGREE COLLEGE,123027,College,LALMONIRHAT,PATGRAM,PASCHIM MIRZERKOT,89.05972,26.295,1230,1
ADITMARI DEGREE COLLEGE,122767,College,LALMONIRHAT,ADITMARI,ADITMARI,89.37472,25.94111,1231,1
HAZI GANJ UDIOMAN SURUJ COLLEGE,132005,College,LALMONIRHAT,ADITMARI,BARA KAMALABARI,89.42444,25.99556,1232,1
NAMURI COLLEGE,122771,College,LALMONIRHAT,ADITMARI,MADANPUR,89.32694,25.91528,1233,1
SAPTI BARI  DEGREE COLLEGE,122768,College,LALMONIRHAT,ADITMARI,SAPTIBARI,89.36639,25.92972,1234,1
LALMONIRHAT GOVT.COLLEGE,122988,College,LALMONIRHAT,LALMONIRHAT SADAR,TALUKKHUTAMARA,89.38833,25.88778,1235,1
MAJIDA KHATUN GOVT. MOHILA COLLEGE,122989,College,LALMONIRHAT,LALMONIRHAT SADAR,KAGJITARI,89.42,25.91056,1236,1
LALMONIRHAT ADARSHA DEGREE COLLEGE,122990,College,LALMONIRHAT,LALMONIRHAT SADAR,PANCHATTARI(SAPTANAHAT),89.43833,25.91222,1237,1
SHAHID ABUL KASHEM COLLEGE,122991,College,LALMONIRHAT,LALMONIRHAT SADAR,SHIBRAM,89.53944,25.88056,1238,1
TISTA DEGREE COLLEGE,122985,College,LALMONIRHAT,LALMONIRHAT SADAR,TISTA,89.44139,25.805,1239,1
BEGUM KUMRUNNESSA DEGREE COLLEGE,122987,College,LALMONIRHAT,LALMONIRHAT SADAR,DURAKUTHI,89.43861,25.96556,1240,1
MOHENDRA NAGAR COLLEGE,122986,College,LALMONIRHAT,LALMONIRHAT SADAR,SATPATKI,89.2875,25.87861,1241,1
SHAMSUDDIN KAMARUDDIN DEGREE COLLEGE , CHAPARHAT,122893,College,LALMONIRHAT,KALIGANJ,UTTAR BATRIS HAZARI,89.17433,25.99506,1243,1
TUSHBHANDER MOMEN'S COLLEGE,122894,College,LALMONIRHAT,KALIGANJ,TUSHBHANDAR,89.19244,26.0375,1244,1
