inst name, eiin, inst_type, district, thana, mauza, long, lat, serial,isUnique
GOVERNMENT NAZIMUDDIN COLLEGE,110785,College,MADARIPUR,MADARIPUR SADAR,SUKUNI (PART-1),90.202324,23.169006,1247,1
GOVT.SUFIA MOHILA COLLEGE, MADARIPUR,110786,College,MADARIPUR,MADARIPUR SADAR,CHAR MADAN ROY,90.189301,23.185146,1248,1
CHAR MUGURIA COLLEGE,110784,College,MADARIPUR,MADARIPUR SADAR,KHAGDI (PART-2),90.16848,23.168308,1249,1
SHAHID SMRITI mahavidyalaya,110717,College,MADARIPUR,KALKINI,KALAITALA,90.239769,23.06986,1250,1
KALKINI SYED ABUL HOSSAIN  COLLEGE,110716,College,MADARIPUR,KALKINI,PANGASHIA,90.81003,23.98251,1251,1
SHAHEBRAMPUR KABI NAZRUL ISLAM degree COLLEGE,110715,College,MADARIPUR,KALKINI,SAHEBRAMPUR,90.28722,23.02695,1252,1
SYED ABUL HOSSAIN COLLEGE,110787,College,MADARIPUR,MADARIPUR SADAR,CHAR KHOAJPUR,90.13838,23.22189,1253,1
BAHERA TOLA ADARSHA MAHANIDYALAYA,110883,College,MADARIPUR,SHIB CHAR,BARA BAHERATALA,90.16269,23.30517,1255,1
NURUL AMIN DEGREE COLLEGE,110882,College,MADARIPUR,SHIB CHAR,UMEDPUR,90.14239,23.31597,1256,1
ELIAS AHMED CHOWDHURY COLLEGE,110879,College,MADARIPUR,SHIB CHAR,GUPTERKANDA,90.10019,23.31944,1257,1
GOVT. BORHAMGANJ COLLEGE,110880,College,MADARIPUR,SHIB CHAR,SAMAIL,90.14844,23.46886,1258,1
RIZIA BEGUM MOHILA COLLEGE,110881,College,MADARIPUR,SHIB CHAR,GUATALA (PART),90.16375,23.34875,1259,1
RAJOIR DEGREE COLLEGE,110818,College,MADARIPUR,RAJOIR,RAJOIR,90.17286,23.37711,1260,1
KADAMBARI UNION COLLEGE,110819,College,MADARIPUR,RAJOIR,ARUAKANDI,89.98473,23.19998,1261,1
ABCK syed abul hossain COLLEGE,131881,College,MADARIPUR,MADARIPUR SADAR,DATTA KENDUA,90.05105,23.17451,1262,1
SHEIKH HASINA ACADEMY & WOMENS COLLEGE,110719,College,MADARIPUR,KALKINI,BETBARI,90.19689,23.07811,1263,1
KALKINI FAZIL MADRASHA,110704,Madrasha,MADARIPUR,KALKINI,CHAR PANGASHIA,90.35028,23.09036,6615,1
