inst name, eiin, inst_type, district, thana, mauza, long, lat, serial,isUnique
GOVT. H.S.S. COLLEGE, MAGURA,118003,College,MAGURA,MAGURA SADAR,COLLEGE PARA,89.418945,23.488811,1264,1
AMORESH BOSU DEGREE MOHABIDAYLAYA,118006,College,MAGURA,MAGURA SADAR,BARUNTAIL,89.41983,23.485466,1265,1
BIHARILAL SHIKDER MAHABIDDYALA,118125,College,MAGURA,SHALIKHA,SINGRA,89.375488,23.302296,1266,1
MAGURA GOVT.MOHILA COLLEGE,118004,College,MAGURA,MAGURA SADAR,COLLEGE PARA,89.40131,23.49631,1267,1
HAZIPUR SAMMILANI COLLEGE,118007,College,MAGURA,MAGURA SADAR,HAJIPUR,89.455,23.53778,1268,1
MAGURA ADASHA DEGREE COLLEGE MAGURA,118005,College,MAGURA,MAGURA SADAR,COLLEGE PARA,89.38583,23.54139,1269,1
BUNAGATI DEGREE COLLEGE,118124,College,MAGURA,SHALIKHA,BUNAGATI,89.36842,23.56112,1270,1
AISA WOMENS COLLEGE,118000,College,MAGURA,MAGURA SADAR,KUKNA,89.42008,23.49007,1271,1
NAZIR AHAMAD DEGREE MAHAVIDALOY,118002,College,MAGURA,MAGURA SADAR,BHANGURA,89.39377,23.47537,1272,1
BUZRUK SREE KUNDI COLLEGE,118008,College,MAGURA,MAGURA SADAR,BUZRUK SREEKUNDI,89.48772,23.44496,1273,1
DAKHIN NOWAPARA SAMMILANI COLLEGE,131908,College,MAGURA,MAGURA SADAR,DAKSHIN NAWA PARA,89.48333,23.4184,1274,1
BABU KHALI ADARSHA COLLEGE,118062,College,MAGURA,MOHAMMADPUR,SULTANSI,89.54172,23.49236,1275,1
BINODPUR   DEGREE   COLLAGE,118065,College,MAGURA,MOHAMMADPUR,BINODEPUR,89.54819,23.42092,1276,1
AMINUR   RAHMAN   COLLEGE ,  MOHAMMADPUR,118064,College,MAGURA,MOHAMMADPUR,BAZAR RADHANAGAR,89.57337,23.40461,1277,1
KAZI SALIMA HAQUE MOHILA DEGREE COLLEGE,118063,College,MAGURA,MOHAMMADPUR,MOHAMMADPUR,89.60003,23.39845,1278,1
ARPARA DEGREE COLLEGE,118123,College,MAGURA,SHALIKHA,KANTHALBARIA,89.3352,23.38559,1279,1
