inst name, eiin, inst_type, district, thana, mauza, long, lat, serial,isUnique
SINGAIR  COLLEGE,111084,College,MANIKGANJ,SINGAIR,CHAR SINGAIR C.AZIMPUR (PART),90.14556,23.81353,1287,2
MOHADEBPUR UNION ( DEGREE) COLLEGE, BARANGAIL,111053,College,MANIKGANJ,SHIBALAYA,MAHADEBPUR,89.79994,23.89661,1288,1
SHIBALAYA SADAR UDDIN degree  COLLEGE,111054,College,MANIKGANJ,SHIBALAYA,BARA BOALI,89.85903,23.80964,1289,1
BALIATI COLLEGE,111026,College,MANIKGANJ,SATURIA,BALIATI,89.78686,23.81308,1290,1
SATURIA SYED KALU SHAH DEGREE COLLEGE,111027,College,MANIKGANJ,SATURIA,PRADHANPUR,90.06219,23.93,1292,1
GOVT. BHIKU MEMORIAL DEGREE COLLEGE,111025,College,MANIKGANJ,SATURIA,RAUHA,89.95178,23.99119,1293,1
KHAN BAHADUR AWLAD HOSSAIN KHAN COLLEGE,110998,College,MANIKGANJ,MANIKGANJ SADAR,NADI BALABANTA,90.02314,23.9415,1294,1
KHONDAKAR DELWAR HOSSAN COLLEGE,110997,College,MANIKGANJ,MANIKGANJ SADAR,BANAGRAM,89.98614,23.97597,1295,2
BEGUM JARINA DEGREE COLLAGE,110999,College,MANIKGANJ,MANIKGANJ SADAR,PASCHIM DASHORA,90.02225,23.85542,1296,1
MANIKGONJ GOVT MOHILA COLLEGE,110996,College,MANIKGANJ,MANIKGANJ SADAR,PURBA DASHORA,90.00294,23.85914,1297,1
RAMJAN ALI COLLEGE,110995,College,MANIKGANJ,MANIKGANJ SADAR,JOYRA,90.03058,23.83122,1298,1
GARPARA HAFIZ UDDIN DEGREE COLLEGE,110994,College,MANIKGANJ,MANIKGANJ SADAR,BARA DAWTIA,89.99783,23.87594,1299,1
RAJIBPUR ADARSHA COLLEGE,111003,College,MANIKGANJ,MANIKGANJ SADAR,ALIGANJ,89.99536,23.90222,1300,1
BAIRA COLLEGE,111085,College,MANIKGANJ,SINGAIR,BOYRA,90.07114,23.88011,1301,1
BICHARPATI NURUL ISLAM DEGREE COLLEGE,110948,College,MANIKGANJ,HARIRAMPUR,THANA JATRAPUR,89.92311,23.75261,1302,1
JHITKA KHAWJA RAHMAT ALI DEGREE COLLEGE,110947,College,MANIKGANJ,HARIRAMPUR,BASUDEBPUR,89.98583,23.74694,1303,1
M.A. ROUF DEGREe  COLLEGE  KOuri,110949,College,MANIKGANJ,HARIRAMPUR,KAURI,89.95547,23.76028,1304,1
TEROSREE COLLEGE,110929,College,MANIKGANJ,GHIOR,TERASREE,90.02253,23.68228,1305,1
DR. ABDUR RAHIM KHAN MOHILA COLLEGE,110931,College,MANIKGANJ,GHIOR,GHIOR,89.94203,23.89781,1306,1
GHOR GOVT COLLEGE,110930,College,MANIKGANJ,GHIOR,GHIOR,89.87653,23.92289,1307,1
BACHAMARA  BAGHATIA CHARKATARY  COLLEGE,110906,College,MANIKGANJ,DAULATPUR,BACHAMARA,89.95078,23.90297,1308,1
MOTILAL DEGREE COLLEGE,110905,College,MANIKGANJ,DAULATPUR,RAMCHANDRAPUR,89.84819,23.96189,1309,1
TALUK NAGAR DEGREE COLLEGE,110907,College,MANIKGANJ,DAULATPUR,ITALUK HAPANIA,89.79172,23.97181,1310,1
KALIAKAIK ISLAMIA DAKHIL MADRASHA,111083,Madrasha,MANIKGANJ,SINGAIR,BRI-KALIAKAIR,90.14811,23.81564,6736,1
 DHALLA ISLAMIA DAKHIL MADRASHA,111082,Madrasha,MANIKGANJ,SINGAIR,GANDHARDIA,90.09528,23.81514,6737,1
KHASERCHAR MAHMUDIA SR.MADRASAH,111080,Madrasha,MANIKGANJ,SINGAIR,KHASER CHAR (1ST PART),90.21603,23.73972,6738,1
CHARRAJ NAGAR MANIKNAGAR MAHMUDIA DAKHIL MADRASHA,111079,Madrasha,MANIKGANJ,SINGAIR,NOADDA,90.19031,23.79697,6739,1
