inst name, eiin, inst_type, district, thana, mauza, long, lat, serial,isUnique
SHAH NIMATRA SAGORNAL FULTOLA COLLEGE,129680,College,MAULVIBAZAR,JURI,DAKSHIN SAGARNAL,92.09228,24.77472,1311,2
TAIBUNNESSA KHANAM ACADEMY DEGREE COLLEGE,129582,College,MAULVIBAZAR,JURI,DHAMAI T.E.(PART),92.11594,24.61511,1312,1
BARLEKHA DEGREE COLLEGE,129580,College,MAULVIBAZAR,BARLEKHA,GRAMTALA,92.1985,24.72239,1313,1
NARI SHIKKA ACADEMY DEGREE COLLAGE,129581,College,MAULVIBAZAR,BARLEKHA,MURIRGUL (PART),92.16842,24.61569,1314,1
DASHER BAZAR ADARSHA COLLEGE,131920,College,MAULVIBAZAR,BARLEKHA,LOGATI,92.16711,24.65453,1315,1
KAMAL GANJ GANA MOHA BIDYALAY,129615,College,MAULVIBAZAR,KAMALGANJ,NASARATPUR,91.85892,24.28536,1316,1
ABDUL  GAFUR  CHOWDHURY  MAHILA  COLLEGE,129614,College,MAULVIBAZAR,KAMALGANJ,TILAK PUR,91.85458,24.22614,1317,1
KULAURA DEGREE COLLAGE,129682,College,MAULVIBAZAR,KULAURA,KASHIMNAGAR,91.95328,24.43592,1318,1
YOUSUF  GONI  ADARSHA  COLLEGE,129683,College,MAULVIBAZAR,KULAURA,NABINAGAR,91.97325,24.51944,1319,1
EAKUB TAJUL MOHILA DEGREE COLLEGE,129681,College,MAULVIBAZAR,KULAURA,SONAPUR,92.02419,24.45858,1320,1
LUNGLA ADHUNIK DEGREE COLLEGE,129684,College,MAULVIBAZAR,KULAURA,MAHAMUDPUR (PART),92.00828,24.48361,1321,1
SYED  SHAH  MOSTAFA  COLLEGE,129731,College,MAULVIBAZAR,MAULVIBAZAR SADAR,SANSER NAGER ROAD,91.994,24.47197,1322,1
MOULANA MUFAZZAL HOSSAIN MOHILA degree COLLEGE,129756,College,MAULVIBAZAR,RAJNAGAR,SATRU MARDAN,91.89922,24.47258,1323,1
RAJNAGAR DEGREE COLLEGE,129755,College,MAULVIBAZAR,RAJNAGAR,GAYGHAR,91.849,24.55417,1324,1
SREEMANGAL GOVT. COLLEGE,129783,College,MAULVIBAZAR,SREEMANGAL,BHARAURA (PART),91.73497,24.31353,1325,1
DWArIkA PAUL MOHILA DEGREE COLLEGE,129782,College,MAULVIBAZAR,SREEMANGAL,UTTARSUR,91.73147,24.31006,1326,1
MAULVIBAZAR GOVERMENT COLLEGE MOULVIBAZAR,129730,College,MAULVIBAZAR,MAULVIBAZAR SADAR,COWRT AREA,91.7795,24.47981,1327,1
MOULVI BAZAR GOVT. WOMEN S COLLEGE,129729,College,MAULVIBAZAR,MAULVIBAZAR SADAR,MUSLIM QUARTER,91.78011,24.48125,1328,1
NOWA BAZAR AHMODIA FAZIL MADRASAH,129668,Madrasha,MAULVIBAZAR,JURI,DWAHA PARA,92.14842,24.45967,6761,1
JAYFOR NAGOR ISLAMIA MOHILA DHAKIL MADRASHA,129660,Madrasha,MAULVIBAZAR,JURI,JAIFARNAGAR,92.15994,24.56328,6762,1
JANGIRAI DAKHIL MADRASAH,129674,Madrasha,MAULVIBAZAR,JURI,JANGIRAI,92.15997,24.53497,6763,1
NOYAGRAM SHIMUL TALA DAKHIL MADRASHA,129672,Madrasha,MAULVIBAZAR,JURI,NAYA GRAM,92.14892,24.57589,6764,1
HAZRAT SHAH KHAKI (R) ISLAMIA ALIM  MADRASAH,129664,Madrasha,MAULVIBAZAR,JURI,BHUGTERA,92.11503,24.59544,6765,1
SHAGARNAL SENIOR ALIM MADRASAH,129669,Madrasha,MAULVIBAZAR,JURI,UTTAR SAGARNAL,92.13103,24.58783,6766,1
TALIMPUR BAHARPUR YeAKUbia DAKHil MADRASha,129569,Madrasha,MAULVIBAZAR,BARLEKHA,DATTER MAHAL (PART),92.19972,24.58517,6767,1
TARADOROM MOHILA DAKHIL MADRASAH,131542,Madrasha,MAULVIBAZAR,BARLEKHA,TERADARANG,92.14147,24.38706,6768,1
BARLEKHA JAMEA ISLAMIA DAKHIL MADRASAH,129575,Madrasha,MAULVIBAZAR,BARLEKHA,GRAMTALA,92.16364,24.72733,6769,1
PURBA HATLIA DAKHIL MADRASHA,129579,Madrasha,MAULVIBAZAR,BARLEKHA,GRAMTALA,92.12094,24.74106,6770,1
BARLEKHA MUHAMMADIA FAZIL DEGREE MADRASHA,129573,Madrasha,MAULVIBAZAR,BARLEKHA,TELIGUL (PART),92.21364,24.74783,6771,1
SUZAUL SENIOR  FAZIL  MADRASHA,129572,Madrasha,MAULVIBAZAR,BARLEKHA,SUJAUL,92.19392,24.70375,6772,1
PATHARIA GANGKUL MANSURIA SENIOR(FAZIL)MADRASHA,129570,Madrasha,MAULVIBAZAR,BARLEKHA,GANGKUL,92.22453,24.76389,6773,1
CHANDGRAM A. U. FAZIL DEGRE MADRASHA,129574,Madrasha,MAULVIBAZAR,BARLEKHA,CHANDGRAM,92.15353,24.74697,6774,1
PORGONAHI DAULOTPUR SENIOR ALIM MADRASHA,129568,Madrasha,MAULVIBAZAR,BARLEKHA,PASCHIM DAULATPUR,92.15892,24.76347,6775,1
GOLLASHANGON DAKHIL MADRASAH,129577,Madrasha,MAULVIBAZAR,BARLEKHA,NIJ BAHADURPUR,92.20025,24.78608,6776,1
SHAHERA MUKTADIR MOHILA DAKHIL MADRASHA,129578,Madrasha,MAULVIBAZAR,BARLEKHA,MADHABGUL,92.19361,24.76167,6777,1
SHAHJLAL JAMIYA ISLAMAI DAKHIL MADRASAH,129571,Madrasha,MAULVIBAZAR,BARLEKHA,GAURNAGAR 1ST PART,92.14806,24.67364,6778,1
UTTAR SHAABaZPUR HAFiZIA and DHAKIL MADRASAH,129576,Madrasha,MAULVIBAZAR,BARLEKHA,PURBA DAULATPUR,92.15269,24.68681,6779,1
