inst name, eiin, inst_type, district, thana, mauza, long, lat, serial,isUnique
MEHERPUR GOVT. MOHILA COLLEGE,118343,College,MEHERPUR,MEHERPUR SADAR,GIRLS' COLLEGE PARA,88.632973,23.774141,1329,1
GANGNI DEGREE COLLEGE,118261,College,MEHERPUR,GANGNI,GANGNI DEGREE COLLEGE PARA,88.73176,23.81113,1330,1
GANGNI MOHILA DEGREE COLLEGE,118260,College,MEHERPUR,GANGNI,GANGNI UPAZILA CHATTAR,88.74186,23.81671,1331,1
B N COLLEGE,118254,College,MEHERPUR,GANGNI,SHAHARBATI,88.75021,23.85845,1332,1
KAZIPUR COLLEGE,118258,College,MEHERPUR,GANGNI,KAZIPUR,88.808,23.94619,1333,1
TERAIL JORE PUKURIA COLLEGE,118256,College,MEHERPUR,GANGNI,TERAIL,88.78794,23.9525,1334,1
BIR MUKIZODDAH ABDUL GANI COLLEGE,118255,College,MEHERPUR,GANGNI,BAOT,88.85559,23.91291,1335,1
KARAMDI COLLEGE,118262,College,MEHERPUR,GANGNI,KARAMDI,88.75183,23.90534,1336,1
MEHERPUR PAURA DEGREE COLLEGE,118339,College,MEHERPUR,MEHERPUR SADAR,KALA CHANDPUR,88.66178,23.81683,1337,1
MEHERPUR GOVT COLLEGE,118342,College,MEHERPUR,MEHERPUR SADAR,GOVT. COLLEGE PARA,88.62619,23.81531,1338,1
A R B degree COLLEGE,118340,College,MEHERPUR,MEHERPUR SADAR,AMJHUPI,88.65177,23.76125,1339,1
GOVT. MUJIB NAGAR DEGREE COLLEGE,118283,College,MEHERPUR,MUJIB NAGAR,DARIAPUR,88.61489,23.70489,1340,1
MAHAJANPUR MOHABIDDALOY,118284,College,MEHERPUR,MUJIB NAGAR,BABUPUR,88.68281,23.67581,1341,1
MANIKDIA AGARPARA DAKHIL MADRASA,118251,Madrasha,MEHERPUR,GANGNI,MANIK DIGHI,88.79722,23.84111,6827,1
AL MADINA DAKIL MADRASHA,118253,Madrasha,MEHERPUR,GANGNI,BANSHBARIA PURBAPARA,88.8275,23.835,6828,1
GANGNI SIDDIKIA SENIOR ALIM MADRASAH,118246,Madrasha,MEHERPUR,GANGNI,GANGNI BHITA PARA,88.74857,23.81836,6829,1
KAZIPUR DARUL ULUM DAKIL MADRASAH,118244,Madrasha,MEHERPUR,GANGNI,KAZIPUR,88.76474,23.92839,6830,1
AiDA KALIM DAKHIL MADRASA,131404,Madrasha,MEHERPUR,GANGNI,KAZIPUR,88.75898,23.93788,6831,1
PIRTOLA DAKIL MADRASHA,131402,Madrasha,MEHERPUR,GANGNI,BETBARIA,88.77194,23.94611,6832,1
BADIAPARA MOHSINIA SIDDKIA DAKHIL MASRASHA,118250,Madrasha,MEHERPUR,GANGNI,MAHABBATPUR,88.75716,23.94157,6833,1
KOLA DAKhIL MADRASHA,118337,Madrasha,MEHERPUR,MEHERPUR SADAR,KOLA,88.67819,23.78256,6834,1
GOVIPUR DAKHIL MADRASaH,118332,Madrasha,MEHERPUR,MEHERPUR SADAR,GOBIPUR,88.61886,23.79428,6835,1
MEHERPUR MOHILA DAKHIL madrasha,118329,Madrasha,MEHERPUR,MEHERPUR SADAR,DAKSHIN TANTIPARA,88.64728,23.85617,6836,1
