inst name, eiin, inst_type, district, thana, mauza, long, lat, serial,isUnique
ADARSHA DEGREE COLLEGe,111230,College,MUNSHIGANJ,SREENAGAR,BILARAI,90.294884,23.54281,1342,1
BIKRAMPUR TONGIBARI DEGREE COLLEGE,111255,College,MUNSHIGANJ,TONGIBARI,NAYANANDA,90.439,23.51275,1343,1
SERAJABAD RANA SHAFIUAH COLLEGE,131938,College,MUNSHIGANJ,TONGIBARI,SERAJABAD,90.46406,23.49122,1344,1
SREENAGAR  GOVT.  COLLEGE,111231,College,MUNSHIGANJ,SREENAGAR,SREENAGAR,90.24914,23.51894,1345,1
VIKRAMPUR K. B. DEGREE COLLEGE,111200,College,MUNSHIGANJ,SERAJDIKHAN,ICHHAPUR,90.39225,23.54894,1346,1
BIKRAMPUR ADRASHA DEGREE COLLAGE,111201,College,MUNSHIGANJ,SERAJDIKHAN,KUCHIAMORA,90.39128,23.57019,1347,1
ALI ASGAR  ABDULLAH AND COLLEGE,111199,College,MUNSHIGANJ,SERAJDIKHAN,GOPALPUR,90.30172,23.63161,1348,1
MUNSHIGONJ GOVT. MOHILA COLLEGE,111159,College,MUNSHIGANJ,MUNSHIGANJ SADAR,MADHYA COURTGAON,90.27547,23.61972,1349,1
GOVT. HARAGANGA COLLEGE,111160,College,MUNSHIGANJ,MUNSHIGANJ SADAR,MATPARA,90.27892,23.62283,1350,1
RAMPAL COLLEGE,111161,College,MUNSHIGANJ,MUNSHIGANJ SADAR,GOBINDAPUR,90.49378,23.56483,1351,1
MIRKADIM HAZI AMZAD ALI (DEGREE) COLLEGE,132058,College,MUNSHIGANJ,MUNSHIGANJ SADAR,MURMA,90.49572,23.54258,1352,1
MEDINI MANDAL GIRLS COLLEGE,111128,College,MUNSHIGANJ,LOHAJANG,UTTAR MEDINI MANDAL,90.41375,23.45225,1353,1
LOHAJANG DEGREE  COLLEGE,111127,College,MUNSHIGANJ,LOHAJANG,BARA NAOPARA,90.24767,23.48375,1354,1
BALIGAON AMZAD ALI COLLEGE,111254,College,MUNSHIGANJ,TONGIBARI,HAT BALIGAON,90.26581,23.48228,1355,1
GAZARIA thana KALIMULLAH  COLLEGE,111107,College,MUNSHIGANJ,GAZARIA,SREENAGAR,90.67106,23.53967,1356,1
GOVT. GAZARIA COLLEGE,111108,College,MUNSHIGANJ,GAZARIA,SEBAK CHAR,90.69164,23.50775,1357,1
BALAI ISLAMIA DAKHIL MADRASHA,111253,Madrasha,MUNSHIGANJ,TONGIBARI,BALAI,90.47703,23.46247,6844,1
DHIPUR ISLAMIA FAZIL MADRASAH,111250,Madrasha,MUNSHIGANJ,TONGIBARI,DHIPUR,90.43633,23.51975,6845,1
DIGHIRPAR MOHAMMAADIA ISLAMIA DAKHIL MADRASHA,111252,Madrasha,MUNSHIGANJ,TONGIBARI,PURA,90.462,23.50389,6846,1
KAMARGAON AL-AMIN ISLAMIA ALIM MADRASHA,111226,Madrasha,MUNSHIGANJ,SREENAGAR,KAMARGAON,90.22778,23.59917,6847,1
LASKARPUR HOSSAINIA KASEMUL ULUM ALIM MADRASHA,111225,Madrasha,MUNSHIGANJ,SREENAGAR,ALAMPUR,90.20961,23.51506,6848,1
HOGLAGAON HAZI RIAZUL ISLAM DARUSSUNNAT D. MADRASHA,111228,Madrasha,MUNSHIGANJ,SREENAGAR,PATABHOG,90.26381,23.50475,6849,1
DAYHATA GOWSUL AZAM JILANIA DAKHIL MADrasah,111229,Madrasha,MUNSHIGANJ,SREENAGAR,DAYHATA,90.30222,23.52225,6850,1
GADIGHAT ISLAMIA DAKHIL MADRASAH,111227,Madrasha,MUNSHIGANJ,SREENAGAR,GADIGHAT,90.28311,23.53806,6851,1
KALINAGAR MOHAMMADIA DAKHIL MADRASAH,131712,Madrasha,MUNSHIGANJ,SERAJDIKHAN,CHAR BAKTABALI,90.33522,23.60075,6852,1
KHASKANDI ISLAMIA DAKHIL MDRASHA,111196,Madrasha,MUNSHIGANJ,SERAJDIKHAN,CHAR KHASKANDI,90.43997,23.59242,6853,1
MOHSINIA ISLAMIA DAKHIL MADRASAH,111197,Madrasha,MUNSHIGANJ,SERAJDIKHAN,CHAR BAKTABALI,90.38933,23.6465,6854,1
NESARABAD NURIA DAKHIL MADRASAH,111192,Madrasha,MUNSHIGANJ,SERAJDIKHAN,RAJDIA,90.25039,23.6385,6855,1
ISLAMPUR KAMIL MADRASHA,111190,Madrasha,MUNSHIGANJ,SERAJDIKHAN,BARA BARTA,90.38889,23.57114,6856,1
MADHYAPARA RAIHANIA MOHAMMADIA DAKHIL MADRASHA,111194,Madrasha,MUNSHIGANJ,SERAJDIKHAN,MALAPDIA,90.35069,23.55261,6857,1
MALKHANAGAR ISLAMIA DAKHIL MADRASHA,111198,Madrasha,MUNSHIGANJ,SERAJDIKHAN,MALKHANAGAR,90.38656,23.59517,6858,1
SIDDIQUE AKBAR DAKHIL MADRASAH,111195,Madrasha,MUNSHIGANJ,SERAJDIKHAN,RAJANAGAR,90.42483,23.55253,6859,1
HAZRAT PUR GOPALPUR AHMADIA DAKHIL MADRASHA,111193,Madrasha,MUNSHIGANJ,SERAJDIKHAN,GOPALPUR,90.30144,23.631,6860,1
MUNSHI GANJ ADARSHA ALIM MADRASAH,111157,Madrasha,MUNSHIGANJ,MUNSHIGANJ SADAR,SUTRADHAR PARA,90.52992,23.54872,6861,1
ADHARA DARUS SUNNAT ISLAMIA DAKHIL MADRASHA,131703,Madrasha,MUNSHIGANJ,MUNSHIGANJ SADAR,ADHARA,90.52781,23.53728,6862,1
AKAL MEGH AZIZIA DAKHIL MADRASHA,111155,Madrasha,MUNSHIGANJ,MUNSHIGANJ SADAR,AKAL MEGH,90.53603,23.43039,6863,1
PANCHASAR DARUSSUNNAT ISLAMIA ALIM MADRASAH,111156,Madrasha,MUNSHIGANJ,MUNSHIGANJ SADAR,PANCHASAR,90.53367,23.55697,6864,1
