inst name, eiin, inst_type, district, thana, mauza, long, lat, serial,isUnique
GOVT. MUMINUNNISA MOHILA COLLEGE,111915,College,MYMENSINGH,MYMENSINGH SADAR,COLLEGE ROAD (PART-1),90.397636,24.763185,1358,1
MYMENSINGH MOHILA COLLEGE,111916,College,MYMENSINGH,MYMENSINGH SADAR,UTTAR SEHARA,90.397644,24.762928,1359,1
NASIRABAD COLLEGE,111912,College,MYMENSINGH,MYMENSINGH SADAR,AKUA,90.388252,24.738543,1360,1
MYMENSINGH COLLEGE,111914,College,MYMENSINGH,MYMENSINGH SADAR,RAM BABU ROAD (PART),90.389755,24.748093,1361,1
ALAMGIR MONSUR (MINTO)MEMORIAL COLLEGE,111918,College,MYMENSINGH,MYMENSINGH SADAR,C.K. GHOSH ROAD,90.403389,24.761616,1362,1
DHOBAURA  ADARSA  COLLEGE,111386,College,MYMENSINGH,DHOBAURA,DOBAURA,90.523399,25.088512,1363,1
ISHWERGONG DEGREE COLLEGE,111821,College,MYMENSINGH,ISHWARGANJ,CHAR HOSSAINPUR,90.595238,24.69245,1364,1
COLLEGE OF BUSINESS SCIENCE & TECHNOLOGY,132136,College,MYMENSINGH,MYMENSINGH SADAR,PANDIT PARA,90.548309,24.460295,1365,1
SONAR BANGLA DEGREE COLLAGE,111353,College,MYMENSINGH,BHALUKA,MUCHIRA,90.37636,24.36403,1366,1
BIRUNIA SADAR ALI SARKER MEMORIAL  MOHILA COLLEGE,111355,College,MYMENSINGH,BHALUKA,BIRUNIA,90.28303,24.41586,1367,1
BHALUKA DEGREE COLLEGE,111354,College,MYMENSINGH,BHALUKA,COLLEG PARA,90.41144,24.42756,1368,1
FULBARIA MOHILA COLLEGE,111522,College,MYMENSINGH,FULBARIA,CHHANKANDA,90.20042,24.5615,1369,1
FULBARIA COLLEGE,111516,College,MYMENSINGH,FULBARIA,FULBARIA (PART),90.27528,24.64192,1370,1
BEGUM FAJILATUNNESA MUJIB MOHILA COLLEGE,130820,College,MYMENSINGH,FULBARIA,KUSHMAIL,90.27439,24.62939,1371,1
