inst name, eiin, inst_type, district, thana, mauza, long, lat, serial,isUnique
NONAHER ISLAMIA DAKHIL MADRASH,123693,Madrasha,NAOGAON,PORSHA,BEZORA,88.50669925,24.96598562,7215,1
BARIDA SHAIKHPARA ISLAMIA FAZIL MADRASAH,123673,Madrasha,NAOGAON,PORSHA,BARINDA,88.52811,25.00383,7216,1
NITHPUR DARUS SUNNAH FAZIL MADRASHA,123682,Madrasha,NAOGAON,PORSHA,NITHPUR,88.4535,25.02239,7217,1
MOHAMMODIA SREEKRISHNOPUR DAKHIL MADRASHA,123698,Madrasha,NAOGAON,PORSHA,SREEKRISHNAPUR,88.45983,25.03933,7218,1
NITHPUR MOHILA ALIM MADRASHA,123689,Madrasha,NAOGAON,PORSHA,NITHPUR,88.44428,25.02111,7219,1
BISHNOPUR DHAKIL MADRASAH,123679,Madrasha,NAOGAON,PORSHA,KALAIBARI,88.474,25.04456,7220,1
ISLAMPUR DHAKIL MADRASHA,123684,Madrasha,NAOGAON,PORSHA,KALAIBARI,88.47344,25.06189,7221,1
KALAIBARI DUARPAL DAKHIL MADRASHA,123686,Madrasha,NAOGAON,PORSHA,KALAIBARI,88.46928,25.05617,7222,1
KALAIBARI MAHILA DAKHIL MADRASHA,123697,Madrasha,NAOGAON,PORSHA,KALAIBARI,88.47783,25.05522,7223,1
ANANTAPUR DAKHIL MADRASHA,123695,Madrasha,NAOGAON,PORSHA,ANANTAPUR,88.45633,25.00478,7224,1
SATOA MOHILA DAKHIL MADRASHA,123690,Madrasha,NAOGAON,PORSHA,CHHATOA,88.62247925,24.99431562,7225,1
SHARIALA ISLAMIA DAKHIL MADRSAH,123687,Madrasha,NAOGAON,PORSHA,SARIALA,88.62219925,24.99814562,7226,1
DEWLIA ISLAMIA DAKHIL MADRASHA,123683,Madrasha,NAOGAON,PORSHA,DEULA,88.62086925,24.96553562,7227,1
MEDA HAZRAT AYESHA SIDDIKA (R) ALIM MADRASHA,123681,Madrasha,NAOGAON,PORSHA,MEDA,88.594,25.02372,7228,1
