inst name, eiin, inst_type, district, thana, mauza, long, lat, serial,isUnique
GOVT. TOLARAM COLLEGE,112478,College,NARAYANGANJ,NARAYANGANJ SADAR,ALLAMA IQBAL RD(TULARAM COLL),90.497307,23.622938,1416,1
MURAPARA COLLEGE,112535,College,NARAYANGANJ,RUPGANJ,BRAHMANGAON,90.520905,23.780937,1417,1
GOVT. SAFAR ALI COLLEGE,112327,College,NARAYANGANJ,ARAIHAZAR,ARAIHAZAR,90.21288,25.0093,1418,1
ROKANUDDIN MOLLA GIRLS COLLEGE,112326,College,NARAYANGANJ,ARAIHAZAR,CHHOTA BARAI PARA,90.22736,25.02078,1419,1
HAZI BELAYET HOSSAIN COLLEGE,112328,College,NARAYANGANJ,ARAIHAZAR,UCHITPUR,90.63792,23.74939,1420,1
PANCHRUKHI BEGUM ANOWARA COLLEGE,112329,College,NARAYANGANJ,ARAIHAZAR,PANCHRUKHI,90.71178,23.80319,1421,1
KADAM RASUL DEGREE COLLEGE,112401,College,NARAYANGANJ,BANDAR,BANDAR,90.52011,23.62592,1422,1
NAZIMUDDIN BHUIYAN DEGREE COLLEGE,112400,College,NARAYANGANJ,BANDAR,MADANPUR,90.54278,23.58361,1423,1
NARAYANGaNJ GOVT. MOHILA COLLEGE,112479,College,NARAYANGANJ,NARAYANGANJ SADAR,COLLEGE ROAD,90.50072,23.61914,1424,1
NARAYANGONJ COLLEGE,112480,College,NARAYANGANJ,NARAYANGANJ SADAR,DIG BARUR BAZAR,90.4905,23.69344,1425,1
GOVT ADAMJEE NAGAR M W COLLEGE,112477,College,NARAYANGANJ,NARAYANGANJ SADAR,KADAMTALI DAKSHIN,90.51856,23.67392,1426,1
NARAYANGONJ MODEL COLLEGE,131870,College,NARAYANGANJ,NARAYANGANJ SADAR,KHOAR PATTY,90.47708,23.63992,1427,1
HAJI MISIR ALI university COLLEGE,112482,College,NARAYANGANJ,NARAYANGANJ SADAR,DEUL PARA(PART),90.46772,23.67703,1428,1
ABDUL AZIZ MIA AYESHA KHATUN COLLEGE,112536,College,NARAYANGANJ,RUPGANJ,KENDUA KHALPAR,90.48906,23.69217,1429,1
SALIM UDDIN CHOWDHURY COLLEGE,112534,College,NARAYANGANJ,RUPGANJ,KENDUA PARA,90.51722,23.74625,1430,1
SONARGAON KAZI FAZLUL HAQUE WOMENS COLLEGE,112370,College,NARAYANGANJ,SONARGAON,BARI MAJLISH,90.52025,23.78981,1431,1
SONARGAON DEGREE COLLEGE,112369,College,NARAYANGANJ,SONARGAON,SHOLA PARA,90.52517,23.70339,1432,1
HOSSAIN PUR S.P.UNION COLLEGE,112371,College,NARAYANGANJ,SONARGAON,HOSSAINPUR,90.57347,23.62222,1433,1
MAJHINAH MOUJAR AMMADIA ISLAMIA FAZIL MADRASHA,112519,Madrasha,NARAYANGANJ,RUPGANJ,MAJHINA,90.1299,23.88148,7483,1
AL-ARAFA ISLAMIA DAKHIL MADRASHA,112533,Madrasha,NARAYANGANJ,RUPGANJ,PUBGAON,90.13103,23.87821,7484,1
ARAIHAZAR EMDADUL ULUM ALIM MADRASAH,112324,Madrasha,NARAYANGANJ,ARAIHAZAR,ARAIHAZAR,90.23467,24.95043,7485,1
RAOJATUL MUTTA QEEN DAKIL MADRASHA,131643,Madrasha,NARAYANGANJ,ARAIHAZAR,BISHNANDI,90.66094,23.79408,7486,1
BALLAVDI KANDA DAKHIL MADRASAH,112325,Madrasha,NARAYANGANJ,ARAIHAZAR,BALLABHDI,90.60581,23.79519,7487,1
PURBAKANDI ADARSAH DAKHIL MADRASAH,112321,Madrasha,NARAYANGANJ,ARAIHAZAR,JHUKANDI,90.67108,23.76294,7488,1
GOPLADI FAZIL MADRASAH,112319,Madrasha,NARAYANGANJ,ARAIHAZAR,GOPALDI,90.67572,23.72058,7489,1
RASULPUR MOHILA DAKHIL MADRASHA,112318,Madrasha,NARAYANGANJ,ARAIHAZAR,SATGRAM,90.71233,23.80106,7490,1
RASULPUR OSMAN MOLLAH ISLAMIA FAZIL MADRASA,112322,Madrasha,NARAYANGANJ,ARAIHAZAR,BARA NAOGAON,90.69675,23.816,7491,1
ADURIA ISLAMIA DAKHIL MADRASHA,112517,Madrasha,NARAYANGANJ,RUPGANJ,ADHURIA,90.64614,23.85194,7492,1
BANDAR ISLAMIA FAZIL MADRASA,112395,Madrasha,NARAYANGANJ,BANDAR,BIBIJHORA,90.60758,23.82825,7493,1
NABIGONJ ISLAMIA SINIOR ALIM MADRASHA,112396,Madrasha,NARAYANGANJ,BANDAR,NABIGANJ ROAD,90.59931,23.80247,7494,1
JAMEA ISLAMIA ALIM  MADRASHA,112393,Madrasha,NARAYANGANJ,BANDAR,CHAPATALI (PART),90.52344,23.63125,7495,1
NURUN ALANUR ASHAKI HOSSAINIA DAKHIL MADRASHA,112399,Madrasha,NARAYANGANJ,BANDAR,JANGAL,90.53219,23.62778,7496,1
BISWANOBI (S) ISLAMIA ALIM MADRASHA,112394,Madrasha,NARAYANGANJ,BANDAR,MADANGANJ (PART),90.53142,23.60242,7497,1
MDANPUR RIAZUL ULUM ALIM MADRASAH,112397,Madrasha,NARAYANGANJ,BANDAR,MADANPUR,90.52597,23.60828,7498,1
MUSAPUR DARUSSUNNATH ISLAMIA DAKHIL MADRASAH,112398,Madrasha,NARAYANGANJ,BANDAR,MUSAPUR,90.52083,23.59294,7499,1
ADARSHA  MOHILA MADRASHA,112468,Madrasha,NARAYANGANJ,NARAYANGANJ SADAR,GOLACHIPA,90.51069,23.61231,7500,1
SHIMRAIL D.S,N.S ALIM MADRASHA,112460,Madrasha,NARAYANGANJ,NARAYANGANJ SADAR,SIMRAIL,90.51558,23.69944,7501,1
MIZMIZI PAINADI FAZIL MADRASHA,112455,Madrasha,NARAYANGANJ,NARAYANGANJ SADAR,MIJMIZI BATEN PARA,90.50094,23.69858,7502,1
MIZMIZI HAZI ABDUSSAMAD ISLAMIA ALIM MADRASHA,112458,Madrasha,NARAYANGANJ,NARAYANGANJ SADAR,MIJMIZI PASCHIM PARA,90.50572,23.69028,7503,1
SIDDHIRGONJ D.S.ISLAMI ALIM MADRASAH,112459,Madrasha,NARAYANGANJ,NARAYANGANJ SADAR,SIDDIRGANJ KALABAGH PURBA,90.49986,23.68586,7504,1
GODNAIL BAGPARA ALIM MADRASHA,112465,Madrasha,NARAYANGANJ,NARAYANGANJ SADAR,GODNAIL BAGH PARA,90.51631,23.65481,7505,1
JALKURI ISLAMIA DAKHIL MADRASHA,112463,Madrasha,NARAYANGANJ,NARAYANGANJ SADAR,JALKURI (MAJ PARA),90.51525,23.66447,7506,1
FEROJA KHATUN MOHILA DAKHIL MADRASHA,112473,Madrasha,NARAYANGANJ,NARAYANGANJ SADAR,ALIR TEK,90.49622,23.66494,7507,1
MOHAMMADIA MOHILA DAKHIL MADRASHA,112475,Madrasha,NARAYANGANJ,NARAYANGANJ SADAR,GODNAIL MANDAL PARA,90.46544,23.59394,7508,1
BAKTABALI ISLAMIA SENIOR MADRASHA,112470,Madrasha,NARAYANGANJ,NARAYANGANJ SADAR,CHAR BAKTABALLI,90.46675,23.58567,7509,1
DHARMAGANJ ISLAMIA ARABIA DAKHIL MADRASAH,112462,Madrasha,NARAYANGANJ,NARAYANGANJ SADAR,SIMRAIL,90.48389,23.62867,7510,1
