inst name, eiin, inst_type, district, thana, mauza, long, lat, serial,isUnique
NARSINGDI GOVT. COLLEGE,112719,College,NARSINGDI,NARSINGDI SADAR,BHELANAGAR,90.722992,23.933495,1434,1
NARSINGDI GOVT. MOHILA COLLEGE,112718,College,NARSINGDI,NARSINGDI SADAR,DAKSHIN BIRAMPUR,90.723488,23.932486,1435,1
RAIPURA COLLEGE,112817,College,NARSINGDI,ROYPURA,CHANDERKANDI,90.78717,23.93117,1436,1
PALASH SHILPANCHAL COLLEGE,112758,College,NARSINGDI,PALASH,PALASH BAZAR,90.88675,23.95869,1437,2
GHORASHAL MUSHA BIN HAKIM COLLEGE,112757,College,NARSINGDI,PALASH,CHAMRABO,90.62856,23.97122,1438,1
MADHABDI COLLEGE,112715,College,NARSINGDI,NARSINGDI SADAR,CHHATO GODAIR CHAR (PART),90.67992,23.96811,1439,1
MADHABDI DIGITAL COLLEGE,131872,College,NARSINGDI,NARSINGDI SADAR,BIRAMPUR(PART),90.63333,23.94906,1440,1
ABDUL KADIR MOLLAH CITY COLLEGE,132043,College,NARSINGDI,NARSINGDI SADAR,BASAIL (ELASAI),90.67603,23.85169,1441,1
NARSHINGDI MODEL COLLEGE,112716,College,NARSINGDI,NARSINGDI SADAR,BHELANAGAR,90.80339,23.89011,1442,1
SHILMANDI ADARSHA COLLEGE,131871,College,NARSINGDI,NARSINGDI SADAR,SILMANDI,90.68142,23.89931,1443,1
BARACHAPA MOHA BIDDALAY,112652,College,NARSINGDI,MANOHARDI,BARA CHAPA,90.77842,24.20072,1444,1
BARACHAPA UNION ADARSHA DEGREE COLLeGe,112654,College,NARSINGDI,MANOHARDI,NOANAGAR,90.74889,24.19228,1445,1
MONOHARDI DEGREE COLLEGE,112655,College,NARSINGDI,MANOHARDI,DAKSHIN CHANDANBARI,90.69669,24.16964,1446,1
HATIRDIA RAZIUDDIN COLLEGE,112657,College,NARSINGDI,MANOHARDI,HATIRDIA,90.70336,24.09911,1447,1
PANCH KANDI DEGREE COLLEGE,112659,College,NARSINGDI,MANOHARDI,GOTASHIA,90.75117,24.12794,1448,1
 AFAZUDDIN KHAN MOHILA  COLLEGE,112653,College,NARSINGDI,MANOHARDI,KHARABA,90.75831,24.16506,1449,1
KHIDIRPUR COLLEGE,112658,College,NARSINGDI,MANOHARDI,KHIDIRPUR (PART-1),90.73625,24.19875,1450,1
BAROICHA COLLEGE,112574,College,NARSINGDI,BELABO,PURBA UJILABA,90.86461,24.06656,1451,1
HOSSAIN ALI COLLGE,112575,College,NARSINGDI,BELABO,BELABO,90.79897,24.10933,1452,1
NARAYANPUR RABEYA COLLEGE,112573,College,NARSINGDI,BELABO,NARAYANPUR,90.90122,24.06533,1453,1
PORADIA WASIM UDDIN KHAN DEGREE COLLEGE,112576,College,NARSINGDI,BELABO,PORADIA,90.80906,24.13822,1454,1
LAKHPUR SHIMULIA COLLEGE,112879,College,NARSINGDI,SHIBPUR,CHAR LAKHPUR,90.82156,24.14578,1455,1
SHIBPUR GOVT. SHAHID ASAD COLLEGE. SHIBPUR. NARSINGDI,112881,College,NARSINGDI,SHIBPUR,DHANUA,90.68953,24.05185,1456,1
JOYNAGAR DEGREE COLLEGE,112882,College,NARSINGDI,SHIBPUR,AJKITALA,90.73693,24.07611,1457,1
SABUJ PAHAR COLLEGE,112880,College,NARSINGDI,SHIBPUR,JOSAR,90.81082,24.06639,1458,1
ABDUL MANNAN BHUIYAN COLLEGE,112883,College,NARSINGDI,SHIBPUR,BANGSIRDIA,90.81517,24.00525,1459,1
RAHIMA HOQUE CHETONA BIKASH MOHILA COLLEGE,112818,College,NARSINGDI,ROYPURA,CHANDERKANDI,90.68693,24.02182,1460,1
KARIM GANJ DARUL ULUM  ALIM MADRASAH,112804,Madrasha,NARSINGDI,ROYPURA,HASNABAD,90.87078,23.99483,7545,1
CHARSUBUDDHI FAZIL MADRASAH,112808,Madrasha,NARSINGDI,ROYPURA,CHAR SUBUDDI,90.90611,24.00044,7546,1
LAKSHMIPURA RAHE JANNAT DAKHIL MADRASAH,112814,Madrasha,NARSINGDI,ROYPURA,DAUKAR CHAR,90.88272,23.89372,7547,1
AMIRABAD HOSSAINIA DAKHIL MADRASHA,112805,Madrasha,NARSINGDI,ROYPURA,FATEHPUR,90.81981,23.96578,7548,1
PALASHTALI KASEMUL ULUM DAKHIL MADRASAH,112812,Madrasha,NARSINGDI,ROYPURA,TULATALI(PART),90.92317,24.02017,7549,1
RAIPURA UPAZILA DAKHIL MADRASAH,112807,Madrasha,NARSINGDI,ROYPURA,CHANDERKANDI,90.89694,23.95986,7551,2
PAIKASHA DAKHIL MADRASA,112755,Madrasha,NARSINGDI,PALASH,PAIKSA,90.86458,24.03581,7552,2
DAKHIN DEWRA DESHGARI ADARSHA BALIKA DAKHIL MADRASA,112756,Madrasha,NARSINGDI,PALASH,DAKSHIN DEORA,90.62742,23.94031,7553,1
DANGA JAMEAYA ASHRAFUL ULUM DAKHIL MADRASA,112754,Madrasha,NARSINGDI,PALASH,HASANHATA,90.67358,23.97764,7554,1
KAZAIR A. U. ISLAMIA DAKHIL MADRASA,112749,Madrasha,NARSINGDI,PALASH,KAJAIR,90.64158,23.98528,7555,1
