inst name, eiin, inst_type, district, thana, mauza, long, lat, serial,isUnique
AHMMEDPUR DEGREE COLLEGE,123972,College,NATORE,BARAIGRAM,AHAMADPUR,89.171951,24.318747,1461,1
SAILKONA COLLEGE,123883,College,NATORE,BAGATIPARA,SALKONA,88.963638,24.320076,1462,1
NATOR MOHILA COLLEGE,132044,College,NATORE,NATORE SADAR,BAN BELGHARIA(PART),88.958313,24.40403,1463,1
KAFURIA DEGREE COLLEGE,124241,College,NATORE,NATORE SADAR,KAFURA,88.966164,24.410969,1464,1
SINGRA   CHALAN  BIL  WOMENS  COLLEGE,124310,College,NATORE,SINGRA,AUKURI,89.14889,24.49978,1465,1
GOL-E- AFROZ GOVT. COLLEGE,124312,College,NATORE,SINGRA,SINGRA,89.089,24.52033,1466,1
CHAMARI COLLAGE,124311,College,NATORE,SINGRA,CHAMARI,89.124,24.43281,1467,1
RAHIM UDDIN AHMED MEMEORIAL COLLEGE,124314,College,NATORE,SINGRA,BHAR BARGACHHA,89.14397,24.41911,1468,1
KALAM DEGREE COLLEGE,124313,College,NATORE,SINGRA,MIRZAPUR,89.25219,24.51653,1469,1
RAHMAT IQBAL DEGREE COLLEGE,124315,College,NATORE,SINGRA,BAMIHAL,89.32633,24.57131,1470,1
NAWAB SERAJ UD DOWALL GOVT COLLEGE,124235,College,NATORE,NATORE SADAR,UTTAR BARAGACHHA (PART),89.12583,24.50175,1471,1
EASINPUR COLLEGE,124233,College,NATORE,NATORE SADAR,RAMNAGAR,89.2905,24.59972,1472,1
PIRGANJ ADARSHA COLLEGE,124231,College,NATORE,NATORE SADAR,NAZARPUR,89.19886,24.55839,1473,1
MADHNAGAR DEGREE COLLEGE,124240,College,NATORE,NALDANGA,PASCHIM MADHNAGAR,88.96406,24.53442,1474,1
SONAPATIL NALDANGA WOMENS COLLEGE,124242,College,NATORE,NALDANGA,TEGHARIA,88.96081,24.50458,1475,1
BANGABANDHU SHAIKH MUJIB COLLLEGE,124244,College,NATORE,NATORE SADAR,CHANDRAKLA,88.91136,24.40858,1476,1
NATORE CITY COLLAGE,124234,College,NATORE,NATORE SADAR,HOGALBARIA,88.9855,24.40547,1477,1
SHAHEED NAZMUL HAQUE COLLEGE,124239,College,NATORE,NALDANGA,DHOPA PUKUR (PART),88.98231,24.41539,1478,1
DATTAPARA MODEL COLLEGE,124238,College,NATORE,NATORE SADAR,MAKRAMPUR,89.00608,24.41047,1479,1
RANI BHAWANI GOVT. MOHILA COLLEGE, NATORE,124237,College,NATORE,NATORE SADAR,KAPURIA PATTY,88.98867,24.37297,1480,1
M.RUHUL KUDDUS TALUKDAR COLLEGE,124245,College,NATORE,NATORE SADAR,PIRJI PARA,88.99114,24.36181,1481,1
DR.NASIR UDDIN TALUKDER COLLEGE,124243,College,NATORE,NALDANGA,BIPRA BELGHARIA,88.92003,24.45067,1482,1
MOMIN PUR COLLEGE,131968,College,NATORE,NALDANGA,MOMINPUR,88.92853,24.42222,1483,1
DIGHAPATIA M. K COLLEGE,124236,College,NATORE,NATORE SADAR,DIGHAPATIA,89.07092,24.41114,1484,1
BIL HALTI TRIMOHONI DEGREE COLLEGE,124316,College,NATORE,SINGRA,RAMBATI,88.92564,24.37861,1485,1
GOPALPUR DEGREE COLLEGE,124114,College,NATORE,LALPUR,GOPALPUR,89.04864,24.48392,1486,1
GOPALPUR ADARSHA WOMEN'S DEGREE COLLEGE,124117,College,NATORE,LALPUR,GOPALPUR,89.00231,24.20697,1487,1
NAZRUL NAGAR GHATMORDAH MODEL COLLEGE,124120,College,NATORE,LALPUR,PASCHIM PACHUBARIA,88.89581,24.22953,1488,1
BIL MARIA COLLEGE,124112,College,NATORE,LALPUR,MAHARAJPUR,88.92183,24.17794,1489,1
