inst name, eiin, inst_type, district, thana, mauza, long, lat, serial,isUnique
SHAH SULTAN (R) DEGREE COLLEGE,113196,College,NETRAKONA,NETROKONA SADAR,MADANPUR,90.731125,24.87792,1525,1
PURBADHALA DEGREE COLLEGE,113250,College,NETRAKONA,PURBADHALA,PURBADHALA,90.603,24.93867,1526,2
RABEYA ALI MOHILA DEGREE COLLEGE,113249,College,NETRAKONA,PURBADHALA,PURBADHALA,90.594,24.94708,1527,1
JOTIABOR COLEGE,113248,College,NETRAKONA,PURBADHALA,JATIABAR,90.60044,24.95256,1528,1
HAFEZ ZIAUR RAHMAN DEGREE COLLEGE,113251,College,NETRAKONA,PURBADHALA,GOHALAKANDA,90.57483,24.84481,1529,2
CHANDRANATH COLLEGE,113193,College,NETRAKONA,NETROKONA SADAR,KAZI ROAD,90.71144,24.89111,1530,1
GOVT NETROKONA MOHILA COLLEGE,113192,College,NETRAKONA,NETROKONA SADAR,MUKTER PARA,90.72892,24.88614,1531,1
NETRAKONA GOVT COLLEGE,113194,College,NETRAKONA,NETROKONA SADAR,GRAM SATPAI_(1),90.73164,24.87792,1532,1
ABU ABBAS DEGREE COLLEGE,113195,College,NETRAKONA,NETROKONA SADAR,BILL GOJABOGI(PARA),90.75053,24.80453,1534,1
MOHANGANJ  DEGREE  COLLEGE,113129,College,NETRAKONA,MOHANGANJ,TANGAPARA (PART),90.97328,24.87225,1535,1
MOHANGONJ MOHILA COLLEGE,113130,College,NETRAKONA,MOHANGANJ,DAULATPUR (PART),90.98128,24.86444,1536,1
JOBAIDA RAHMAN MOHILA COLLEGE,113105,College,NETRAKONA,MADAN,BARI BHADERA (PURBA),90.96258,24.79994,1537,1
GOVT. HAZI ABDUL AZIZ KHAN DEGREE COLLEGE,113104,College,NETRAKONA,MADAN,IMDADPUR,90.95183,24.71525,1538,1
BALALI BAGHMARA SHAJAHAN COLLEGE,113106,College,NETRAKONA,MADAN,BALALI,90.95414,24.68061,1539,1
KHALIAJURI COLLEGE,112990,College,NETRAKONA,KHALIAJURI,KHALIAJURI,91.09914,24.77089,1540,1
KRISHNAPUR   HAZI  ALI AKBAR  PUBLIC  DEGREE COLLEGE,112989,College,NETRAKONA,KHALIAJURI,KRISHNAPUR,91.13753,24.68753,1541,1
KENDUA  DEGREE  COLLEGE,113076,College,NETRAKONA,KENDUA,BADE ATHABARI,90.72369,24.71931,1542,1
PERVIN SIRAZ MOHILA COLLEGE,113079,College,NETRAKONA,KENDUA,CHANDAGATI,90.84719,24.65153,1543,1
JANATA ADARSHA MOHABIDYALAY,113078,College,NETRAKONA,KENDUA,CHAND PARA,90.84114,24.66353,1544,1
GOPALPUR MODEL COLLEGE,113075,College,NETRAKONA,KENDUA,RAJIBPUR,90.78703,24.72825,1545,1
GONDA COLLEGE,113077,College,NETRAKONA,KENDUA,GANDA,90.74119,24.71469,1546,1
KALMA KANDA DEGREE COLLEGE,113025,College,NETRAKONA,KALMAKANDA,CHANDPUR,90.96047,25.10061,1547,1
SUSANG COLLEGE,112975,College,NETRAKONA,DURGAPUR,SADHUPARA,90.72308,25.14644,1548,1
DURGAOUR MOHALA COLLEGE,112974,College,NETRAKONA,DURGAPUR,SADHUPARA,90.68192,25.12322,1549,1
BARHATTA COLLEGE,112938,College,NETRAKONA,BARHATTA,ISPINJARPUR,90.885,24.89786,1550,1
FAQuIR ASHRAF COLLEGE,131946,College,NETRAKONA,BARHATTA,CHALLISH KAHANIA,90.83469,24.95497,1551,1
ATPARA COLLEGE,112912,College,NETRAKONA,ATPARA,MOBARAKPUR,90.86217,24.80894,1552,1
TELIGATI DEGREE CILLAGE,112911,College,NETRAKONA,ATPARA,TELIGANTI,90.88397,24.84769,1553,1
BAGRA   FAZIL   DEGREE   MADRASHA,113183,Madrasha,NETRAKONA,NETROKONA SADAR,CHALLISHA,89.64561,23.25358,7726,1
PODUR KHANDA DHAKIL MADRASAH,113242,Madrasha,NETRAKONA,PURBADHALA,BERAIL,90.59303,24.94808,7729,1
DHAKIN KAZLA ALHAZ MOULANA ABDUL WAHED KHAN DHAKIL MADRASAH,113246,Madrasha,NETRAKONA,PURBADHALA,DAKSHIN KAJLAPOTA,90.53969,24.95544,7730,1
MATHANG   ISLAMIA   ALIM   MADRASHA,113240,Madrasha,NETRAKONA,PURBADHALA,MATHANG,90.64414,24.79914,7731,1
MOHIMA RAHMANIA GULAM MOSTAFA DHAKIL MADRASAH,113241,Madrasha,NETRAKONA,PURBADHALA,MAHIMA,90.61097,24.83436,7732,1
HIRANNO POTTY FAZIL MADRASAH,113238,Madrasha,NETRAKONA,PURBADHALA,HIRAN PATTI,90.56656,25.01178,7733,1
KAPASIA DAKHIL MADRASHA,113236,Madrasha,NETRAKONA,PURBADHALA,KAPASHIA,90.55322,25.03803,7734,1
ALIPUR ALIM MADRASAH,113239,Madrasha,NETRAKONA,PURBADHALA,ALIPUR,90.57483,24.84481,7737,2
KUMUDGONJ AMINA MEMPRIAL GIRLS DAKHIL MADRASHA,113247,Madrasha,NETRAKONA,PURBADHALA,JALSUKA,90.60492,24.99967,7738,1
NARANDIA DAKHIL MADRASAH,113235,Madrasha,NETRAKONA,PURBADHALA,KHAGURIA,90.56989,25.02431,7739,1
TALIMAT-E-ISLAMIA DAKHIL MADRASHA,113243,Madrasha,NETRAKONA,PURBADHALA,SALDIGHA ROYNAGAR,90.584,25.02753,7740,1
SIDDIQUIA DAKHIL MADRASHA,113244,Madrasha,NETRAKONA,PURBADHALA,KALIHAR,90.57928,24.84464,7741,1
BARHA JASMOTIA DAKHIL MADRASHA,113237,Madrasha,NETRAKONA,PURBADHALA,DEOTOKAN,90.53114,24.98606,7742,1
DHARA DAKHIL MADRASHA,113234,Madrasha,NETRAKONA,PURBADHALA,DHARA,90.62794,24.90131,7743,1
TATULIA AL HELAL DAKHIL MADRASHA,113060,Madrasha,NETRAKONA,KENDUA,GOBINDAPUR,90.61597,24.86192,7744,1
