inst name, eiin, inst_type, district, thana, mauza, long, lat, serial,isUnique
CHILAHATI GOVT. COLLEGE,124893,College,NILPHAMARI,DOMAR UPAZILA,CHILAHATI,88.8166,26.22326,1555,1
DOMAR GOVT COLLEGE,124892,College,NILPHAMARI,DOMAR UPAZILA,PASCHIM BERAGARI S/W,88.82504,26.15343,1556,1
DOMAR WOMENS DEGREE COLLEGE,124896,College,NILPHAMARI,DOMAR UPAZILA,CHIKANMATI,88.81661,26.10481,1557,1
GOMNATI MOHABIDDALOY,124894,College,NILPHAMARI,DOMAR UPAZILA,GOMNATI,88.80265,26.04663,1558,1
MIRZAGONJ COLLEGE,124895,College,NILPHAMARI,DOMAR UPAZILA,MIRZAGANJ,88.8584,26.11253,1559,1
DIMLA MAHILA COLLEGE,124827,College,NILPHAMARI,DIMLA UPAZILA,BABURHAT,88.92311,26.14664,1560,1
DIMLA ISLAMIA DEGREE COLLEGE,124824,College,NILPHAMARI,DIMLA UPAZILA,DAKSHIN TITA PARA,88.91936,26.14961,1561,1
SHAHID ZIA-UR RAHMAN MOHABIDDALAY,133764,College,NILPHAMARI,DIMLA UPAZILA,UTTAR JHUNAGACHH CHA,89.05944,26.1175,1562,1
TISTA COLLAGE,124826,College,NILPHAMARI,DIMLA UPAZILA,CHHOTA KHATA,89.03928,26.12906,1563,1
JANATA  DEGREE COLLEGE,124825,College,NILPHAMARI,DIMLA UPAZILA,KHOGA KHARIBARI,89.00197,26.12553,1564,1
JALDHAKA DEGREE COLLEGE,124977,College,NILPHAMARI,JALDHAKA UPAZILA,JALDHAKA (PART),89.01575,26.02222,1565,1
RABEYA CHOWDHURY WOMEN'S COLLEGE,124976,College,NILPHAMARI,JALDHAKA UPAZILA,MATHABHANGA,89.00806,26.02444,1566,1
IDEAL COOLLEGE,124981,College,NILPHAMARI,JALDHAKA UPAZILA,AMRULBARI (PART),89.01525,26.02494,1567,1
GOLNA SHAHID SMRITY COLLEGE,124980,College,NILPHAMARI,JALDHAKA UPAZILA,KHARIJA GOLNA,89.01311,26.02625,1568,1
MIRGONJ HAT COLLEGE,124979,College,NILPHAMARI,JALDHAKA UPAZILA,PURBA SHIMULBARI,88.98267,25.97747,1569,2
SHIMUL BARI BANGABANDHU DEGREE COLLEGE,124978,College,NILPHAMARI,JALDHAKA UPAZILA,ARAZI SHIMULBARI,88.889,26.03406,1570,1
RADHARANI WOMEN COLLEGE,125054,College,NILPHAMARI,KISHOREGANJ UPAZILA,BAGULAGARI,89.02925,25.95031,1571,1
KISHOREGONJ MOHILA COLLEGE,133751,College,NILPHAMARI,KISHOREGANJ UPAZILA,KESBA,89.00975,25.90742,1572,1
KISHORGANJ DEGREE COLLEGE,125053,College,NILPHAMARI,KISHOREGANJ UPAZILA,KESBA,89.01422,25.89994,1573,1
MAGURA COLLEGE,125052,College,NILPHAMARI,KISHOREGANJ UPAZILA,MAGURA,89.07781,25.84394,1574,2
ANOR MARI COLLEGE,125055,College,NILPHAMARI,KISHOREGANJ UPAZILA,BADI,89.06956,25.90219,1575,1
NILPHAMARI GOVT. WOMENS COLLEGE,125188,College,NILPHAMARI,NILPHAMARI SADAR UPAZ,MADHAYA NILPHAMARI TOWN,89.00239,25.91322,1576,1
NILPHAMARI GOVT COLLEGE,125189,College,NILPHAMARI,NILPHAMARI SADAR UPAZ,MADHYA HARUA,88.82947,25.91639,1577,1
MOSHIUR RAHMAN DEGREE COLLEGE,125190,College,NILPHAMARI,NILPHAMARI SADAR UPAZ,KANIALKHATA (PART),88.89289,25.91053,1578,1
PALASHBARI COLLEGE,125192,College,NILPHAMARI,NILPHAMARI SADAR UPAZ,PALASHBARI,88.84064,25.98944,1580,1
CHANDER HAT DEGREE COLLEGE,125187,College,NILPHAMARI,NILPHAMARI SADAR UPAZ,BISHMURI,88.89192,25.96528,1581,1
SONARAI SANGALSHI DEGREE COLLEGE,125191,College,NILPHAMARI,NILPHAMARI SADAR UPAZ,ARAZI KUKHA PARA,88.86106,25.87672,1582,1
SAIDPUR WOMEN'S COLLEGE,125244,College,NILPHAMARI,SAIDPUR UPAZILA,MUNSHI PARA PASCHIM,88.89961,25.77875,1583,1
SAIDPUR COLLEGE,125243,College,NILPHAMARI,SAIDPUR UPAZILA,KUNDAL,88.89042,25.78819,1584,1
KAMAR PUKUR DEGREE COLLEGE,125245,College,NILPHAMARI,SAIDPUR UPAZILA,KAMAR PUKUR,88.90936,25.80461,1585,1
BAMUNIA GHANA PARA DARUSSUNNAT DAKHIL MADRASHA,124887,Madrasha,NILPHAMARI,DOMAR UPAZILA,KHAMAR BAMUNIA,89.32232,25.36655,7815,1
KHANKA-E-KARAMATIA SHARIF M.U.A ROB DAKHIL MADRASHA,124888,Madrasha,NILPHAMARI,DOMAR UPAZILA,NIJ BHOGDABARI,88.79421,26.24618,7816,1
CHILAHATI ZAME UL ULUM FAZIL MADRASHA,124878,Madrasha,NILPHAMARI,DOMAR UPAZILA,CHILAHATI,88.79102,26.24556,7817,1
DOMRA ISLAMIA ALIM MADRASHA,124882,Madrasha,NILPHAMARI,DOMAR UPAZILA,CHIKANMATI,88.80576,26.10472,7818,1
