inst name, eiin, inst_type, district, thana, mauza, long, lat, serial,isUnique
CHAUMUHANI GOVT. S.A. COLLEGE,107253,College,NOAKHALI,BEGUMGANJ,PURBA GANIPUR,91.110756,22.944416,1586,1
KABIRHAT GOVT. COLLEGE,107655,College,NOAKHALI,KABIRHAT,ENAYET NAGAR,92.00526,23.13706,1587,1
CHAPRASHIR HAT ISMAIL COLLEGE,107656,College,NOAKHALI,KABIRHAT,UPARDI LAMCHHI,91.16506,22.88075,1588,1
HATIYA DEGREE COLLEGE,107463,College,NOAKHALI,HATIYA,CHAR ISHWAR ROY (PART-2),91.13978,22.31069,1589,1
HATYA COMMUNITY COLLEGE,132033,College,NOAKHALI,HATIYA,JAHAJMARA,91.12153,22.35403,1590,2
ENGINEER MOHAMMAD FAZLUL AZIM MOHILA COLLEGE,107465,College,NOAKHALI,HATIYA,CHAR KAILASH (PART),91.09608,22.25492,1591,1
SAIKAT DEGREE COLLEGE,107662,College,NOAKHALI,SUBARNACHAR,CHAR BATA,91.16897,22.82572,1592,1
CHAR JABBAR DEGREE COLLEGE,107663,College,NOAKHALI,SUBARNACHAR,CHAR JABBAR,91.03989,22.66739,1593,1
SONAIMURI COLLEGE,107413,College,NOAKHALI,SONAIMURI,BHANUAI,91.14506,22.61406,1594,1
KHALILUR RAHMAN DEGREE COLLEGE,107414,College,NOAKHALI,SONAIMURI,AMISHA PARA,91.03553,22.97628,1595,1
NANDIA PARA bir shrestha shahid md ruhul amin DEGREE COLLAGE,107415,College,NOAKHALI,SONAIMURI,NANDIA PARA,91.04144,23.03919,1596,1
JOYAG COLLEGE,107416,College,NOAKHALI,SONAIMURI,JAYAG,91.04661,23.06258,1597,1
CHATKHIL WOMENS COLLEGE,107309,College,NOAKHALI,CHATKHIL,CHATKHIL,90.97192,23.06225,1598,1
ABDUL WAHAB DEGREE COLLEGE,107311,College,NOAKHALI,CHATKHIL,MOZAD PARA,90.94744,23.04736,1599,1
