inst name, eiin, inst_type, district, thana, mauza, long, lat, serial,isUnique
ALHAJ AHED ALI BISWASH COLLEGE,125658,College,PABNA,PABNA SADAR,KISMAT PRATAPPUR,89.34864,24.05431,1623,1
SHAMSUL HUDA DEGREE COLLAGE,125654,College,PABNA,PABNA SADAR,MAJIDPUR,89.30131,24.04658,1624,1
HAZI JASIM UDDIN DEGREE COLLEGE,125656,College,PABNA,PABNA SADAR,DUBALIA,89.18397,24.02553,1625,1
GOVT. EDWARD COLLEGE,125663,College,PABNA,PABNA SADAR,RADHANAGAR (PART),89.36258,23.97031,1626,1
PABNA ISLAMIA DEGREE COLLEGE,125660,College,PABNA,PABNA SADAR,SALBARIA PURBA,89.23986,24.01647,1627,1
SHAHID M, MONSUR ALI COLLEGE,125659,College,PABNA,PABNA SADAR,SALBARIA UTTAR,89.24139,24.01908,1628,1
GOVT. PABNA MAHILA COLLEGE,125665,College,PABNA,PABNA SADAR,DILALPUR (PART),89.26022,24.01033,1629,1
SHAHID SADHAN SANGEET COLLEGE,125662,College,PABNA,PABNA SADAR,GOPALPUR,89.25081,24.01736,1630,2
CITY COLLEGE PABNA,125655,College,PABNA,PABNA SADAR,GOPALPUR,89.257,24.00039,1631,1
GOVT.SHAHEED BULBUL COLLEGE,125664,College,PABNA,PABNA SADAR,DILALPUR (PART),89.23433,24.00433,1632,1
PABNA COLLEGE (DAY-NIGHT),125661,College,PABNA,PABNA SADAR,SALGHARIA PASCHIM,89.23528,24.00511,1634,1
PADMA COLLEGE,125667,College,PABNA,PABNA SADAR,SADIRAJPUR,89.34581,23.97472,1635,1
CHATMOHOR WOMEN'S DEGREE COLLEGE,125455,College,PABNA,CHATMOHAR,CHHOTA SALIKA PASCHIM(KALINAGA,89.32844,24.18453,1636,1
CHATMOHAR DEGREE COLLEGE,125454,College,PABNA,CHATMOHAR,NARIKEL PARA,89.30953,24.32842,1637,1
CHHAIKOLA DEGREE COLLEGE,125452,College,PABNA,CHATMOHAR,CHHAIKOLA,89.23706,24.22733,1638,1
