inst name, eiin, inst_type, district, thana, mauza, long, lat, serial,isUnique
AMLAHER DEGREE COLLAGE,126150,College,PANCHAGARH,PANCHAGARH SADAR,JOTE KRISHNACHANDRA N,88.558045,26.335368,1680,1
MAIDANDIGHI COLLEGE,125975,College,PANCHAGARH,BODA,ARAJI PIR MAMUD (SATO,88.54729,26.23862,1681,1
PATHRAJ COLLEGE,125973,College,PANCHAGARH,BODA,NAGAR KUMARI(PASCHIM),88.66158,26.22629,1683,1
SAKOWA  COLLEGE,125974,College,PANCHAGARH,BODA,NAGARSAKOA,88.62596,26.20031,1684,1
BODA WOMENS COLLEGE,125976,College,PANCHAGARH,BODA,THANAR DANGGA,88.59042,26.26917,1687,1
DHARDHARA COLLEGE,125977,College,PANCHAGARH,BODA,JOTE MILON,88.52372,26.22625,1688,1
MAJHIPARA WOMEN"S degree COLLEGE,126194,College,PANCHAGARH,TENTULIA,MAJHI PARA,88.3955,26.55272,1689,1
TATULIA DEGREE COLLEGE,126193,College,PANCHAGARH,TENTULIA,MATHAFATA (PART-11),88.36953,26.50186,1690,1
BHAJANPUR DEGREE COLLEGE,126192,College,PANCHAGARH,TENTULIA,BHOJANPUR DEBNAGAR,88.41031,26.53233,1691,1
GOVT. PANCHAGARH MOHILA COLLEGE,126148,College,PANCHAGARH,PANCHAGARH SADAR,RAUSHNABAG PASCHIM,88.55406,26.34219,1692,1
MOQULAR RAHMAN GOVT. COLLEGE, PANCHAGARH,126147,College,PANCHAGARH,PANCHAGARH SADAR,MOLANI,88.56869,26.33803,1693,1
SHAHID ZIAUR RAHMAN MOHABIDDAYALAYA,126149,College,PANCHAGARH,PANCHAGARH SADAR,KAMAT KAJAL DIGHI,88.48342,26.27747,1694,1
JAGDAL degree COLLEGE,126151,College,PANCHAGARH,PANCHAGARH SADAR,BOALIMARI,88.55703,26.30181,1695,1
BARRISTER JAMIR UDDIN SIRCAR INSTITUTE (DEGREE) PANCHAGARH,132011,College,PANCHAGARH,PANCHAGARH SADAR,MOLANI,88.68553,26.34339,1696,1
BHauLAGANj COLLEGE,126048,College,PANCHAGARH,DEBIGANJ,BANIYAPUR,88.72583,26.24389,1697,1
KALIGONG COLLEGE,126051,College,PANCHAGARH,DEBIGANJ,MAREA KAMALA PUKHARI,88.67972,26.10056,1698,1
DEBIGANJ womens  COLLEGE,126050,College,PANCHAGARH,DEBIGANJ,DEBIGANJ,88.77778,26.11222,1699,2
DEBIGANJ COLLEGE,126047,College,PANCHAGARH,DEBIGANJ,DEBIGANJ,88.77778,26.11222,1700,2
SONAHAR COLLEGE,126052,College,PANCHAGARH,DEBIGANJ,SONAHAR,88.75611,26.11972,1701,5
CHENGTHI HAZRADANGA COLLEGE,126049,College,PANCHAGARH,DEBIGANJ,NAGAR MADHEKHAN,88.65194,26.045,1702,1
BALARAMPUR ADARSHA COLLEGE,125866,College,PANCHAGARH,ATWARI,CHAMESHWARI,88.54056,26.21222,1703,1
BANGABANDHU DANGIR HAT ADARSHA COLLEGE,125867,College,PANCHAGARH,ATWARI,JOGIKATA,88.42508,26.3125,1704,1
MIRZA GHOLAM HAFIZ DEGREE COLLEGE,125864,College,PANCHAGARH,ATWARI,KALIKAPUR,88.46886,26.28894,1705,1
ATWARI ADARSHA WOMEN S COLLEGE,125865,College,PANCHAGARH,ATWARI,KISMAT DAP,88.39292,26.26339,1706,1
SHAL SHIRI AKRAMIA ALIM MADRASAH,125956,Madrasha,PANCHAGARH,BODA,KHANPUR,88.47928,26.2518,8304,1
MAIDANDIGHI DAKHIL MADRASAH,125967,Madrasha,PANCHAGARH,BODA,KISMAT HARIPUR,88.52924,26.23143,8305,1
GAIGATA ISLAMIA DAKHIL MADRASHA,125961,Madrasha,PANCHAGARH,BODA,ARAJI GAIGHATA,88.55671,26.26266,8306,1
MANIKPIR BENGHARI FAZIL MADRASHA,125953,Madrasha,PANCHAGARH,BODA,BENGHARI MYGERDDU,88.56537,26.28304,8307,1
FULTALA PANIDUBI DARUSSUNNAH DAKHIL MADRASAH,125958,Madrasha,PANCHAGARH,BODA,KAJAL DIGHI ARAJI KAJAL DIGHHI,88.5973,26.26744,8308,1
MUSLIMPUR DAKHIL MADRASA,125968,Madrasha,PANCHAGARH,BODA,NAKALI BABAD JOTE,88.73889,26.29035,8309,1
CHANDANBARI ISLAMIA DAKHIL MADRASHA,125952,Madrasha,PANCHAGARH,BODA,CHANDANBARI,88.57643,26.19685,8312,1
PRAMANIKPARA SAMSAR NOGAR DAKHIL MADRASHA,125963,Madrasha,PANCHAGARH,BODA,SHAMSERNAGAR,88.59305,26.2127,8313,1
SAKOWA  JAMIL ATUNNESA  FAZIL MADRASHA,125959,Madrasha,PANCHAGARH,BODA,NAGARSAKOA,88.63889,26.18773,8314,1
PANCHPIR DAKHIL MADRASHA,125964,Madrasha,PANCHAGARH,BODA,RAMAGOBINDA HISABIA,88.63141,26.17638,8315,1
KUMaRPARA DAKHIL MADRASHA,125971,Madrasha,PANCHAGARH,BODA,KHALIFAPUR,88.73571,26.28407,8316,1
AMDANGA ADARSHA DAKHIL MADRASHA,125972,Madrasha,PANCHAGARH,BODA,DABARBHANGA-3,88.66096,26.22973,8317,1
NASHIR MONDOL HAT SALEHIA DAKHIL MADRASHA,125954,Madrasha,PANCHAGARH,BODA,KANTAMANI,88.60572,26.25997,8320,1
KURULPARA NASRUL ULUM SIDDIKIA GIRLS D. MADRASHA,125962,Madrasha,PANCHAGARH,BODA,KAMAT MAJHGRAM,88.58567,26.28342,8321,1
ARAJI SHAIKARPUR CHIRAKUTI DAKHIL MADRASAH,125960,Madrasha,PANCHAGARH,BODA,ARAJI KISMAT BAHADUR,88.4985,26.24506,8323,1
HOSENABAD ISLAMIA DAKHIL MADRASHA,125957,Madrasha,PANCHAGARH,BODA,HOSENABAD,88.51642,26.24336,8324,1
FAKIRPARA ISLAMIA DAKHIL MADRASHA,126184,Madrasha,PANCHAGARH,TENTULIA,TIRNAI,88.70111,26.17333,8326,2
BANGLABANDHA DAKHIL  MADRASH,126190,Madrasha,PANCHAGARH,TENTULIA,BANGLABANDHA,88.69889,26.23611,8327,1
MAJHIPARA (SHALBAHANROAD)DAKHIL MADRASHA,126187,Madrasha,PANCHAGARH,TENTULIA,MAJHI PARA,88.71639,26.26528,8328,1
SHALBAHAN DAKIL MADRASHA,126186,Madrasha,PANCHAGARH,TENTULIA,SALBAHAN,88.39319,26.58386,8329,1
TENTULIA DAKHIL MADRASHA,126185,Madrasha,PANCHAGARH,TENTULIA,TETULIA,88.45531,26.50186,8330,1
SHELI QUTI BALABARI DHAKHIL MADRASHA,126188,Madrasha,PANCHAGARH,TENTULIA,SARKAR PARA,88.39522,26.55383,8331,1
MAGURMARI CHOWRASTA PAMIJUDDIN DAKHIL MADRASHA,126183,Madrasha,PANCHAGARH,TENTULIA,AMZOANI,88.48772,26.46642,8332,1
VUTUJOTE PHATHAN PARA DAKIL MADRASHA,126180,Madrasha,PANCHAGARH,TENTULIA,SEKHGACHH,88.36942,26.47483,8333,1
AL-HAZ DLIM UDDIN AH: MOHILA DAKHIL MADRASAH,126189,Madrasha,PANCHAGARH,TENTULIA,SARDAR PARA,88.47039,26.48208,8334,1
BEGUM FOKRUNNESA FAZIL MADRASHA,126182,Madrasha,PANCHAGARH,TENTULIA,BHOJANPUR,88.51194,26.48931,8335,1
KALANDI GONJ FAZIL MADRASAH,126181,Madrasha,PANCHAGARH,TENTULIA,KHIRKIDANGI,88.48497,26.47083,8336,1
GARINA BARI ISLAMIA DAKHIL MADRASHA,126145,Madrasha,PANCHAGARH,PANCHAGARH SADAR,THAT PARA,88.41044,26.52931,8337,1
