inst name, eiin, inst_type, district, thana, mauza, long, lat, serial,isUnique
MOUKRAN B.L.P. DEGREE COLLEGE,102598,College,PATUAKHALI,PATUAKHALI SADAR,MAUKARAN,90.34343,22.363374,1707,1
KALAGACHIA S. M SAKENDER ALI CHOWDHURY DEGREE COLLEGE,102330,College,PATUAKHALI,GALACHIPA,KALAGACHHIA,90.335007,22.378555,1708,1
AKHTAR HOSSIAN CHOWDHURY MEMORIAL DEGREE COLLAGE,102473,College,PATUAKHALI,MIRZAGANJ UPAZILA,KANTHALTALI,90.334839,22.354296,1709,1
ALI PURA COLLEGE,102165,College,PATUAKHALI,DASHMINA,PURBA ALIPUR,90.52803,22.34392,1710,1
AZIZ AHMED COLLEGE,131891,College,PATUAKHALI,DUMKI UPAZILA,UTTAR MURADIA,90.40383,22.47006,1711,1
NASIMA KARAMOT ALI MAHILA COLLEGE,102217,College,PATUAKHALI,DUMKI UPAZILA,SREERAMPUR,90.41031,22.46394,1712,1
JANATA COLLEGE,102216,College,PATUAKHALI,DUMKI UPAZILA,DUMKI,90.38825,22.43742,1713,1
L.A.M. UNAITED MOHILA COLLEGE,131931,College,PATUAKHALI,DUMKI UPAZILA,LEBUKHALI,90.43542,22.43325,1714,1
MOZAHAR UDDIN BISWAS DEGREE COLLEGE,102402,College,PATUAKHALI,KALA PARA,BADURTALI,90.31086,22.43083,1715,1
MUKTIJHODDHA MEMORIAL COLLEGE,102400,College,PATUAKHALI,KALA PARA,SHIBBARIA,90.15467,21.88361,1716,1
ALHAJ ZALAL UDDIN COLLEGE,102404,College,PATUAKHALI,KALA PARA,DHULASAR,90.15722,21.90467,1717,1
KUAKATA KHANABAD COLLEGE,102399,College,PATUAKHALI,KALA PARA,LATA CHAPLI,90.31781,22.02519,1718,1
KHARIZZAMA COLLEGE,102334,College,PATUAKHALI,GALACHIPA,KHARIJJAMA,90.28433,22.04186,1719,2
DHANKHALI DEGREE COLLEGE,102403,College,PATUAKHALI,KALA PARA,PANCH JAINA,90.30231,22.06794,1720,1
KALAPARA MOHILA COLLEGE,102401,College,PATUAKHALI,KALA PARA,KHEPUPARA OFFICE MAHALLAH,90.17919,21.95144,1721,1
AMKHOLA COLLEGE,102336,College,PATUAKHALI,GALACHIPA,BHANGRA,90.38339,22.25483,1723,1
GALACHIPA DEGREE COLLEGE,102331,College,PATUAKHALI,GALACHIPA,COLLEGE PARA (RATANDI),90.40936,22.16861,1724,1
GALACHIPA WOMEN'S DEGREE COLLEGE,102332,College,PATUAKHALI,GALACHIPA,RATANDI,90.40875,22.16775,1725,1
HAZI KERAMAT ALI COLLEGE,102327,College,PATUAKHALI,GALACHIPA,UTTAR CHAR BISWAS,90.52656,22.03972,1726,1
RANGA BALI  COLLEGE,102335,College,PATUAKHALI,RANGABALI,RANGABALI,90.36297,22.96756,1727,1
SUBIDKHALI MOHILA (DEGREE) COLLEGE,102472,College,PATUAKHALI,MIRZAGANJ UPAZILA,UTTAR SUBIDKHALI,90.42803,22.16611,1728,2
SUBIDKALI DEGREE COLLEGE,102471,College,PATUAKHALI,MIRZAGANJ UPAZILA,MIRZAGANJ,90.43558,21.97467,1729,1
MAJIDBARIA COLLEGE,102470,College,PATUAKHALI,MIRZAGANJ UPAZILA,KHATASAIA,90.18225,22.26944,1730,1
KISMARPUR DELWAR HOSAIN COLLEGE,102474,College,PATUAKHALI,MIRZAGANJ UPAZILA,KISMAT KHATASIA,90.18694,22.23217,1731,1
KACHIPARA MD.ABDUL  RASHID  MIAH  COLLEGE,102113,College,PATUAKHALI,BAUPHAL,KANCHI PARA,90.58128,22.47464,1732,1
KALISHURI DEGREE COLLEGE,102109,College,PATUAKHALI,BAUPHAL,KALISURI,90.57942,22.50133,1733,1
DR. EAKUB  SHARIF  DEDREE   COLLEGE,102110,College,PATUAKHALI,BAUPHAL,BAGA,90.50467,22.47497,1734,1
