inst name, eiin, inst_type, district, thana, mauza, long, lat, serial,isUnique
MOHIUDDIN AHMED MoHILA DEGREE COLLeGE,102817,College,PIROJPUR,MATHBARIA,DAKSHIN MITHAKHALI,89.957733,22.291832,1754,1
BHANDARIA  MOJIDA  BEGUM   MOHILA  COLLEGE,102684,College,PIROJPUR,BHANDARIA,BHANDARIA,90.06964,22.48394,1755,1
BHANDARIA GOVT. COLLEGE,102683,College,PIROJPUR,BHANDARIA,BHANDARIA,90.06281,22.49075,1756,1
AMAN ULLAH COLLAGE,102682,College,PIROJPUR,BHANDARIA,RADHANAGAR,90.12331,22.48619,1757,1
MANIK MIAH MOHABIDAALAYA,102681,College,PIROJPUR,BHANDARIA,ATARKHALI,90.02056,22.41544,1758,1
KAUKHALI MOHILA DEGREE COLLEGE,102720,College,PIROJPUR,KAWKHALI,ASPADDI,90.09528,22.63553,1759,1
KAUKHALI  MAHABIDYALAYA,102721,College,PIROJPUR,KAWKHALI,ASPADDI,90.05764,22.593,1760,1
MIRUKHALI COLLEGE,102816,College,PIROJPUR,MATHBARIA,NAPITKHALI,89.91411,22.3625,1761,1
SHAHDAT HOSSIAN COLLAGE,102818,College,PIROJPUR,MATHBARIA,SAPLEZA,89.94569,22.351,1762,1
MATHBARIA  GOVT. COLLEGE,102819,College,PIROJPUR,MATHBARIA,NEW MARKET & COLLEGE AREA,89.88383,22.27878,1763,1
DR. RUSTUM ALI FARAJI DEGREE COLLEGE,102820,College,PIROJPUR,MATHBARIA,UTTAR SONAKHALI,89.99367,22.35456,1764,1
SAFA DEGREE COLLAGE,102821,College,PIROJPUR,MATHBARIA,DHANISAFA,90.01369,22.35147,1765,1
BANGABANDHU SK. MUJIBUR RAHMAN COLLEGE,131952,College,PIROJPUR,MATHBARIA,CHHOTA SAULA,89.92581,22.19025,1766,1
MATIBHANGA DEGREE COLLEGE,102889,College,PIROJPUR,NAZIRPUR UPAZILA,MATIBHANGA,90.04433,22.80753,1767,1
BAITHAKATA COLLEGE,102890,College,PIROJPUR,NAZIRPUR UPAZILA,MUGARJHOR,90.00344,22.83142,1768,1
SHAHID JANANI MAHILA MAHABIDHALAY,102891,College,PIROJPUR,NAZIRPUR UPAZILA,DIGHIA,90.02719,22.79564,1769,1
NAZIRPUR SHAHID ZIA MAhABIDdALAY,102892,College,PIROJPUR,NAZIRPUR UPAZILA,CHHOTA BUICHAKATI,89.93958,22.73031,1770,1
GHOSHKATHI MOHAVIDYALAYA,102893,College,PIROJPUR,NAZIRPUR UPAZILA,DAKSHIN GHOSHKATI,89.89211,22.70122,1771,1
RAJKUMAR SANSKRITI COLLEGE,102722,College,PIROJPUR,KAWKHALI,GANDHARBBA,89.92339,22.69456,1772,1
RAJBARI degree COLLEGE,103078,College,PIROJPUR,NESARABAD (SWARUPKATI),BYASKATI,90.05575,22.76608,1773,1
ALHAJ ABDUR RAHMAN COLLEGE,103079,College,PIROJPUR,NESARABAD (SWARUPKATI),BALDIA,90.06625,22.69278,1774,1
FAZILA RAHMAN MOHILA COLLEGE,103080,College,PIROJPUR,NESARABAD (SWARUPKATI),KAURIKHARA,90.06453,22.77881,1775,1
SHAHID SMRITY COLLAGE,103081,College,PIROJPUR,NESARABAD (SWARUPKATI),PASCHIM JAGANNATHKATI,90.05558,22.72542,1776,1
GOVT.SWARUPKATHI COLLEGE,103082,College,PIROJPUR,NESARABAD (SWARUPKATI),PURBA SOHAGDAL,90.06564,22.7035,1777,1
KABIGURU RABINDRANATH DEGREE COLLAGE,103083,College,PIROJPUR,NESARABAD (SWARUPKATI),RAJAPUR BRAHMANKATI,90.06633,22.68714,1778,1
SANATAN SANSKRITE COLLAGE,103085,College,PIROJPUR,NESARABAD (SWARUPKATI),URIBUNIA,90.04756,22.79922,1779,1
PASHCHIM SOHAGDAL SHAHEED SMRITI B.M degree.COLLEGE,131984,College,PIROJPUR,NESARABAD (SWARUPKATI),PASCHIM SOHAGDAL,90.08725,22.75797,1780,1
AFTABUDDIN COLLEGE,102954,College,PIROJPUR,PIROJPUR SADAR,MACHIMPUR (UTTER),89.92847,22.649,1781,1
GOVT  .  SUHRAWARDY  COLLEGE   PIROJPUR,102955,College,PIROJPUR,PIROJPUR SADAR,MUKTARKATI,89.93372,22.61772,1782,1
PIROJPUR GOVERNMENT MAHILA COLLEGE,102956,College,PIROJPUR,PIROJPUR SADAR,MACHIMPUR (UTTER),89.95217,22.67544,1783,1
TEJDASKATHI COLLEGE,102957,College,PIROJPUR,PIROJPUR SADAR,TONA,89.99472,22.51308,1784,2
