inst name, eiin, inst_type, district, thana, mauza, long, lat, serial,isUnique
RAJBARI GOVT COLLEGE,113488,College,RAJBARI,RAJBARI SADAR,UTTAR BINODPUR (PART),89.63691,23.75731,1787,1
DR. ABUL HOSSAIN DEGREE COLLEGE,113489,College,RAJBARI,RAJBARI SADAR,MADHYA SAJJANKANDA (PART-3),89.6377,23.75325,1788,1
GOVT. ADARSHA MOHILA COLLEGE rajbari,113490,College,RAJBARI,RAJBARI SADAR,MADHYA SAJJANKANDA (PART-3),89.54635,23.77251,1789,1
DR. KAZI MOTAHER HOSSIAN COLLAGE,113414,College,RAJBARI,PANGSHA,HABASPUR,89.37786,23.87351,1790,1
MACHPARA COLLEGE,113418,College,RAJBARI,PANGSHA,NOAPARA,89.38539,23.83082,1791,1
MRIGI SHAHEED DIANOT DEGREE COLEGE,113422,College,RAJBARI,KALUKHALI,PABAN PANCHBARIA,89.45947,23.75463,1792,1
ALHAZ AMZAD HOSSAIN Degree  COLLEGE,113413,College,RAJBARI,PANGSHA,DEMNAMARA,89.39332,23.70865,1793,1
PANGSA COLLEGE,113416,College,RAJBARI,PANGSHA,NARAYANPUR (PART),89.38495,23.7594,1794,1
IDEAL GIRLS COLLEGE,113417,College,RAJBARI,PANGSHA,GUDHIBARI,89.39055,23.77392,1795,1
PANGSHA MOHILA COLLEGE,113421,College,RAJBARI,PANGSHA,MUGURADANGI (PART),89.41598,23.78672,1796,1
KOLIMOHAR MAHABIDDALAYA,113423,College,RAJBARI,PANGSHA,KALIMAHAR,89.39977,23.78113,1797,1
BANGABANDHU COLLEGE,113420,College,RAJBARI,PANGSHA,SARISHA,89.47024,23.6848,1798,1
MAJHBARI JAHANARA BEGuM COLLEGE,113415,College,RAJBARI,KALUKHALI,PURBA PHULKAUNNAIR,89.41898,23.80203,1799,1
KALUKHALI COLLEGE,113419,College,RAJBARI,KALUKHALI,RATANDIA,89.37095,23.74549,1800,1
rabeya idris mohila degre college,113319,College,RAJBARI,GOALANDA,NASARUDDIN SARDER PARA,89.75929,23.72301,1801,1
GOALUNDO KAMRUL ISLAM COLLEGE,113318,College,RAJBARI,GOALANDA,JURAN MOLLAR PARA(SOUTH PART),89.76344,23.72242,1802,1
MIR MOSHARRAF HOSSAIN COLLEGE SONAPUR,113298,College,RAJBARI,BALIAKANDI,SONAPUR,89.76439,23.75422,1803,1
MUNSUR ALI  COLLEGE,113282,College,RAJBARI,BALIAKANDI,BAKSADANGI,89.51311,23.70276,1804,1
JAMALPUR COLLEGE,113296,College,RAJBARI,BALIAKANDI,DANGA HATIMOHAN,89.52662,23.60075,1805,1
BALIAKANDI COLLEGE,113297,College,RAJBARI,BALIAKANDI,ILISHKHOL,89.61533,23.59863,1806,1
BAHARPUR  COLLEGE,113299,College,RAJBARI,BALIAKANDI,KHALKULA,89.52888,23.62078,1807,1
AFRA ISLAMIA SIDDIKIA ALIM MADRASAH,113478,Madrasha,RAJBARI,RAJBARI SADAR,AFRA,90.35792,24.57581,8789,1
CHAR SHAM NAGAR DAKHIL MADRASHA,113479,Madrasha,RAJBARI,RAJBARI SADAR,CHAR SHYAMNAGAR,89.53905,23.77782,8790,1
KHANKHANAPUR FAIJUNNESA MOHILA DAKHIL MADRASHA,113472,Madrasha,RAJBARI,RAJBARI SADAR,KHANKHANAPUR,89.71033,23.62722,8791,1
AHLADIPUR DAKHIL MADRASHA,113484,Madrasha,RAJBARI,RAJBARI SADAR,AHLADIPUR,89.69967,23.63628,8792,1
BHOGIRATHPUR ISLAMIA FAZIL MADRASAH,113470,Madrasha,RAJBARI,RAJBARI SADAR,BHAGIRATHPUR,89.71521,23.70359,8793,1
BRICHATRA DARUSSUNNAH FAZIL MADRASHA,113468,Madrasha,RAJBARI,RAJBARI SADAR,BRI-CHATRA,89.69137,23.68633,8794,1
BETHULIA BARLAHURIA SIDDIQUEYA FAZIL MADRASHA,113474,Madrasha,RAJBARI,RAJBARI SADAR,BARA LAHARIA,89.6574,23.67562,8795,1
SHADIPUR AMINA FAZIL MADRASHA,113480,Madrasha,RAJBARI,RAJBARI SADAR,SADIPUR,89.61126,23.69832,8796,1
BHANDARIA SIDDIQUIA S R FAZIL MADRASHA,113473,Madrasha,RAJBARI,RAJBARI SADAR,BHANDARIA,89.61988,23.72237,8797,1
MORDANGA SEKAN DARIA FAZIL MADRASHA,113475,Madrasha,RAJBARI,RAJBARI SADAR,GUPTA MANIK,89.61764,23.73109,8798,1
RAJBARI SREEPUR lazzatun nesa KAMIL MADRASHA,113471,Madrasha,RAJBARI,RAJBARI SADAR,SREEPUR (PART),89.66022,23.6865,8799,1
BARAT AKIRON NESSA ISLAMIA ALIM MADRASHA,113476,Madrasha,RAJBARI,RAJBARI SADAR,KACHRANDA BARAT,89.71273,23.70657,8800,1
KALLYANPUR siddikia hakimia DAKHIL MADRASAH,113477,Madrasha,RAJBARI,RAJBARI SADAR,KALYANPUR,89.63856,23.76855,8801,1
SHOhid ABDUL HAKIM CADET MOHILA DAKHIL MADRASHA,113483,Madrasha,RAJBARI,RAJBARI SADAR,KALYANPUR,89.64781,23.76045,8802,1
MADANI COMPLeX MOHILA DAKHIL MADRASAH,113469,Madrasha,RAJBARI,RAJBARI SADAR,UTTAR RAMKANTAPUR(PART),89.67926,23.70064,8803,1
ARENDA DAKHIL MADRASHA,113482,Madrasha,RAJBARI,RAJBARI SADAR,ERENDA,89.63463,23.75356,8804,1
BARAIJURI GARIB SHAH DAKHIL MADRASHA,113485,Madrasha,RAJBARI,RAJBARI SADAR,BARAIJURI,89.61953,23.72463,8805,1
GABLA DAKHIL MADRASHA,113487,Madrasha,RAJBARI,RAJBARI SADAR,GABLA,89.68582,23.68755,8806,1
BELGACHHI DAWATUL ISLAM DAKHIL MADRASHA,113467,Madrasha,RAJBARI,RAJBARI SADAR,BASUDEBPUR,89.65256,23.65934,8807,1
SENGRAM FAZIL degree  MADRASHA,113396,Madrasha,RAJBARI,PANGSHA,SENGRAM,89.70353,23.59915,8808,1
TARAPUR DAKHIL MADRASHA,113405,Madrasha,RAJBARI,PANGSHA,TARAPUR,89.68794,23.63876,8809,1
GANGANANDADIA DAKHIL MADRASHA,113395,Madrasha,RAJBARI,PANGSHA,GANGANANDADIA,89.55721,23.75755,8810,1
CHARJHIKARI M.H. DAKHIL MADRASAH,113397,Madrasha,RAJBARI,PANGSHA,CHAR JHIKIRI,89.37966,23.87232,8811,1
PERVALLABRIA DAKHIL MADRASHA,113404,Madrasha,RAJBARI,PANGSHA,PAR BHELLABARIA,89.44991,23.82197,8812,1
NOWPARA DARUSSUNNAH MOHAMMADIA DAKHIL MADRASAH,113402,Madrasha,RAJBARI,PANGSHA,NOAPARA,89.40167,23.82446,8813,1
HALUD BARIA DAKHIL MADRASHA,113399,Madrasha,RAJBARI,PANGSHA,HALUDBARIA,89.38798,23.83322,8814,1
RAYNAGAR D.U.I. ALIM MADRASAH,113393,Madrasha,RAJBARI,KALUKHALI,ROYNAGAR,89.34932,23.80421,8815,1
KALUKHALI DAKHIL MADRASHA,113407,Madrasha,RAJBARI,KALUKHALI,MALIAT,89.46521,23.77766,8816,1
SURJADIA DAKIL MADRASHA,113386,Madrasha,RAJBARI,KALUKHALI,SURJYADIA,89.50341,23.76614,8817,1
SANGRAM PUR DAKHIL MADRASAH,113410,Madrasha,RAJBARI,KALUKHALI,SANGRAMPUR,89.50261,23.76315,8818,1
CHARKULTIA SIDDIKIA DAKHIL MADRASHA,113398,Madrasha,RAJBARI,KALUKHALI,PANCHA KULTIA,89.52234,23.74051,8819,1
MAJBARI SIDDIQUIEA AHAMMADIA SERATUL HAQUE ALIM MADRASHA,113403,Madrasha,RAJBARI,KALUKHALI,MAJHBARI,89.55888,23.73435,8820,1
BANGLADESH HAT NESARIA DAKHIL MADRASHA,113383,Madrasha,RAJBARI,KALUKHALI,KALINAGAR,89.50795,23.72657,8821,1
HOGLADANGI MOHAMMADIA ISLAMIA KAMIL MADRASAH,113392,Madrasha,RAJBARI,KALUKHALI,BARA KALKALIA,89.51334,23.71972,8822,1
MUCHIDAH BANGRAM SIDDIQIA ALIM MADRASAH,113401,Madrasha,RAJBARI,PANGSHA,MUCHIDAHA,89.40559,23.68749,8823,1
BOYRAT MAJAIL FAZIL MADRASHA,113388,Madrasha,RAJBARI,PANGSHA,BAYRAT,89.4116,23.68721,8824,1
NADURIA SIDDIKIA BALIKA DAKHIL MADRASAH,113384,Madrasha,RAJBARI,PANGSHA,NADURIA,89.37159,23.70527,8825,1
KALIMAHAR KHALIL UDDIN MIA DAKHIL MADRASHA,113400,Madrasha,RAJBARI,PANGSHA,KALIMAHAR,89.3759,23.78252,8826,1
