inst name, eiin, inst_type, district, thana, mauza, long, lat, serial,isUnique
BANGAL HALIA COLLEGE,107788,College,RANGAMATI,RAJASTHALI  UPAZILA,KAKRA CHHARI,91.20028,23.8265,1938,1
RAJASTHALI COLLEGE,107789,College,RANGAMATI,RAJASTHALI  UPAZILA,CHINGKHYONG,91.20861,23.86664,1939,1
KARNAFULI COLLEGE,107738,College,RANGAMATI,KAPTAI  UPAZILA,KAPTAI R.F.AREA,92.13871,22.49769,1940,1
NANIARCHAR COLLEGE,107781,College,RANGAMATI,NANIARCHAR  UPAZILA,MASCHHARI,92.09635,22.90849,1941,1
KACHALONG DEGREE COLLEGE,107685,College,RANGAMATI,BAGHAICHHARI,MARISHYA,92.18358,23.1877,1942,1
SHIJAK COLLEGE,107686,College,RANGAMATI,BAGHAICHHARI,SARBATALI,92.22173,23.11207,1943,1
KAWKHALI  degree  COLLEGE,107716,College,RANGAMATI,KAWKHALI (BETBUNIA),KACHUKHALI,92.39008,22.73022,1944,1
GHAGRA COLLEGE,107717,College,RANGAMATI,KAWKHALI (BETBUNIA),GHAGRA,92.06913,22.62322,1945,1
RABITA MODEL COLLEGE,107764,College,RANGAMATI,LANGADU  UPAZILA,MAYANI MUKH,92.20851,22.98578,1946,1
GOVT.RANGAMATI MOHILA COLLEGE,107819,College,RANGAMATI,RANGAMATI SADAR  UP,MOHILA COLLEGE,92.09025,22.72538,1947,1
RANGAMATI GOVT. COLLEGE,107818,College,RANGAMATI,RANGAMATI SADAR  UP,COLLEGE GATE,92.1399,22.66472,1948,1
KAPTAI AL-AMIN NURia MADRASHA,107736,Madrasha,RANGAMATI,KAPTAI  UPAZILA,KAPTAI R.F.AREA,92.14227,22.46555,9056,1
NANIARCHAR ISLAMPUR DAKHIL MADRASA,107780,Madrasha,RANGAMATI,NANIARCHAR  UPAZILA,BARADAM (CHENGI),92.10514,22.84244,9057,1
KASSALONG DAKHIL MADRASHA,107684,Madrasha,RANGAMATI,BAGHAICHHARI,MARISHYA,92.17622,23.41405,9058,1
BETBUNIA  gaucia  ahamadia  RAHAMANIA  SUnNiA DAKHIL  MADRASHA,107715,Madrasha,RANGAMATI,KAWKHALI (BETBUNIA),BETBUNIA,91.96792,22.57601,9059,1
BETBUNIA MOINUL ULAM REZVIA SAYEDIA DAKHIL MADRASA,107714,Madrasha,RANGAMATI,KAWKHALI (BETBUNIA),BETBUNIA,91.97104,22.57881,9060,1
SIDDIQUE-E-AKBER DAKHIL MADRASHA,107713,Madrasha,RANGAMATI,KAWKHALI (BETBUNIA),KACHUKHALI,92.05586,22.66312,9061,1
MAINIMUKH ISLAMIA ALIM MADRASH,107759,Madrasha,RANGAMATI,LANGADU  UPAZILA,MAYANI MUKH,92.20758,22.98707,9062,1
BAITUSh SHOROF jABBARIA ADARSHA DAKHIL MADRASHA,107760,Madrasha,RANGAMATI,LANGADU  UPAZILA,GATHA CHHARA,92.18551,22.99404,9063,1
AL-AMIN ISLAMIA FAZIL MADRASAH,107816,Madrasha,RANGAMATI,RANGAMATI SADAR  UP,BANARUPA,92.31156,22.63715,9064,1
RANGAMATI SENIOR MADRASHA,107817,Madrasha,RANGAMATI,RANGAMATI SADAR  UP,RESERVE BAZAR (PART-2),92.14319,22.68819,9065,1
BANGAL HALIA HIGH SCHOOL,107784,School,RANGAMATI,RAJASTHALI  UPAZILA,KAKRA CHHARI,91.24039,23.83031,23092,1
GAINDYA HIGH SCHOOL,107786,School,RANGAMATI,RAJASTHALI  UPAZILA,GAINDA,91.25081,23.83722,23093,1
RAJASTHALI TAITONG PARA GOVT. HIGH SCHOOL,107783,School,RANGAMATI,RAJASTHALI  UPAZILA,POWAITHU,91.21244,23.86725,23094,1
GHELA CHARI JUNIOR HIGH SCHOOL,107787,School,RANGAMATI,RAJASTHALI  UPAZILA,GHILA CHHARI,92.15036,22.37163,23095,1
RAJASTHALI UPAJATIO ABASIKH HIGH SCHOOL,107785,School,RANGAMATI,RAJASTHALI  UPAZILA,KAKRA CHHARI,92.14998,22.37691,23096,1
ADVENTIST HILL TRACTS SEMINARY AND SCHOOL,107782,School,RANGAMATI,RAJASTHALI  UPAZILA,KAKRA CHHARI,92.23353,22.35014,23097,1
KANGRACHARI JUNIOR HIGH SCHOOL,107719,School,RANGAMATI,BELAI CHHARI  UPAZI,KANGARA CHHARI,92.26073,22.36648,23098,1
BELAI CHARI HIGH SCHOOL,107718,School,RANGAMATI,BELAI CHHARI  UPAZI,BELAI CHHARI,92.26131,22.36417,23099,1
FARUA JUNIOR HIGH SCHOOL,107720,School,RANGAMATI,BELAI CHHARI  UPAZI,RAINKHONG R.F.,92.25955,22.36967,23100,1
WAGGA HIGH SCHOOL,107730,School,RANGAMATI,KAPTAI  UPAZILA,WAGGA,92.15423,22.37666,23101,1
PAHARIKA HIGH SCHOOL,107725,School,RANGAMATI,KAPTAI  UPAZILA,CHANDRAGHONA,92.15004,22.37472,23102,1
BOROICHORI KARNAFULY NURUL H.K. HIGH SCGOOL,107731,School,RANGAMATI,KAPTAI  UPAZILA,CHANDRAGHONA,92.35283,22.50056,23103,1
K.R.C. HIGH SCHOOL,107722,School,RANGAMATI,KAPTAI  UPAZILA,CHANDRAGHONA,92.35974,22.47085,23104,1
CHITMOROM HIGH SCHOOL,107726,School,RANGAMATI,KAPTAI  UPAZILA,CHITMARAM,92.13765,22.49579,23105,1
SAHID SAMSUDDIN GIRLS HIGH SCHOOL,107727,School,RANGAMATI,KAPTAI  UPAZILA,KAPTAI R.F.AREA,92.13752,22.48861,23106,1
KAPTAI HIGH SCHOOL,107729,School,RANGAMATI,KAPTAI  UPAZILA,KAPTAI R.F.AREA,92.14179,22.48232,23107,1
KAPTAI BIDYUT UNNAYAN BOARD MADHYMIK SCHOOL,107723,School,RANGAMATI,KAPTAI  UPAZILA,KAPTAI R.F.AREA,92.14034,22.473,23108,1
DONGNALA HIGH SCHOOL,107728,School,RANGAMATI,KAPTAI  UPAZILA,ROYKHALI,92.20057,22.42706,23109,1
BHALUKIYA JR. HIGH SCHOOL,107732,School,RANGAMATI,KAPTAI  UPAZILA,ROYKHALI,92.22267,22.49472,23110,1
NARANGIRI GOVT. HIGH SCHOOL,107724,School,RANGAMATI,KAPTAI  UPAZILA,ROYKHALI,92.23569,22.4878,23111,1
SAKRACHARI JR. HIGH SCHOOL,107734,School,RANGAMATI,KAPTAI  UPAZILA,WAGGA,92.23626,22.49067,23112,1
BANGLADESH NAVY  HIGH SCHOOL,107735,School,RANGAMATI,KAPTAI  UPAZILA,KAPTAI R.F.AREA,92.224,22.49685,23113,1
GAINDIA CHARI JR. HIGH SCHOOL,107775,School,RANGAMATI,NANIARCHAR  UPAZILA,SABEKHYONG,92.13568,22.47948,23114,1
JAHANTALY HIGH SCHOOL,107768,School,RANGAMATI,NANIARCHAR  UPAZILA,SABEKHYONG,92.13898,22.47158,23115,1
BOGACHARI AL-AMIN JR. SCHOOL,107772,School,RANGAMATI,NANIARCHAR  UPAZILA,BAGA CHHARI,92.2131,22.50515,23116,1
NANIRCHAR  MODEL HIGH SCHOOL,107765,School,RANGAMATI,NANIARCHAR  UPAZILA,CHHAYKURI BIL,92.13657,22.49245,23117,1
MOHAPURAM   HIGH SCHOOL,107766,School,RANGAMATI,NANIARCHAR  UPAZILA,BAGA CHHARI,92.22879,22.47811,23118,1
SAPMARA JUNIOR HIGH SCHOOL,107777,School,RANGAMATI,NANIARCHAR  UPAZILA,MASCHHARI,92.11406,22.92964,23119,1
BARAPULPARA  JUNIOR  HIGH SCHOOL,107776,School,RANGAMATI,NANIARCHAR  UPAZILA,CHHAYKURI BIL,92.05212,22.83519,23120,1
BETCHARI  GENERAL OSMANI  HIGH  SCHOOL,107767,School,RANGAMATI,NANIARCHAR  UPAZILA,BET CHHARI,92.09208,22.82858,23121,1
KATALTALI  JUNIOR  HIGH SCHOOL,107769,School,RANGAMATI,NANIARCHAR  UPAZILA,KANTHALTALI,92.05863,22.78867,23122,1
BURIGHAT JR. SCHOOL,107774,School,RANGAMATI,NANIARCHAR  UPAZILA,BURIGHAT,92.11769,22.88111,23123,1
MORA CHANGEE JUNIOR HIGH SCHOOL,107770,School,RANGAMATI,NANIARCHAR  UPAZILA,SABEKHYONG,92.1181,22.86427,23124,1
GHILA CHARI JR. SCHOOL,107773,School,RANGAMATI,NANIARCHAR  UPAZILA,MASCHHARI,92.08981,22.84526,23125,1
BANA JOGI CHARA HIGH SCHOOL,107740,School,RANGAMATI,JURAI CHHARI UPAZIL,BANJUGI CHHARA,92.13131,22.82068,23126,1
BHUBAN JOY GOVT HIGH SCHOOL,107741,School,RANGAMATI,JURAI CHHARI UPAZIL,JURAI CHHARI,92.09783,22.78362,23127,1
SUBALONG KHAGRACHARI JUNIOR HIGH SCHOOL,107743,School,RANGAMATI,JURAI CHHARI UPAZIL,LULANGCHHARI,92.08513,22.81683,23128,1
GHILATALI JUNIOR HIGH SCHOOL,107742,School,RANGAMATI,JURAI CHHARI UPAZIL,JURAI CHHARI,92.08408,22.89769,23129,1
BAGHAI HAT HIGH SCHOOL,107677,School,RANGAMATI,BAGHAICHHARI,RUILUI,92.03153,22.77995,23130,1
B T HIGH SCHOOL,107673,School,RANGAMATI,BAGHAICHHARI,BANGALTALI,92.34633,22.6643,23131,1
RUPALI HIGH SCHOOL,107669,School,RANGAMATI,BAGHAICHHARI,RUPAKARI,92.40395,22.65874,23132,1
DAKSHIN RUPAKARI HIGH SCHOOL,107679,School,RANGAMATI,BAGHAICHHARI,PASCHIM NAILLA GHONA,92.42005,22.66663,23133,1
KACHALOnG HIGH SChOOL,107667,School,RANGAMATI,BAGHAICHHARI,MODEL TOWN,92.38961,22.60082,23134,1
KAChALONG GIRLS HiGH SCHOOL,107678,School,RANGAMATI,BAGHAICHHARI,MARISHYA,92.19085,23.23627,23135,1
TULABAN HIGH SCHOOL,107676,School,RANGAMATI,BAGHAICHHARI,MARISHYA,92.18584,23.16907,23136,1
BAGHAICHHARI HIGH SCHOOL,107670,School,RANGAMATI,BAGHAICHHARI,BAGHAI CHHARI,92.19017,23.15701,23137,1
UGAL CHHARI HIGH SCHOOL,107680,School,RANGAMATI,BAGHAICHHARI,BAGHAI CHHARI,92.19863,23.15868,23138,1
ULuCHHARI MOUZA HIGH SCHOOL,107672,School,RANGAMATI,BAGHAICHHARI,ULU CHHARI,92.19681,23.1659,23139,1
SHIJAK MUKH HIGH SCHOOL,107668,School,RANGAMATI,BAGHAICHHARI,SARBATALI,92.20339,23.1706,23140,1
SAROATALI HIGH SCHOOL,107674,School,RANGAMATI,BAGHAICHHARI,SARBATALI,92.21593,23.1824,23141,1
AMTALI HIGH SCHOOL,107675,School,RANGAMATI,BAGHAICHHARI,AMTALI,92.21854,23.14817,23142,1
KHEDAR MARA HIGH SCHOOL,107671,School,RANGAMATI,BAGHAICHHARI,KEDARMARA,92.23211,23.14556,23143,1
MEDINIPUR JUNIOR HIGH SCHOOL,107682,School,RANGAMATI,BAGHAICHHARI,SARBATALI,92.21122,23.11869,23144,1
BATTALI JUNIOR HIGH SCOOL,107683,School,RANGAMATI,BAGHAICHHARI,BATTALI,92.23414,23.11894,23145,1
BARA HARINA JUNIOR HIGH SCHOOL,107693,School,RANGAMATI,BARKAL UPAZILA,BARA HARINA,92.23807,23.11611,23146,1
BARUNA CHARI HIGH SCHOOL,107690,School,RANGAMATI,BARKAL UPAZILA,BARUNA CHHARI,92.22458,23.08685,23147,1
BIL CHARA HIGH SCHOOL,107688,School,RANGAMATI,BARKAL UPAZILA,KURKUTI CHHARI,92.23232,23.10513,23148,1
HAZA CHARA HIGH SCHOOL,107691,School,RANGAMATI,BARKAL UPAZILA,ANDHAR MANIK,92.24661,23.11607,23149,1
SUBALNG HIGH SCHOOL,107689,School,RANGAMATI,BARKAL UPAZILA,MITINGA CHHARI,92.1831,23.16051,23150,1
BARKAL HIGH SCHOOL,107687,School,RANGAMATI,BARKAL UPAZILA,NALBANIA,92.3592,23.07036,23151,1
BORUNACHaRI ZONE JR HIGH SCHOOL,107694,School,RANGAMATI,BARKAL UPAZILA,BARUNA CHHARI,92.28895,22.80003,23152,1
JUNO PAHAR HIGH SCHOOL,107697,School,RANGAMATI,BARKAL UPAZILA,MAODANG,92.27738,22.76735,23153,1
THEGA KHUBBANG JUNIOR HIGH SCHOOL,107695,School,RANGAMATI,BARKAL UPAZILA,GUI CHHARI,92.30628,22.7621,23154,1
UTTAR MUBACHRI JUNIOR HIGH SCHOOL,107704,School,RANGAMATI,KAWKHALI (BETBUNIA),MUBA CHHARI,92.29959,22.74906,23155,1
POWAPARA PILOT HIGH SCHOOL,107701,School,RANGAMATI,KAWKHALI (BETBUNIA),KALAMPATI,92.27258,22.78858,23156,1
KAWKHALI GIRLS HIGH SCHOOL,107707,School,RANGAMATI,KAWKHALI (BETBUNIA),KACHUKHALI,92.39879,22.87143,23157,1
HARANGI PARA HIGH SCHOOL,107705,School,RANGAMATI,KAWKHALI (BETBUNIA),KACHUKHALI,92.43836,22.86454,23158,1
GHAGRA HIGH SCHOOL,107702,School,RANGAMATI,KAWKHALI (BETBUNIA),GHAGRA,92.01907,22.6927,23159,1
BETBUNIA HIGH SCHOOL,107703,School,RANGAMATI,KAWKHALI (BETBUNIA),BETBUNIA,92.04455,22.64286,23160,1
KHASKALI JU SAHOOL,107709,School,RANGAMATI,KAWKHALI (BETBUNIA),KASKHALI,92.06594,22.63869,23161,1
DABUA BARIKHA BHANU PUR HIGH SCHOOL,107700,School,RANGAMATI,KAWKHALI (BETBUNIA),DABBUA,92.038,22.62368,23162,1
TALUKDeRPARA JU SCHOOL,107710,School,RANGAMATI,KAWKHALI (BETBUNIA),GHILA CHHARI,92.11202,22.62194,23163,1
NAILLACHARI JUNIOR  HIGH SCHOOL,107708,School,RANGAMATI,KAWKHALI (BETBUNIA),KALAMPATI,92.00553,22.54383,23164,1
GHAGRA GIRLS  HIGH SCHOOL,107711,School,RANGAMATI,KAWKHALI (BETBUNIA),GHAGRA,92.00351,22.54505,23165,1
KARALLYA CHARY R.S.HIGH SCHOOL,107748,School,RANGAMATI,LANGADU  UPAZILA,ATARAK CHHARA,92.07127,22.63581,23166,1
VAShANNYA ADAM ISLAMI HIGH SCHOOL,107744,School,RANGAMATI,LANGADU  UPAZILA,BHASANYA ADAM,92.1079,22.60887,23167,1
UGAL CHARI MOHAJAN PARA HIGH SCHOOL,107745,School,RANGAMATI,LANGADU  UPAZILA,BAGAHACHATTAR,92.00181,22.54317,23168,1
GULSHAKHALI ADARSHA HIGH SCHOOL,107749,School,RANGAMATI,LANGADU  UPAZILA,GULSHAKHALI,92.00851,22.54323,23169,1
KALA PAKUJJA SENA MOITRI ADARSHA high  SCHOOL,107755,School,RANGAMATI,LANGADU  UPAZILA,KALAPAKURJYA,92.10469,22.60317,23170,1
MOHAL CHARI JUNIOR HIGH SCHOOL,107754,School,RANGAMATI,LANGADU  UPAZILA,BARA KATTALI,92.2653,22.88941,23171,1
KATTALI HIGH SCHOOL,107747,School,RANGAMATI,LANGADU  UPAZILA,BARA KATTALI,92.18247,22.90307,23172,1
LONGADU GOVT HIGH SCHOOL,107746,School,RANGAMATI,LANGADU  UPAZILA,LANGADU,92.17901,22.91025,23173,1
LANGADU GIRLS HIGH SCHOOL,107752,School,RANGAMATI,LANGADU  UPAZILA,MAYANI MUKH,92.20336,22.96371,23174,1
MAINIMUKH MODEL HIGH SCHOOL,107750,School,RANGAMATI,LANGADU  UPAZILA,MAYANI MUKH,92.20007,22.9675,23175,1
RABITA MODEL HIGH SCHOOL,107751,School,RANGAMATI,LANGADU  UPAZILA,MAYANI MUKH,92.26038,22.98274,23176,1
UTTAR YEARING CHARI SENA MOITRI  JUNIOR  HIGH SCHOOL,107758,School,RANGAMATI,LANGADU  UPAZILA,YEARING CHARI,92.20899,22.98402,23177,1
GHANMORE SENA MOITREE JUNIOR HIGH SCHOOL,107757,School,RANGAMATI,LANGADU  UPAZILA,GHANAMORA,92.22447,23.05818,23178,1
RANGAMATI GOVERNMENT HIGH SCHOOL,107795,School,RANGAMATI,RANGAMATI SADAR  UP,POLICE LINE,92.20413,22.96555,23179,1
SHAHEED ABDUL ALI ACADEMY,107798,School,RANGAMATI,RANGAMATI SADAR  UP,RESERVE BAZAR (PART-2),92.21034,22.9825,23180,1
RANI DAYAMoYEE HIGH SCHOOL,107794,School,RANGAMATI,RANGAMATI SADAR  UP,RAJBARI,92.14486,23.07314,23181,1
SHAH BOHUMUKHI HIGH SCHOOL,107793,School,RANGAMATI,RANGAMATI SADAR  UP,DSB COLONY,92.11398,23.05939,23182,1
MOANOGHAR RESIDNTIAL HIGH SCHOOL,107792,School,RANGAMATI,RANGAMATI SADAR  UP,RANGAPANI,92.16843,23.01586,23183,1
MUZADDED-E-ALFESANI ACADEMY HIGH SCHOOL,107802,School,RANGAMATI,RANGAMATI SADAR  UP,BANARUPA,92.18907,22.76561,23184,1
OMDAMIA HILL POURA JUNIOR HIGH SCHOOL,107790,School,RANGAMATI,RANGAMATI SADAR  UP,OMDAMIA PAHAR,92.18434,22.55618,23185,1
RANGAMATI GOVT GIRLS HIGH SCHOOL,107797,School,RANGAMATI,RANGAMATI SADAR  UP,MASTER COLONY,92.19696,22.64823,23186,1
BANDHUK BHANGA HIGH SCHOOL,107805,School,RANGAMATI,RANGAMATI SADAR  UP,BANDUK BHANGA,92.19792,22.64589,23187,1
KHARIKHYONG HIGH SCHOOL,107799,School,RANGAMATI,RANGAMATI SADAR  UP,BANDUK BHANGA,92.19891,22.64518,23188,1
MASCHYAPARA HIGH SCHOOL,107803,School,RANGAMATI,RANGAMATI SADAR  UP,BANDUK BHANGA,92.18744,22.64163,23189,1
BADAL CHARI JUnIOR SCHOOL,107808,School,RANGAMATI,RANGAMATI SADAR  UP,KAINDYA,92.18011,22.65257,23190,1
BASANTA JUNIOR HIGH SCHOOL,107804,School,RANGAMATI,RANGAMATI SADAR  UP,KAINDYA,92.15866,22.65139,23191,1
TAIMIDONG JUNIOR HIGH SCHOOL,107807,School,RANGAMATI,RANGAMATI SADAR  UP,TAIMIDANG,92.18243,22.64904,23192,1
BARA MOHAPURAM HIGH SCHOOL,107800,School,RANGAMATI,RANGAMATI SADAR  UP,DALU CHHARI,92.18725,22.71279,23193,1
BARADAM SURBALA SMRITI BIDYAPITH,107801,School,RANGAMATI,RANGAMATI SADAR  UP,BARADAM (KARNAFULI,92.16464,22.63121,23194,1
SHAPCHARI HIGH SCHOOL,107791,School,RANGAMATI,RANGAMATI SADAR  UP,SAPCHHARI,92.16652,22.66905,23195,1
CHONGRA CHARI JUNIOR HIGH SCHOOL,107809,School,RANGAMATI,RANGAMATI SADAR  UP,BANDUK BHANGA,92.1835,22.64667,23196,1
KAINDYA DOUZAREE PARA JUNIOR HIGH SCHOOL,107811,School,RANGAMATI,RANGAMATI SADAR  UP,KAINDYA,92.18457,22.65021,23197,1
TRIPURA CHARA JUNIOR HIGH SCHOOL,107810,School,RANGAMATI,RANGAMATI SADAR  UP,BANDUK BHANGA,92.17333,22.65432,23198,1
VEDVEDEE POURA HIGH SCHOOL,107806,School,RANGAMATI,RANGAMATI SADAR  UP,RANGAPANI,92.15991,22.64928,23199,1
LAKER,S PUBLIC SCHOOL,107796,School,RANGAMATI,RANGAMATI SADAR  UP,KATHALTALI,92.17902,22.65611,23200,1
KARNAPHULI PAPER MILLS HIGH SCHOOL & COLLEGE,107739,School and College,RANGAMATI,KAPTAI  UPAZILA,CHANDRAGHONA,92.40812,22.36038,26316,1
