inst name, eiin, inst_type, district, thana, mauza, long, lat, serial,isUnique
GOVT. CHARMICHEAL COLLEGE rangpur,127489,College,RANGPUR,RANGPUR SADAR,CARMICHAEL COLLEGE,89.255035,25.718641,1949,1
BADAR GANJ DEGREE COLLEGE,127233,College,RANGPUR,BADARGANJ,SANKAR PUR (PART),89.09417,25.60667,1950,1
BAKSHIGANJ DEGREE COLLEGE,127236,College,RANGPUR,BADARGANJ,BUZRUK BAGBAR,89.07083,25.66556,1951,1
BADARGANJ MOHILA COLLEGE,127234,College,RANGPUR,BADARGANJ,SHAHA PUR,89.15222,25.66417,1952,1
BARAIBARI  COLLEGE,131973,College,RANGPUR,GANGACHARA,PAIKAN,89.19947,25.88181,1953,1
PAKURIA SHARIF COLLEGE,132045,College,RANGPUR,GANGACHARA,PAKURIA,89.20403,25.87303,1954,1
GANGA CHARA WOMENS DEGREE COLLEGE,127299,College,RANGPUR,GANGACHARA,GANGACHARA,89.225,25.84722,1955,1
GANGA CHARA DEGREE COLLEGE,127298,College,RANGPUR,GANGACHARA,NABANIDAS,89.22336,25.84894,1956,1
CHHARAN COLLEGE,127670,College,RANGPUR,MITHA PUKUR,HASIA SARAN,89.12208,25.53392,1957,1
BALARHAT ADARSHA DEGREE COLLEGE,127671,College,RANGPUR,MITHA PUKUR,BUZRUK JHALAI,89.35656,25.592,1958,1
BALARHAT COLLEGE,127669,College,RANGPUR,MITHA PUKUR,BUZRUK JHALAI,89.22314,25.56786,1959,1
SHUKURERHAT  DEGREE COLLEGE,127662,College,RANGPUR,MITHA PUKUR,TILAK PARA,89.17989,25.57047,1960,1
HENA MEMORIAL MOHILA MAHABIDDALAYA,127661,College,RANGPUR,MITHA PUKUR,KASHIPUR,89.28419,25.53942,1961,1
MITHAPUKUR COLLEGE,127664,College,RANGPUR,MITHA PUKUR,MITHA PUKUR,89.27689,25.58069,1962,1
SATHIBARI COLLEGE,127665,College,RANGPUR,MITHA PUKUR,SATHIBARI DURGAPUR,89.28022,25.54586,1963,1
BAIRATI DEGREE COLLEGE,127663,College,RANGPUR,MITHA PUKUR,EMADPUR,89.43289,25.48831,1964,1
AKHIRA HAT COLLEGE,127667,College,RANGPUR,MITHA PUKUR,BARA GHARIA BADARPUR,89.14339,25.63719,1965,1
MIRZAPUR BASIR UDDIN DEGREE COLLEGE,127668,College,RANGPUR,MITHA PUKUR,ISMAILPUR,89.36758,25.51892,1966,1
PAIRANAND BEGUM ROKEYA SMRITY  DEGREE COLLEGE,127666,College,RANGPUR,MITHA PUKUR,KHURDA MURADPUR,89.30172,25.64169,1967,1
PIRGACHHA WOMENS COLLEGE,127770,College,RANGPUR,PIRGACHHA,ANANTARAM,89.40558,25.66228,1968,1
PIRGACHHA COLLEGE,127769,College,RANGPUR,PIRGACHHA,CHANDIPUR,89.36428,25.64908,1969,1
RAHIM UDDIN BHARASA WOMENS COLLEGE,127771,College,RANGPUR,PIRGACHHA,GUABARI,89.3765,25.64556,1970,1
SATDARGAH COLLEGE,127776,College,RANGPUR,PIRGACHHA,PRATAP JOYSEN,89.43058,25.69575,1971,1
ANNODANAGAR COLLEGE,127775,College,RANGPUR,PIRGACHHA,ANNADANAGAR,89.42953,25.69731,1972,1
PAOTANA HAT COLLEGE,127774,College,RANGPUR,PIRGACHHA,ADAM,89.45506,25.67967,1973,2
ITAKUMARI SHIBCHANDRA ROY COLLEGE,127773,College,RANGPUR,PIRGACHHA,ITAKUMARI,89.38481,25.69989,1974,1
DEVI CHOWDHURANI DEGREE COLLEGE,127768,College,RANGPUR,PIRGACHHA,SUBID,89.42436,25.59944,1975,1
TAMBULPUR COLLEGE,131964,College,RANGPUR,PIRGACHHA,TAMBULPUR,89.35647,25.66442,1976,1
EKARCHALI DIGRRE COLLEGE,127978,College,RANGPUR,TARAGANJ,EKORCHALI,89.04483,25.80311,1977,1
TARAGONJ WAKE ESTATE DEGREE COLLEGE,127977,College,RANGPUR,TARAGANJ,KURSHA,89.00917,25.80928,1978,1
KAUNIA WOMEN'S DEGREE COLLEGE,127358,College,RANGPUR,KAUNIA,SAHABAZ,89.40917,25.77228,1979,1
KAUNIA  COLLEGE,127357,College,RANGPUR,KAUNIA,HARISWAR,89.46189,25.77333,1980,1
MIRBAGH DEGREE COLLEGE,127359,College,RANGPUR,KAUNIA,MAHESHA,89.41022,25.77017,1981,1
HARGACHh COLLEGE,127356,College,RANGPUR,KAUNIA,BANU PARA,89.321,25.80406,1983,1
HARAGACH MODEL COLLEGE,127360,College,RANGPUR,KAUNIA,NAZIRDAHA,89.35378,25.79322,1986,1
KUTUBPUR DEGREE COLLEGE,127235,College,RANGPUR,BADARGANJ,ROSTAMABAD,89.36822,25.80567,1987,2
RANGPUR CITY COLLEGE, RANGPUR,127495,College,RANGPUR,RANGPUR SADAR,ASHRATPUR,89.00111,25.67917,1988,1
RANGPUR GOVT. COLLEGE, RANGPUR,127484,College,RANGPUR,RANGPUR SADAR,RADHA BALLAVE,89.241,25.74344,1989,1
GOVT. BEGUM ROKEYA COLLAGE, RANGPUR,127485,College,RANGPUR,RANGPUR SADAR,SAL BAN,89.23961,25.72678,1990,1
government COMMERCIAL INSTITUTE , RANGPUR,133547,College,RANGPUR,RANGPUR SADAR,CENTRAL ROAD,89.22233,25.72211,1991,1
MAHIGONJ COLLEGE RANGUUR,127482,College,RANGPUR,RANGPUR SADAR,MAHIGANJ,89.27028,25.71944,1992,1
WOMEN'S COLLEGE LAHIRIRHAT,127494,College,RANGPUR,RANGPUR SADAR,SHAHBAJPUR,89.292,25.72567,1993,1
SHYAMPUR DEGREE MAHABIDDALAYA,127490,College,RANGPUR,RANGPUR SADAR,SHYAMPUR,89.15556,25.73978,1994,1
TAROK BROMMOSANSKRIT COLLEGE,131965,College,RANGPUR,RANGPUR SADAR,CHABBISH HAZARI,89.25639,25.78483,1995,1
ANANDALOKE DEGREE MAHABIDYALOYA,127491,College,RANGPUR,RANGPUR SADAR,KHALISAKURI (PART-2),89.23506,25.77033,1996,2
CHAK ISABPUR DEGREE COLLEGE,127488,College,RANGPUR,RANGPUR SADAR,CHAK ISABPUR,89.23506,25.77033,1997,2
RADHA KRISNAPUR DEGREE COLLEGE,127492,College,RANGPUR,RANGPUR SADAR,RADHAKRISHNAPUR,89.18967,25.77633,1998,1
MOuLANA KERAMaT ALI COLLEGE,127487,College,RANGPUR,RANGPUR SADAR,PIRZABAD (PART-B),89.22528,25.73867,2000,2
RANGPUR MODEL COLLEGE,127486,College,RANGPUR,RANGPUR SADAR,TALUK DHARMADAS,89.27778,25.70378,2001,1
NAYAPUKUR MAJIDA KHATUN WOMEN'S COLLEGE,127493,College,RANGPUR,RANGPUR SADAR,FAZIL KHAN,89.25006,25.71706,2002,1
MADARGANJ COLLEGE,127939,College,RANGPUR,PIRGANJ,HASANPUR,89.34808,25.45971,2003,1
