inst name, eiin, inst_type, district, thana, mauza, long, lat, serial,isUnique
SATKHIRA CITY COLLEGE,118912,College,SATKHIRA,SATKHIRA SADAR,RASULPUR,89.079834,22.727276,2012,1
SATKHIRA GOVERMENT MOHILA COLLEGE,118910,College,SATKHIRA,SATKHIRA SADAR,SATKHIRA,89.072777,22.708969,2013,1
GOVT. SHYAM NAGAR MOHSIN COLLEGE,118992,College,SATKHIRA,SHYAMNAGAR,HAIBATPUR,89.106773,22.338854,2014,1
SHIMANTA ADARSHA COLLEGE,118914,College,SATKHIRA,SATKHIRA SADAR,MAHMUDPUR,88.990089,22.677977,2015,1
SHYAMNAGAR ATARJAN MOHILA MAHAVIDYALAYA,118993,College,SATKHIRA,SHYAMNAGAR,BADGHATA,89.107658,22.338007,2016,1
SAFURANNESA MOHILA COLLAGE,118909,College,SATKHIRA,SATKHIRA SADAR,SATKHIRA,89.073547,22.7166,2017,1
JHAUDANGA  COLLEGE,118904,College,SATKHIRA,SATKHIRA SADAR,BEHARINAGAR,89.04998,22.810116,2018,1
SONAR BANGLA DEGREE COLLAGE,118731,College,SATKHIRA,KALAROA,SONABARIA,89.042992,22.851164,2019,1
A  P S DEGREE MAHABIDDALOY,118608,College,SATKHIRA,ASSASUNI,LASKARI KHAJRA,89.24833,22.39858,2020,1
BUDHATA MOHILA COLLEGE,131921,College,SATKHIRA,ASSASUNI,BEULA,89.15075,22.61761,2021,1
HAJI JALALUDDIN ADARSHA COLLEGE,118611,College,SATKHIRA,ASSASUNI,BADARTALA,89.171,22.40322,2022,1
ASSASUNI MOHILA COLLEGE,118610,College,SATKHIRA,ASSASUNI,ASSASUNI,89.17553,22.49889,2023,1
ASSASUNI DEGREE COLLEGE,118609,College,SATKHIRA,ASSASUNI,ASSASUNI,89.17589,22.59758,2024,1
NOWABENKI MOHABIDDYALAY,118991,College,SATKHIRA,SHYAMNAGAR,ATULIA,89.25803,22.59644,2025,1
DEBHATA COLLEGE,118643,College,SATKHIRA,DEBHATA,DEBHATA,89.06297,22.58619,2026,1
HAZI KEYAMUDDIN MEMORIAL MOHILA COLLEGE,118641,College,SATKHIRA,DEBHATA,SAKHIPUR,88.95889,22.60222,2027,1
KHAN BAHADUR AHSAN ULLAH COLLEGE,118642,College,SATKHIRA,DEBHATA,SAKHIPUR,88.94953,22.57294,2028,1
HAZI NASIR UDDIN COLLEGE,118727,College,SATKHIRA,KALAROA,SALIMPUR,89.02322,22.88653,2029,1
KALAROA GOVT COLLEGE,118730,College,SATKHIRA,KALAROA,EST TULSIDANGA,89.00847,22.87208,2030,1
KAZIRHAT COLLEGE,118726,College,SATKHIRA,KALAROA,FAZILKATI,89.03564,22.85933,2031,1
HABIBUL ISLAM COLLEGE,131988,College,SATKHIRA,KALAROA,MURARIKATI DAKSHIN,89.06878,22.84658,2032,1
CHANDANPUR UNITED COLLEGE,118732,College,SATKHIRA,KALAROA,DAKSHIN GOYRA,89.05311,22.86456,2033,1
SHEIKH AMANULLAH DEGREE COLLEGE,118729,College,SATKHIRA,KALAROA,WEST TULSIDANGA,88.93203,22.91114,2034,1
BANGABANDHU  MOHILA  COLLEGE,118728,College,SATKHIRA,KALAROA,WEST TULSIDANGA,88.93019,22.91147,2035,1
KAZI ALAUDDIN DEGREE COLLEGE,118797,College,SATKHIRA,KALIGANJ,JAFARPUR,89.11558,22.42294,2037,1
NALTA AHSHNIA MISSION RESIDENTIAL COLLEGE,118795,College,SATKHIRA,KALIGANJ,NALTA,89.03581,22.52531,2038,1
K.M.S.R ISLAMIA MOHABIDDALAYA,131922,College,SATKHIRA,KALIGANJ,MANPUR,89.08006,22.39872,2039,1
D.R.M UNITED IDEAL COLLEGE,118796,College,SATKHIRA,KALIGANJ,RAGHURAMPUR,89.10725,22.41033,2040,1
KATUNIA RAJBARI DEGREE COLLEGE,118792,College,SATKHIRA,KALIGANJ,TERULI,89.00683,22.42594,2041,1
ROKEYA MANSUR  MOHILA COLLEGE,118794,College,SATKHIRA,KALIGANJ,BAZARGRAM RAHIMPUR,89.12322,22.51161,2042,1
KALIGANJ DEGREE COLLEGE,118793,College,SATKHIRA,KALIGANJ,BAZARGRAM RAHIMPUR,89.11594,22.47475,2043,1
ADVOCATE   ABDUR  RAHMAN  COLLEGE,118907,College,SATKHIRA,SATKHIRA SADAR,BENERPOTA,89.03631,22.44869,2044,1
GAVA IDEAL COLLEGE,118903,College,SATKHIRA,SATKHIRA SADAR,GABHA,89.09353,22.65225,2045,1
SATKHIRA DAY NIGHT COLLAGE (DAY),118908,College,SATKHIRA,SATKHIRA SADAR,SULTANPUR,89.09883,22.61217,2046,1
ISLAMIA MAHILA COLLEGE,118915,College,SATKHIRA,SATKHIRA SADAR,MIRZAPUR BANSGHATA,89.07864,22.70728,2047,1
SATKHIRA GOVT. COLLEGE,118906,College,SATKHIRA,SATKHIRA SADAR,MUNSHI PARA,89.02006,25.68708,2048,1
BHALUKA CHANDPUR ADARSHA COLLEGE,118902,College,SATKHIRA,SATKHIRA SADAR,CHANDPUR,89.09006,22.69842,2049,1
SHAHID SMRITI DEGREE COLLEGE,118911,College,SATKHIRA,SATKHIRA SADAR,BANSHDAHA,89.07111,22.78669,2050,1
BURI GOALINI GABURA COLLEGE,118995,College,SATKHIRA,SHYAMNAGAR,BURI GOALINI,88.97283,22.65275,2051,1
MUNSHIGONJ  COLLEGE,118994,College,SATKHIRA,SHYAMNAGAR,MUNSHIGANJ,89.26644,22.30408,2052,1
SHAHEED ZIAUR RAHMAN MOHABIDHALIOY,119109,College,SATKHIRA,TALA,SUKTIA,89.29497,22.70089,2053,1
TALA  GOVT.  COLLEGE,119103,College,SATKHIRA,TALA,TALA,89.26111,22.75664,2054,1
