inst name, eiin, inst_type, district, thana, mauza, long, lat, serial,isUnique
SHERPUR GOVT. COLLEGE, SHERPUR,113915,College,SHARIATPUR,SHARIATPUR SADAR,PALONG (PART),90.004,25.00508,2063,1
JAJIRA COLLEGE,113676,College,SHARIATPUR,ZANJIRA,DAKSHIN BAIKSHA,90.37085,23.35776,2064,1
DR. MOSLEM UDDIN KHAN DEGREE COLLEGE,113677,College,SHARIATPUR,ZANJIRA,JOYNAGAR,90.2943,23.29585,2065,1
B.K NAGAR BANGABANDHU COLLEGE,113675,College,SHARIATPUR,ZANJIRA,BARA KRISHNA NAGAR,90.26076,23.29719,2066,1
SHARIATPUR GOVT. COLLEGE,113647,College,SHARIATPUR,SHARIATPUR SADAR,CHANDSAR,90.32025,23.27197,2067,1
GOVT. GOLAM HAIDER KHAN MAHILA COLLEGE,113646,College,SHARIATPUR,SHARIATPUR SADAR,DHANUKA,90.36375,23.18372,2068,1
PANDITSAR T.M. GIAS UDDIN COLEGE,113607,College,SHARIATPUR,NARIA,DAKSHINPARA,90.47373,23.38433,2069,1
NARIA GOVT. COLLEGE,113608,College,SHARIATPUR,NARIA,DAKSHIN NARIA,90.33543,23.29223,2070,1
BHOJESWAR UPASHI COLLEGE,113609,College,SHARIATPUR,NARIA,UPASI,90.41626,23.30595,2071,1
SHAMSUR RAHMAN DEGREE COLLEGE,113575,College,SHARIATPUR,GOSAIRHAT,DASER JANGAL,90.49321,23.10161,2072,1
PURBA MADARI PUR COLLEGE,113552,College,SHARIATPUR,DAMUDYA,DAKSHIN DAMUDYA (PART-2),90.45805,23.17535,2073,1
HAZI SHARIATULLAH COLLEGE,113529,College,SHARIATPUR,BHEDARGANJ,CHAR SAKHIPUR,90.5006,23.37812,2074,1
SHAHID SIRAJ SIKDER DEGREE COLLEGE,113528,College,SHARIATPUR,BHEDARGANJ,DIGAR MAHISHKHALI,90.55624,23.20101,2075,1
M. A REZA DEGREE COLLEGE,113530,College,SHARIATPUR,BHEDARGANJ,MAHISAR,90.3927,23.20475,2076,1
HABIB ULLAH COLLEGE,113531,College,SHARIATPUR,BHEDARGANJ,CHAR SAKHIPUR,90.49907,23.23087,2077,1
DURBADANGA ABU BAKAR SI. DAKHIL MADRASAH,113672,Madrasha,SHARIATPUR,ZANJIRA,DUBLADANGA,89.82506,25.19511,9474,1
BOALIA GIRL'S DAKHIL MADRASAH,113667,Madrasha,SHARIATPUR,ZANJIRA,BOALIA,90.41971,23.33187,9475,1
CHARKHAMAR TAMIZIA DHAKHIL MADRASHA,113669,Madrasha,SHARIATPUR,ZANJIRA,CHAR KHAMAR,90.4168,23.32898,9476,1
JOYNAGAR NURIA ISLAMIA DAKHIL MADRASHA,113674,Madrasha,SHARIATPUR,ZANJIRA,JOYNAGAR,90.32685,23.33513,9477,1
NAWDOBA MOHSENIA DAKHIL MADRASHA,113666,Madrasha,SHARIATPUR,ZANJIRA,NAODOBA,90.25181,23.29055,9478,1
HAZI TAHER DHALI KANDI DAKHIL MADRASAH,113668,Madrasha,SHARIATPUR,ZANJIRA,NAODOBA,90.28162,23.3488,9479,1
KAZIAR CHAR HAMIDIA SUKURIA ALIM  MADRASHA,113671,Madrasha,SHARIATPUR,ZANJIRA,MIAHCHAND MUNSHIRKANDI,90.28616,23.39745,9480,1
JAJIRA SHAMSUL ULUM FAZIL MADRASA,113670,Madrasha,SHARIATPUR,ZANJIRA,KHOSAL SIKDARERKANDI(PART),90.26227,23.40545,9481,1
GONGA NAGAR AH. IS. DAKHIL DAMDRSHA,113673,Madrasha,SHARIATPUR,ZANJIRA,HAMGAON,90.31457,23.3858,9482,1
SENERCHAR KARIMUDDIN MADBAR KANDI DAKHIL MADRASAH,113665,Madrasha,SHARIATPUR,ZANJIRA,SENER CHAR,90.32588,23.33971,9483,1
CHIKANDI ISLAMIA SENIOR ALIM MADRASHA,113637,Madrasha,SHARIATPUR,SHARIATPUR SADAR,SAULA,90.27926,23.39479,9484,1
SHARIATPUR ISLAMIA  FAZIL MADRASAh,113639,Madrasha,SHARIATPUR,SHARIATPUR SADAR,TULASAR,90.32149,23.33482,9485,1
SHARIATPUR KAGDI DAKHIL MADRASAH,113636,Madrasha,SHARIATPUR,SHARIATPUR SADAR,KAGDI,90.36353,23.23935,9486,1
DADPUR BHASANCHAR ALIM MADRASA,113635,Madrasha,SHARIATPUR,SHARIATPUR SADAR,BHASAN CHAR,90.34815,23.22107,9487,1
KASHIPUR NESARIA DAKHIL MADRASAH,113642,Madrasha,SHARIATPUR,SHARIATPUR SADAR,KASHIPUR,90.37462,23.18969,9488,1
BENOD PUR SHARRIATIA DAKHIL MADRASAH,113634,Madrasha,SHARIATPUR,SHARIATPUR SADAR,BARA BINODPUR,90.33593,23.21358,9489,1
CHANDRAPUR MAZIDIA ISLAMIA ALIM MADRASAH,113640,Madrasha,SHARIATPUR,SHARIATPUR SADAR,CHANDRAPUR,90.30262,23.21597,9490,1
BAGDI GIRLS DAKHIL MADRASAH,113643,Madrasha,SHARIATPUR,SHARIATPUR SADAR,BAGADI,90.27691,23.2403,9491,1
SHARIATPUR ISLAMPUR GIRLS DAKHIL MADRASAH,113644,Madrasha,SHARIATPUR,SHARIATPUR SADAR,SWARNA GHOSH,90.28618,23.27015,9492,1
BENODPUR MOULAVI KANDI DAKHIL MADRASAH,113638,Madrasha,SHARIATPUR,SHARIATPUR SADAR,BARA BINODPUR,90.32629,23.2312,9493,1
MAHMUDPUR KHA PARA DAKHIL MADRASAH,113641,Madrasha,SHARIATPUR,SHARIATPUR SADAR,MOHAMMADPUR,90.36681,23.22478,9494,1
UTTAR NASASAN R. I ALIM MADRASAH.,113600,Madrasha,SHARIATPUR,NARIA,DAULA,90.39175,23.25746,9495,1
MULFAT GONJ AZIZIA JALALIA FAZIL MADRASHA,113601,Madrasha,SHARIATPUR,NARIA,KEDARPUR,90.46243,23.27407,9496,1
RAJNAGAR JAME-UL-ULUM DAKHIL MADRASHA,113603,Madrasha,SHARIATPUR,NARIA,RAJNAGAR,90.4661,23.2786,9497,1
AHMAD NAGAR DAKHIL MADRASHA,113605,Madrasha,SHARIATPUR,NARIA,KATHUGLI,90.41456,23.30642,9498,1
UTTAR JAPSA DAKHIL MADRASAh,113604,Madrasha,SHARIATPUR,NARIA,JAPSA,90.47273,23.26074,9499,1
BANGLA BAZAR ISLAMIA MADRASHA,113606,Madrasha,SHARIATPUR,NARIA,PASCHIM LONOGSHNGHA,90.43897,23.31715,9500,1
MOKTERER CHAR PORBA  PORAGACHA ISLAMIA DAKHIL MADRASHA,113602,Madrasha,SHARIATPUR,NARIA,PORAGACHHA,90.39931,23.25915,9501,1
GARIBER CHAR MOHIUS SUNNAH DAKHIL MADRASHA,113567,Madrasha,SHARIATPUR,GOSAIRHAT,UTTAR KODALPUR (PART),90.46144,23.31884,9502,1
KHALILUR RAHMAN ISLAMIA FAZIL  MADRASHA,113565,Madrasha,SHARIATPUR,GOSAIRHAT,GHATA KHAN,90.38434,23.31332,9503,1
IKRAKANDI DAKHIL MADRASHA,113571,Madrasha,SHARIATPUR,GOSAIRHAT,IKRAKANDI,90.51124,23.15108,9504,1
IDILPUR DAKHIL MADRASA,113572,Madrasha,SHARIATPUR,GOSAIRHAT,DASER JANGAL,90.43992,23.05231,9505,1
SHEKH FAZILATUN NESA ISLAMIA DAKHIL MADRASHA,113574,Madrasha,SHARIATPUR,GOSAIRHAT,CHAR SATMATIA,90.43027,23.05589,9506,1
LAxMIPUR DHALIR HAT FAZIL MADRASHA,113569,Madrasha,SHARIATPUR,GOSAIRHAT,LAKSHMIPUR,90.43405,23.07677,9507,1
CHAR SAMONTASAR MOHSENIa fazil MADRAShA,113570,Madrasha,SHARIATPUR,GOSAIRHAT,SAMANTASAR,90.4083,23.07012,9508,1
NAGERPARA AHAMADIA DAKHIL MADRASHA,113566,Madrasha,SHARIATPUR,GOSAIRHAT,NAGER PARA,90.39228,23.07822,9509,1
KASHI KHANDA ISLAMIA DAKHIL MADRASHA,113573,Madrasha,SHARIATPUR,GOSAIRHAT,KASHIKHANDA,90.35073,23.0877,9510,1
