inst name, eiin, inst_type, district, thana, mauza, long, lat, serial,isUnique
ALHAJ SHAFIUDDIN AHMED COLLEGE,113719,College,SHERPUR,JHENAIGATI,PRATAPNAGAR,90.09675,25.16794,2078,1
JHENAIGATI MAHILA ADARSHA DEGREE COLLEGE,113717,College,SHERPUR,JHENAIGATI,RAMERKURA KODALJANI,90.04342,25.11506,2079,1
ADARSHA COLLEGE,113718,College,SHERPUR,JHENAIGATI,BARA MALIJHIKANDA,89.99964,25.25197,2080,1
NAZMUL SMRITI MOHABIDDYALAYA,113826,College,SHERPUR,NALITABARI,KALINAGAR (PART),90.23503,25.03433,2081,2
NALITABARI  SHAHID ABDUR  RASHID  MOHILA  COLLEGE,113827,College,SHERPUR,NALITABARI,SITPARA,90.21961,25.08981,2082,1
SHAHID MUKTIJODDA COLLEGE,131499,College,SHERPUR,NALITABARI,BARUAJANI,90.18478,25.09914,2083,1
SHERPUR GOVT MOHILA COLLEGE,113914,College,SHERPUR,SHERPUR SADAR,GIRDA NARAYANPUR,90.03828,25.02903,2084,1
MODEL GIRLS  COLLEGE ,SHERPUR,113918,College,SHERPUR,SHERPUR SADAR,MADHABPUR,90.01761,25.0175,2085,1
DR.  SEKANDER ALI  COLLEGE,113916,College,SHERPUR,SHERPUR SADAR,CHAPATALI,90.01381,24.9955,2086,1
KAMARAR CHAR COLLEGE,113917,College,SHERPUR,SHERPUR SADAR,CHAR BABNA,89.96556,25.00542,2087,1
BEER MUKTIJODDA ATIUR RAHMAN MODEL COLLEGE,131500,College,SHERPUR,SHERPUR SADAR,RAGHUNATHPUR,90.10208,24.98247,2088,1
JAMSAD ALI MEMORIAL COLLEGE,113919,College,SHERPUR,SHERPUR SADAR,LAKSHMANPUR,90.08531,24.95107,2089,1
AISHA AYEN UDDIN MOHILA COLLEGE,113974,College,SHERPUR,SREEBARDI,SATANI SREEBARDI,89.99511,25.02281,2090,1
GOVT.  SREEBORDI  COLLEGE,113973,College,SHERPUR,SREEBARDI,UTTAR SREEBARDI,89.91589,25.13072,2091,1
HAZI JAL MAMUD COLLEGE,113770,College,SHERPUR,NAKLA,BAZARDI,90.16606,24.96105,2092,1
CHOWDHERY SABARUN NNESA MAHILA DEGREE COLLEGE,113769,College,SHERPUR,NAKLA,KURSA BADAGAIR,90.17998,24.97251,2093,1
CHANDRAKONA COLLEGE,113771,College,SHERPUR,NAKLA,CHANDRAKONA,90.16286,24.91057,2094,1
BANGAON JIGATALA ISLAMIA DAKHIL MADRASHA,113714,Madrasha,SHERPUR,JHENAIGATI,BANGAON,89.99831,25.19533,9530,2
GOJARIKURA BHARUA ISLAMIA DAKHIL MADRASAH,113709,Madrasha,SHERPUR,JHENAIGATI,GAZARIKURA,90.01833,25.20119,9531,1
JARAKURA ASHRAFIA DAKHIL MADRASHA,113710,Madrasha,SHERPUR,JHENAIGATI,JARAKURA,90.08458,25.14958,9532,1
DIGHERPAR SENIOR  ALIM MADRASAH,113705,Madrasha,SHERPUR,JHENAIGATI,RAMNAGAR,90.09519,25.15025,9533,1
NAYAGAON ISLAMIA DAKHIL MADRASHA,113715,Madrasha,SHERPUR,JHENAIGATI,RAMERKURA KODALJANI,90.07567,25.14378,9534,1
HALDIBATA ISLAMIA DAKHIL MADRASAH,113712,Madrasha,SHERPUR,JHENAIGATI,HALDIBATA,90.10503,25.18403,9535,1
GHAGRA KAMAR PARA DAKHIL MADRASHA,113713,Madrasha,SHERPUR,JHENAIGATI,GHAGRA CHAKPARA,90.00944,25.14297,9536,1
JHINAIGATI DARUL ISLAM DAKHIL MADRASHA,113708,Madrasha,SHERPUR,JHENAIGATI,JHENAIGATI,90.05339,25.19214,9537,1
NACHIN MOHURI ISLAMIA DAKHIL MADRASHA,113704,Madrasha,SHERPUR,JHENAIGATI,NACHAN MAHARI,89.99625,25.22203,9538,1
PANBOR ISLAMIA DAKHIL MADRASHA,113707,Madrasha,SHERPUR,JHENAIGATI,PANBAR,89.99556,25.22097,9539,1
TAUAKUCHA TILAPARA ISLAMIA DAKHIL MADRASAH,113703,Madrasha,SHERPUR,JHENAIGATI,TAOKOCHA,90.03186,25.21581,9540,1
BAGERVITA ISLAMIA DAKHIL MADRASHA,113711,Madrasha,SHERPUR,JHENAIGATI,KANDULI,90.08297,25.21578,9541,1
BILASHPUR  DAKHIL MADRASAH,113716,Madrasha,SHERPUR,JHENAIGATI,BILASPUR,90.07878,25.20458,9542,1
DHANSHAIL ISLAMIA DAKHIL MADRASAH,113706,Madrasha,SHERPUR,JHENAIGATI,DHANSAIL,90.06028,25.16886,9543,1
DAKKHIN  RANIGAON  SIRUMIAH  AZIMUDDIN  D  MADRASAH,113812,Madrasha,SHERPUR,NALITABARI,RANIGAON,90.11683,25.14953,9546,2
SALUATALA  DAKHIL  MADRASHA,113824,Madrasha,SHERPUR,NALITABARI,KHUJIURA,90.20814,25.04083,9547,2
NALITABARI  GARKANDA  WOMENS  ALIM MADRASah,113823,Madrasha,SHERPUR,NALITABARI,KHUJIURA,90.18439,25.09586,9548,1
PANCHGAON  DAKHIL MADRASAH,113807,Madrasha,SHERPUR,NALITABARI,PANCHGAON,90.17361,25.06136,9549,1
KALASH PAR NOYME DAKHIL MADRASHA,113815,Madrasha,SHERPUR,NALITABARI,KALASPAR,90.25153,25.14067,9550,1
SURJANAGAR GAGLAJANI DAKHIL MADRASHA,113820,Madrasha,SHERPUR,NALITABARI,GAGLAJANI,90.23019,25.14528,9551,1
CHINAMARA ISLAMIA DAKHIL MADRASHA,131624,Madrasha,SHERPUR,NALITABARI,CHENAMARA,90.12136,25.07931,9552,1
TARAGANJ FAZIL MADRASAH,113808,Madrasha,SHERPUR,NALITABARI,NALITABARI BAZAR,90.19947,25.08972,9553,1
BADLAKURA DAKHIL MADRASHA,113821,Madrasha,SHERPUR,NALITABARI,BADLAKURA,90.17842,25.14628,9554,1
NANNI  ISLAMIA  ALIMA MADRASHA,113811,Madrasha,SHERPUR,NALITABARI,NUNNI,90.20419,25.15125,9555,1
NISCHINTAPUR ALIM MADRASHA,113809,Madrasha,SHERPUR,NALITABARI,NISCHINTAPUR,90.17917,25.16725,9556,1
KALAKURA NESARIA DAKHIL MADRASHA,113816,Madrasha,SHERPUR,NALITABARI,NUNNI,90.16444,25.14731,9557,1
GOZA KURA DHAKIL MADRASHA,113810,Madrasha,SHERPUR,NALITABARI,KRISHNAPUR DEBIPUR,90.14842,25.15597,9558,1
PORAGAON  DAKHIL MADRSAH,113817,Madrasha,SHERPUR,NALITABARI,PORAGAON,90.23503,25.03433,9559,2
GHAK PARA DAKHIL MADRASHA,113822,Madrasha,SHERPUR,NALITABARI,GHAG PARA,90.17139,25.18925,9560,1
GARJARIPA AZIZIA DARUS SUNNAT DAKHIL MADRASHA,113971,Madrasha,SHERPUR,SREEBARDI,GARJARIPA,90.13744,25.21094,9561,1
IDRISIA FAZIL MADRASAH,113888,Madrasha,SHERPUR,SHERPUR SADAR,SHIB BARI (NARAYANPUR),90.08214,25.06522,9563,3
AL JAMIATUL ISLAMIA ALIM MADRASAH,113896,Madrasha,SHERPUR,SHERPUR SADAR,DAKSHIN NAOHATA,90.01553,25.01383,9564,1
KRISNOPUR  ISLAMIA  DAKHIL MADRASA,113900,Madrasha,SHERPUR,SHERPUR SADAR,CHAR SHERPUR (PART),90.00606,25.02436,9565,1
KUMRY BAJIT KHILA ISLAMIA DAKHIL MADRASHA,113898,Madrasha,SHERPUR,SHERPUR SADAR,KUMRI,90.01825,25.03467,9566,1
BOYRA PARANPUR DAKHIL MADRASAH,113910,Madrasha,SHERPUR,SHERPUR SADAR,BAIRA PARANPUR,90.07628,24.97803,9567,1
SAPMARI DHAKIL MADRASHA,113904,Madrasha,SHERPUR,SHERPUR SADAR,SAPMARI,90.03689,24.98539,9568,1
KAMARER CHAR K.M.I. ALIM MADRSAH,113889,Madrasha,SHERPUR,SHERPUR SADAR,CHAR BABNA,90.02756,24.99825,9569,1
NALBAID ISLAMIA DAKHIL MADRASAH,113908,Madrasha,SHERPUR,SHERPUR SADAR,CHAR BABNA,89.93092,25.02533,9570,1
CAHR SHERPUR  P.K.T.  ALI DAKHIL MADRASA,113899,Madrasha,SHERPUR,SHERPUR SADAR,CHAR SERPUR,89.96275,24.96039,9571,1
BAISHNABNAGAR NAYAPARA ISLAMIA DAKHIL MADRASAH,113913,Madrasha,SHERPUR,SHERPUR SADAR,BAISHNABNAGAR,89.96603,25.03233,9572,1
CHAR SERPUR NOYAPARA DHAKIL MADRASHA,113907,Madrasha,SHERPUR,SHERPUR SADAR,CHAR SERPUR,89.95169,25.05567,9573,1
DARIPARA PUBLIC DAKHIL MADRASHA,113903,Madrasha,SHERPUR,SHERPUR SADAR,CHAR SERPUR,89.99231,25.05506,9574,1
FASIH UL ULUM DAKHIL MADRASAH,113902,Madrasha,SHERPUR,SHERPUR SADAR,JOGINIMURA,90.01642,25.02233,9575,1
