inst name, eiin, inst_type, district, thana, mauza, long, lat, serial,isUnique
MOULANA BHASANI DEGREE COLLEGE,128465,College,SIRAJGANJ,SIRAJGANJ SADAR,SHEIKH MOJIB ROAD UTTAR,89.702454,24.4519,2095,1
CHOWHALI DEGREE COLLEGE,128074,College,SIRAJGANJ,CHAUHALI,CHAR KURKI,89.706993,24.227604,2096,1
HAZI WAHED MARYAM DEGREE COLLEGE,128276,College,SIRAJGANJ,ROYGANJ,CHANDAIKONA,89.514091,24.53821,2097,1
NATUAR PARA DEGREE COLLEGE,128187,College,SIRAJGANJ,KAZIPUR,REHAI SURIBER,89.633972,24.654678,2098,1
ZINDANI DEGREE COLLEGE,128542,College,SIRAJGANJ,TARASH,NAOGAON,89.372429,24.430746,2099,1
ALHAJ FOR HAD ALI MEMORIAL DEGREE COLLEGE,128179,College,SIRAJGANJ,KAZIPUR,KUMARIABARI,89.690057,24.468334,2100,1
CHOWBARI DR. SALAM JAHANARA COLEGE,128112,College,SIRAJGANJ,KAMARKHANDA,CHAUBARIA,88.96977,24.5939,2101,1
DR. SHAMS UDDIN SALEMA MEMORIAL COLLEGE,128116,College,SIRAJGANJ,KAMARKHANDA,JHATI BELAI,89.60933,24.42036,2102,1
NASRIN WAZED MOHILA DEGREE COLLEGE,128115,College,SIRAJGANJ,KAMARKHANDA,JAMTAIL,89.68314,24.37583,2103,1
HAZI KORAP ALI MEMORIAL DEGREE COLLEGE,128113,College,SIRAJGANJ,KAMARKHANDA,JAMTAIL,89.67011,24.3585,2104,1
KONABARI SHAHIDUL BULBUL COLLEGE,128114,College,SIRAJGANJ,KAMARKHANDA,KONABARI,89.649,24.38497,2105,1
CHALITA DANGA WOMEN'S DEGREE COLLEGE,128181,College,SIRAJGANJ,KAZIPUR,CHALITADANGA,89.62086,24.68128,2106,1
AMINA MANSUR DEGREE COLLAGE,128189,College,SIRAJGANJ,KAZIPUR,HARINATHPUR,89.56867,24.66086,2107,1
BANGABANDHU COLLEGE,128183,College,SIRAJGANJ,KAZIPUR,SONAMUKHI,89.59569,24.66,2108,1
GOVT. KAZIPUR MANSUR ALI COLLEGE,128185,College,SIRAJGANJ,KAZIPUR,MEGHAI,89.65519,24.64,2109,1
KAZIPUR MOHILA COLLEGE,128180,College,SIRAJGANJ,KAZIPUR,KAZIPUR (SAUDTALA),89.58097,24.69433,2110,1
