inst name, eiin, inst_type, district, thana, mauza, long, lat, serial,isUnique
JOYNAL ABEDIN COLLEGE,130078,College,SUNAMGANJ,TAHIRPUR,TEKATUKIA,90.66647,23.22988,2171,1
BADAGHAT  degree COLLEGE,130077,College,SUNAMGANJ,TAHIRPUR,JASPRATAP (PART),91.173,25.15274,2172,1
ISLAMGoNJ  COLLEGE,130053,College,SUNAMGANJ,SUNAMGANJ SADAR,NIDHIR CHAR,91.44559,25.12648,2173,1
SUNAMGONG GOVT. MOHILA COLLEGE,130050,College,SUNAMGANJ,SUNAMGANJ SADAR,UTTAR ARIFNAGAR,91.39916,25.03176,2174,1
SUNAMGONJ GOVT COLLEGE,130051,College,SUNAMGANJ,SUNAMGANJ SADAR,HASANNAGAR,91.38831,25.06869,2175,1
ABDUL  MAJID  COLLEGE,130054,College,SUNAMGANJ,DAKSHIN SUNAMGANJ,PANCHASHAL,91.42172,24.88745,2176,1
MOYNUL  HAQ  COLLEGE,130055,College,SUNAMGANJ,SUNAMGANJ SADAR,GAURA RANGA BADE,91.45085,24.92208,2177,1
SULLA  COLLEGE,130010,College,SUNAMGANJ,SULLA,GHUNGIRGAON,91.33888,24.9964,2178,1
JAMALGONJ  COLLEGE,129996,College,SUNAMGANJ,JAMALGANJ,TELIA JAMALPUR,91.28851,24.67775,2179,1
JAGANNATHPUR COLLEGE,129978,College,SUNAMGANJ,JAGANNATHPUR,BHARATPUR,91.18307,24.92366,2180,1
SHAHJALAL   COLLEGE,129980,College,SUNAMGANJ,JAGANNATHPUR,DIGHALBAK UTTAR,91.64346,24.73793,2181,1
SYEDPUR  ADARSHA  COLLEGE,129979,College,SUNAMGANJ,JAGANNATHPUR,SAEDPUR,91.60158,24.78894,2182,1
DUARA  BAZAR  Degree COLLEGE,129932,College,SUNAMGANJ,DOWARABAZAR,NAINGAON,91.64952,24.77308,2183,1
BADSHA GONJ DEGREE COLLEGE,129909,College,SUNAMGANJ,DHARAMPASHA,BAULAM,90.98988,25.07465,2184,1
DHARMA PASA DEGREE COLLAGE,129908,College,SUNAMGANJ,DHARAMPASHA,DHARMAPASHA,90.98518,25.0487,2185,1
DERAI degree COLLAGE,129887,College,SUNAMGANJ,DERAI,MOJLISH PUR,91.24134,24.84945,2186,1
JOGDOL COLLEGE,129885,College,SUNAMGANJ,DERAI,JAGADDAL,91.27711,24.77619,2187,1
BIBIANA MODEL degree COLAGE,129886,College,SUNAMGANJ,DERAI,BARA BAUSI,91.44346,24.78381,2188,1
JANATA COLLEGE,129857,College,SUNAMGANJ,CHHATAK,KURSHI,91.44875,24.71551,2189,1
CHHATAK DEGEE COLLAGE,129855,College,SUNAMGANJ,CHHATAK,MALSINAGAR,91.59132,24.8436,2190,1
GOBINDAGaNJ ABDUL HAQUE SMRITY COLLEGE,129856,College,SUNAMGANJ,CHHATAK,BURAM PUR,91.67333,25.03375,2191,1
JAWA BAZAR degree COLLEGE,129858,College,SUNAMGANJ,CHHATAK,LAKSHANSUM (PART),91.6388,24.94158,2192,1
DIGENDRA BARMAN DEGREE COLLAGE,129802,College,SUNAMGANJ,BISHWAMBARPUR,MUKTIKHOLA (PART-1),91.58019,24.97807,2193,1
BALIJURI H.A. ULUM SENIOR  alim MADRASAHA,130073,Madrasha,SUNAMGANJ,TAHIRPUR,BALIJURI,91.16248,25.19168,9809,1
BADAGHAT RAHMANTA AW: DAKHIL MADRASAH,130075,Madrasha,SUNAMGANJ,TAHIRPUR,JASPRATAP (PART),91.1296,25.16169,9810,1
TAHIRPUR H.U. ALIM MADRASAH,130074,Madrasha,SUNAMGANJ,TAHIRPUR,TAHIRPUR,91.24635,25.10525,9811,1
KOLAGAON JAMEA ISLAMIA DAKHIL MADRASAH,130076,Madrasha,SUNAMGANJ,TAHIRPUR,KALAGAON,91.23633,25.15244,9812,1
YEAQUBIA DHAKHIL MADRASHA,130046,Madrasha,SUNAMGANJ,SUNAMGANJ SADAR,GHASIGAON (PART),91.17599,25.09532,9813,1
ALHERA JAMEA ISLAMIA ALIM MADRASAH,130045,Madrasha,SUNAMGANJ,SUNAMGANJ SADAR,BADIPUR (PART),91.09709,25.18057,9814,1
DEENI SENIOR MADRASHA,130048,Madrasha,SUNAMGANJ,SUNAMGANJ SADAR,UTTAR SHOLAGHAR,91.36791,25.04175,9815,1
AMRIA ISLAMIA DAKHIL MADRASHA,130043,Madrasha,SUNAMGANJ,DAKSHIN SUNAMGANJ,AMRIA,91.39476,24.94715,9816,1
AKTAPARA ISLAMIA ALIM MADRASHA,130044,Madrasha,SUNAMGANJ,DAKSHIN SUNAMGANJ,DURGAPASHA,91.39121,24.92375,9817,1
JAMIA HAZI AKROM SENIOR MADRASHA,130049,Madrasha,SUNAMGANJ,DAKSHIN SUNAMGANJ,DURGAPASHA,91.34182,24.90449,9818,1
DAMODHARTOPY MAHAMUDPUR DAKHIL MADRASHA,130047,Madrasha,SUNAMGANJ,DAKSHIN SUNAMGANJ,RANSI,91.47868,24.84969,9819,1
SHALLA HASIMIA ISLAMIA DAKHIL MADRASHA,130009,Madrasha,SUNAMGANJ,SULLA,HABIBPUR (HARINAGAR) (PART),91.23374,24.71311,9820,1
DAMPUR ATPARA DAKHIL MADRASHA,130008,Madrasha,SUNAMGANJ,SULLA,CHHABBISHA,91.27359,24.66982,9821,1
SUKDEBPUR DAKHIL MADRASHA,129990,Madrasha,SUNAMGANJ,JAMALGANJ,DAMODARPUR,91.30396,24.6363,9822,1
NOWAGOAN ASTROGRAM ISLAMIA SENIOR ALIM MADRASHA,129992,Madrasha,SUNAMGANJ,JAMALGANJ,NOAGAON,91.25994,24.58891,9823,1
KALIPUR NESARIA DAKHIL MADRASHA,129993,Madrasha,SUNAMGANJ,JAMALGANJ,KUKRIPARSI,91.28538,25.0051,9824,1
LAKSHMIPUR TWAKKULLA DAKHIL MADRASHA,129991,Madrasha,SUNAMGANJ,JAMALGANJ,DAKSHIN LAKSHMIPUR,91.28466,24.97652,9825,1
LAKSHMIPUR TAYDUL ISLAM RAHMANIA DAKHIL MADRASAH,129994,Madrasha,SUNAMGANJ,JAMALGANJ,LAKSHMIPUR,91.2344,25.00034,9826,1
HAZI JULAKHA TAYAB ISLAMIA DAKHIL MADRASAH,129995,Madrasha,SUNAMGANJ,JAMALGANJ,SHARIFPUR,91.19041,24.98623,9827,1
ROSULPUR BONGAWN ISLAMIA DAKHIL MADRASAH,129967,Madrasha,SUNAMGANJ,JAGANNATHPUR,RAMESHWARPUR,91.22423,24.91753,9828,1
ROSULGONJ ZAMIA QURANIA SENIOR MADRASAH,129969,Madrasha,SUNAMGANJ,JAGANNATHPUR,DARI KHANANPUR,91.17582,24.96248,9829,1
HOLIAR PARA JAmea KAdria SUnnia ALIM MADRASHA,129972,Madrasha,SUNAMGANJ,JAGANNATHPUR,MIRPUR,91.52468,24.83426,9830,1
SYED PUR SYEDIA SHAMSIA ALIM MADRASHA,129966,Madrasha,SUNAMGANJ,JAGANNATHPUR,SONATANPUR,91.59647,24.80844,9831,1
EKORCHHOI JAMEYA ISLAMIA SE Alim MADRASAH,129963,Madrasha,SUNAMGANJ,JAGANNATHPUR,IKARCHOI,91.56997,24.78658,9832,1
HABIBPUR KESHOBPUR FAZIL MADRASAH,129965,Madrasha,SUNAMGANJ,JAGANNATHPUR,SHAH PUR,91.65005,24.77942,9833,1
KAMRAKHAI JOYNAGAR DAKHIL MADRASAH,129964,Madrasha,SUNAMGANJ,JAGANNATHPUR,KAMRAKHAI,91.55943,24.77467,9834,1
RANIGONJ BAZER DARUSSUNNAH  ALIM MADRASAH,129968,Madrasha,SUNAMGANJ,JAGANNATHPUR,GANDHARBAPUR,91.60139,24.77506,9835,1
CHILAURA DARUSSUNAH DAKHIL MADRASAH,129976,Madrasha,SUNAMGANJ,JAGANNATHPUR,CHILAURA,91.48502,24.69781,9836,1
JOYDA ARABIA ISLAMIA DAKHIL MASRASHA,129971,Madrasha,SUNAMGANJ,JAGANNATHPUR,JOYDA,91.50806,24.67436,9837,1
CHARA JAMIA ISLAMIA DAKHIL  MADRASAH,129970,Madrasha,SUNAMGANJ,JAGANNATHPUR,CHARA,91.5302,24.70569,9838,1
RASULPAR JAMEYA ISLIMA DAKHIL MADRASHA,129962,Madrasha,SUNAMGANJ,JAGANNATHPUR,CHILAURA,91.53533,24.70792,9839,1
BALIKANDA ATPARA SUNNIA DAKHIL MADRASHA,129975,Madrasha,SUNAMGANJ,JAGANNATHPUR,BALIKANDI,91.48731,24.70753,9840,1
PURBO BUDRAIL ATGHOR AUDOTH ISLAMIA DAKHIL MADRASHA,129973,Madrasha,SUNAMGANJ,JAGANNATHPUR,BUDHRAIL,91.51253,24.75487,9841,1
PEERER GOWN SUNNIA DAKHIL MADRASHA,129974,Madrasha,SUNAMGANJ,JAGANNATHPUR,FATEPUR KISMAT,91.62935,24.71862,9842,1
SHAHJALAL JAMEA DEENIA DHAKHIL MADRASAH,129977,Madrasha,SUNAMGANJ,JAGANNATHPUR,PATALI,91.53348,24.83777,9843,1
