inst name, eiin, inst_type, district, thana, mauza, long, lat, serial,isUnique
TAJPUR DEGREE COLLEGE,130125,College,SYLHET,BALAGANJ,DULIARBAND,91.747398,24.718407,2194,1
KANaIGHAT DEGREE COLLEGE,130389,College,SYLHET,KANAIGHAT,NAYA KHALA,92.255653,25.00882,2195,1
JAINTAPUR TAYOB ALI DEGREE COLLEGE,130356,College,SYLHET,JAINTIAPUR,JAINTIAPUR NIJPAT,92.121628,25.134844,2196,1
SHAH KHURROM DEGREE COLLEGE,130455,College,SYLHET,SYLHET SADAR,KUMARGAON (PART),91.82132,24.918188,2197,1
ISAMATI COLLEGE,130543,College,SYLHET,ZAKIGANJ,CHALIA KAPAN,92.36779,24.87812,2198,1
GOWAINGHAT COLLEGE,130335,College,SYLHET,GOWAINGHAT,PIRIJPUR,91.9697,25.10386,2199,2
M SAIFUR RAHMAN COLLEGE,130235,College,SYLHET,COMPANIGANJ,SHAMSHERNAGAR,91.79251,25.15402,2200,1
DAYAMIR COLLEGE,130126,College,SYLHET,BALAGANJ,ATAULLAH,91.77578,24.77564,2201,1
BALAGONJ DEGREE COLLEGE,130124,College,SYLHET,BALAGANJ,CHANDPUR,91.82175,24.65267,2202,1
GOALA BAZAR ADARSHA MOHILA COLLEGE,130123,College,SYLHET,BALAGANJ,KALASARA,91.69611,24.70858,2203,1
UTTAR BISHWANATH AMJOD ULLAH COLLEGE,130218,College,SYLHET,BISHWANATH,DHALIA PARA,91.72619,24.69272,2204,1
BISWANATH COLLEGE,130217,College,SYLHET,BISHWANATH,AHAMMADABAD,91.75536,24.81578,2205,1
RAGIB RABEYA DEGREE COLLEGE,130219,College,SYLHET,BISHWANATH,TALIBPUR (PART),91.73708,24.79061,2206,1
FENCHUGANJ DEGREE COLLEGE,130257,College,SYLHET,FENCHUGANJ,MAIJGRAM,91.92403,24.7155,2207,1
KUSHIARA COLLEGE,130301,College,SYLHET,GOLAPGANJ,ALAMPUR,91.97989,24.71608,2208,1
BHADESWAR MOHILA COLLEGE,130299,College,SYLHET,GOLAPGANJ,BHADESHWAR,92.00161,24.87767,2209,1
DHAKA DAKSHIN DEGEE COLLEGE,130300,College,SYLHET,GOLAPGANJ,DATTARAIL,92.07503,24.80889,2210,1
SALUTIKOR COLLLEGE,130336,College,SYLHET,GOWAINGHAT,SALU TIKAR,91.86887,25.07243,2211,1
JAINTIA DEGREE COLLEGE,130354,College,SYLHET,JAINTIAPUR,RANI FAUD,92.16397,25.05904,2213,1
IMRAN AHMAD WOMENS degree  COLLEGE,130357,College,SYLHET,JAINTIAPUR,JAINTIAPUR NIJPAT,92.11919,25.10037,2214,1
GACHHBARI IDEAL COLLEGE,130390,College,SYLHET,KANAIGHAT,NIJ DALAIRKANDI,92.15756,24.95011,2215,1
MALIK  NAHaR  MEMORIAL  ACADEMY,132030,College,SYLHET,KANAIGHAT,MACHGRAM,92.31222,24.99814,2216,1
MADAN MOHAN COLLEGE,130452,College,SYLHET,SYLHET SADAR,LAMA BAZAR (SARASPUR),91.7095,24.95361,2217,1
SYLHET GOVT. WOMEN'S COLLEGE SYLHET,130453,College,SYLHET,SYLHET SADAR,ZINDA BAZAR,91.86953,24.90422,2218,1
NOOR JAHAN MEMORIAL WOMENS degree COLLEGE,130456,College,SYLHET,DAKSHIN SURMA,PIRIJPUR,91.84864,24.91072,2219,1
SYLHET COMMERCE  COLLEGE,131911,College,SYLHET,SYLHET SADAR,MIRER MAIDAN,91.86036,24.87692,2220,1
THE ROYAL M.C ACADEMY,133128,College,SYLHET,SYLHET SADAR,AMBARKHANA (EAST),91.87158,24.95517,2221,1
JALALABAD  COLLEGE, SYLHET,131915,College,SYLHET,SYLHET SADAR,MEHENDIBAGH,91.86933,24.89597,2222,1
SYLHET GOVT , COLLAGE , SYLHET,130450,College,SYLHET,SYLHET SADAR,DEBPUR (ISLAMPUR) (PART),91.89011,24.90606,2223,1
GOVT. M. C. COLLEGE,130457,College,SYLHET,SYLHET SADAR,TILAGAR,91.86961,24.89897,2224,1
MOIN UDDIN ADARSHA MOHILA COLLEGE,130451,College,SYLHET,SYLHET SADAR,KANISAIL (PART),91.85961,24.90792,2225,1
DAKSHIN SURMA COLLEGE sylhet,130499,College,SYLHET,DAKSHIN SURMA,BALDI,91.85417,24.9105,2226,1
JALAL PUR COLLEGE,130449,College,SYLHET,DAKSHIN SURMA,AZMATPUR,91.85908,24.79006,2227,1
LTIFA ShAFI CHouDHuRY MAHILA COLLEGE,130500,College,SYLHET,DAKSHIN SURMA,NAIKHAI (PART),91.86156,24.84564,2228,1
