inst name, eiin, inst_type, district, thana, mauza, long, lat, serial,isUnique
KUMUDINI GOVT. COLLEGE, TANGAIL,114743,College,TANGAIL,TANGAIL SADAR,BISWAS BETKA (PART),89.924835,24.257841,2236,1
ARFAN COLLEGE LOWHATI,114104,College,TANGAIL,DELDUAR,LAUHATI,89.958397,24.166771,2237,1
SHAHEEN COLLEGE,130643,College,TANGAIL,TANGAIL SADAR,REGISTRY PARA,89.77683,23.94992,2239,1
GOVT. MAULNA MOHAMMAD ALI COLLEGE KAGMARI TANGAIL,114744,College,TANGAIL,TANGAIL SADAR,BALUK KANDI,89.91531,24.25156,2240,1
ISLAMIC UNIVERSITY TECHNICAL COLLEGE,114745,College,TANGAIL,TANGAIL SADAR,UTTAR SANTOSH (PART),89.83447,24.22458,2241,1
GOVT. SHEIKH FAZILATUN NESA MIJIB MAHILA COLLEGE,114742,College,TANGAIL,TANGAIL SADAR,AKUR TAKUR PARA (PART),89.92036,24.24094,2242,1
MAJOR GENERAL MAHMUDUL HASAN ADRSHA COLLEGE TANGAIL,114107,College,TANGAIL,TANGAIL SADAR,PURBA ADALATPARA,89.93461,24.24992,2243,1
SRISTY COLLEGE OF TANGAIL,130590,College,TANGAIL,TANGAIL SADAR,BISWAS BETKA WEST,89.91683,24.25319,2244,1
MAJOR GENERAL MAHAMUDUL HASAN COLLEGE,114748,College,TANGAIL,TANGAIL SADAR,ANUHALA,89.98081,24.21939,2245,1
GOVT. SAADAT COLLEGE KARTIA TANGAIL,114747,College,TANGAIL,TANGAIL SADAR,KARATIA,89.83331,24.23664,2246,1
LION NAZRUL ISLAM DEGREE COLLEGE,114741,College,TANGAIL,TANGAIL SADAR,BHAYETA,89.81758,24.33514,2247,1
MUJIB COLLEGE,114674,College,TANGAIL,SAKHIPUR,GAZARIA KIRTANKHOLA,90.19275,24.30517,2249,1
SAKHIPUR RESIDENTIAL WOMEN'S COLLEGE,114675,College,TANGAIL,SAKHIPUR,GARH GOBINDAPUR UTTAR (PART),90.14433,24.30603,2250,1
HATIYA COLLEGE,114672,College,TANGAIL,SAKHIPUR,HATEA,90.10478,24.22272,2251,1
BOALI MOHABIDHALAYA,114670,College,TANGAIL,SAKHIPUR,BOALI,90.17972,24.27275,2252,1
PALASHTALI MOHABIDYALAYA,114673,College,TANGAIL,SAKHIPUR,HAMIDPUR,90.13303,24.38736,2253,1
BARACHOWNA KUTUBPUR COLLEGE,114671,College,TANGAIL,SAKHIPUR,KUTUBPUR,90.24022,24.39611,2254,1
PAKUTIA B.C.R.G. DEGREE COLLEGE,114589,College,TANGAIL,NAGARPUR,PAKUTIA,90.18131,24.42461,2255,1
AGNIBINA IDEAL COLLEGE,114590,College,TANGAIL,NAGARPUR,SHYAMPUR,89.84453,24.072,2256,1
NAGAR PUR GOVT COLLEGE NAGAR PUR,114591,College,TANGAIL,NAGARPUR,DUAJANI,89.87936,24.08758,2257,1
NAGARPUR MOHILA COLLEGE,114588,College,TANGAIL,NAGARPUR,NAGARPUR,89.88356,24.08556,2258,1
MIRZAPUR mohila COLLEGE,114526,College,TANGAIL,MIRZAPUR,UTTAR BAOWAR KUMARJANI,90.14156,24.14581,2259,1
MIRZAPUR COLLEGE,114525,College,TANGAIL,MIRZAPUR,BAIMHATI(MAIN TOWN PART),90.09492,24.09739,2260,1
KHALILUR RAHMAN COLLEGE,114524,College,TANGAIL,MIRZAPUR,NAYA PARA,90.16889,24.17239,2261,1
RAZABARI COLLEGE,114528,College,TANGAIL,MIRZAPUR,RAJABARI(GORAI CADET COLLEGE,90.15211,24.09672,2262,1
SAFDAR ALI COLLEGE,131632,College,TANGAIL,MIRZAPUR,SATIACHARA,90.09492,24.09744,2263,1
NATUN KOHELA COLLEGE,114527,College,TANGAIL,MIRZAPUR,ARUHA,90.0645,24.03972,2264,1
MADHUPUR COLLEGE,114455,College,TANGAIL,MADHUPUR,GOSAIBARI,90.09511,24.07058,2265,2
KALIHATI COLLEGE,114351,College,TANGAIL,KALIHATI,BED DOBA,90.04275,24.39547,2266,1
LUTFAR RAHMAN MATIN MAHILA COLLEGE,114350,College,TANGAIL,KALIHATI,BANGRA,89.96014,24.36461,2267,1
ALAUDDIN SIDDIQI COLLEGE,114353,College,TANGAIL,KALIHATI,BHANDESHWAR (PART),90.05561,24.37831,2268,1
JAMUNA COLLEGE,114348,College,TANGAIL,KALIHATI,HATIA,90.02794,24.39339,2269,1
SHAMSUL HAQUE COLLEGE,114352,College,TANGAIL,KALIHATI,BARA ICHHAPUR,89.91861,24.33622,2270,1
LION FERDOUS ALAM FIROZ COLLEGE,131840,College,TANGAIL,KALIHATI,GANDHINA,90.06061,24.31486,2271,1
SHAHEED SHAHED HAZARI COLLEGE,131690,College,TANGAIL,KALIHATI,BARA BAJU CHHATIHATI,89.90542,24.40581,2272,1
MEHERUNNESA MOHILA COLLEGE,114271,College,TANGAIL,GOPALPUR,RAMJIBANPUR,89.96033,24.34081,2273,1
GOPAL PUR COLLGE,114273,College,TANGAIL,GOPALPUR,NANDANPUR BAZAR,89.92886,24.56331,2274,1
H. B.  COLLEGE, GOPALPUR,114272,College,TANGAIL,GOPALPUR,HADIRA,89.90406,24.62667,2275,1
HEMNAGAR DEGREE COLLEGE,114270,College,TANGAIL,GOPALPUR,SIMLA PARA,89.86969,24.54617,2276,1
G.B.G. COLLEGE,114197,College,TANGAIL,GHATAIL,DAKSHIN GHATAIL,89.91694,24.59494,2277,1
DHOLAPARA COLLEGE,114195,College,TANGAIL,GHATAIL,UTTAR DHALA PARA,90.19625,24.44458,2278,1
BRAHMAN SHASHON MOHILA COLLEGE,114198,College,TANGAIL,GHATAIL,BRAHMAN SHASAN,89.98592,24.43828,2279,1
SHAGAR DIGHI COLLEGE,114196,College,TANGAIL,GHATAIL,BEILA,90.12464,24.51311,2280,1
ASYA HASAN ALI MOHILA DEGREE COLLEGE,114454,College,TANGAIL,DHANBARI,SAIDARPARA,89.99269,24.68672,2281,1
DHANBARI COLLEGE,114456,College,TANGAIL,DHANBARI,CHALAS,89.95567,24.67464,2282,1
PANCHPOTOL DEGREE COLLEGE,114457,College,TANGAIL,DHANBARI,BAGUA,89.95,24.68286,2283,1
UKHARIABARI COLLEGE,114453,College,TANGAIL,DHANBARI,UGHARIABARI,89.95983,24.70897,2284,1
BHAI GHAT IDEAL COLLEGE,114458,College,TANGAIL,DHANBARI,DARIRAMPUR,89.97308,24.63772,2285,1
NORILLA COLLEGE,114459,College,TANGAIL,DHANBARI,BANDA BETAL,89.97403,24.63631,2286,1
SAYED MOHABBAT ALI DEGREE COLLEGE,114105,College,TANGAIL,DELDUAR,DELDUAR,89.96553,24.1605,2287,1
