inst name, eiin, inst_type, district, thana, mauza, long, lat, serial,isUnique
THAKURGAON GOVT COLLEGE. THAKURGAON,129305,College,THAKURGAON,THAKURGAON SADAR,GOBINDANAGAR (PART),88.452805,26.039427,2296,1
GAREYA DRGREE COLLEGE,129310,College,THAKURGAON,THAKURGAON SADAR,GAREYA GOPALPUR,88.580002,26.05106,2297,1
PIRGANJ GOVT. COLLEGE,128965,College,THAKURGAON,PIRGANJ,JAGTHA PURBA(PART),88.359665,25.86647,2298,1
HARIPUR ADARSHA WOMENS COLLEGE,128854,College,THAKURGAON,HARIPUR,DEHATTA,88.13472,25.80889,2299,1
JADURANI ADARSHA COLLEGE,128850,College,THAKURGAON,HARIPUR,SIALLAR,88.194,25.88442,2300,1
JADU RANI COLLEGE,128851,College,THAKURGAON,HARIPUR,NANDAGAON,88.17317,25.88928,2301,1
KATHAL DANGI MOHILA COLLEGE,128852,College,THAKURGAON,HARIPUR,CHAPASAR,88.1855,25.84711,2302,1
K B DEGREE COLLEGE,128849,College,THAKURGAON,HARIPUR,TENGARIA,88.19697,25.82314,2303,1
DAMOL IDEAL COLLEGE,128855,College,THAKURGAON,HARIPUR,DAMOL,88.12294,25.84336,2304,1
HARIPUR WOMENS COLLEGE,128853,College,THAKURGAON,HARIPUR,DANGI PARA,88.13094,25.8475,2305,1
BANGLAGAR COLLEGE,129074,College,THAKURGAON,RANISANKAIL,BAHER PARA,88.14886,25.81647,2306,1
RANISONKAIL DEGREE COLLEGE,129071,College,THAKURGAON,RANISANKAIL,BHANDARA,88.16842,25.80583,2307,1
RANISONKAIL WOMENS DEGREE COLLEGE,129070,College,THAKURGAON,RANISANKAIL,BANSHBARI,88.25814,25.93286,2308,1
GOGOR COLLEGE,131940,College,THAKURGAON,RANISANKAIL,GOGAR,88.28092,25.87625,2309,1
GAZIRHAT  COLLEGE,129073,College,THAKURGAON,RANISANKAIL,GAJIHAT,88.22494,25.94664,2310,1
RAMPUR COLLEGE,131942,College,THAKURGAON,RANISANKAIL,RAMPUR,88.20764,25.92083,2311,1
NEKMORD BANGA BONDHU COLLEGE,129072,College,THAKURGAON,RANISANKAIL,GANDAGRAM,88.21022,25.88456,2312,1
SALANDAR WOMEN'S COLLEGE,131995,College,THAKURGAON,THAKURGAON SADAR,SALANDER (PART),88.60153,26.11719,2313,1
ABUL HOSSAIN SARKER COLLEGE,129306,College,THAKURGAON,THAKURGAON SADAR,BARUNAGAON,88.64011,26.08822,2314,1
RUHEA DEGREE COLLEGE,129304,College,THAKURGAON,THAKURGAON SADAR,GHANI BISHNUPUR,88.49619,26.02961,2315,1
GINNIDEBI AGAR WAL MAHILA COLLEGE,129314,College,THAKURGAON,THAKURGAON SADAR,MADHUPUR,88.46781,26.07458,2316,1
SHIBGANJ DEGREE COLLEGE,129313,College,THAKURGAON,THAKURGAON SADAR,PARPUGI,88.46106,25.99128,2317,1
THAKURGAON NEW MODEL COLLEGE,129316,College,THAKURGAON,THAKURGAON SADAR,DODA PARA,88.39392,25.95456,2318,1
PIRGANG ADARSHA MOHABIDDAROY,128973,College,THAKURGAON,PIRGANJ,BHELATAIR DAKSHIN,88.44903,25.89064,2319,2
JABORHAT degree COLLEGE,128966,College,THAKURGAON,PIRGANJ,KALIJUG,88.36125,25.73039,2322,2
BANSHGARA IDEAL COLLEGE,128972,College,THAKURGAON,PIRGANJ,BANSHGARA,88.31642,25.81667,2324,1
NAWDANGA COLLEGE,128974,College,THAKURGAON,PIRGANJ,NAODANGA,88.36381,25.913,2325,1
CHANDARIA DEGREE COLLEGE,128969,College,THAKURGAON,PIRGANJ,CHANDARIA,88.33322,25.95181,2326,2
HAJIPUR COLLEGE,128971,College,THAKURGAON,PIRGANJ,KRISHNAPUR,88.29853,25.85769,2330,1
LOHAGARA MOHAVIDDALAYA,128970,College,THAKURGAON,PIRGANJ,CHANDPUR,88.40633,25.957,2332,2
D. N. DEGREE COLLEGE,128967,College,THAKURGAON,PIRGANJ,DURGAPUR,88.37672,25.92583,2333,2
SALANDAR DEGREE COLLEGE,129307,College,THAKURGAON,THAKURGAON SADAR,SALANDER (PART),88.48969,26.07486,2335,1
THAKURGAON GOVT. MOHILA COLLEGE,129308,College,THAKURGAON,THAKURGAON SADAR,HAJI PARA,88.50533,26.05408,2336,1
THAKURGAON ROAD COLLEGE,129309,College,THAKURGAON,THAKURGAON SADAR,HARIHARPUR (PART),88.429,26.04083,2337,1
ABDUR RASHID DEGREE COLLEGE,129312,College,THAKURGAON,THAKURGAON SADAR,DAKSHIN BATINA,88.42747,26.09189,2338,1
BHULLY DEGREE COLLEGE,129311,College,THAKURGAON,THAKURGAON SADAR,CHHOTA BALIA,88.51086,26.14569,2339,1
SHAHID AKBAR ALI  SCIENCE AND TECHNOLOGY  COLLEGE,128770,College,THAKURGAON,BALIADANGI,BARABARI,88.19156,26.11714,2340,1
SAMIRUDDIN SMRITI COLLEGE,128768,College,THAKURGAON,BALIADANGI,DUOSUO,88.25625,26.06681,2341,1
LAHIRI DEGREE COLLEGE,128769,College,THAKURGAON,BALIADANGI,JAUNIA,88.24592,26.14942,2342,1
HARIPUR ALIM MADRASHA,128836,Madrasha,THAKURGAON,HARIPUR,HARIPUR,89.64356,25.79197,10209,1
TORRA YUSUFIA DAKHIL MADRASHA,128838,Madrasha,THAKURGAON,HARIPUR,TORRA,88.12542,25.82958,10210,1
TARRA GIRLS DAKHIL MADRASA,128846,Madrasha,THAKURGAON,HARIPUR,TORRA,88.12889,25.82989,10211,1
TINUA KADERIA DAKHIL MADRASHA,128829,Madrasha,THAKURGAON,HARIPUR,TINUA,88.14456,25.82525,10212,1
JAMUN HAZI NOEMUDDIN DAKHIL MADRASHA,128837,Madrasha,THAKURGAON,HARIPUR,JAMUN,88.17208,25.91389,10213,1
KHAMAR IDGAH DAKHIL MADRASHA,128833,Madrasha,THAKURGAON,HARIPUR,KHAMAR,88.148,25.93164,10214,1
BAKUA DAKHIL MADRASHA,128847,Madrasha,THAKURGAON,HARIPUR,BAKUA,88.15203,25.87447,10215,1
BARAMPUR ISLAMIA DAKHIL MADRASHA,128839,Madrasha,THAKURGAON,HARIPUR,BARAMPUR,88.12872,25.89756,10216,1
ASLEUDDIN PRODHAN SenIOR MADRASAH,128835,Madrasha,THAKURGAON,HARIPUR,TENGARIA,88.21161,25.83069,10217,1
BIR GAR DARUL ULUM SARIFIA MADRASHA,128828,Madrasha,THAKURGAON,HARIPUR,BIRGAR,88.14522,25.85731,10218,1
SHIHIPUR SHAKHAWAT DAKHOL MADRASHA,128831,Madrasha,THAKURGAON,HARIPUR,SHIHIPUR,88.16714,25.85356,10219,1
GADURA MARADHAR DAKHIL MADRASHA,128834,Madrasha,THAKURGAON,HARIPUR,GEDURA KISMAT,88.14708,25.83614,10220,1
GEDURA UNION CENTRAL DAKHIL MADRASHA,128840,Madrasha,THAKURGAON,HARIPUR,GEDURA KISMAT,88.14825,25.97136,10221,1
BONGAON FAZIL MADRASAH,128832,Madrasha,THAKURGAON,HARIPUR,MEDINI SAGAR,88.18494,25.94944,10222,1
RATOR (R) F.S. DAKHIL MADRASAH,129055,Madrasha,THAKURGAON,RANISANKAIL,RATOR,88.18069,25.95139,10223,1
ABAD TAKIA MOHAMMADIA FAZIL MADRASHA,129044,Madrasha,THAKURGAON,RANISANKAIL,SAHODAR,88.15697,25.8035,10224,1
RANISONKAIL DAKHIL MADRASAH,129057,Madrasha,THAKURGAON,RANISANKAIL,BHANDARA (PART),88.25172,25.89989,10225,1
VELAI DAKHIL MADRASHA,129061,Madrasha,THAKURGAON,RANISANKAIL,BHELAI,88.28678,25.9335,10226,1
BHORNIA DHAKHIL MADRASHA,129045,Madrasha,THAKURGAON,RANISANKAIL,BHARNIA,88.19681,25.96744,10227,1
COUNCIL HAT EIDGHA DAKHIL MADRASAH,129050,Madrasha,THAKURGAON,RANISANKAIL,CHANGMARI,88.17872,25.98169,10228,1
KADIHAT BEGUN BARI DAKHIL MADRASHA,129058,Madrasha,THAKURGAON,RANISANKAIL,KADIHAT (PART),88.18914,25.99103,10229,1
C.S.  DAKHIL MADRASHA,129065,Madrasha,THAKURGAON,RANISANKAIL,CHANGMARI,88.18844,25.97864,10230,2
